users,times,text,topic,quote
"
YuliaOks","
Опубликовано: 2 июн 2019
","

	посмотрите видео, пару раз попробуете, привыкните и будет ни чем не хуже чем в салоне

",Beauty,
"
Валечка","
Опубликовано: 17 июн 2019
","
	Он меньше портит волосы и кудри держатся несколько дней до следующего мытья
",Beauty,"

			Меня с подросткового возраста раздражали мои кудряшки, поэтому начала выпрямлять их утюжком. Сказать, что сожгла себе волосы - ничего не сказать. Уже в более старшем возрасте начала принимать себя какой есть и просто забила на свою структуру волос, но когда ооочень уж хотелось чего-нибудь необычного, придавала кудряшкам форму при помощи утюжка, получались очень красивые голливудские локоны. Но сейчас решила полностью оставить свои волосы в покое, даже пользование феном ограничила по-минимуму. Все-таки, здоровые волосы - самые красивые. 
"
"
Екатерина Дятлова","
Опубликовано: 15 окт 2019
","

	Девчонки помогите. Волосы сыпятся ужасно!! Не знаю что делать и шампуни дорогие покупала, и кальций пила ничего не помогает( Говорят от нервов может быть такое!? Посоветуйте кто, чем спасается?

",Beauty,
"
Aeline","
Опубликовано: 18 окт 2019
","

	Добрый вечер, у меня такая же проблема была, волосы длинные, но вылезали ужасно. Мне очень хорошо помогло репейное масло, я его прямо втирала в корни волос. Также еще порекомендую попить Омегу 3, но так как нашему организму необходима дозировка в районе 900-1200 мг, то лучше сразу покупать капсулы по 900 мг, тогда нужно будет принять всего 1 капсулу в день для баланса. Пробуйте, желаю удачи)

",Beauty,
"
Гость","
Опубликовано: 21 окт 2019
","

	Советую попробовать тоник для кожи головы от Whamisa, мне очень помог отрастить здоровые волосы)

",Beauty,
"
Svetik92","
Опубликовано: 22 окт 2019
			
				(изменено)
			
			
			
		","

	Сходите для начала к трихологу на консультацию , могу порекомендовать клинику Медиленд у них акция хорошая сейчас есть как раз. Так и называется ""Роскошные волосы"" включает в себя базовые необходимые анализы и по результатам трихоскопию и консультацию доктора Алаторских Анастасия Евгеньевна , вот можете сами ознакомиться 


Изменено 22 окт 2019 пользователем Сергей Владимирович
ссылки запрещены
	
	

",Beauty,
"
Okitava","
Опубликовано: 27 окт 2019
","

	Ко врачу сходите в первую очередь. А так - им явно не хватает питания, есть смысл масла попробовать. Очень рекомендую в этом плане купаж 10 топовых масел от хорс форс попробовать, реально хорошо помогает

",Beauty,
"
leto2050","
Опубликовано: 13 ноя 2019
","

	Думаю, что вам нужно причину выяснять обязательно. У меня было обычное выпадение волос. Я с марафона красоты стала делать один прием и выпадение очень сильно уменьшилось. Массаж апоневроза называется. Запускаешь руки в волосы прям максимально на кожу кладешь ладони. И двигаешь кожу головы в разные стороны. А второй прием: хватаешь себя за волосы и сильно тянешь. У меня выпадение волос процентов на 80 уменьшилось. Говорят, что сначала может усилиться на время, но у меня этого не было

",Beauty,
"
alena33","
Опубликовано: 21 июл 2016
","

	Какие знаете шампусики от перхоти? Я окромя Хелдена ничего не применяю. Пожалуй, он лучший...

",Beauty,
"
Яромира","
Опубликовано: 22 июл 2016
","

	Goldwell есть шампунь от кожи головы, вот он с теми проблемами, о которых вы писали справляется на ура

",Beauty,
"
мамаДиана","
Опубликовано: 1 авг 2016
","

	Часто у мужа перхоть появляется, хеден ему никогда не помогал, раньше покупали сульсену, но последнее время не помогает, наверное привыкла кожа головы. Вот недавно муж купил в аптеке, псорилом дегтярный шампунь, пользовался им 2 недели, и перхоть исчезла,компоненты которые входят в состав, помогают быстро избавится от отмерших клеток, не пересушивая кожу и волосы. 

",Beauty,
"
Talita","
Опубликовано: 1 авг 2016
","
	Уже лет 8 пользуюсь только этим шампунем. Перепробовала очень многие от перхоти, но этот самый лучший. С ментолом беру. 
",Beauty,"

			Какие знаете шампусики от перхоти? Я окромя Хелдена ничего не применяю. Пожалуй, он лучший...
		
"
"
alena33","
Опубликовано: 14 авг 2016
","
	Скорее всего оказывает положительное воздействие, содержащийся в этом шампуне деготь...
",Beauty,"

			Часто у мужа перхоть появляется, хеден ему никогда не помогал, раньше покупали сульсену, но последнее время не помогает, наверное привыкла кожа головы. Вот недавно муж купил в аптеке, псорилом дегтярный шампунь, пользовался им 2 недели, и перхоть исчезла,компоненты которые входят в состав, помогают быстро избавится от отмерших клеток, не пересушивая кожу и волосы. 
		
"
"
zhenya","
Опубликовано: 17 авг 2016
","

	есть для лечения шампунь, но его часто нельзя применять. Я уже несколько лет как пользуюсь орфилеймом, там из проф.серии, но моим не подходит такой шампунь, мужу другой покупаю.

",Beauty,
"
Светлана89","
Опубликовано: 10 май 2017
","

	Мне от перхоти помог перхотал, в аптеке покупала.

",Beauty,
"
ЕвгенияКосм","
Опубликовано: 13 июн 2017
","

	Зачем покупать средства медицинского характера в масс-маркете? Где резон? Основное действующее вещество, разрушающее перхоть - кетоконазол, его в обычных ( не мед) шампунях ОЧЕНЬ МАЛО, а вот в медицинских процент намного больше! Я покупала Себозол, отличное средство и недорогое, в любой аптеке продается. 

",Beauty,
"
Гость Koziavka","
Опубликовано: 13 июн 2017
","

	Перхоть возникает от того, что сухая кожа. Мне посоветовали дешевый но действующий препарат Цинкит на основе цинка, как вы поняли. От него не только волосы хорошие, но и ногти тоже. 

",Beauty,
"
Женя2591","
Опубликовано: 28 июл 2017
","

	шампунь DOVE от перхоти

",Beauty,
"
Вероника Филатова","
Опубликовано: 4 авг 2017
","

	естесственно пробовала хэдэн шолдерс, но его эффект длится только какое-то короткое время, и приходилось его очень много тратить, мыть голову за раз дважды нанося шампунь
	сейчас перешла на лошадиную силу, их шампунь против перхоти очень помог

",Beauty,
"
Лизок Калинина","
Опубликовано: 4 авг 2017
","

	от перхоти лошадиную силу попробуйте, можно комбинировать с различными народными средствами

",Beauty,
"
Арина Павлова","
Опубликовано: 27 окт 2017
","

	жаль только, что этот лучший шампунь не лечит, а только усугубляет ситуацию. попробуйте шампунь с кетоконазолом хорс форс. только он смог мне помочь и перхоти до сих пор нет

",Beauty,
"
KetaryKa","
Опубликовано: 2 ноя 2017
","

	мне Ollin Full Force нравится

",Beauty,
"
Женечка","
Опубликовано: 27 ноя 2017
","
	а для окрашенных подойдёт, как думаете?
",Beauty,"

			ШАМПУНЬ ""ЦИНК"" у либридерма  хорошо от перхоти помогает!
		
"
"
Елена Лазарева","
Опубликовано: 27 ноя 2017
","
	можно, на сайте либридерм прочла, для любого типа волос и даже после окрашивания.
",Beauty,"

			а для окрашенных волос можно его?
		

			а для окрашенных подойдёт, как думаете?
		
"
"
Юля1980","
Опубликовано: 29 дек 2017
","

	Большинство которые с кетоконазолом, у меня фирмы лошадиная сила, год назад вывела перхоть им и больше не возвращалась слава богу, так что советую его, он в аптеках продается

",Beauty,
"
Лиса_Алиса","
Опубликовано: 13 янв 2018
","

	С кетоконазолом поможет только в том случае, если перхоть грибком вызвана, а причина может быть совершенно в другом.  Я пробовала 3 разных шампуня с кетоконазолом - не дали результата, в другом причина была, видимо. А вот нафтадерм мне подошел, достаточно быстро избавилась от жирной перхоти, месяца за полтора

",Beauty,
"
MariannaMa","
Опубликовано: 24 апр 2018
","
	Причины могут быть в грибке, в неправильной работе сальных желез головы, еще в чем-то. По идее, конечно, это должен выяснить врач трихолог и назначить лечение. В моем случае проблема была именно в том, что голова жирная и перхоть жирная, и косметические средства не помогали, так как они не оказывали лечебного действия на сами сальные железы, а значит и корень проблемы не устраняли. А у нафтадерма как раз смысл в том, что он регулирует и нормализует это процессы что называется ""изнутри"", поэтому постепенно и голова становится нормальной, и перхоть проходит уже навсегда
",Beauty,"

			А в чем разница? Точнее, вот у вас (или не у вас..) какие были причины, что вы именно этот шампунь выбрали? И как вообще это определить?
		
"
"
Larina","
Опубликовано: 28 апр 2018
","

	Когда у мужа была перхоть - мы в аптеке брали шампунь хорс форс от перхоти с кетоконазолом, помог очень быстро 

",Beauty,
"
АлинаМалина","
Опубликовано: 10 май 2018
","
	Я правильно понимаю,что этот Нафтадерм жирность волос уменьшает? Перхоти особо нет, может чуть-чуть и то редко. Но вот волосы мыть приходится каждый день - жирные очень((( Поможет он? Или это именно от перхоти шампунь?
",Beauty,"

			Причины могут быть в грибке, в неправильной работе сальных желез головы, еще в чем-то. По идее, конечно, это должен выяснить врач трихолог и назначить лечение. В моем случае проблема была именно в том, что голова жирная и перхоть жирная, и косметические средства не помогали, так как они не оказывали лечебного действия на сами сальные железы, а значит и корень проблемы не устраняли. А у нафтадерма как раз смысл в том, что он регулирует и нормализует это процессы что называется ""изнутри"", поэтому постепенно и голова становится нормальной, и перхоть проходит уже навсегда
		
"
"
MariannaMa","
Опубликовано: 11 май 2018
","
	смотрите, в первую очередь это шампунь лечебный именно от перхоти. Но! Если вы говорите, что хоть немного, но она у вас есть, да еще и голова сама по себе слишком жирная - это уже тревожный звоночек... А принцип работы нафтадерма в том, что он на основе нафталанской нефти (типа лечебная грязь), которая является натуральным средством для лечения разнообразных заболеваний кожи. И в формате шампуня идет благотворное терапевтическое воздействие на сальные железы головы (снимается воспаление, нормализуется их работа), и как следствие вырабатывается меньше кожного сала, голова становится в целом более свежей. Так что можете пробовать, 1 раз в неделю вам будет достаточно, я думаю
",Beauty,"

			Я правильно понимаю,что этот Нафтадерм жирность волос уменьшает? Перхоти особо нет, может чуть-чуть и то редко. Но вот волосы мыть приходится каждый день - жирные очень((( Поможет он? Или это именно от перхоти шампунь?
		
"
"
Анастейша","
Опубликовано: 29 май 2018
","

	У дочи перхоть долгое время ничем не могли вывести, просто ужас какой-то! Мази даже пробовали - вонююючие! А помог шампунь хорс форс с кетоконазолом) перхоти очень давно нет) я его потом еще подруге советовала, ей тоже помог 

",Beauty,
"
Марселина","
Опубликовано: 24 июн 2018
","

	Брала хорс форс. Мне от перхоти не помог. Я в аптеку зашла, спросила, почему. И мне объяснили, что это косметическое средство. Может помочь против перхоти, может нет. Это как повезет. А именно для лечения надо брать лечебные шампуни с нормированным содержанием кетоконазола – кетоплюс, низорал, микозорал. Я посмотрела, там и правда написано: ""В 1 г препарата содержится кетоконазола 20 мг"". А в хорс форсе содержание кетоконазола не нормируется. Сколько захотели, столько положили. Поэтому он не такой эффективный, как лечебные шампуни.

",Beauty,
"
Малышева Женечка","
Опубликовано: 17 июл 2019
","

	У меня перхоть обычно  только зимой появлялась, я начинала пользоваться хэданом и пережидала( потом в аптеке вот такой шампунь посоветовали, я им пользовалась как в инструкции написано и вылечила перхоть, зуд и раздражение тоже прошли. Волосы восстановились))


",Beauty,
"
Krasnoweke","
Опубликовано: 6 авг 2019
","
У меня буквально пол года назад так же было. Перхоть прям  сыпалась. И если я даже утром помою волосы, к вечеру складывается впечатление, что они шампуня где-то месяц не видели.  А в холодное время года, шапку вообще снимать нельзя было, перхоть хлопьями оседала на жирных волосах. Но это уже всё в прошлом. На одном из форумов, мне посоветовали купить  Пасту 911 Сульсен Форте.  Девочка подробно рассказала как и сколько надо её использовать. Я сделала всё в точности как она учила и вуа-ля - проблема решена.  Так что с личного опыта - от перхоти реально  избавиться.
",Beauty,
"
Волнушка","
Опубликовано: 21 авг 2019
","
	В том его и сущность, что пока его применяешь, он хоть и жутко сушит голову и волосы - но избавляет немного от перхоти. А вот когда заканчиваешь - все снова ходишь вся в ""снегу"". А именно вылечить мне помог шампунь Форте из аптеки (хорсфорс) 
",Beauty,"

			Какие знаете шампусики от перхоти? Я окромя Хелдена ничего не применяю. Пожалуй, он лучший...
		
"
"
njusha","
Опубликовано: 5 сен 2019
","

	Я не очень верила раньше в лечебные шампуни, пыталась народными средствами избавится от перхоти. А посоветовали на работе  шампунь Сульсен-Форте серии 911 от твинс  тэк. И к моему удивлению (действительно) после второго применения этого шампуня перхоти уже не было, после первого оставалось немного. Я так поняла шампунь борется и с причиной её появления, и с сухой кожей головы, увлажняя её.

",Beauty,
"
Verona5623","
Опубликовано: 12 сен 2019
","
	Тоже был опыт использования средств от перхоти корейской серии. Осталась довольна рекомендую.
",Beauty,"

			Классный от перхоти есть в корейской серии. Мне помог где-то через неделю использования. А то прям хлопьями сыпалась, когда голову наклоняла. Ужас. Вот в таком флаконе с дозатором. 
		


"
"
regina-semenova-","
Опубликовано: 15 сен 2019
","

	У мужа еще больше перхоти от таких шампуней. Просто нужно подбирать, чтобы кожу не сушил

",Beauty,
"
Dasha Davidova","
Опубликовано: 25 янв 2018
","

	подскажите что делать если очень сухие кончики волос?

",Beauty,
"
ReenSool33","
Опубликовано: 30 янв 2018
","

	Я обычно их просто состригаю. Много чего пробовала, все равно эффекта мало. 

",Beauty,
"
Елена SnowCat","
Опубликовано: 30 янв 2018
","

	У меня такое с волосами бывает зимой. я спасаюсь масками из персикового, абрикосового или миндального масла. Мне помогает. Делаю днем в выходные, хожу 2-3 часа, потом смываю. мне помогает.

",Beauty,
"
Dasha Davidova","
Опубликовано: 2 фев 2018
","
	 
",Beauty,"

			У меня такое с волосами бывает зимой. я спасаюсь масками из персикового, абрикосового или миндального масла. Мне помогает. Делаю днем в выходные, хожу 2-3 часа, потом смываю. мне помогает.
		
"
"
Елена SnowCat","
Опубликовано: 2 фев 2018
","
	По-разному. У нас много где продают масла, в аптеках, например. Смотрю, чтобы в составе не было каких-нибудь ""секретных ингредиентов"", только масло. Я 3 года назад от каре лесенкой отрастила уже по пояс. В первый год вымахали аж на 27 см. Тогда я и ""подсела"" на масла, до отращивания полностью осветляла волосы лет 5, пока совсем не испортила. Кроме масел тогда еще использовала бесцветную хну (смешивала с теми же маслами). Сейчас очень люблю свою шевелюру.
",Beauty,"

			огромное спасибо девченки
		

			а где ты их покупаешь или заказываешь
		

			 
		
"
"
Дашуля11","
Опубликовано: 6 фев 2018
","

	увлажнять масками 

",Beauty,
"
DiAnna","
Опубликовано: 30 сен 2018
","

	Можно делать увлажняющие маски из масел: несколько капель эфирного масла разводите в базовом и наносите на волосы, посидеть полчасика и смыть хорошенько.

",Beauty,
"
НикаЧерника","
Опубликовано: 22 дек 2018
","

	Сменить уход, возможно от фена плойки отказаться будет полезно, но в 21 веке это не слишком легко сделать, на самом деле) лучше возьмите увлажняющую маску хорс форс , она запаивает кончики и лечит волосы по всей структуре. У меня от нее перестали сечься) 

",Beauty,
"
Slavaya","
Опубликовано: 16 янв 2019
","

	масочки поделать

",Beauty,
"
Яромира","
Опубликовано: 19 фев 2019
","

	Вот этот посмотрите, мне нравится - IMPACT³  Conditioning Cream Headonism 

",Beauty,
"
Perfect_Patient","
Опубликовано: 12 мар 2019
","

	Чего-то тут прям реклама лошадиной силы))) Я тоже стала красить волосы в более светлый оттенок и сегодня заметила, что при сушке феном-щеткой, волоски стали обламываться... (((( Кокосовое масло не сильно помогает. Тоже вся в раздумьях. Наверное, стоит приобрести профессиональную линейку для ухода за волосами и меньше сушить, но с другой стороны, как не сушить, на голове иначе такой беспорядок.

",Beauty,
"
Rishka","
Опубликовано: 22 мар 2019
","

	Я пользуюсь маской из очень жирного кефира, желтка и меда. Наношу на все волосы. Заматываю и хожу часа 2. Волосы лучше,как мне кажется. Полностью эффект не могу оценить,так как мало времени делать маску постоянно

",Beauty,
"
Гость Ирина","
Опубликовано: 26 ноя 2017
","

	Просто беда какая-то - не могу подобрать шампунь!!! Три года отращивала волосы, наконец-то получила нужную длину, и теперь каждый два дня мучения - не могу промыть волосы от шампуня. О масках и кондиционерах вообще молчу. После мытья волосы не расчесываются, а как высохнут - тусклые, жесткие, быстро грязнятся. Уже подумываю о стрижке. Посоветуйте какой-то легкий шампунь или ополаскиватель, который решит мою проблему. Спасибо!

",Beauty,
"
Татьянка","
Опубликовано: 27 ноя 2017
","

	Волосы слабые просто, витамины попить не хотите?! Можно еще попробовать лечебный шампунь Детокс 911. Я периодически покупаю - волосы хорошо восстанавливает, и перхоти меньше становится.

",Beauty,
"
Гость Ирина","
Опубликовано: 27 ноя 2017
","

	Детокс шампунь? Первый раз слышу. Про шлаки и токсины в организме знаю, про волосы нет.

",Beauty,
"
Татьянка","
Опубликовано: 27 ноя 2017
","

	Сейчас популярная тема, у многих известных марок появились детоксы. Волосы-то тоже нужно от гадостей всяких чистить. Цена правда не всегда доступная.

",Beauty,
"
Гость Ирина","
Опубликовано: 27 ноя 2017
","

	Вам надо просто сменить шампунь на бессульфатный, такой, например есть у хорс форс с овсяными пав, хорошо очищает и волосы долго не пачкаются!

",Beauty,
"
Гость Ирина","
Опубликовано: 27 ноя 2017
","
	А этот Детокс 911 дорогой? и сколько его надо использовать?
",Beauty,"

			Сейчас популярная тема, у многих известных марок появились детоксы. Волосы-то тоже нужно от гадостей всяких чистить. Цена правда не всегда доступная.
		
"
"
НикаЧерника","
Опубликовано: 22 дек 2018
","

	У меня так после жирных масок бывает. Сейчас правда стараюсь делать нормальные маски ахаха а шампунь тоже вот хорс форс стала брать с овсяными пав, нравится он, и промывает хорошо и укрепляет волос 

",Beauty,
"
Slavaya","
Опубликовано: 16 янв 2019
","

	надо  сменить шампунь на бессульфатный

",Beauty,
"
Яромира","
Опубликовано: 19 фев 2019
","

	У pera 357 сейчас классные есть шампуни, там промывалка супер, очищает, все смывает, мне прям понравилось. Ну мне кажется нельзя постоянно, я раз в 2 недели мою им только

",Beauty,
"
anya.grishina.58","
Опубликовано: 19 фев 2019
","

	Жесть!!

",Beauty,
"
Мария Нахимова","
Опубликовано: 8 мар 2019
","

	используйте шампунь глубокой очистки раз в неделю, мне нравится мицеллярный либридерм, отлично промывает, уменьшает сальность, а на каждый день бессульфатник у меня

",Beauty,
"
Tanya Filimonova","
Опубликовано: 30 мар 2019
","

	проблема то не в этом! попробуйте маску ультра увлажняющую для волос (от хорс форс) она волосы сделает послушными! перестанут путаться и сечься!  у меня волосы тоже были длинные, и очень сухие, путались постоянно сложно в общем с ними было, эта маска помогла за пару недель сделать их очень послушными) 

",Beauty,
"
Алина22","
Опубликовано: 8 фев 2020
","

	Вопрос к девушкам с длинными волосами, есть ли у вас какая-то хитрость по уходу за ними, особенно зимой. Поделитесь, пожалуйста

",Beauty,
"
Гость Алина","
Опубликовано: 8 фев 2020
","

	Вы покрасились не в тот цвет или в чем проблема?

",Beauty,
