users,times,text,quote,topic
 Гость ," Сегодня, 18:49 ","они не вписались в рынокгуманитарий, всегда был синонимом недоразвитого",,Education
 Захария ," Сегодня, 18:49 ","в хорошем, но не медицинском вузе?",,Education
 Автор ," Сегодня, 17:38 ","Это нормально?: я знаю таблицу умножения до десяти, несильно сильна в устном счёте, если спросят двузначные, числа в таблице умножения без конкулятора, никак .Парюсь по этому поводу, это действительно важно?Есть способы быстрого счета?",,Education
 Гость ," Сегодня, 17:57 ","Способы быстрого счета есть. Если вас не забанили в гугле, вы их найдете. Но, нет, неважно, умеете вы умножать или нет.",,Education
 Великолепный Вася ," Сегодня, 18:10 ","А разница? Зная обычную без труда перемножишь хоть десятизначные, все зависит от встроенной озу))З.Ы. А где такое требуется то? В определенных сферах нужно (оч желательно, ибо помогает в работе) например таблицу степеней двойки знать, а вот перемножения многозначных чисел - хз.",,Education
 Гость ," Сегодня, 18:29 ",Всегда есть телефон с калькулятором,,Education
 Автор ," Сегодня, 16:57 ","Всем здравствуйте! Сын начал заниматься английским языком с репетитором. По началу мы платили ей по факту занятия. После нескольких пропусков занятий, она попросила оплачивать занятия за неделю вперёд. Якобы ей не понравилось то, что мы заранее не предупреждает об отмене урока. Если сыну внезапно стало плохо, то почему мы должны оплачивать это занятие? Она поставила условия сообщать об отмене урока минимум за два часа. И не важно болезнь это или форс-мажор. Но мы должны минимум за два часа оповестить её, что урока не будет даже если это болезнь. Правильно ли это?",,Education
 Гость ," Сегодня, 17:26 ","Да, все так делают. У нас за день договор, иначе платишь",,Education
 Гость ," Сегодня, 17:28 ","Она абсолютно права. Она отменила другие занятия, планировала.Почему плохо Вашему сыну, а терять должна она?Ну тут должны быть компромиссы- ему плохо сегодня- можно назначить позже на неделе, но тогда когда ей удобно😎",,Education
 Гость ," Сегодня, 17:28 ","Есть такое правило ""Time is money"". Вы это правило регулярно нарушаете. Ну и кому это понравится? Вот на вас и накладывают штрафные, по сути, санкции. Что справедливо.",,Education
 Гость ," Сегодня, 17:29 ",Я бы требовал оповещать минимум за день. Вы вообще адекватная?,,Education
 Гость ," Сегодня, 17:30 ","«После нескольких пропусков занятий, она попросила оплачивать занятия за неделю вперёд. Якобы ей не понравилось то, что мы заранее не предупреждает об отмене урока. »А почему Вы не предупреждали? Она час сидела ждала, потому что Вам неохота позвонить и отменить?Это неуважение к ее планам и да, Вы должны ей заплатить как за занятие.",,Education
 milka ," Сегодня, 16:01 ","скоро подавать документы в вуз, нужно определиться со вторым иностранным языкоминтересуют французский/испанский/итальянскийкто учил какой-то из этих языков, какие сложности могут возникнуть , какие особенности языка?",,Education
 Mishanya ," Сегодня, 16:19 ",Тут английский мало кто знает. О каком испанском речь?,,Education
 Гость ," Сегодня, 16:20 ","Советую помимо естественно английского языка испанский или итальянский. Французский неееееет 😭 буквы, ударения все не знакомо. Сын изучает французский, просто боль, жалеет что его выбрал, уже 3 год как пошёл и поменять нельзя и в голову не лезет",,Education
 Мрр ;) ," Сегодня, 16:27 ",вы о группах языка что-то слышали вообще?,,Education
 Alex111 ," Сегодня, 16:45 ","Если первый английский, испанский полегче пойдет. Да и говорят на нем ч мире 550 миллионов человек, что больше чем на французском и итальянском вместе взятых (70+350).Tu necesitas aprender español, aunque a veces es difícil.",,Education
 Гость ," Сегодня, 16:51 ",Китайский сейчас надо учить!!,,Education
 Khalid25 ," Вчера, 21:56 ","Как вы считаете, нужно ли учиться много лет? Стоит ли оно того, пригодиться ли это вообще? Просто есть люди, которые учились 5 лет 6 лет кто то ещё больше, так сказать повышают свою квалификацию, свой уровень знаний. Но при этом, они работают как и все остальные, за копейки. И стоило ли столько учиться?",,Education
 Великолепный Вася ," Вчера, 22:13 ",Да толкай *** как и большинство твоих земляков и не парься.,,Education
 Великолепный Вася ," Вчера, 22:13 ",гepoин*,Да толкай *** как и большинство твоих земляков и не парься.,Education
 V A L E R I Y A ," Вчера, 22:25 ","Ну учиться определено нужно. Если ты про институт, то не всем. Например, мне для моей работы нужны только курсы, опыт и талант. Курсы - это же тоже учеба. Институт без вопросов нужен медикам и тд. А допустим дизайну или рекламе можно запросто за год научится по курсам. Но потом неизвестно возьмут ли на работу без вышки. Это же как бы для галочки. Даже если ты будешь супер пупер спецом без вышки, то некоторые работодатели выберут дурня с вышкой, но без знаний.К сожалению у нас так.",,Education
 Я ," Вчера, 22:27 ","Время все равно пройдет, учитесь вы или нет. Если у вас есть хороший план ( ну есть например уже неплохое место для работы чтобы набираться опыта, есть знания, есть азарт, то можно и без образования. Но смотря кем вы хотите работать. Если вам лень, вы не знаете с чего начать и рядом нет тех знающих людей кто хочет давать вам советы, то лучше пойти учитьсяНу и одно другому не мешает. Можно и учиться и работать но это сложно.",,Education
 Великолепный Вася ," Вчера, 22:28 ","Ну так почему ты еще не в стране с кисельными берегами? Ах да, там ведь тоже ты никому не ycpaлась без образования.","Ну учиться определено нужно. Если ты про институт, то не всем. Например, мне для моей работы нужны только курсы, опыт и талант. Курсы - это же тоже учеба. Институт без вопросов нужен медикам и тд. А допустим дизайну или рекламе можно запросто за год научится по курсам. Но потом неизвестно возьмут ли на работу без вышки. Это же как бы для галочки. Даже если ты будешь супер пупер спецом без вышки, то некоторые работодатели выберут дурня с вышкой, но без знаний.К сожалению у нас так.",Education
 Автор ," Вчера, 19:51 ","Что с этим делать? Захотела записаться на курс, но там нет цен, спросила у организатора сколько будет стоить, мне интересно. Он спрашивает а вы заполнили анкету? Стали бы участвовать, если вам нужно вначале заполнить анкету, чтобы узнать цену?",,Education
 Гость ," Вчера, 20:21 ","однозначно нетвообще если цены нет сразу на главной странице сайта, а надо что-то заполнять или оставить телефон ""и с вами свяжутся"" то они идут в сракотан",,Education
 Гость ," Вчера, 20:24 ","А ей ответить что-то мол нет, не заполняла ?","однозначно нетвообще если цены нет сразу на главной странице сайта, а надо что-то заполнять или оставить телефон ""и с вами свяжутся"" то они идут в сракотан",Education
 Гость ," Вчера, 20:38 ",зачем ей что-то отвечать?,"А ей ответить что-то мол нет, не заполняла ?",Education
 Гость ," Вчера, 21:39 ","Хреновые они бизнесмены, сразу скажу. Столько клиентов упускают из-за желания навалить то, что человеку возможно не нужно. Не связывалась бы. Либо дала бы левый номер, или посадила бы в блок как начали бы названивать.",,Education
 Гость ," Сегодня, 00:51 ","Нет. Это развод все на деньги, учатся в институтах в программах высшего образования и повышения квалификации. Сотни курсов и книг можно бесплатно почитать чем идти к инфоцыганам которые ничего не умеют кроме впаривания некачественной услуги не являясь экспертом в своей области и вводя в заблуждение.Сама идея что я заполню информацию а на основании этой информации мне предложат максимально конскую цену мне не нравится.",,Education
 Гость ," Вчера, 15:47 ",Кто Оплачивает Институт Себе Сам?,,Education
 Даниель ," Вчера, 16:09 ","Я оплачивал себе, когда учился заочно во взрослом возрасте так как учиться сразу после школы у меня не было возможности.А что тебя беспокоит ?",,Education
 Гость ," Вчера, 16:10 ",Интересно,"Я оплачивал себе, когда учился заочно во взрослом возрасте так как учиться сразу после школы у меня не было возможности.А что тебя беспокоит ?",Education
 Гость ," Вчера, 16:11 ",Кто Оплачивает После Школыы Себе Сам?,,Education
 Милена ," Вчера, 16:14 ","Училась заочно, оплачивала сама",,Education
 Гость ," Вчера, 16:16 ",Вы И Учились И Труддились?,"Училась заочно, оплачивала сама",Education
 Гость ," Вчера, 12:51 ","Скоро сдаю ЕГЭ и буду поступать на лингвиста. И тут вопрос куда (в какой город) поступать? Я живу в маленьком городе Nской области и родители предлагают и настаивают на то, чтобы я переехал в город N. Но он мне не нравится — маленький (300к),уныленький, много родственников (боюсь гиперопеки). Я говорю что поеду в другой город. Например в город P там жителей чуть побольше (500к) и находится он на расстоянии 500 км. Но там нет родственников. Ну либо в какой то из трёх других городов (расстояние от 250 км до 350км). Но мои родственники хотят чтобы я туда ехал уже после института. И тут следующее: с одной стороны они правы:1. Город не знакомый, а город N знаком.2. Есть квартира в городе N.3. Много родственников в этом городе.4. Низкие баллы в институт.Но с другой стороны есть вопросы:1. Ну многие в других городах учились и в дальнейшем оставались там жить. Тётя из провинции в Москву, а у меня запросы поменьше. У тому же имею накопления,самостоятелен. Ну и эти города мне больше нравятся.2. Квартира не моя и хз будет ли у меня там личное пространство. Или допустим позвал девушку на ночь, а тут родственники без звонка приехали ещё и возмущаются (однокомнатная квартира). Тогда уж общага лучше.3. Много родственников: с одной стороны плюсы. А с другой стороны: есть шансы что начнут каждое действие контролировать, и чуть что беспокоиться,""вылавливать"" меня. Далёкий город в этом плане лучше. Ну и так...4. Если будут высокие баллы, то есть смысл искать нормальный институт в нормальном городе. Так вот что делать в таком случае? Стоит ли поступать в город N (где все рядом) или ехать подальше? Меня второй вариант больше привлекает.За сумбур sorry.#вопрос #родственники #переезд #поступление",,Education
 SosaDelavosa ," Вчера, 13:37 ","Проступайте в Москву)) Если что не понравится или не получится - всегда можно поступить на этот же курс в городе N)) Уверяю, после мск возьмут",,Education
 Гость ," Вчера, 14:06 ","Можно и в мск, но лучше СПб. А вообще ничего такого не вижу в переезде в город с населением 500-1000 тысяч чел, находящийся не так далеко. Но почему они настаивают на городе N? Учитывая,что тётя в Москве училась.","Проступайте в Москву)) Если что не понравится или не получится - всегда можно поступить на этот же курс в городе N)) Уверяю, после мск возьмут",Education
 Василий ," Вчера, 19:29 ","Это не сумбур, это чухня.ехать учится надо в столицы! или в университет с историей, если в голове есть мозги....",,Education
 Гость ," Сегодня, 00:24 ","Своя квартира - огромный бонус! А чья она? Думаете, мама с папой приезжать с проверками будут? Замки поменять нельзя? Для более отдалённых родственников существует ЧС. Т.е. тут скорее вопрос Вашей способности защищать свои личные границы.",,Education
 Гость ," Сегодня, 16:05 ",Спасибо за ответ. А как правильно разделять личные границы? Просто меня этому не учили и теперь проблемы с этим.,"Своя квартира - огромный бонус! А чья она? Думаете, мама с папой приезжать с проверками будут? Замки поменять нельзя? Для более отдалённых родственников существует ЧС. Т.е. тут скорее вопрос Вашей способности защищать свои личные границы.",Education
 Дарья ," Вчера, 10:45 ","У меня такой вопрос, в первую очередь к образованным и знающим людям. Какие лучше книги читать для новичка по саморазвитию? От каких будет лучше видно что человек стал умнее, совершенее? Те что не сильно популярны, или которые читают миллионны людей?",,Education
 Гость ," Вчера, 11:00 ",Начни с букваря,,Education
 Гость ," Вчера, 11:00 ","Это зависит от того,в какой области вы желаете развиться)",,Education
 Гость ," Вчера, 11:06 ",Канта читай. Ницше. Фрейда обязательно.,,Education
 Гость ," Вчера, 11:09 ",Вряд ли автор это имеет в виду:),Канта читай. Ницше. Фрейда обязательно.,Education
 Гость ," Вчера, 11:10 ","Кант и Ницше новичку? Ну, даже не знаю. Мож Достоевского для начала. Философию Толстого. Там попроще..",Канта читай. Ницше. Фрейда обязательно.,Education
 Лерочка Кузина ," Вчера, 10:05 ","Очень часто сталкиваюсь с тем, что мне занижают оценки преподаватели, ничем это не обосновывая. Раньше постоянно работала на парах за всю группу, а в итоге на коллоквиумах, когда рассказывала больше материала, чем нам давали, получала оценки ниже, чем у одногруппников, которые из всей темы знали только ее название. Сейчас забила на учебу, не готовлюсь так же, как и другие мои знакомые. Стало на душе спокойней, появилось много времени на другие увлечения.Был ли у вас такой опыт? Как справлялись?",,Education
 Гость ," Вчера, 10:32 ","А зачем мне это надо? Кому надо тот лез из кожи вон, таким оценки занижали. Преподы считали их выскочками. Я вообще с учёбой не парилась. Редко когда записывала, сидела и слушала и очень любила спорить с преподами и им очень нравилось это. Приятно когда на твоей лекции не только записывают лекции, приходят на них, а ещё и посмаковать в споре, приводить свои доводы, высказывать мнение чисто по предмету. Они мне ставили 5 и 4. 3 вообще не было))",,Education
 Гость ," Вчера, 10:45 ","Для препода аргументированный спор означает ваш интерес к предмету и показатель, что вы пытаетесь работать свои мозгом. Разве может это не приветствоваться в обучающем процессе?","А зачем мне это надо? Кому надо тот лез из кожи вон, таким оценки занижали. Преподы считали их выскочками. Я вообще с учёбой не парилась. Редко когда записывала, сидела и слушала и очень любила спорить с преподами и им очень нравилось это. Приятно когда на твоей лекции не только записывают лекции, приходят на них, а ещё и посмаковать в споре, приводить свои доводы, высказывать мнение чисто по предмету. Они мне ставили 5 и 4. 3 вообще не было))",Education
 Гость ," Вчера, 10:46 ","Никогда не понимала этих ответов. Зачем писать об очевидном, если оно и так уже мною написано?","Для препода аргументированный спор означает ваш интерес к предмету и показатель, что вы пытаетесь работать свои мозгом. Разве может это не приветствоваться в обучающем процессе?",Education
 Гость ," Вчера, 12:02 ",Судя по тексту вы супер конфликтный человек и настраиваете всех против себя - вы как трагический герой сами создаете драму и потом народ выбешивается и действительно занижает оценки у вас мозг это машина обвинения всех вокруг кроме вас.,"Никогда не понимала этих ответов. Зачем писать об очевидном, если оно и так уже мною написано?",Education
 Гость ," Вчера, 12:03 ",Пока вы не перестанете всех обвинять(себя тоже не стоит) вам счастья не видать.,Судя по тексту вы супер конфликтный человек и настраиваете всех против себя - вы как трагический герой сами создаете драму и потом народ выбешивается и действительно занижает оценки у вас мозг это машина обвинения всех вокруг кроме вас.,Education
 Гость ," Вчера, 09:15 ","Купила курсы бизнес аналитика, не могу себя заставить учиться. Совершенно не интересно. Есть планы поступить в вшэ на удаленное обучение. Я боюсь, что не справлюсь. Кто нибудь учился в 40 и после 40? Как давалась учеба?",,Education
 Гость ," Вчера, 09:40 ","Вы молодец, удачи вам! Учится никогда не поздно.",,Education
 Гость ," Вчера, 09:42 ",Зачем лохматить бабушку если тебе это не интересно. Сядь на заваленку да лузгай семки.,,Education
 Гость ," Вчера, 09:52 ",Ходила на курсы от биржи труда - Маркетинг. Это был кошмар. Очень тяжело учиться.,,Education
 Гость ," Вчера, 10:00 ","я училась в институте им Бехтерева , поступала в 50 лет. Но это было третье высшее",,Education
 Гость ," Вчера, 10:15 ","Автор, 40 лет не предел! Учатся и более старшие. Особенно сейчас в связи с войной много людей старшего возраста переехало в другие страны. И учат языки. Может и медленнее чем молодеж, но абсолютно у всех есть определенные успехи в изучении",,Education
 Нина ," 30 апреля, 17:17 ","Постоянно наблюдаю. И конечно же сам он ничего не делал, ни занимался, ни работал. Просто повезло. Меня это обижает например. Я не могу себя гением назвать, но умею хорошо рисовать, делать красивый макияж, у меня есть вкус, могу за копейки суперски одеться. Людям нравится, мне всегда делают комплименты. И говорят: вот, повезло же тебе. Такая талантливая, а я могу только палку-домик-человечка. Я говорю: спасибо. Но мне не очень приятно на душе. Потому что человек, хоть и без злого умысла, но обесценивает мой труд. Мне 29. Я рисую с детства, мама заметила, что мне нравится, отдала в художественную школу. Учиться было не просто, 4-5 часов сидишь занимаешься. У меня был преподаватель нервный, который бил по рукам, орал, один раз порвал мой рисунок и я плакала. Не буду всё подробно расписывать, но суть в том, что рисую, занимаюсь макияжем (целенаправленно этот навык отрабатывая) я больше 20 лет получается. Если 20 лет делать одно и тоже, думаю любой научится) я не родилась с выдающимися способностями. И сначала конечно делала это не особо хорошо. (Коллекция стремных рисунков из детства у мамы сохранилась). Но никто не говорит: ты наверное очень трудолюбивая, чтобы научиться нужно много работать. Говорят, что просто повезло, а ты так...ничего не делала для этого(Зачем я это пишу? Просто если вы захотите сделать комплимент кому-то, не говорите пожалуйста: вот тебе повезло. Или - ты такой талантливый. Можно просто сказать: у тебя прекрасные работы. (Ты здорово делаешь...). Так намного лучше. #образование #талант",,Education
 Cвета ," 30 апреля, 19:12 ","Нет, автор, вынуждена разочаровать вас - вы не талантливы, вы просто усидчивы.Вы хорошо рисуете, ежедневно тренируясь по 4-5 часов - а где же выставки ваших картин, а?Надя Рушева не тренировалась - она просто рисовала... и ее работы приобрел Пушкинский музей в 15 лет.Это касается и вашего хвастовства о стиле.Хорошие поэты и в детстве сочиняли очаровательные стишата без всякого Литературного института.Гениально сказала великая Майя Плисецкая ""Талант - это талант, а труд - это труд"".",,Education
 Гость ," 30 апреля, 19:14 ","Талант либо есть, либо его нет. Это такая штука, которая передается по наследству. Но может и не передаться, на детях гениев природа частенько отдыхает. Сейчас модно искать в своих детях всякие таланты, отдают их на вокал или танцы, а потом бедные детки надрываются. Художники - отдельная тема, их сейчас развелось, как собак. Но не все из них выдающиеся, стать профи дано единицам.",,Education
 Гость ," 30 апреля, 19:21 ","какая разница, что люди говорят?",,Education
 Гость ," 30 апреля, 19:23 ","не понять вас автор, это хороший комплимент про талант, пусть и думают что с неба падает, что вам не нравится-то?",,Education
 Гость ," 30 апреля, 19:25 ","талант с неба падает, но это не отменяет что его надо развиватьа кому-то талант не падает, развивать нечеготак что они отчасти правы",,Education
 Дарья ," 30 апреля, 09:29 ","Уважаемые коллеги, кто-нибудь из вас обучался сказкотерапии? Очень хотелось бы изучить это направление. Проводится ли где-то в Москве обучение по этому направлению?",,Education
 Гость ," 30 апреля, 09:50 ","Да у нас на каждом углу такая "" терапия ""..Друг другу "" вешаем лапшу ""( сказки кажем ), а лохушки слушают и охре-невают потом..",,Education
 95 ," 30 апреля, 09:58 ","Это ещё что такое? Когда тебе лапшу на уши вешают? ""О, да, давай ещё, я тебя внимательно слушаю"". Нет. Очередная разводка",,Education
 95 ," 30 апреля, 09:58 ","Зачем? Сказки иди читай, русские народные","Да у нас на каждом углу такая "" терапия ""..Друг другу "" вешаем лапшу ""( сказки кажем ), а лохушки слушают и охре-невают потом..",Education
 Захария ," 30 апреля, 10:03 ","коллеги?Вы психолог, дефектолог, логопед?арт- терапия, в которую сказкатерапия входит, там применяется...",,Education
 Гость ," 30 апреля, 10:33 ",Родители в детстве обучают.,,Education
 muhamed112 ," 29 апреля, 22:51 ",Всем здравствуйте!Скажите в какой стране Европы легче подтвердить медицинский диплом стоматолога в Германии или Франция ?Диплом получил в Третье государство .У кого есть опыт поделитесь .,,Education
 Гость ," 29 апреля, 23:14 ","Кто вам здесь ответит, тем более про диплом врача? Если это страны ЕС, скорее всего признают диплом, но и то может надо будет доучиваться по сокращенной программе, будут сравнивать что вы изучали и что по программе в их стране.",,Education
 Автор ," 29 апреля, 20:51 ",Сын учится в меде. ЗНО сдал из 200 баллов- 175 набрал в среднем учится на контракте. Он усердно готовился поступать туда. Тратились на репетиторов. Но на бюджет не хватило баллов. Он усердно учится и не платит за екзамены. Есть дочка хотела идти в пед вуз местный. Но сейчас передумала и хочет в мед вуз. Я смотрю по баллам 150-160 в среднем по профильным предметам. Она говорит чтобы мый ей обязательно оплатили учебу в вузе. У нее истерика что ми не хочем( потому что на брата уходит 5000-6000 тисяч суммарно гривен). Так резко поменяла решение за 1.5 месяца до начала екзаменов. Мы не шикуем( у нас нет много денег или недвижимости) как у некоторых людей. Доход 22 тисяч гривен( 60000 тисяч рублей),,Education
 Гость ," 29 апреля, 21:20 ",Чем она хуже брата?,,Education
 Katerina ," 29 апреля, 21:49 ","Если я правильно понимаю, то у вас не так много денег, чтобы дочке оплатить университет.Но на ее место себя поставьте. СЫНУ оплачиваете,а дочке нет. WTF? Отказывайте тогда в этом всем!И на бюджет можно перевестись элементарно хорошо учась, а не только при поступлении… Не перевелся - значит не очень то и хотелось видимо.",,Education
 Гость ," 29 апреля, 22:06 ","+Дочь не виновата, что родилась позже. Автор, если вы спрашиваете - значит, в принципе, у вас есть возможность найти деньги на обучение. Ищите. Это будет честно.",Чем она хуже брата?,Education
 Василий ," 30 апреля, 09:59 ","Чушь полная, неграмотная.",,Education
 Natasha ," 30 апреля, 16:58 ","Оплачивайте учёбу обязательно.Но обоих детей нацеливайте на переход с бюджета на бесплатное,если это возможно.",,Education
