topic,quote,text,times,users
Family&Relationships,," Всем спасибо за ответы в теме!!!! За поддержку. Я ее поднимала на многих форумах и читала ответы. Но учатся на своих ошибках)Пару раз попала на шарлатанов как не старалась этого избежать. Потом таки сделала приворот на него. Но так я устала от всего этого и так мне в душу запало....что я все это оказывается давно бы уже пережила, если бы подсознательно не привязывала сама себя к нему. После приворота онвернулся, а вот я уже не смогла. Я поняла, что простить его не смогу, что без него будет проще.В марте сама подала на развод, хоть теперь он уговаривает сохранять семью. Но такие раны как он мне сделал так просто приворотом и его возвратом не лечатся, увы...слишком глубокие шрамы остались....Свой вывод могу сказать, что пока мы цепляемся за ситуацию, она будет нас добивать. Поиски настоящей колдуньи, ожидания результата....все это только удерживало меня в моей собственной боли. А ведь за это время я уже все пережила бы, я научилась быть одна, я его в глубине души отпустила, но все еще не могла с этим смириться. В итоге только потраченные деньги, время, силы! Но главное - именно ВРЕМЯ.Он сейчас страдает как страдала я, когда он бросил. Но меня это совершенно не радует. Нет не желания мести, не злорадства. Хочется, чтобы все это уже закончилось. Пожалуй, один плюс только в том, что он финансово соглашается помогать детям, чего раньше добровольно не былоДальше будет развод, переезд, будет материально сложно. Но все это переживется и впереди будет новая прерасная жизнь, я в это верю))",,
Family&Relationships,," Ушел, да и скатертью ему дорога. Нашли по кому горевать, по мужику... Учитесь быть самостоятельной и будет Вам счастье.",,
Family&Relationships,," Перекреститься, как говорится, и жить заново. Лучшее, что вы можете сейчас сделать - это заняться собой. Ушел-то он не к ней, а от вас...",,
Family&Relationships,," Страшная вещь. Неужели вы считаете, что будет счастье в семье, где одного из людей насильно держат?",,
Family&Relationships,, А зачем его возвращать? Чтобы он еще раз ушел? Лучше воспользоваться ситуацией и поискать свою судьбу)),,
Family&Relationships,," Вы получили определенный опыт, двигайтесь дальше!",,
Family&Relationships,," Мне кажется, что никакими приворотами никогда никого не вернуть. Если это поможет, то поможет лишь на время. Если не судьба, то он все равно уйдет.",,
Family&Relationships,, мне кажется нужно начать с самопознания и понять что за типология у вашего Мужчины,,
Family&Relationships,," Ничем не задержишь мужчину, если он тебя просто не любит",,
Family&Relationships,," Зачем вам его возвращать ? Зачем вам в очередной раз унижаться перед ним ? Возьмите себя в руки и позвольте себе жить счастливо , но без него . Займитесь самообразованием , развивайтесь , узнавайте и меняйте себя . Станьте уверенней в себе , очень рекомендую вам пройти тест Воликова . Это тест по оценке характера человека , поможет вам узнать себя лучше и полюбить. Будьте свободны и наслаждайтесь этим !",,
Family&Relationships,," Ушел, туда ему и дорога) Какие еще там привороты, зачем?!",,
Family&Relationships,,"Когда проблем нет никаких, легко говорить: зачем ищете гадалок, зачем к ним идёте, зачем несёте им свои кровные. Вот когда коснётся беда и все варианты будут исчерпаны, тогда то не остаётся другого выхода, как поверить и довериться полностью экстрасенсу. Именно в такой непростой ситуации мне пришлось познакомиться с гадалкой. Разное про неё говорят, кому-то помогла, кому-то нет. Мне она помогла и я довольна этой помощью. Она сделала всё, о чём я её просила. Работала с полной отдачей. Если надо будет, пойду к ней ещё раз.",,
Family&Relationships,," Просто так, мужики не уходят. Я его не защищаю, но если вы хотите его вернуть, то первое, что нужно сделать - это разобраться в чем вы были не правы по отношению к нему. Виноваты всегда оба!",,
Family&Relationships,," Так можно ли вернуть мужа ? Это миф или реальность ? С чего же начать решать эту твою проблему ? Начнем с того,что люди вступают в брак и мечтают прожить вместе до конца дней в"" горе и в радости"". Но,к сожалению, отношения-это работа.Чтобы вернуть былую страсть и любовь мужа тебе нужно с ним познакомиться ""заново"".Любой конец-это новое начало.Поэтому постарайся начать с чистого листа, верить в вашу любовь никогда не поздно.",,
Family&Relationships,,"   Прежде всего найди причину,почему вы расстались. Сначала честно реши,почему на твой взгляд, ушел муж. Можешь четко сформулировать причину ? Ты искренне не знаешь,почему вы развелись ? Ты хорошо знаешь почему,но боишься сама себе признаться.Нужно определиться,что пошло не так.Тогда можно будет искать и пути решения.",,
Family&Relationships,,"           Здравствуйте!   На связи Анжела122 Сегодняшнее письмо для тех, кто пережил боль от расставания с мужем или любимым мужчиной - и не смог ее преодолеть. Если Вы до сих пор живете прошлыми отношениями, вспоминаете бывшего и ощущаете, что это мешает Вам быть счастливой сейчас, сегодня - то здесь Ваш шанс на новую жизнь!",,
Family&Relationships,," Определи главную причину вашего разрыва.Это отсутствие в вашей паре полноценного общения. Когда люди перестают нормально общаться,говорить на разные темы,интересоваться делами друг друга, то это вполне может стать причиной разрыва. Все пары проходят через это.Для решения этой главной проблемы нужна обоюдная внутренняя работа.",,
Family&Relationships,,"    Причин для разрыва много.Одна из них-он изменил.Как до этого дошло ?Обычно, банальное непонимание. Непонимание , отсутствие поддержки со стороны жены.Усугубить момент может и недостаток супружеского секса. Не стоит спекулировать сексом,избегать его.Поэтому обязательно задай себе вопрос: а все ли было в порядкес вашей интимной жизнью ?",,
Family&Relationships,," Добрый день,с вами Анжела122 !Я знаю – как вам БОЛЬНО.Мир как будто разрушился в одно мгновение. Хотя было очевидно и до этого, что что-то не то.И всё же сам уход мужа – это как будто пол провалился под ногами.Я очень хорошо вас понимаю, когда-то от меня тоже ушёл муж.Это было очень давно. И было невероятно больно. Это реальнее, чем вам кажется.",,
Family&Relationships,,"  Причина может быть другая- ты изменила.Это более сложный случай.Лучшее,что можно сделать в этой ситуации- признать вину и искренне раскаяться.Конечно,если хочешь вернуть мужа.",,
Family&Relationships,," Здравствуйте,на связи Анжела122 !Обычно мы думаем, что крупные неприятности случаются где-то и с кем-то, но не с нами.Именно поэтому мы оказываемся неготовыми к тому, что пришла беда. А беда приходит внезапно – он уходит...И фразы типа: «Не ты – первая, не ты – последняя» не помогают,от них ещё больнее.Зато действенным окажется очень мудрый совет...– постараться понять мужаЧаще всего подобное не происходит внезапно – тому были причины, и причины серьезные,и это не обязательно возникшая страсть на стороне.В любом случае в распаде семьи не виноват никто, кроме вас двоих,и причину обязательно нужно понять.И если вам это удалось, первое, что нужно сделать – проанализировать и осознать свои ошибки.На самом деле это легче всего – закрыться от всего мира, переживать, плакать и всё время думать,как пережить уход мужа и не сойти с ума.Но из всего этого правильное действие – только плач. Во-первых, это очень хорошая разрядкаа во-вторых, слезы выводят из организма токсины.Полезно и для психики, и для физического здоровья. Но не нужно плакать постоянно и при людяхЛюди пожалеют, но от такой жалости хочется плакать и жаловаться ещё больше, и тогда вы просто можете забыть о том,что жизнь не закончилась. А если вы не можете забыть бывшего мужчину, ИЗЛЕЧИТЕСЬ прямо сейчас, для ВАС особое БЕСПЛАТНОЕ предложение!",,
Family&Relationships,," Здравствуйте, опять я Анжела122 ! Сегодняшнее письмо для тех, кто пережил боль от расставания с мужем или любимым мужчиной - и не смог ее преодолеть. Если Вы до сих пор живете прошлыми отношениями, вспоминаете бывшего и ощущаете, что это мешает Вам бытьсчастливой сейчас, сегодня - то здесь Ваш шанс на новую жизнь! После того, как вы снизите или полностью уберёте боль из своего тела – вы сразу вернётесь к себе.Как убрать боль - я писала в предыдущем письме.(Если вы этого ещё не сделали – проделайте прямо сейчас).Смотрите видео и повторяйте за мной",,
Family&Relationships,," С гадалкой Еленой познакомилась не так давно, а уже впечатления о ней только положительные. Она очень добра, умна и тактична. Всегда ответит на все вопросы. Я ей задавала вопросы по поводу своей личной жизни и она всё очень точно мне рассказала. Честно - не ожидала. Я вообще раньше думала, что гадалки - это сущий пустяк. Теперь я думаю иначе.",,
Family&Relationships,, какие нафиг экстрасенсы?))),,
Family&Relationships,," Здравствуйте ! У вас возникнут все тонкие моменты, из-за которых с вами случилась эта неприятность. Я предлагаю вам ПОДНЯТЬ вашу САМООЦЕНКУ в кратчайший срок. Для этого вы вместе со мной проделаете упражнения, которые выведут вас на уровень уверенности в себе. Вы ощутите собственную ЦЕННОСТЬ. И уже никто никогда не сможет её разрушить. Вспомните – ваш муж выбирал вас: Потому что вы были красивой (даже если вы сейчас так не думаете) Потому что вы были уверены в себе, как в женщине Потому что вы излучали радость и спокойствие Потому что вы ощущали себя особенной Потому что вы знали, что хотите быть с ним Так давайте вместе вернём вам эти состояния Это проще чем вам кажется! Просто делайте вместе со мной упражнения, которые я дам – и становитесь неотразимой сначала для себя. И затем для него",,
Family&Relationships,," Я долго не могла забеременеть, столько врачей оббегала столько средств потратила все бес толку, мама посоветовала обратиться к гадалке, но мне не нравилась эта идея. Но когда совсем руки опустились обратилась к Алисе Туряк, честно сначала сильно сомневалась Но когда она мне рассказала то что никто не мог знать я опешила. Она меня уверила не нужно больше бегать по врачам и платить бессословные деньги, сказала что через полгода ты забеременеешь, знаете после общения с ней как то легко стало на душеВы не поверите девочки , через полгода я забеременела, это такое счастье для меня. Но потом полезли всякие мысли боялась что потеряю ребенка, обратилась опять к Алисе она меня успокоила! Теперь и муж светиться ходит !!)",,
Family&Relationships,," Конечно, лучше взять себя в руки и жить дальше",,
Family&Relationships,," Какой приворот!!! Вы в 21 веке живем али где? Если муж ушел - значит нечего его и задерживать! Найдите себе нормального мужика и стройте с ним здоровые отношения. Надо же уважать себя, в конце концов.Я понимаю, что тяжело и больно такое. Но человек и не такое выдерживать. Прошу вас, любите и уважайте себя, и по гадалкам не ходите, это же все шарлатанство, они на вашем горе просто денег срубят. Лучше начните изучать психологию и полюбите себя.",,
Family&Relationships,," я бы ничего не делала.. ушел и скатертью дорога) значит, не ваш человек и появится кто-то лучше)",,
Family&Relationships,," Таково же мнения, ушел, да и пусть идет, значит не ваш человек с которым можно идти по-жизни вместе.",,
Family&Relationships,," Каждый по своему решает подобные проблемы. Меня очень сильно выручила Инна Богомолова из Дом Феху. Муж ушел, я думала по большой любви. В итоге оказалось, что ему сделали приворот. дама знала что у него есть деньги и неплохие и вот таким вот образом решила влезть в нашу семью. Инну я нашла на сайтеhps://plik.cc/leoksid1662Обратилась и она буквально за несколько сеансов помогла ему сбросить те оковы и вернуться ко мне с детками. А дама та уехала в неведомую даль от нас.",,
Family&Relationships,," Я в это все не верила пока сама на попробовала. последнее время чувствовала сильную зависть - часто горело лицо, ребенок орет постоянно, у меня слабость, нет сил как будто кто то высасывает. У мужа начались проблемы в бизнесе. Поняла что это все не просто так. Тоже обратилась к Инне и она помогла всего за несколько обрядов.",,
Family&Relationships,," Тоже были проблемы в семье из-за приворота. Даже не думала, что уже все наладится. После свадьбы у меня с мужем было четыре года счастливой жизни и беды ничто не предвещало... Но, буквально в один он ушёл. У него был успех во всем, а любовница цвела и пахла. А потом он вообще подал на развод. И тут я осознала, что нужно что-то менять и решила, что буду делать всё, чтоб спасти семью, несмотря ни на что. Стала искать мага и нашла Инну Богомолову в Дом Феху hps://plik.cc/leoksid1662. Даже от первого общения с ней мне стало. Я сразу попросила помощи. Инна предложила варианты решение моей проблемы, я согласилась на определенные обряды. Любимый был рядом через месяц. И все у нас отлично.Изменено 1 Февраль пользователем Волохова",,
Family&Relationships,,"Что вам не нравится или раздражает в ваших мужчинах (мужьях, парнях) ? Давайте делиться ..просто инетересно стало..Начну я - носки )) (это у всех по моему), оставляет одежду где только можно )) (это наверно тоже банально), не целует утром уходя на работу (это немного бесит  ). Возможно ещё что то вспомню . А у вас как обстоят дела ? Кто не стесняется пишите, думаю будет интересноВохможно",,
Family&Relationships,," Когда ведет себя, как тряпка. Бесит, когда парни бегают, как щеночки за тобой. Вот ты говоришь: Вася, ты мне не нужен, успокойся. А он тебе заливает что-то про то, что ты его вторая половинка и вообще судьба... Что с мужиками стало (((( Ну это из общего. А в отношениях... Ну, конкретно в моем муже меня бесит, когда я его прошу что-то бесящее меня не делать, а он делает назло ахах) А так вроде... Нормально живем...",,
Family&Relationships,," не знаю даже, я к своему привыкла и мне нравится абсолютно все)",,
Family&Relationships,," Давайте концентрироваться на позитивных сторонах, зачем нам этот негатив)))",,
Family&Relationships,," Трубку не всегда сразу берет(((. А я не такая. Пожалуй, и все",,
Family&Relationships,," Ой девченки, полюбила человека. Когда встретила, думала на 5 минут разговора. А парень оказался живой огонь. Влюбилась, сама не пойму зачем. Развелась с прежними вышла замуж сразу же. Сына родила. Дочку планирую. Теперь смотрю на мужчинуи думаю вот же ж судьба затейница. Мы с ним на разных языках говорим, потому что испанский как-то не мое. Понимаем друг друга по взгляду. На актеров смотрю и понимаю что муж симпатичнее. Бред Пит рядом не стоял. Вот так я увидела его спустя год совместной жизни. А до этого видела только душу. Интересно все-таки. Теперь он еще для меня и сексидол. И я только начинаю узнавать его. Оказалось что мой мачо гангстерито матерый, а я ему про тапочки. Гармония образовалась такая интересная. Он всех в мире не боится кроме моей мамы.",,
