topic,text,times,users,quote
Job,"Деканат издал приказ что студенты должны быть на мероприятии. Будет ректор, декан, всех студентов отмечать. Написала подруге чтобы подменить на 2 часа. На что она мне отказала и сказала что если я её ещё раз попрошу, то пойдет к начальству и будет говорить что ей такие приколы не нравятся и будет просить моего увольнения и чтобы искали нового ассистента. Я её первый раз попросила подменить. Потом другая ситуация: клиника закрывалась и я не оставила инструменты после приёмов в боксе, чтобы на следующий день обработали. Так делать можно. На слебкщиц день она мне написала что я оставила 4 лотка стоматологический + 3 лотка с утра было = 7 не стеснительных лотков. Начала мне говорить что она повоет к начальству и будет жаловаться чтобы меня уволили и чтобы искали другого ассистента. Дело в том, что я до этого работала со старшей медсестрой целый год и таких проблем не было. А сейчас она мне второй раз угрожает моим увольнением. Как думаете она мне подруга после этого? Думаю можно было бы нормально поговорить чтобы больше такого не повторялось. И стоит ли идти жаловаться к начальству? Или я только хуже себе сделаю?"," Сегодня, 18:07 ", Оксана ,"Угу, всё понятно изложено.А какой вопрос?"
Job,"К начальству нужно идти. Объяснить, что обязательно нужно на 2 часа отлучится. Какой начальство найдёт выход?С подругой я бы не стала больше дружить, просто общалась бы по работе. А вы - как хотите, если считаете нужным - не дружите."," Сегодня, 18:08 ", Золотая Рыбка ,"Деканат издал приказ что студенты должны быть на мероприятии. Будет ректор, декан, всех студентов отмечать. Написала подруге чтобы подменить на 2 часа. На что она мне отказала и сказала что если я её ещё раз попрошу, то пойдет к начальству и будет говорить что ей такие приколы не нравятся и будет просить моего увольнения и чтобы искали нового ассистента. Я её первый раз попросила подменить. Потом другая ситуация: клиника закрывалась и я не оставила инструменты после приёмов в боксе, чтобы на следующий день обработали. Так делать можно. На слебкщиц день она мне написала что я оставила 4 лотка стоматологический + 3 лотка с утра было = 7 не стеснительных лотков. Начала мне говорить что она повоет к начальству и будет жаловаться чтобы меня уволили и чтобы искали другого ассистента. Дело в том, что я до этого работала со старшей медсестрой целый год и таких проблем не было. А сейчас она мне второй раз угрожает моим увольнением. Как думаете она мне подруга после этого? Думаю можно было бы нормально поговорить чтобы больше такого не повторялось. И стоит ли идти жаловаться к начальству? Или я только хуже себе сделаю?"
Job,"Здравствуйте!) Хочу попросить советов. Кратко постараюсь описать суть сложившейся ситуации. Мой мч больше года работал в одном месте, его практически всё устраивало, коллектив, рабочие обязанности, и пр. В прошлом году, он часто хотел уволиться, в этом чуть реже, тк его работа заключается в общении с людьми, и он сильно уставал/устаёт. Пару месяцев назад, я осела дома, потом устроилась к нему. Разное происходило, и ссорились, и нет. Но дело в том, что он официально в скором времени покидает нынешнее место работы, с его слов ""просто перегорел, надоело работать в этом конкретном месте"", пару месяцев назад, из коллектива также ушли пару других человек, с которыми он дружил, с одним общаться перестал, с другим всё ок, ощущение, будто ему тут теперь делать нечего, если раньше он отвлекался на них, то теперь позитива поубавилось.. Когда я устраивалась, мы были на одинаковых должностях, но в скором времени после моего трудоустройства, его повысили, прошло почти 2 месяца с его назначения на новую должность, и он ""созрел"" уходить, что тогда как его повысили, что сейчас, у меня в голове сплошной кавардак, не могу свыкнуться с мыслью, что он уходит, и ""бросает"" меня в этом коллективе, половина из которого сменилась не так давно... Всё меняется слишком быстро, голова кругом, в коллективе все в шоке, что он уходит, просят остаться, ну конечно, он очень хороший работник, таких ребят мало, кто действительно занимается делом, а не ждёт до конца смены, делая вид, что чем-то занят."," Сегодня, 16:31 ", Аксинья ,
Job,он увольняется по своим причинамвам то что мешает работать?отчего голова кругом?," Сегодня, 17:03 ", Захария ,
Job,А в чем проблема то?," Сегодня, 17:14 ", Гость ,
Job,"Как хорошо, когда мало работаешь, а денег на всё хватаетСейчас я работаю 1-3 часа в день с перерывами (в основном - продаю товары на авито и Подарочные наборы Myhappybox93), поэтому моя задача в остальное время - развлекать себя😺И ещё в прошлом году услышала, что человек всегда получит определённую сумму в месяц, даже, если совсем не будет работать. У меня такая сумма есть, не знаю, на всех это ""правило"" распространяется или нет, напишите в коммент👇🏻Я могу вообще ничего не делать, заказы сами будут идти, а также могу что-то сделать, чтобы увеличить доход. Всё просто) #деньги #работа #финансы #бизнес"," Сегодня, 14:03 ", Marysenina ,
Job,У меня тоже так.," Сегодня, 14:23 ", Вау🐈 ,
Job,"Я вообще не работаю уже 17 лет,денег на всё хватает с лихвой."," Сегодня, 14:32 ", НоЫВоигура ,
Job,И я тоже).," Сегодня, 14:39 ", Гость ,"Я вообще не работаю уже 17 лет,денег на всё хватает с лихвой."
Job,"Всё правильно пишите. Только те, кто работает 5 дневку, не поймут о чем речь. Ну и еще детей нет у вас, и у тех, кому на всё хватает. Естественно, что одной много не надо, на всё хватит"," Сегодня, 15:44 ", Гость ,
Job,"Устроилась на работу: в первый месяц отработала 163ч, во второй 216ч. Сейчас смотрю свой график на этот месяц, а у меня уже 266 часов стоит суммарно. Начальство такого мнения, мол, чем больше отработаешь, тем больше денег получишь, очевидно. Но... Как бы сказать... .................. Так-то мера должна быть какая-то, нет?.. Так можно и вообще жить на работе без выходных, но, по-моему, это незаконно. У меня в этом месяце выходит так, что стоит то один выходной в неделю, то два (график 3/1). Устроена официально и по документам у меня вообще указано, что график 5/2 по 8 часов, т.е. значительно меньше, да и вообще по стандарту. Думаю, что так и слечь можно, учитывая, что в этот единственный выходной нужно ещё делами по дому заниматься практически весь день, а мотивации какой-то дополнительной нет: ну взяла смен больше, ну и з/п за них такая же. #графикработы"," Сегодня, 13:15 ", Автор ,
Job,"Работай, тебе же никто не принесет на блюдечке."," Сегодня, 13:18 ", Гость ,
Job,Кого?..," Сегодня, 13:18 ", Автор ,"Работай, тебе же никто не принесет на блюдечке."
Job,ужас... может обговорить с начальством?," Сегодня, 13:20 ", Гость ,
Job,"8/5, будни, но вот сейчас праздники, а значит, на этой неделе 8/4, на следующей будет 8/3."," Сегодня, 13:26 ", Гость ,
Job,"Кто она такая, пусть радуется малому, таки как она миллионы без работы ходят."," Сегодня, 13:29 ", Гость ,ужас... может обговорить с начальством?
Job,"Девочки хотела поговорить вот о чем. В свое время пыталась устроится на работу ,никуда не брали меня. Опыт работы был,выглядела хорошо. Но никуда, вёз отказ . Сейчас есть работа , и вот что вижу приходят на собеседования,секретари менеджеры. В джинсах ,без макияжа,просто пришла и взяли. И ч не понимаю в чем дело. Почему так. Как работодатели оценивают кандидатов. Кто сталкивался с подобным Даже 23 года пришла взяли личным помощником ,вторая пришла 26 лет взяли менеджером по подбору персонала ,в крупную фирму. Откуда опыт. У меня был и не брали"," Сегодня, 09:56 ", Автор ,
Job,"откуда ты знаешь, взяли или нет?"," Сегодня, 10:02 ", Гость ,
Job,А что не так с джинсами и отсутствием макияжа?," Сегодня, 10:03 ", Гость ,
Job,"По ним видно что они на работу приходят, а не ради своих целей. Туда куда вы устраиваетесь видимо дресс код и макияж не приветствуется."," Сегодня, 10:04 ", Last Memory ,
Job,"Немного подрабатывала у подруги. Я отказы писала на вакансии. И задания давала. Так они всем давали 3 сложных задания. Среди них сразу кучу людей отсеивали, кто плозо написал. Потом отсеивали тех, кто средне написал. В итоге появлялось несколько более успешных. И там уже начинали их резюме мониторить и решать. Потом ещё два собеседования. И в конце они взяли на работу свою знакомую. Они полгода на это потратили, в итоге взяли знакомую, которая через пару месяцев уволилась. И все по новой"," Сегодня, 10:07 ", Гость ,
Job,"Кто может подсказать? Предстоит свадьба, на работе сказали, что по закону за свой счёт даётся 5 дней. Я бы хотела воспользоваться этими днями и плюсом сразу взять отпуск ежегодный оплачиваемый 14 дней. То есть в общем получается 19 дней. Возможно ли так? Просто задав этот вопрос человеку, который этим занимается на работе, он ответил, что «надо посмотреть и т.д.». То есть либо мы не поняли друг друга, либо нельзя так делать. #свадьба #отпуск"," Сегодня, 09:40 ", Автор ,
Job,Либо не оттягивать с разговором и ещё раз нормально обсудить чтобы не было никаких либо))," Сегодня, 09:53 ", Last Memory ,
Job,"По какому закону?За свой счет ты, по идее, сколько угодно можешь взятьЕстественно, с согласования руководителяА про 5 дней по закону, не слышала даже"," Сегодня, 09:55 ", HaVa ,
Job,"у меня на работе коллега взял отпуск 1 месяц за свой счет, да были сложности, он долго договаривался, но смог. Справедливости ради, это было в 2014году"," Сегодня, 09:57 ", Гость ,
Job,По согласованию с работодателем.... И никак! Разве что отпуск есть в плане.," Сегодня, 10:14 ", Василий ,
Job,"Здравствуйте! Я недавно переехала на Кипр и ищу работу. предложили горничной в отель ( отель нормальный , не шарашкина контора, престижный ) мне 19 лет , сил много , думаю попробовать .Кто работал, какого это ? Действительно ли это бешеная нагрузка и стоит ли вообще?"," Вчера, 23:49 ", Автор ,
Job,Идите и пашите. Куда вам деваться....," Сегодня, 10:15 ", Василий ,
Job,"Кем работать, если я интроверт и гуманитарий? Память не очень, режим многозадачности ненавижу, быстрая утомляемость. Люблю тишину, ну или по крайней мере - отсутствие шума."," Вчера, 21:40 ", Марина ,
Job,Продавцом в магнит косметике," Вчера, 22:02 ", Гость ,
Job,В охране," Вчера, 22:37 ", Гость ,
Job,Библиотекарем," Вчера, 23:26 ", Гость ,
Job,"Врёт! не представляет, что такое интроверт, и что гуманитариев нет, все люди равны... Работать не хочет."," Сегодня, 10:16 ", Василий ,
Job,"Девчонки кто занимается маршмеллоу или пряниками на продажу, много ли заказов, хороший ли доход? Сижу в декрете хочу подрабатывать и увидела мк с маршмеллоу, и не знаю реально хороший заработок как обещают или же обманывают лишь бы продать свой мк. Если можете поделитесь своими способами подработки."," Вчера, 21:18 ", Автор ,
Job,Никто это не покупает.," Вчера, 21:48 ", Гость ,
Job,"Очень много времени понадобится, чтобы обзавестись покупателями. будьте готовы сейчас выложить энную сумму за мк, за продукты, потратить время, но доход начать получать очень нескоро. Большинство на этом так и не могут заработать."," Вчера, 22:01 ", Гость ,
Job,"Устроилась в рекламное агенство. Я дизайнер. Работаю в разных граф. программах. Условие было: создавать дизайн от легкого до сложного. И чуть помогать на производстве. А это: печать футболок, отливка печатей, резка наклеек УФ печатей, запекать кружки. Основная дизайн. И так проработав пол года. Мне буквально вынесли мозг. Отвечать на звонки консультация клиентов, общение по продукции и просчет по заказу. Отливка печатей вонючим гелем на обычные стекла, так что я несколько раз резалась, когда разделяла их при запекании. Резка на гильотине наклеек, брошюр. Резка на плоттере. Потом появился еще один сотрудник, который заставлял номеровать заказы, потом эти номера заносить в таблицу, потом писать в журнал и еще в конце дня отчитаться что я делала и сколько времени ушло, был ли брак. Печать бейджиков, магнитов. И всякой....И нужно успевать делать дизайн-креативный! Быстро! Срочно! И за это мне повысили зп до 1650р. И вот на днях я косякнула и ошиблась в размере с заказом и на меня наорали. И здесь я все высказала, что я пришла работать дизайнером, а не черно рабочим. На это ИП, что мол вон работают же в другом отделе. Жду зп, работать там не хочу. При запекании всякой...я стала кашлять, постоянно думала, что простыла. Как ушла оттуда кашель прошел, сразу! Вопрос, вы так смогли бы работать или для вас это пустяки такая нагрузка? Как бы выстроили рабочие отношения, понимаю я неправильно повела себя, когда делала все!!!"," Вчера, 20:16 ", лена ,
Job,"если вы квалифицированный специалист то вы не должны работать параллельно на подхвате, этим престиж профессии снижаетсячто мы и видим, отношение совсем другое"," Вчера, 20:43 ", Гость ,
Job,"и если б мне, юристу, предложили параллельно работать за секретаря допустим - письма набирать, или еще что-то такое, я бы в пень послала, хоть мне в целом и нетрудно"," Вчера, 20:44 ", Гость ,
Job,Надо было сжечь эту типографию.," Вчера, 20:57 ", Гость ,
Job,"Вы в Беларуссии живете? Не поняла, какая у вас зарплата. 1650 рублей в день?"," Вчера, 22:45 ", Гость ,
Job,живу в России. 1650 руб это деньщина. До этого 1500р. Подняли. на 150р. И работы прибавили," Сегодня, 08:45 ", лена ,"Вы в Беларуссии живете? Не поняла, какая у вас зарплата. 1650 рублей в день?"
Job,"Всем привет не думал что буду спрашивать на форуме но столкнулся с такой проблемой не знаю что делать в жизни вернулся с армии куда идти работать в мыслях МЧС, подписать контракт,Полиция, строительство или на кораболь уйти работать в навигацию в армии в строй бате был, папа мент брат мчсник дядя строительством занимается близкий друг матрос но как то все не по душе зп 55-80, на корабле 300-500 за 4 месяца за навигацию каждый тянет к себе дайте совет у кого была такая же проблема 20 лет устроился водителем экспедитором на время, появился страх что останусь на таких работах или еще хуже в такси окажусь в 22 года,только те кто в 40 лет на диване вас прошу не советовать спасибо за понимание!"," Вчера, 19:24 ", Слава ,
Job,"........,,,,,,,, - держите знаки препинания, у вас их явно не хватает в тексте, из-за этого он звучит неразборчиво.В плане профессии попробуйте пройти всякие тестирования, так вы лучше поймёте, чем заняться."," Вчера, 19:42 ", Гость ,
Job,"Выбирайте работу по душе. Везде надо работать, надо чтобы дело приносило удовольствие. Тогда и карьеру в профессии спокойно сделаете."," Вчера, 19:44 ", Яяя ,
Job,55-80 у начинающих полицейских без звания это где? в столице?," Вчера, 19:44 ", Гость ,
Job,"Не понимаю, у семьи есть деньги или нет? Если есть сначала образование получите, если нет хоть заочно отучитесь, вы же молоды совсем. Хлеб водителя тяжек даже если у вас свой автопарк, вам лучше в офисе работать или управленцем быть или спецом."," Вчера, 19:46 ", Гость ,
Job,Вот здесь женщина посоветовала конкретные тесты в комментарияхhttps://www.woman.ru/kids/nursery/thread/5819189/," Вчера, 19:46 ", Гость ,"........,,,,,,,, - держите знаки препинания, у вас их явно не хватает в тексте, из-за этого он звучит неразборчиво.В плане профессии попробуйте пройти всякие тестирования, так вы лучше поймёте, чем заняться."
Job,Во Сколько Лет вы Стали Зарабатывать?," Вчера, 17:59 ", Гость ,
Job,"в 14, купил себе свои первые кроссовки, джинсы и телефон.А нищие тетки пусть и дальше ноют тут."," Вчера, 18:05 ", Нищий и жадный ,
Job,В 16," Вчера, 18:06 ", Гость ,
Job,Во Сколько Лет вы Стали Зарабатывать?," Вчера, 18:06 ", Гость ,
Job,Вам То Шоо Тетки И Тетки," Вчера, 18:09 ", Гость ,"в 14, купил себе свои первые кроссовки, джинсы и телефон.А нищие тетки пусть и дальше ноют тут."
Job,С 4го класса.," Вчера, 18:09 ", Гость ,
Job,Есть тут кто работал или работает сборщиком заказов в озон фреш? имеется ввиду даркстор быстрой доставки продуктов. Как там работа и стоит ли туда идти?," Вчера, 14:44 ", Автор ,
Job,Отзывы поискать не можте? В основном плохие.," Вчера, 18:08 ", Гость ,
Job,"Именно о дарксторах почти нет отзывов,только о складах где посылки собирают."," Вчера, 18:31 ", Гость ,Отзывы поискать не можте? В основном плохие.
Job,"Ищу удалённую работу, без опыта, без продаж, без звонков. Где такую найти? Смотрю везде или опыт нужен, или что-то реально уметь (создавать сайты, програмироват и т.п.), или кандидатов много, типо смотришь вакансию на hh (очень много откликов), или развод какой-нибудь очередной"," Вчера, 14:00 ", Просто человек ,
Job,"ну дык если ничего не умеешь, то толока"," Вчера, 14:17 ", Гость ,
Job,Нигде," Вчера, 14:19 ", Гость ,
Job,"ты никчемная лентяйка, таких как ты и втягивают в афёрытак что советов для тебя не существует"," Вчера, 14:24 ", Гость ,
Job,"Вы странный) Куда же возьмут, если ничего не умеешь?) нужно учиться, получать профессию, которая позволит работать удаленно."," Вчера, 14:26 ", Нина ,
Job,"Я не автор, это все понятно, но если полученная специальность не позволяет работать удаленно? Или же на это нужны деньги на рекламу, рекламную страницу, это все дорого а бещ работы и денег нет, ваш совет мы и без вас знаем про профессию, и если возраст 30 ну куда ты скйчас пойдешь учиться, и тем более чтобы быть хорошим специалистом учиться желательно ОЧНО, что с возрастом нереально.....Автор может имеет в виду удаленно что то банально несложное, например печатать текстыИли озвучка текстов, для это супер профессия не нужна.. Не имеется в виду что ничего прям не умеешь, что то да умеет она, печатать, выкладывать посты в соц.сети, еще какие нибудь тексты обрабатыватьНу с возрастом какая учеба, вы о чемВаш совет такой тупой и банальный"," Вчера, 14:34 ", Гость ,"Вы странный) Куда же возьмут, если ничего не умеешь?) нужно учиться, получать профессию, которая позволит работать удаленно."
Job,"Меня это просто выводит я почти все время на связи ,работа такая от части . Был звонок в 11 ночи взяла!! Никто не взял трубку больше другие. Сказала клиентам выходной ,ещё какие то претензии что я послал а ты не читаешь!! Я слишком вежливая??? Или мне хамить клиенту??? Меня бесит я не расслабляться и так думаю о работе после работы или после звонка пол дня .извините семьи нет детей нет и что ??? Я имею права на личные дела .один раз у меня от стресса и звонка прекратились критические дни !!! Это кошмар .я не скажу что я ответственная я просто не хочу ругани. ..."," Вчера, 13:37 ", Автор ,
Job,"непонятно кем работаешь, одно дело руководство звонит а другой какие-то клиентыа что, один раз сказать ""звоните в рабочее время"" не судьба?и почему вы им раздаете свой личный номер? пусть звонят на рабочий который в нерабочее время отключен или даже лежит на работе"," Вчера, 13:55 ", Гость ,
Job,Просто выключай рабочий телефон на выходные ...," Вчера, 13:56 ", Роман ,
Job,"если в правилах вашей конторы общение с клиентами 24/7, то что вас возмущает...а если вы сами устанавливаете правила, то можете не отвечать..вы же не экстренные службы какие то..."," Вчера, 14:01 ", Захария ,
Job,"Смотря какая у вас работа. Я когда глаза лечила, мне врач сказал, что на связи круглые сутки. Вдруг что случится - сразу звонить. Если вам звонят клиенты, так просто на впшем же сайте или сразу как даете номер, указывайте, что звонки только в рабочее время"," Вчера, 14:04 ", Гость ,
Job,Согласна от части .," Вчера, 14:05 ", Гость ,"если в правилах вашей конторы общение с клиентами 24/7, то что вас возмущает...а если вы сами устанавливаете правила, то можете не отвечать..вы же не экстренные службы какие то..."
Job,"Несколько лет назад по глупости, учась заочно, устроились на работу в пятерочку. Терпела эту колею рабочих будней. Выгорела, устала, лечила ногу ( наступать не могла на нее). Потом в семье умер папа. Сидела год дома. После этого устроилась в магазин стройматериалов. Практически через год меня потянуло обратно в пятерочку , тк вроде и хвалили и зарплата выросла там. Ну я и вернулась…но уже в другую, не в ту , где я работала. Коллектив тут Боже упаси и сохрани… пришла в ту смену одна швабра, которая меня начала гнобить за мою работу и подставлять (мы на одном отделе). Я поняла, что в другие отделы не хочу, я в принципе не хочу оставаться в этом гадюшнике. Я даже боюсь директрисы и не знаю как сообщить об увольнении. Может быть, это я боюсь перемен. Но я уже миллион раз пожалела , что вернулась туда. Не работа, а рабство. #работа"," 30 апреля, 19:22 ", Автор ,
