users,topic,times,quote,text
baroni,Books&Literature, 25 апреля 2010 г. 16:45   [нажмите здесь чтобы увидеть текст поста],,"Вчера вечером открыла книгу Александра Гениса ""Частный случай"" — закрыла только в три сорок. Глаза отказывались, а будь моя воля — читала бы и читала. Давно со мной такого не было. Его взгляд на любимых мною авторов позволил мне взглянуть на них ещё с большей любовью. ""Одному надо знать, как было, — другому хватает того, что есть"". Книга Александра Гениса и то и другое. Прочтите, понравится, не может не понравиться..."
baroni,Books&Literature, 25 апреля 2010 г. 19:01   [нажмите здесь чтобы увидеть текст поста],,"А. Твардовский ""Новомирский дневник. В 2-х книгах. (1961-1966; 1967-1970)"". (М.: ПрозаиК"")Подарено автором: А. Кудрявцев. ""3500. Книга кинорецензий"". В 2-х книгах. (А-М; Н-Я)."
Kiplas,Books&Literature, 26 апреля 2010 г. 01:23   [нажмите здесь чтобы увидеть текст поста],"Коллеги, напоминаю, данный топик  называется ""Другая литература: последние приобретения"".  Очень конкретное название! Все остальные вопросы (кто?, зачем? и почему?) и прочую лирику — строго в ""личку"".Флуд удаляю!Я предупреждал!","сообщение модератора Коллеги, напоминаю, данный топик  называется ""Другая литература: последние приобретения"".  Очень конкретное название! Все остальные вопросы (кто?, зачем? и почему?) и прочую лирику — строго в ""личку"".Флуд удаляю!Я предупреждал!"
Wind,Books&Literature, 26 апреля 2010 г. 13:54   [нажмите здесь чтобы увидеть текст поста],,"Посредством abebooks:RE/search #6/7 ""Industrial Culture Handbook"""
Sfumato,Books&Literature, 27 апреля 2010 г. 09:47   [нажмите здесь чтобы увидеть текст поста],,"Купила:Василенко Н.В. ""Северное возрождение"", М: ОЛМА Медиа Групп, 2009. — 128 с. из сер.""Художественные направления и стили""В альбоме представлены произведения великих художников Нидерландов, Германии и Франции: ван Эйк, Босх, Дюрер и др. Хороший альбом на мелованной бумаге.Григорий Горин ""Избранное"" (в красной суперобложке)Очень рада покупке."
Sfumato,Books&Literature, 28 апреля 2010 г. 00:08   [нажмите здесь чтобы увидеть текст поста],"Только вот на my-shop.ru ""Яблоко"" стоит 176р.","цитата olya_pТолько вот на my-shop.ru ""Яблоко"" стоит 176р.Во-во, разница-то какая.Я себе тоже заказал, но совсем в другом месте."
PetrOFF,Books&Literature, 28 апреля 2010 г. 00:10   [нажмите здесь чтобы увидеть текст поста],"""Маленький Друг"" (наконец-то!);","цитата PetrOFF""Маленький Друг"" (наконец-то!);А что, раньше сомнения были брать/не брать?"
Snowman,Books&Literature, 28 апреля 2010 г. 00:32   [нажмите здесь чтобы увидеть текст поста],"А что, раньше сомнения были брать/не брать?","цитата SfumatoА что, раньше сомнения были брать/не брать?Просто деньги руки не доходили.цитата olya_pна my-shop.ru ""Яблоко"" стоит 176р.цитата olya_pна лабиринте что-то цену загнули для книги в 208 страниц...Кошмар-р-р-р! Да и ещё 208 страниц. Я не знал. Ладно. На Фейбера не жалко."
PetrOFF,Books&Literature, 28 апреля 2010 г. 02:19   [нажмите здесь чтобы увидеть текст поста],,"Юлий Буркин,Константин Фадеев ""Осколеи неба или подлинная история Битлз"", брат из Москвы привез. Цена 230 руб."
perftoran,Books&Literature, 28 апреля 2010 г. 15:26   [нажмите здесь чтобы увидеть текст поста],,Забрал заказ.
VuDu,Books&Literature, 28 апреля 2010 г. 16:37   [нажмите здесь чтобы увидеть текст поста],,"С Озона:Эдгар Л. Доктороу ""Билли Батгейт""Сальвадор Дали ""Дневник одного гения"""
Vladimir Puziy,Books&Literature, 1 мая 2010 г. 00:12   [нажмите здесь чтобы увидеть текст поста],"Одна из немногих книг на русском, где есть представительная подборка работ Киттельсена","цитата Vladimir PuziyОдна из немногих книг на русском, где есть представительная подборка работ КиттельсенаВ таком количестве представленных репродукций, думаю, одна. Ходили слухи об отдельном альбоме художника, но так дальше слухов дело и не ушло."
Humphrey Bogart,Books&Literature, 1 мая 2010 г. 01:07   [нажмите здесь чтобы увидеть текст поста],"Ходили слухи об отдельном альбоме художника, но так дальше слухов дело и не ушло.","цитата VuDuХодили слухи об отдельном альбоме художника, но так дальше слухов дело и не ушло.Это жаль.Собственно, почему я написал ""одна из"". Я в Норвегии купил книжечку ""Тролль"", тоже на русском, но, конечно, это совсем не то, страниц не очень много. Вот качество бумаги там получше."
Vladimir Puziy,Books&Literature, 1 мая 2010 г. 02:52   [нажмите здесь чтобы увидеть текст поста],,Интересный ресурс с произведениями Киттельсена http://kittelsen.nnm.ru/ !!!
Snowman,Books&Literature, 1 мая 2010 г. 03:07   [нажмите здесь чтобы увидеть текст поста],Интересный ресурс с произведениями Киттельсена http://kittelsen.nnm.ru/ !!!,"цитата Humphrey BogartИнтересный ресурс с произведениями Киттельсена http://kittelsen.nnm.ru/ !!!О да, сканы они выкладывают потрясающие! Хотелось бы когда-нибудь увидеть подобные издания (текст + иллюстрации) на русском."
flinx,Books&Literature, 2 мая 2010 г. 02:50   [нажмите здесь чтобы увидеть текст поста],,World Cups  6том 30 грн.
soulo,Books&Literature, 2 мая 2010 г. 19:42   [нажмите здесь чтобы увидеть текст поста],,"Ли Чайлд — ВыстрелДжон Коннолли — Создания смерти, создания тьмы. главное сначала серию назвали миллениум. потом видимо подумали, что как то не хорошо получается — из-за Стига Ларссона, сделали мистериум. а обложки по сети и с мистериум и с миллениум ходят. "
Avex,Books&Literature, 6 мая 2010 г. 11:48   [нажмите здесь чтобы увидеть текст поста],"soulo, шутим? ","цитата Kiplassoulo, шутим? О! Вы, похоже, первый, кто это понял"
andreich,Books&Literature, 6 мая 2010 г. 12:31   [нажмите здесь чтобы увидеть текст поста],,"souloОпознана и серия, и подлинный автор (Ч. Павезе).скрытый текст (кликните по нему, чтобы увидеть)(не у всех графика включена, чтобы сразу это увидеть)"
VuDu,Books&Literature, 6 мая 2010 г. 12:38   [нажмите здесь чтобы увидеть текст поста],,Вот взял у букиниста практически даром сборник рассказов Гарина-Михайловского! Окунусь в русскую действительность конца 19 века
baroni,Books&Literature, 8 мая 2010 г. 23:43   [нажмите здесь чтобы увидеть текст поста],,"Перенёс свой пост в правильную тему :)Сегодняшний друглит и полудруглит (поместим и его сюда, дабы в двух топиках не отписывать):- Стивен Хокинг, Леонард Млодинов. Кратчайшая история времени *- Эдвард Уитмор. Синайский гобелен *- Кристофер Прист. Гламур *- Кристоф Рансмайр. Ужасы льдов и мрака *- Леонид Бежин. Мох *- Дж. М. Кутзее. В сердце страны *- Алан Черчесов. Вилла Бель-Летра * (посмотрим, чем так восхищается Н.Александров и А.Немзер)"
Senna,Books&Literature, 9 мая 2010 г. 03:09   [нажмите здесь чтобы увидеть текст поста],"Алан Черчесов. Вилла Бель-Летра * (посмотрим, чем так восхищается Н.Александров и А.Немзер)","цитата VuDuАлан Черчесов. Вилла Бель-Летра * (посмотрим, чем так восхищается Н.Александров и А.Немзер)По-моему, нечем особо, там восхищаться....Своеобразный литературный снобизм, так мне кажется."
Veronika,Books&Literature, 10 мая 2010 г. 14:02   [нажмите здесь чтобы увидеть текст поста],,"Сегодня купил ""История мировой музыки: Жанры. Стили. Направления"" — http://www.ozon.ru/context/detail/id/5086..."
KERDAN,Books&Literature, 17 мая 2010 г. 23:56   [нажмите здесь чтобы увидеть текст поста],,"/осторожно оглядываясь, нет ли где sibkron/Поход в букинистику закончился так:Жозе Мария де Эредиа, ""Трофеи"" (ЛП, но мягкая обложка, но супер есть, 1973) http://www.ozon.ru/context/detail/id/1226...Грэм Грин ""Суть дела"",  http://www.ozon.ru/context/detail/id/3659...Вальтер Скотт, ""Карл Смелый или Анна Гейерштейнская, дева Мрака"" http://www.ozon.ru/context/detail/id/3602... (этот роман даже в знаменитый 20-томник почему-то не включали)Машаду де Ассиз, ""Дон Касмурро"", http://www.ozon.ru/context/detail/id/4045...За всё -27грн(примерно 105руб).Из инет-магазинчика забралаИгорь Богин ""Бог. Вселенная. Смысл"" http://www.ozon.ru/context/detail/id/1075... 34грн, (130руб)."
dio,Books&Literature, 18 мая 2010 г. 01:05   [нажмите здесь чтобы увидеть текст поста],"Советую в издательстве покупать, дешевле выйдет. ","цитата SfumatoСоветую в издательстве покупать, дешевле выйдет. ПОМОГИТЕ КУПИТЬ!!!!Очень давно хочу эту книгу, а оказии приобрести в Донецке не предвидеться. Помогите купить в издательстве в Москве"
Senna,Books&Literature, 18 мая 2010 г. 23:39   [нажмите здесь чтобы увидеть текст поста],,"Безденежное приобретение: ""Русский архив"", книга вторая 1900 г. издания и Новицкий В.Д.(бывший начальник Киевского жандармского управления кон.19 в.) ""Из воспоминаний жандарма"" МГУ, 1991 г."
Sfumato,Books&Literature, 19 мая 2010 г. 17:38   [нажмите здесь чтобы увидеть текст поста],"Советую в издательстве покупать, дешевле выйдет. ","цитата SfumatoСоветую в издательстве покупать, дешевле выйдет. Попробовал — не получилось. Ценник вменяемый, но для почтового отправления требуется купить книг на 2500 рублей, минимум. В шоке..."
ФАНТОМ,Books&Literature, 19 мая 2010 г. 18:03   [нажмите здесь чтобы увидеть текст поста],"на 2500 рублей, минимум.","цитата Sennaна 2500 рублей, минимум.Раньше было на 2000 вроде... А еще раньше и одну могли отправить.Значит, только лично у директора издательства в Москве."
Frigorifico,Books&Literature, 19 мая 2010 г. 18:06   [нажмите здесь чтобы увидеть текст поста],"Владимир Сорокин. Собрание сочинений в 3 томах (АдМаргинем, 2002 г.). — 425 р.","цитата PetrOFFВладимир Сорокин. Собрание сочинений в 3 томах (АдМаргинем, 2002 г.). — 425 р. Неужто берут?( за такие деньги..... караул...)"
Frigorifico,Books&Literature, 22 мая 2010 г. 14:37   [нажмите здесь чтобы увидеть текст поста],270 рублей получилось.,цитата KERDAN270 рублей получилось.За такую цену я бы взял не раздумывая.
Jamayka,Books&Literature, 22 мая 2010 г. 14:45   [нажмите здесь чтобы увидеть текст поста],,"Сегодня прикупил:Сомерсет Моэм. ""Записные книжки"" — 210 р. Открыл в нескольких местах наугад — прекрасно. Цитата:""Канализация. Как подумаешь, до чего равнодушны американцы к качеству приготовления пищи и самих продуктов, которыми они насыщаются, поневоле поразишься тому, сколько внимания они уделяют механизмам, предназначенным для выведения пищи из организма"".И это написал писатель, умерший в 1965-ом году! Представляю, что бы он сказал сейчас, когда искусство изготовления консервантов и геномодифицированных продуктов шагнуло далеко вперед"
KERDAN,Books&Literature, 23 мая 2010 г. 11:30   [нажмите здесь чтобы увидеть текст поста],,"последнее мое приобретение это Устинова ""Всегда говори всегда""- правда мама потом напомнила то это сериал такой к которуму Устинова сценарий писала. видать решила подзаработать."
perftoran,Books&Literature, 23 мая 2010 г. 19:03   [нажмите здесь чтобы увидеть текст поста],,"СЕГОДНЯ БЫЛ ВОСХИТИТЕЛЬНЫЙ НА РЕДКОСТИ УЛОВ:Г.Чулков Валтасарово царство — Республика 1998г (состояние-новая)Ф.Ф. Торнау Вопоминания кавказского офицера — АИРО ХІІ- 2008 год*Загадка доктора Хауса человека и сериала — Питер- 2010- *Карлос Руисс Зафон Тень ветра — Росмэн пресс 2009- *Сэм Сэвидж Фирмин, из жизни городских низов — Иностранка 2010 — *Литература эпохи Возрождения Хрестоматия — Амфора — 2010- *Французская новелла эпохи Возрождения — Москва Худ Лит — 1988 г. — *Вот такие книжечки удалось раздобыть на этих выходных."
ameshavkin,Books&Literature, 25 мая 2010 г. 16:56   [нажмите здесь чтобы увидеть текст поста],,"Сегодня:Джеймс Кейн ""Двойная страховка""Эдгар Л. Доктороу ""Рэгтайм"""
Vladimir Puziy,Books&Literature, 25 мая 2010 г. 17:05   [нажмите здесь чтобы увидеть текст поста],,Левин К.	Теория поля в социальных науках		СПб.	Речь	2000Гуссерль Э.	Кризис европейских наук и трансцендентальная феноменология. Введение в феноменологическую философию		СПб.	Владимир Даль	2004Лайонз Дж.	Лингвистическая семантика. Введение		М.	Языки славянской культуры	2003Саид Э.	Ориентализм. Западные концепции Востока		СПб.	Русский мир	2006Михайлов А. Д.	От Франсуа Вийона до Марселя Пруста. Страницы истории французской литературы Нового времени (XVI-XIX века). В двух томах		М.	Языки славянских культур	2009
Dickens,Books&Literature, 31 мая 2010 г. 21:57   [нажмите здесь чтобы увидеть текст поста],а сейчас только что вышло ее второе издание: http://nlobooks.mags.ru/vcd-11-1-600/good...,"цитата saddlefastа сейчас только что вышло ее второе издание: http://nlobooks.mags.ru/vcd-11-1-600/good...Судя по всему, стереотипное, без ""исправлено и дополнено""? Вообще хорошая серия: Дарнтон, Йейтс, Боура..."
Vladimir Puziy,Books&Literature, 31 мая 2010 г. 22:07   [нажмите здесь чтобы увидеть текст поста],"Судя по всему, стереотипное,","цитата Vladimir PuziyСудя по всему, стереотипное,Судя по всему нет.цитата Перевод с французского Г. Дашевского. Изд. 2-е, испр.Что-то исправили"
Veronika,Books&Literature, 31 мая 2010 г. 22:10   [нажмите здесь чтобы увидеть текст поста],"цитатаПеревод с французского Г. Дашевского. Изд. 2-е, испр.","цитата DickensцитатаПеревод с французского Г. Дашевского. Изд. 2-е, испр.О, эту строку-то я и не заметил! "
Jackson911,Books&Literature, 2 июня 2010 г. 01:09   [нажмите здесь чтобы увидеть текст поста],,"Александр Полежаев. Стихотворения — http://www.ozon.ru/context/detail/id/4757... , продолжаю собирать ""золотой век, второй ряд"". 20руб(5грн)."
Sartori,Books&Literature, 2 июня 2010 г. 15:19   [нажмите здесь чтобы увидеть текст поста],,"Владимир Владимирович Маяковский-сборник стихотворений, поэм и пьес. Очерки.http://www.ozon.ru/context/detail/id/4648...Вообще, хорошая это серия. Серебряный век неплохо представлен."
Avex,Books&Literature, 3 июня 2010 г. 16:26   [нажмите здесь чтобы увидеть текст поста],,"Эдуард Лимонов А старый пират... (Ad Marginem, 2010) сборник новых стихов.Павел Пепперштейн Военные рассказы (Ad Marginem, 2010) обновленное переиздание сборника рассказов 2006 года."
PetrOFF,Books&Literature, 7 июня 2010 г. 17:08   [нажмите здесь чтобы увидеть текст поста],,"Немного поэзии:/ И. Бродский ""Избранное"" (Аттикус) *от ПСС тоже бы не отказался/ Д. Клугер ""Разбойничья ночь"" Стихи и баллады *пираты, евреи, Ангелы Смерти и прочая ррр-р-р-романтика!Вот, кстати, первая вещь сборника."
Андромаха,Books&Literature, 7 июня 2010 г. 17:10   [нажмите здесь чтобы увидеть текст поста],*,цитата Avex*И ты последовал сей порочной практике.
kerigma,Books&Literature, 7 июня 2010 г. 17:23   [нажмите здесь чтобы увидеть текст поста],,Проза писателей Латинской Америки. В восторге! Наконец-то открыла для себя Борхеса. Это мой писатель
Veronika,Books&Literature, 7 июня 2010 г. 17:44   [нажмите здесь чтобы увидеть текст поста],,"Получила с Озона долгожданный заказМемуары Кейтеля. 12 ступенек на эшафот (заглянула, написано сухо и одновременно очень пробирающе)Мемуары Манштейна. Утерянные победы (вот его как раз все хвалят за хороший литературный язык — что выгодно отличает Манштейна от большиства мемуаристов на тему Второй мировой. посмотрим)Дмитрий Быков. Отчет (полное собрание стихов)Айтматов. Тавро КассандрыПропп. Исторические корни волшебной сказки (давно хотела в печатном варианте иметь)"
heleknar,Books&Literature, 8 июня 2010 г. 00:31   [нажмите здесь чтобы увидеть текст поста],,"Сегодня в ""пятнашке"":Владимир Захаров, ""Перед небом"" (стихи), http://www.ozon.ru/context/detail/id/2295...Илья Бояшов, ""Безумец и его сыновья"" (вместе с ""Повестью о плуте и монахе""), 2002г. http://www.ozon.ru/context/detail/id/1130..."
Avex,Books&Literature, 8 июня 2010 г. 19:55   [нажмите здесь чтобы увидеть текст поста],,"В Москве, в магазине ""Молодой гвардии"" на Новослободской.ЖЗЛ""Амундсен"" — 446 рубля""Адмирал Нельсон"" — 344.""Черчилль"" — 308.Из серии ""Повседневная жизнь"", ""Арзамас 16"" — 366 и ""Первые российские ракетчики и космонавты"" — 175.Увидев мой выбор, подошел дедушка, смотревший книги в магазине. Предложил подарить мне все свои книги про полярные исследования, стопку как он показал, в человеческий рост. Мол ему скоро умирать, а детям библиотека не нужна... Блин, а как я их во Владивосток перевозить буду? Пришлось отказаться.  "
bigmen,Books&Literature, 15 июня 2010 г. 11:06   [нажмите здесь чтобы увидеть текст поста],,"+ А. Иличевский ""Перс""+ А. Уткин ""Хоровод""отечественная проза — и века минувшие, и современность+ М. Фейбер ""Яблоко""рассказы в дополнение к роману. осталось выбрать момент, чтобы прочитать всё вместе+ Э.М. Форстер ""Избранное"" (М: Радуга, 2000, Мастера современной прозы)в тч небольшая антиутопия ""Машина останавливается"".(кстати, здесь написано, что в ней предсказан Интернет. проверим)похоже, до издания в этой серии Селина и Элиаде дело не дошло.  а жаль!+ Андре-Марсель Адамек ""Самая большая подводная лодка в мире"" (Лимбах)для знакомства. мистики вроде нет, а меланхолия обещается.+ А. Гуревич ""Индивид и социум на средневековом Западе""+ Л. Вершинин ""Не прячь лицо в ладони"" (М: Радуга, 2002)воспоминательные тексты переводчика(подарил нам, например, ""Барона на дереве"" И. Кальвино)мягкообложечные:+ ""Ваш М.Г. Из писем М.Л. Гаспарова"" (Новое издательство)+ Н. Лебрехт ""Кто убил классическую музыку?""разгадка, как водится, на обложке"
Wind,Books&Literature, 15 июня 2010 г. 11:07   [нажмите здесь чтобы увидеть текст поста],,"Рослунд, Хелльстрём ""Дитя мрака""Л.Блок ""Вор во ржи""Мартинес ""Долгая смерть Лусианы Б.""Несбё ""Снеговик""Хиршберг ""Дети снеговика""Л.Блок ""Когда закроется священный наш кабак""Несбё ""Красношейка""Хеммет ""Стеклянный ключ"""
Sartori,Books&Literature, 16 июня 2010 г. 10:16   [нажмите здесь чтобы увидеть текст поста],,"Очень понравился ""Кольт полковника Резерфорда"" Люциуса Шепарда, поэтому купила еще книг этого автора:""Закат Луизианы"" и ""Новый американский молитвенник""""Бердслей. Шедевры графики"" (кто-то здесь хвалил, купила, не жалею!)Мариам Петросян ""Дом, в котором..."" (люблю большие книги и длинные истории)"
PetrOFF,Books&Literature, 16 июня 2010 г. 11:32   [нажмите здесь чтобы увидеть текст поста],,"Сегодня забрал на почтеЮлиус Эвола Герметическая традиция (Terra Foliata, 2010)"
bigmen,Books&Literature, 16 июня 2010 г. 13:14   [нажмите здесь чтобы увидеть текст поста],Герметическая традиция,цитата SartoriГерметическая традицияВышла наконец!
PetrOFF,Books&Literature, 17 июня 2010 г. 11:08   [нажмите здесь чтобы увидеть текст поста],,"Т.Харрис ""Молчание ягнят"" (Эксмо)"
Sfumato,Books&Literature, 19 июня 2010 г. 19:07   [нажмите здесь чтобы увидеть текст поста],в макете купил трёхтомник Т. Капоте,"цитата Вертер де Гётев макете купил трёхтомник Т. КапотеНа днях собираюсь начать ""Хладнокровное убийство"". Чего-то на нон-фикшн потянуло."
Veronika,Books&Literature, 20 июня 2010 г. 01:38   [нажмите здесь чтобы увидеть текст поста],"Чем же ты эту суховатость предлагаешь увлажнить, слезами?","цитата hexagenЧем же ты эту суховатость предлагаешь увлажнить, слезами?Некоторые моменты мне в книге не понравились, и довольно серьезные моменты...Создалось впечатление (лично у меня), как будто ГГ очень уставший от жизни человек и мало что ему интересно. Просто тянет лямку и все.Совсем не понравилось наличие четковыраженного Злодея, разве это нормальная фигура для психологической прозы? И вообще мне не понравился конкретный боевик в конце, где сражаются с этим Злодеем."
hexagen,Books&Literature, 20 июня 2010 г. 03:52   [нажмите здесь чтобы увидеть текст поста],,"Вчера, т.е. в 19-го, в субботу, купила сборник пьес Лиона Фейхтвангера, http://www.ozon.ru/context/detail/id/85316/ — такой.  Примерно за 80руб. В ""Гудьял-Пресс"" много хорошего издавали."
Frigorifico,Books&Literature, 20 июня 2010 г. 07:42   [нажмите здесь чтобы увидеть текст поста],"Некоторые моменты мне в книге не понравились, и довольно серьезные моменты...Создалось впечатление (лично у меня), как будто ГГ очень уставший от жизни человек и мало что ему интересно. Просто тянет лямку и все.Совсем не понравилось наличие четковыраженного Злодея, разве это нормальная фигура для психологической прозы? И вообще мне не понравился конкретный боевик в конце, где сражаются с этим Злодеем.","цитата SfumatoНекоторые моменты мне в книге не понравились, и довольно серьезные моменты...Создалось впечатление (лично у меня), как будто ГГ очень уставший от жизни человек и мало что ему интересно. Просто тянет лямку и все.Совсем не понравилось наличие четковыраженного Злодея, разве это нормальная фигура для психологической прозы? И вообще мне не понравился конкретный боевик в конце, где сражаются с этим Злодеем.Всё как обычно: сколько людей — столько и мнений.А я вот совсем как в детстве побывал на цирковом представлении. Это же бурлеск, развлечение в чистом виде, какая там психологическая проза? Но как профессионально это сделано, выше всяких похвал."
chiffa,Books&Literature, 20 июня 2010 г. 14:55   [нажмите здесь чтобы увидеть текст поста],,"Наткнулся сегодня в книжном на дилогию Юрия Домбровского ""Хранитель древностей""-""Факультет ненужных вещей"" за 256 р. Причем сказали с мая лежит. А я как-то не видел. В перестроечные времена попалось что-то из нее фрагментарно, в журнале, понравилось. Надеюсь, не разочарует."
Veronika,Books&Literature, 20 июня 2010 г. 17:51   [нажмите здесь чтобы увидеть текст поста],,"1.Хью Лори, ""Торговец пушками"" — символический обмен на чай.2.Лилиан Джексон Браун, ""Кот, который читал справа налево"" — 99 р. в ""Библио-глобусе"".Кстати, кто-нибудь читал эту серию?Хотелось бы услышать мнения."
Sartori,Books&Literature, 23 июня 2010 г. 12:17   [нажмите здесь чтобы увидеть текст поста],"В сборник вошли анонимные романсы и стихотворения лучших каталонских поэтов XII-XX веков: Рамона Льюля, Джорди де Сан Джорди, Аузиаса Марка, Джасинта Вердагера, Джоана Марагаля, Пере Кварта, Сальвадора Эсприу, Габриэля Феррате и других.","Из каталонской поэзии. Л.: Художественная литература 1984г. 232 с. http://www.libex.ru/detail/book117452.html , 7грн(28руб)цитата В сборник вошли анонимные романсы и стихотворения лучших каталонских поэтов XII-XX веков: Рамона Льюля, Джорди де Сан Джорди, Аузиаса Марка, Джасинта Вердагера, Джоана Марагаля, Пере Кварта, Сальвадора Эсприу, Габриэля Феррате и других."
Frigorifico,Books&Literature, 23 июня 2010 г. 13:05   [нажмите здесь чтобы увидеть текст поста],,"Дмитрий Добродеев Большая свобода Ивана Д. (Ad Marginem, 2010)Всеволод Емелин Gotterdammerung (Ad Marginem, 2010)"
heleknar,Books&Literature, 23 июня 2010 г. 16:01   [нажмите здесь чтобы увидеть текст поста],"Северо-Запад, сборник почти всей его прозы ""Сны"".","цитата arcanumСеверо-Запад, сборник почти всей его прозы ""Сны"".Вот-вот, оно самое!"
hexagen,Books&Literature, 23 июня 2010 г. 21:51   [нажмите здесь чтобы увидеть текст поста],,"купил в ""московском доме книги""Ю. К. Щеглов ""Романы Ильфа и Петрова. Спутник читателя""очень люблю и ""12 стульев"" и ""Золотого теленка"", а тут такой подробный обзор всех намеков и вторых смыслов"
Kuntc,Books&Literature, 23 июня 2010 г. 22:19   [нажмите здесь чтобы увидеть текст поста],,"Дон Делилло ""Имена"" http://www.ozon.ru/context/detail/id/1516...Джед Рубенфельд ""Убийство по Фрейду"" http://www.mdk-arbat.ru/bookcard?book_id=...Джим Гаррисон ""Зверь, которого забыл придумать Бог"" http://www.ozon.ru/context/detail/id/3789...Колин Таброн ""К последнему городу"" http://www.ozon.ru/context/detail/id/1632..."
Pupsjara,Books&Literature, 25 июня 2010 г. 12:57   [нажмите здесь чтобы увидеть текст поста],,"Илья Ильф, Евгений Петров. Одноэтажная Америка. 128 р. — в бумажной обложке."
baroni,Books&Literature, 29 июня 2010 г. 00:10   [нажмите здесь чтобы увидеть текст поста],,"Приобрел с рук за смешные деньги несколько книг, без понятия есть ли что интересное в них:1. Дэвид Бальдаччи ""Спасти Фейт""2. Жильбер Синуэ ""Сапфировая Скрижаль""3. Чарли Стелла ""Крутые парни""4. Эрнесто Сабато ""О героях и могилах""5. Милош Урбан ""Семь храмов"""
Claviceps P.,Books&Literature, 29 июня 2010 г. 00:19   [нажмите здесь чтобы увидеть текст поста],"Приобрел с рук за смешные деньги несколько книг, без понятия есть ли что интересное в них:","цитата PupsjaraПриобрел с рук за смешные деньги несколько книг, без понятия есть ли что интересное в них:Ох, рисковый ты парень, Руслан))Книги в шкафах размножаются со скоростью плесени... Не успеваю выносить на столик в подъезде."
Pupsjara,Books&Literature, 29 июня 2010 г. 00:22   [нажмите здесь чтобы увидеть текст поста],"4. Эрнесто Сабато ""О героях и могилах""5. Милош Урбан ""Семь храмов""","цитата Pupsjara4. Эрнесто Сабато ""О героях и могилах""5. Милош Урбан ""Семь храмов""Про первые три ничего не знаю, а эти достойны без сомнений "
Kuntc,Books&Literature, 29 июня 2010 г. 00:30   [нажмите здесь чтобы увидеть текст поста],"Ох, рисковый ты парень, Руслан))","цитата baroniОх, рисковый ты парень, Руслан))ну на озоне немного информации было. А если что и выкинуть не жалко, копейки же стоили. Хотя места действительно катастрофически не хватает, надо скоро делать чистку."
flinx,Books&Literature, 29 июня 2010 г. 13:51   [нажмите здесь чтобы увидеть текст поста],,Уильям Фолкнер. Деревушка.  150 р.
Veronika,Books&Literature, 29 июня 2010 г. 15:09   [нажмите здесь чтобы увидеть текст поста],,"Стиг Ларссон. Девушка, которая взрывала воздушные замкиРежи Дескотт. Обскура"
квинлин,Books&Literature, 2 июля 2010 г. 15:29   [нажмите здесь чтобы увидеть текст поста],,"(Читая список квинлина) И это мне делали замечания, что я много книг покупаю???? Да я... да я столько за три месяца не набираю!!!Список внушает. Уважение, разумеется.Сама недавно купила томики Лоренса Стерна и Э.Т.А.Гофмана в БВЛ (советской, конечно)."
baroni,Books&Literature, 2 июля 2010 г. 16:45   [нажмите здесь чтобы увидеть текст поста],,"Veronika    Спасибо:)    В планах ещё около 400 книжек:) Как раз три-четыре книжки написать и издать в ""Яузе"":)"
bigmen,Books&Literature, 2 июля 2010 г. 16:54   [нажмите здесь чтобы увидеть текст поста],Михаил Харитонов. Сочинения в 2-х томах (Владимир Даль),"Еще раз, для полной ясности. Со всеми цитатами.baroni последние приобретения цитата Михаил Харитонов. Сочинения в 2-х томах (Владимир Даль)цитата heleknarэто, который Харитонов?которй Константин Крылов?цитата zaryaОн самый. цитата ameshavkin Ээээ..... вообще-то нет. Классик андеграунда 70-х.Я приобрел двухтомник Михаила Харитонова ака Константина Крылова, вышедший в издательстве ""Владимир Даль"", 2010Все.Ровно это мне хотелось сообщить.Чтобы не было никаких двусмысленностей."
KERDAN,Books&Literature, 4 июля 2010 г. 09:41   [нажмите здесь чтобы увидеть текст поста],,"Сборник ""Восточная новелла"" — 30Л.Толстой ""Хаджи Мурат"" — 120Бальзак ""Избранные произведения"" — 90"
Sfumato,Books&Literature, 4 июля 2010 г. 21:57   [нажмите здесь чтобы увидеть текст поста],,"Сегодня очень повезло:Умберто Эко Искусство и красота в средневековой эстетике *Жан Поль Сартр ""Что такое литература?""*Е.А.Боратынский Полное собрание сочинений в 2-х томах*"
swgold,Books&Literature, 4 июля 2010 г. 22:35   [нажмите здесь чтобы увидеть текст поста],,"Приобрел:Иэн Макьюэн ""Цементный садик"""
Papyrus,Books&Literature, 10 июля 2010 г. 14:15   [нажмите здесь чтобы увидеть текст поста],,"PetrOFF Не. Обманули. Лучший — это ""Мой дедушка — пямятник"". Из профильных ФЛ"
PetrOFF,Books&Literature, 10 июля 2010 г. 20:36   [нажмите здесь чтобы увидеть текст поста],"Papyrus, мне сказали, что это лучший роман Аксёнова да ещё и профилный нашему сайту.","цитата PetrOFFPapyrus, мне сказали, что это лучший роман Аксёнова да ещё и профилный нашему сайту.Профильный — вопросов нет. И тематика — а представим, что белогвардейцев не выбили из Крыма, и образовался наш эдакий доморощенный Тайвань — интересно же, как это могло быть, правда? И когда это первый раз вбрасывается читающей публике — нужный эффект очень даже достигается. Ну, примерно как первые фильмы увиденные на видео. Какой это тогда был кайф, вот только лучше их сегодня не пересматривать."
