text,quote,users,times,topic
" в Сочи поди на горных лыжах покататься поедете? Зимой это первое дело в Сочи. Мы мечтали с мужем, но в этом году никак. Надеюсь, что в следующем году получится. Тем более. что для поездки в горы у меня уже куплена курточка в Фамилии отличная, покупать не нужно, Мужу еще купим горнолыжный костюм и можно будет ехать кататься на лыжах",, Карина Морозова, 11 ноя 2016, Travel
" У нас все намного проще, мы планируем отдохнуть компанией в Алуште, летом не получилось, так хоть зимой все соберемся, уже забронировали жилье и выкупили билеты, и скоро-скоро я буду заниматься ничегонеделаньем и просто отдыхать.",, Мирка, 30 ноя 2016, Travel
" Да в Турцию ехать и нужно, и цены хорошие и отдых там отличный по условиям!",, gomiss, 19 дек 2016, Travel
" Турция уже не такое уж и интересное место! Почему то все к ней так привыкли не замечают других мест! Не спорю - я тоже в Турцию езжу, правда несколько лет уже в другие места езжу, но до этого и в Турции бывала! Могу сказать однозначно, что нужно расширять свои горизонты! Кстати последний раз были на Тенерифе и могу сказать, что есть места - где лишь по определенному сегменту людям хорошо. то нет, мне кажется, что это место подходит для отдыха абсолютно всем!",, Джули, 19 дек 2016, Travel
 Азербайджан !,, Адам Малхиев, 20 дек 2016, Travel
 Кипр!,, Ylli, 20 дек 2016, Travel
" Очень хочу в Египет, прямо во сне его вижу. Но скорее всего это будет израиль или греция.",, Мирная-зефирная, 23 янв 2017, Travel
" а в Египте сейчас как, спокойно?Там же вроде какие-то беспорядки были. Мы уже по традиции поедем в Сочи) Там спокойно, как свои, как говорится.",, Девчуля, 29 янв 2017, Travel
" Да непонятно. что в той стороне творится. Там,мне кажется, в любой час могут начаться беспорядки) А в Сочи куда мотаетесь?",, Гость, 1 фев 2017, Travel
" Я при первой же возможности рвану в Питер. Это мой любимый город, стараюсь каждый год хоть на недельку туда вырываться.",, OlgOlg_5, 2 фев 2017, Travel
 Доминиканская Республика.,, Гость Милашка, 5 мар 2017, Travel
" А мы собираемся в Сочи! Уже правда возникают проблемы с билетами, но, надеюсь. успеем забронировать.",, Саленька, 5 мар 2017, Travel
" Вы и про жилье подумайте, а то мы собираемся в Абхазию. а уже очень много гостевых домиков занято(",, Маршкина, 5 мар 2017, Travel
"Нам как вариант предложили купить недвижимость за границей, по закону можно прибывать в стране до 3 месяцев (жирновато конечно будет), а ещё можна свою недвижимость в оренду сдавать... Мы с мужем обдумываем вариант предложенияНОВАЯ ВОЛНА ПАТТАЙЯ, и отдохнуть можно и подзаработать",,Марта,13 мар 2017,Travel
 а я по стране хочу поездить.. заграница это хорошо - но сколько прекрасного у нас под носом есть - а мы его и не видим..,, Xyhuvupu, 27 мар 2017, Travel
" Вот-вот, и я всегда говорю то же. И весной я на недельку махну в Питер, а летом - в Карелию!", а я по стране хочу поездить.. заграница это хорошо - но сколько прекрасного у нас под носом есть - а мы его и не видим.., OlgOlg_5, 27 мар 2017, Travel
" Мы наверно в Сочи в этом году поедем или в Анапу, но в любом случае не за границу",, T84, 27 мар 2017, Travel
" А мы наверное поедем в Крым. Хоть цены там конечно и подскочили, но за эту природу я готова платить. Да и муж пообещал мне подарок сделать - обучение кайтингу! Мы уже школу выбрали.Осталось только записаться и вперед, навстречу новым впечатлениям!",, LisAlisk, 29 мар 2017, Travel
" Мы думаем поехать в Сочи на месяц-другой, у мужа удаленная работа, есть такая возможность.",, Саленька, 2 апр 2017, Travel
" А жить там где? За отель можно отдать всё, что муж заработает)",, Маршкина, 2 апр 2017, Travel
" а вообще не важно куда важно - с кем) чтоб компания была хорошая, душевная и веселая)",, Augusi, 26 апр 2017, Travel
" мы с семьей думаем поехать в одессу, можно недорого отдохнуть у черного моря, и культурная жизнь не плохая, есть что посмотреть)",, Гость Маргарита, 9 май 2017, Travel
 У нас еще не скоро отпус(так что не планируем пока(,, Светлана89, 10 май 2017, Travel
" Мы очень хотим уже в отпуск. В июне наконец-то уезжаем в Сочи на целый месяц, не могу уже дождаться)",, Вероника В, 11 май 2017, Travel
 на целый месяц? так долго. жилье же нужно найти..,, Sve812, 11 май 2017, Travel
" Да. поддерживаю насчет Крита. На уровне с Турцией получается по деньгам, а отдых лучше",, Оксана Ларюкова, 12 май 2017, Travel
 А мне кажется что в крыму что в сочи одинаково по ценам и по сервису!,, Boi, 12 май 2017, Travel
" Только вернулась из отпуска, были в Крыму - красота, народу мало, сирень цветет, эхх.. зачем вернулась?)",, Mi.Ri, 16 май 2017, Travel
" Тоже очень хочется в отпуск, мы никуда не ездили отдыхать уже больше 4 лет (не считая речку) В этом году обязательно съездим, выбор стоит между Турцией и Крымом, вот думаем пока куда б поехать",, KisiWow, 10 июн 2017, Travel
 везде нужно! везде!) но к морю конечно лучше всего :-),, Augusi, 11 июн 2017, Travel
 Советую поехать в Грецию. Вроде там не очень дорого. Можно хорошо отдохнуть.,, Kiochk, 10 июл 2017, Travel
"  Были в прошлом году на новогодние праздники в Трусковце . Впечатлений море, Карпаты зимой это что то и за одно здоровье поправили. Рассказывать можно долговсе наши впечатления от поездки сложно описать здесь — тут книгу писать нужно. Скажу одно — это было незабываемо.",, vipmi, 11 июл 2017, Travel
" Я была в Краснодаре, там кстати есть аэроотель, сразу как выходишь из аэропорта он стоит, очень удобный и цены оптимальные далеко идти не пришлось, вот бы всегда так.",, Гость, 8 авг 2017, Travel
" Мы в Крым ездили,понравилось,хочу еще в Питер,закажем наверно грандэкспресс питерский из Москвы",, Гость, 24 авг 2017, Travel
" А мы в этом году ездили на Кипр. Отдых просто чудо. Бронировали тур в Мередиан тревел. Только Лежаки нак пляже почти везде плантые , но кое где и бесплатно. Знаете где? Они подскажут? Там консультанты нам описали все и рассказали очень подробно.",, ssh_kyz, 13 сен 2017, Travel
" Мы тоже на Кипр слетали) только вчера вернулись. Хотели сначала в Крым, но решили, что не рентабельно будет, а в Турции были в прошлом году. Вот и решили новенькое попробовать) Очень понравилось, погодка хорошая была как раз) Тем более, оформление документов недорого обходится, всего 7р и оформляют за один рабочий день. Всем хорошего отдыха!",, Ke_ochek, 3 окт 2017, Travel
" А что собственно делать в Сочи? Вообще, по словам многих, это курорт с ценами заграничных и обслуживанием как в совке",, WomIRock, 31 янв 2018, Travel
" Если проблема с визой, есть много стран куда виза не нужна. Вот например список из 5 стран, куда можно без визы:hps://wyempie.com/plig/kud-mozho-poeh-bez-vizyiВполне такие, не плохие страны я скажу! Хотя я люблю отдыхать в Таиланде, по прилету дают (ставят штамп) 3 дней для отдыха, но эту цифру можно продлить до 3-месяцев, получив визу.",, womlks.u, 9 апр 2018, Travel
 У нас в России тоже есть замечательные красивейшие места. Но я не против заграницы),, Del, 10 май 2018, Travel
" А мы за бюджетный отдых!:) Ездим каждое лето в небольшой поселок Кирилловка, что на Азовском побережье:) Там круто: зона развлечений, море, пляжи - все находится в шаговой доступности:) Жильё можно найти любой категории: бюджетное, стандартное, люкс. Ездим мы туда на больших комфортабельных автобусах, привозят прям к базе отдыха, а на обратном путизабирают! Если будете ехать отдыхать с детьми, то обязательно берите с собой аптечку, теплые вещи и средство против загара!",, vlei1973, 9 ноя 2018, Travel
 Здравствуйте! А откуда выезд?," А мы за бюджетный отдых!:) Ездим каждое лето в небольшой поселок Кирилловка, что на Азовском побережье:) Там круто: зона развлечений, море, пляжи - все находится в шаговой доступности:) Жильё можно найти любой категории: бюджетное, стандартное, люкс. Ездим мы туда на больших комфортабельных автобусах, привозят прям к базе отдыха, а на обратном путизабирают! Если будете ехать отдыхать с детьми, то обязательно берите с собой аптечку, теплые вещи и средство против загара!", Викарус, 10 ноя 2018, Travel
 главное в отдыхе это компания. С хорошей компанией можно и на дачу или просто в лес на шашлыкиИзменено 6 дек 218 пользователем Kos,, Kos, 6 дек 2018ttttttt(изменено)ttttttttttt, Travel
 Мы тоже любим отдыхать в Кирилловке! Там замечательно! А перевозчик у нас постоянный !," А мы за бюджетный отдых!:) Ездим каждое лето в небольшой поселок Кирилловка, что на Азовском побережье:) Там круто: зона развлечений, море, пляжи - все находится в шаговой доступности:) Жильё можно найти любой категории: бюджетное, стандартное, люкс. Ездим мы туда на больших комфортабельных автобусах, привозят прям к базе отдыха, а на обратном путизабирают! Если будете ехать отдыхать с детьми, то обязательно берите с собой аптечку, теплые вещи и средство против загара!", olg_ivov, 13 дек 2018, Travel
 Полностью поддерживаю!,, Aleys, 19 янв 2019, Travel
 я в анапу,, ppolik, 21 янв 2019, Travel
" Вот теперь еще нужно изучить их правила движения, чтобы штрафов не заработать.", В Испанию хочу, КюшечкаН, 30 янв 2019, Travel
" Мы были в испании и могу вас успокоить что с правилами дорожного движение там нет проблем , стандартные правила как во всей Европе и России ) Так что не бойтесь. А вот заказывать жильё через solombell не очень рекомендую нуу как сказать мы два раза столкнулись с проблемой через этот сервис, теперь заказываем только через bookig. И то как бы мы обходим bookig и заказываем на прямуютак получяеться дешевле да и можно подобрать что то лучше для себя.Кстати если вы в первые в Испании или где то в другой стране и хотите отдохнуть с размахом советую смотреть видеотуры по стране которую выбрали это облегчит вам жизнь. Мы сами с не давних пор начали пользоваться такими видео турами. даже бывает что за один раз всё не успеваем посмотреть и везде побывать летим тогда ещё второй а то и третий раз . Так что рекомендую очень полезный материал для путешественников"," И я хочу, даже планирую. Администратору нужно сделать опрос, чтобы было понятно сколько за какую страну, было бы прикольно.А если серьезно, то хотелось бы спланировать поездку, чтобы не было разочарования. А для этого нужно все продумать и просчитать все варианты заранее.Муж хочет ехать на машине, а я вот думаю, что лучше на месте взять в прокат. Конечно дополнительная статья расхода, но зато перелет 5 часов и там, а на машине 4 часов пути можно несколько дней добираться.Я уже и машинку где взять присмотрела, как раз в аэропортуМалаги точка есть solo e  c. Взял в прокат и можно не париться о транспорте. У них там такой автопарк, даже муж мой языком зацокал!Сам себе хозяин: куда хочу, туда и качу. И не нужно думать не про электричку не про успевание в аэропорт.Присмотрела квартирку на solombell в аренду, как раз по маршруту от аэропорта, чтобы зря не колесить.Вот теперь еще нужно изучить их правила движения, чтобы штрафов не заработать.", NikWeoik, 2 апр 2019, Travel
" На лето пока не определились. А на майские хотим рвануть в Крым. У нас там есть уже проверенное место под Феодосией с хорошим отелеми шикарным пляжем. Надеюсь, что можно уже будет искупаться. Хотя в это время мы еще ни разу в Крыму не были, посмотрим как оно будет ...Изменено 4 апр 219 пользователем Сергей Владимировичссылки запрещены",, LLeeuusy, 4 апр 2019ttttttt(изменено)ttttttttttt, Travel
"Греция по дороже, но гораздо лучше. Была на Родосе, брала в прокате автомобиль. Это был лучший отдых из всех. Если кому то интересен отель, где я была могу найти. Там в 215году новых пару корпусов сделали. Было недорого и очень хорошо))",,EkeiN,23 апр 2019,Travel
" Ооо, тоже была в Греции. Мне очень понравилось, но стараюсь в одну и ту же страну два раза не ездить. В этом году планирую полететь в Австралию, хотя многие отговаривают, боятся что пауки отравят  .",, Lol, 7 май 2019, Travel
" Мне кажется, тут все зависит от предпочтений и кошелька. Хотя, можно найти вполне недорогие авиабилеты, как минимум, почти в любую точку нашего земного шара.Так что в Нальчик и летим) Я очень рада! Жду уже поездку с нетерпением!",, Alivi, 18 май 2019, Travel
 Можно рвануть по ближнему зарубежью. Чтобы вышло доступнее можно останавливаться в хостелах.,, КюшечкаН, 25 май 2019, Travel
" приличный срок не скажу, но в 1-13 недель отдыхали в Турции, а потом уже в 16-18 недель катались по россии на машине. Все ок, даже не думывала откладывать отпуск из-за беременности.",, Ksoweke, 11 авг 2019, Travel
"Что лучше, ехать со своей карточкой или подключить местную связь? Как вы обычно делаете?",,Golubk,30 янв 2021,Travel
" Со своей слишком дорого. Я обычно местную подключаю, крайний раз брала Wi mobile.",, bes2-2, 31 янв 2021, Travel
 А как с качеством связи? Крымский оператор лучше или хуже?,, Golubk, 1 фев 2021, Travel
" Лучше, конечно. Любой наш оператор работает на местных вышках. Это если в сравнении, да и если не сравнивать, вполне нормально, всё как у нас. Крым не какой-то отсталый регион, всё-таки курорт)",, bes2-2, 1 фев 2021, Travel
"Часто встречаю приверженников самостоятельных путешествий. Есть ли такие у нас на форуме? Какие подводные камни и в чем плюсы, кроме денежной выгоды? Лето на носу, пора планировать отпуск)",,Ale,2 мар 2016,Travel
" Плюсы в том, что ты по сути ни от чего и ни откого не зависешь. Сегодня можно заночевать в одном отеле, завтра поехать совершенно в другой город и заночевать там, при том маршрут выбираешь сама. Но чтоб так путешествовать, нужно, мне кажется, все-таки несколько раз отдохнуть через агенство, чтобы понять, как все функционирует и самостоятельно спланировать.",, Niss, 2 мар 2016, Travel
" Ничего сложного, главное хорошо почву прощупать. Выбирайте отели тщательнее по отзывам, в идеале по отзывам своих знакомых. С билетами так же, много сайтов- лохотронов, много тонкостей при заказе, одну галочку не снял и лишний штуцер списали. От себя могу поисковик билетов купибилет.ру посоветовать, за последний год хорошо себя проявил. кстати, на лето уже пора билеты искать, они к лету порядком подорожают, да и доллар вряд ли упадет. с визой, если оформлять, попыхтеть придется. особенно в европу. но можно летать в безвизовые страны или в страны, где виза проплачивается по прилету и все. ну и на месте торговаться, торговаться и еще раз торговаться, обычно с туристов местные дерут безбожно. и язык подучите хоть чуток перед отпуском) хотя бы ""мисье, же не ма пас си жюр""))) шутка. ничего там сложного нет, главное в первый раз решиться"," Часто встречаю приверженников самостоятельных путешествий. Есть ли такие у нас на форуме? Какие подводные камни и в чем плюсы, кроме денежной выгоды? Лето на носу, пора планировать отпуск)", Микра, 5 мар 2016, Travel
" мы в тайланд думаем, там вроде не сложно с туристической визой. с языком траблы, но разговорник штудируем. торговаться это я еще в турции научилась))"," Плюсы в том, что ты по сути ни от чего и ни откого не зависешь. Сегодня можно заночевать в одном отеле, завтра поехать совершенно в другой город и заночевать там, при том маршрут выбираешь сама. Но чтоб так путешествовать, нужно, мне кажется, все-таки несколько раз отдохнуть через агенство, чтобы понять, как все функционирует и самостоятельно спланировать.", Ale, 5 мар 2016, Travel
" Коллеги в прошлом году самостоятельно отправлялись отдыхать на Тенерифе. Тоже говорили - все просто, нужно только начать с чего-то, получить первый опыт и потом уже пакетные туры ни за что не купишь, так и будешь всегда самостоятельно отправляться в любую точку мира. Тут обсуждалась Турция как вариант для первого самостоятельного путешествия, пожалуй соглашусь - привычная близкая страна. А потом уже можно и в Таиланд, и на Тенерифе ",, Deeb, 12 мар 2016, Travel
" Зависит от того, какую страну собираетесь посетить. Если, например, такую страну, как Доминикана, то дешевле и выгоднее брать тур. Однибилеты в эту страну могут стоить дороже, чем пакетный тур.",, Анжелика, 16 май 2016, Travel
" Думаю, что все зависит от того куда ехать. Если Турция, Египет то лучше конечно тур брать, а в Европу самоходом будет интереснее посетить. А вы как думаете?",, Mil, 19 май 2016, Travel
" Долгое время я была ярым приверженцем самостоятельных путешествий! Но время меняется и сейчас в некоторые стран туроператоры предлагают весьма выгодные условия... Например в Европу - из-за возросших визовых пошлин выгоднее стало оформлять тур в агентстве. Но и здесь тоже важно смотреть - какое агентство и какие у него тарифы. У всех все по-разному, и в случаи с разными странами - тоже не одинаково. В общем - как и раньше - идем, выясняем цен у турагентств, и считаем во что нам обойдется самостоятельный вояж. Не хотите заморачиваться исследованиями - идите сразу в турфирму. Вот, собственно, как-то так.",, TiIV, 27 май 2016, Travel
 Я люблю сама путешествовать.,, Tli, 27 май 2016, Travel
" В последнее время всё популярнее самостоятельные туры. Они дают больше свободы на отдыхе, за один раз можно посетить сразу несколько мест в стране, которую вы выбрали для отдыха.Но понятно, что и организовывать придётся всё самим,и незнание языка очень сильно это всё затрудняет. И часто бывает. что самотур выходит дороже,в плане проживания и билетов.",, Бьянка-Янка, 28 май 2016, Travel
" Самостоятельно гораздо лучше и намного дешевле получается. Главное, все продумать заранее",, Tiy, 28 май 2016, Travel
 Правда сейчас уже начала иногда пользоваться турагенствами.,, Tli, 28 май 2016, Travel
" Ну сравнивать нужно. Это даже обязательно. Главное, это высокое качество услуг, которые предлагают такие агенства.",, Tli, 3 июн 2016, Travel
" мне кажется все зависит от страны и уровня владения языком, но на наши курорты глупо ехать через туроператора",, li.l, 4 июн 2016, Travel
" Можно и с турагенством, если заморачиваться не охотана поиск отеля и билетов на самолет, но самому искать-дешевле получается в разы.",, Любочка, 24 июл 2016, Travel
" Если собираться куда то далеко , то лучше всего пробовать через туристическое агентство . А если как и мы , вы собрались на отдых в Крым, то ничего сложного в организации отдыха там нет . Ведь главное - это жилье . все остальные нюансы можно решить на месте . Мы по поводу жилья все оговорили и забронировали , так что отправимся в середине августа с чистой душой",, FoiOll, 28 июл 2016, Travel
 Доверяю агентствам.,, Тирион, 24 авг 2016, Travel
" Уже давно все сводится к покупкам в Интернете. Даже туристические путевки можно купить в Интернете, и авиабилеты. Все туристические услуги есть у Touips",, Гость Путешественник, 5 мар 2017, Travel
" Очень давно не пользуюсь услугами наших тур агенствапрежде всего нет гарантий, что вы не попадете в печальную историю, как сотни тех ко остался без жилья в чужой стране. При выборе места отдыха я прежде всего читаю правдивыеотзывы отдыхающих о евпатории Евпатории отзывы, как было в прошлом году. Узнаю районы города по карте, а потом жилье для проживания. Бронирую через сайт или ухозяев, пока проблем у меня не было . Может я просто везучая !",, K66, 26 мар 2017, Travel
" А мы уже давно не прибегаем к помощи турператоров, сами все бронируем. Мне кажется, j многие тур.фирмы разорились, да и переплачиваем через них, мы сами дешевле катаемся. Мы вот сейчас в Сочи на месяц приехали, всё сами покупали.",, Вероника В, 6 июл 2017, Travel
 И насколько дешевле получается? Сильно заметная выгода?," А мы уже давно не прибегаем к помощи турператоров, сами все бронируем. Мне кажется, j многие тур.фирмы разорились, да и переплачиваем через них, мы сами дешевле катаемся. Мы вот сейчас в Сочи на месяц приехали, всё сами покупали.", Msh819, 6 июл 2017, Travel
" Мы ездим только самостоятельно, т.к. через турагенства получается в разы дороже",, Женя2591, 22 сен 2017, Travel
" С мужем ездили почти 5 лет в отпуск от тур агентства всегда были довольны. Но были конечно косяки то с питанием то закажешь номер приезжаешь а там другой. Бывало что даже номер давали грязный. Вечно ссорились с агентством и с отелем вообщем много всякого плохого было. Но радовало что отпуск и всё. Пробовали как пасивный отдых это пляж и отель и всё как и активный отдых , и я вам скажу что активный отдых гораздо круче. но приготовьтесь это ударит вам по кошельку тк цены я думаю вы и сами знаете просто космос, за поход в музей дерут почти 4-5 баксов везде по разному конечно но это не меняет сути. Если вы летите первый раз в страну то могу сказать что всё будет в новинку и всё будет интересно даже сарай бомжа вам на экскурсии покажут вы скажите ОГО но когда вы уже прилетаете 2-3 раз одно и тоже уже на скучивает.Воот и когда нам стало скучно мы с мужем решили попробовать по экспериментировать, не в постели конечно а с выбором путешествия.  Так вот мы начитались интернета и насмотрелись ютуба и передачь типа решки. Поехали в Испанию , и как сейчас помню как мы там горя хлебнули бегали везде , ноги были в мазолях. То опоздаем на автобус и 7 км топать пешком то ещё что то . так что всё что мы читали в интернете и смотрели на ютубе это как капля в море.Вывод из всех наших путешествий такой если хотите хорошо отдохнуть но дорого то выбирайте агентство , если хотите дёшево но интересно то выбирайте самотур. Но к самотуру особое внимание !! Читайте всё о стране как что и где , за ранние прокладывайте маршрут куда хотите сходить, где жить где кушать , какие маршруты автобусов и трамваев . Желательно даже время себе сфоткайте на телефон в какоё время идёт тот или иной транспорт. В некоторых городах есть мосты которые закрываются тоже фоткайте время чтоб не прогодать .Вот делюсь матерьялом чем мы пользовались когда начинали свой самотурhps://www.google.u/ => ну поисковик я думаю не нужно не кому объяснятьhps://www.youube.com/ => тут я думаю тоже всё понятноhps://bi.ly/2CP2oE5 полезная статья для начинающих кто начинает самотурhps://bi.ly/2HS6BuU тут тоже статья как начать свой турhps://bi.ly/2OHyZR6 тут можно получит информацию о интересных маршрутах по странам а также просмотреть видео тур перед вылетом в страну , hps://www.google.com/mps ==> это просто обязательно собой иметь особенно в Европенадеюсь кому то будет это полезно ",, NikWeoik, 1 апр 2019, Travel
 А не легче просто выбрать страну куда хотите политеть посмотреть простой видео тур и всё. не надо заморачиваться с тем что вы выше написали . Полезная информация но вы очень усложняете. Выбрали страну посмотрели на неё обзор так сказать и полители и всё ," С мужем ездили почти 5 лет в отпуск от тур агентства всегда были довольны. Но были конечно косяки то с питанием то закажешь номер приезжаешь а там другой. Бывало что даже номер давали грязный. Вечно ссорились с агентством и с отелем вообщем много всякого плохого было. Но радовало что отпуск и всё. Пробовали как пасивный отдых это пляж и отель и всё как и активный отдых , и я вам скажу что активный отдых гораздо круче. но приготовьтесь это ударит вам по кошельку тк цены я думаю вы и сами знаете просто космос, за поход в музей дерут почти 4-5 баксов везде по разному конечно но это не меняет сути. Если вы летите первый раз в страну то могу сказать что всё будет в новинку и всё будет интересно даже сарай бомжа вам на экскурсии покажут вы скажите ОГО но когда вы уже прилетаете 2-3 раз одно и тоже уже на скучивает.Воот и когда нам стало скучно мы с мужем решили попробовать по экспериментировать, не в постели конечно а с выбором путешествия.  Так вот мы начитались интернета и насмотрелись ютуба и передачь типа решки. Поехали в Испанию , и как сейчас помню как мы там горя хлебнули бегали везде , ноги были в мазолях. То опоздаем на автобус и 7 км топать пешком то ещё что то . так что всё что мы читали в интернете и смотрели на ютубе это как капля в море.Вывод из всех наших путешествий такой если хотите хорошо отдохнуть но дорого то выбирайте агентство , если хотите дёшево но интересно то выбирайте самотур. Но к самотуру особое внимание !! Читайте всё о стране как что и где , за ранние прокладывайте маршрут куда хотите сходить, где жить где кушать , какие маршруты автобусов и трамваев . Желательно даже время себе сфоткайте на телефон в какоё время идёт тот или иной транспорт. В некоторых городах есть мосты которые закрываются тоже фоткайте время чтоб не прогодать .Вот делюсь матерьялом чем мы пользовались когда начинали свой самотурhps://www.google.u/ => ну поисковик я думаю не нужно не кому объяснятьhps://www.youube.com/ => тут я думаю тоже всё понятноhps://bi.ly/2CP2oE5 полезная статья для начинающих кто начинает самотурhps://bi.ly/2HS6BuU тут тоже статья как начать свой турhps://bi.ly/2OHyZR6 тут можно получит информацию о интересных маршрутах по странам а также просмотреть видео тур перед вылетом в страну , hps://www.google.com/mps ==> это просто обязательно собой иметь особенно в Европенадеюсь кому то будет это полезно ", Катя892, 2 апр 2019, Travel
 не на все страны есть как вы говорите видеогид . да и нормальный видео гид тоже надо постараться найти. тут каждый выбирает сам так сказать,, NikWeoik, 2 апр 2019, Travel
" Однажды ездила самостоятельно. Много нужно продумывать) Так конечно интереснее, но на отдыхемнехочется отдыхать и не о чем не думать. По этому я больше люблю покупать туры. С недавних пор беру туры онлайн, очень удобно)",, EkeiN, 23 апр 2019, Travel
" Покупая путевку в турфирмевключены уже услуги по покупке билетов, заказу гостиницы, трансферы, экскурсии, и т.д. Уже знаешь, какие будут экскурсии, за что заплачено. Если самостоятельно организовывать тур, тогда надо все до мелочей продумать. После того, как определилисьсо страной путешествия нужно заказать билеты ( авиа или ж /д), возможно на машине будет поездка. Забронировать гостиницу, ознакомиться с достопримечательностями, что можно будет посетить. Посмотреть валюту страны и т.д. Для меня удобнее купить турпакет в турфирме.",, chobzeyli, 2 авг 2019, Travel
" Привет всем  жалко конечно но по ходу сезон то закончился - все вот плакали- блин скока же можно кататься , скока денег на бензик, а вот нет воды и все тут - все равно я понял -не накатаешься  вопрос- гидрик стоит в подземном паркинге - там температура даже в минус 3 - плюс 1 , надо ли мне делать консервацию - и вообще подскажите перечень работ, но главное -делать или нет ???..... так и хотца купить гидрокостюи и погонять ......",, AChsb, 4 окт 2019, Travel
