text,users,times,topic,quote
"интересно ) особенно то, что депрессия выходит с потом )))) порекомендовала бы такой режим, и спорт с танцами как дополнение к психотерапии", Гость ," 17 сентября 2012, 13:03 ",Depression,"Сделайте исследования всех гормонов, в том числе серотонина - гормона счастья.Эндокринолог как раз посмотрит как у Вас с йодом, велоятон не хватает, так как нервная и уставшая. Вы пишет таблетки и все нормализуется.Обязательно начните ложиться спать в 22.00 и вставать в 6-7 утра. Те, кто подно ложится, не спит достаточно, сидит в интернете как чумовой, часто жалуются на такое состояние как Ваше.Не спешите антидепресанты пить - они влияют на печень сильно. Постарайтесь в первую очередь наладить режим - вовремя ложиться, вовремя вставать, завтракать, обедать, ужинать не позже 7 вечера, гулять не меньше часа. Займитесь спортом, движение дает больше кислорода органам и тканям, благодаря более веселому вращению крови в организме.Вы чистите всю квартиру, пропотейте хорошо, депрессия обычно выходит с потом человека - тайнцуйте, лучше латино-американские танцы, очень помогает."
"Марго, депрессия - это удел психотерапевта, психоневролога, но не психиатра. О себе скажу: всегда считала, что депрессия - это выдумка ленивых или бесящихся с жиру особ, пока сама не столкнулась с этой гадостью. Я умею держать свои эмоции под контролем, поэтому никто из близких, друзей, коллег ничего не замечал. Но 4 года назад меня накрыл такой гипертонический криз (240/130, пульс 140), что думала - живу последние минуты. Прошла обследования, горстями пили препараты от давления, но эти кризы повторялись с завидной регулярностью. На мое счастье я попала на прием к неврологу в обычной районной поликлинике, и буквально через несколько минут разговора врач сказала, что я свалилась в глубокую депрессию, и все мои гипертонические кризы есть ни что иное, как панические атаки. Прошла лечение. Полгода пила антидепрессанты, кучу всяких поддерживающих препаратов. В общем, спустя год, я практически забыла о свое проблеме.", Хлорка ," 17 сентября 2012, 14:19 ",Depression,
"Ну не знаю, что у вас, когда у меня была депрессия -я ходила к психологу. Пошла к психиатру только когда проблема совсем усугубилась, но по-вашему рассказу у меня было все намного хуже. Я не спала ночами, причем не спала потому что со мной постоянно были страх жуткий и тревога, от этого щемило сердце...либо я подрывалась от ночного кошмара и рыдала. Я ничего не ела. Я целыми днями плакала. У меня руки тряслись, голова болела...периодами состояние было похоже на бредовое. Психиатр выписал антидепрессанты. Пить я их не стала, т.к. ситуация которая меня довела до такого состояния прошла и мне постепенно стало лучше. правда сейчас все равно проблема: апатия присутствует, сил не на что не хватает, учусь да и все. существую... задумываюсь над тем чтобы все таки пропить", Кенни ," 17 сентября 2012, 16:21 ",Depression,
13-у меня чтото похожее было когда мой парень покончил с собой+мысли о суициде.до сих пор живу без радости в жизни-такое ощущение что доживаю, Гость ," 17 сентября 2012, 16:44 ",Depression,
"Гость 1-это мне уже говорили год назад-не помогло)) спасибо,что поддержали. Личная жизнь особо не влияет на меня) Как я уже говорила, это не просто упадок сил или плохое настроение. Слава Богу,я пока ещё адекватно оцениваю ситуация. Ляля-про невропотолога-это хорошо,что сказали! Осталось грамотного найти...Спасибо!", Марго ," 17 сентября 2012, 19:31 ",Depression,
гораздо прятнее звучит))), Марго ," 17 сентября 2012, 19:32 ",Depression,"Вам нужен не психиатр, а психотерапевт, звучит лучше, не правда ли?)"
"Я рада,что у вас всё хорошо) а можно на всякий случай, вашу почту? Врачом поделитесь?!))", Марго ," 17 сентября 2012, 19:37 ",Depression,"Марго, депрессия - это удел психотерапевта, психоневролога, но не психиатра. О себе скажу: всегда считала, что депрессия - это выдумка ленивых или бесящихся с жиру особ, пока сама не столкнулась с этой гадостью. Я умею держать свои эмоции под контролем, поэтому никто из близких, друзей, коллег ничего не замечал. Но 4 года назад меня накрыл такой гипертонический криз (240/130, пульс 140), что думала - живу последние минуты. Прошла обследования, горстями пили препараты от давления, но эти кризы повторялись с завидной регулярностью. На мое счастье я попала на прием к неврологу в обычной районной поликлинике, и буквально через несколько минут разговора врач сказала, что я свалилась в глубокую депрессию, и все мои гипертонические кризы есть ни что иное, как панические атаки. Прошла лечение. Полгода пила антидепрессанты, кучу всяких поддерживающих препаратов. В общем, спустя год, я практически забыла о свое проблеме."
"Спасибо,что серьёзно отнеслись. Серотонин сдам обязательно! Остальные гормоны сдавала-всё в норме", Марго ," 17 сентября 2012, 19:38 ",Depression,
У меня была хроническая депрессия.Помогли травы китайские. Лечили не от этого. Я за годы к ней просто привыкла. Прошло. Депрессия была как то связана с циклом. Заодно прошли и минструальные боли. Если кто в москве идите в китайский центр в Дружбе наНовослободской. Доктор Гао. Отличный врач., Гость ," 17 сентября 2012, 19:41 ",Depression,
"я принимала антидепрессанты.Врач разные советовала,было плохо все равно.Потом забеременела,родила ребенка и поменялся гормональный фон-никаких депрессий.Я по натуре меланхолик,но таких состояний как раньше нету и не будет.Я думаю что у женщины очень много зависит от гормонального фона,мне это и психотерапевт говорил.У Вас,Автор,есть дети?Если нет то когда родите 100% забудете про свою депрессию!!!", не хватает серотонина ," 17 сентября 2012, 21:55 ",Depression,
"У меня депрессии хронические.По большей части связанные с отсутствием нормальной личной жизни. Поэтому мне помогает только спорт,хобби и работа, работа,работа.Чтобы времени не оставалось на мысли разные. Антидепрессанты не пейте,привыкаешь к ним.Как бросаешь,ломка начинается.", Гостья ," 18 сентября 2012, 22:49 ",Depression,
"Автор, депрессия-это болезнь и ее нужно для начала, диагностировать. Это раз. Психотерапевты выписывают препараты-это два и зачем оно вам надо?) Сходите к обычному психологу, если чувствуете застой в жизни, апатию и прочее. Там же и на счет депрессии решите-есть она или надумано. Могу посоветовать своего специалиста-работает как лично, так и онлайн. psymaya.ru/ Удачи!", Елена ," 19 сентября 2012, 15:19 ",Depression,
"Мне помогли Персен и Новопассит, хотя изначально к врачу пришлось идти с социофобией, выяснилось, что это так симптом вылез.", Touch My Trololo! ," 24 сентября 2012, 04:25 ",Depression,
"В Израиле депрессию очень быстро излечивают-ученые разработали -специальные шумы на дисках , которые повышают бетта волныИ страхи так лечат и другие невралогические проблемы.У кого есть возможность приезжайте!!!", Dina ," 06 декабря 2012, 23:31 ",Depression,
"Будьте мудрее друзья...депрессия это очень сложное заболевание..много народа не справляется с ней и уходят добровольно в мир иной...это такое состояние где живешь между небом и землей и ни чего заметьте совсем ничего тебя не радует в этой жизни,это необъснимое тяжелое состояние,но нужно пытаться,заставлять себя жить,бороться с этим недугом,но своими силами здесь не справиться...я Вам всем порекомендую два препарата но проконсультируйтеь для начала с врачом...уже принимаю год их...после начала приема начинается действие через две три недели,припараты дорогие но стоят того...пейте в комплексе Лирика+ Ципралекс....и будет Вам сто процентное улучшения,но придется посидеть на них одно время....Удачи Вам всем и великого терпения!!!!", Вадим ," 16 декабря 2012, 10:29 ",Depression,
нахожуь в дипресии около 2х лет из-за болезни незнаю чем это закончится и что делать, Гость ," 17 декабря 2012, 12:27 ",Depression,
Я живу в Германии После смерти ребенка началась депрессия Сначала в легкой форме апатии Затем полностью легла в постель Пошла к врачу выписал витамины группы В в уколах Конечно отнеслась скептически Но каково было мое удивлениекогда поняла разницу между своим состоянием Прямо даже страшно стало Помогло, Майра ," 19 декабря 2012, 20:43 ",Depression,
, мила ," 10 января 2013, 11:46 ",Depression,"господи, милая, какой психиатр?? вы о чем???и депрессии у вас нет.. ВЫ САМИ СЕБЕ ВНУШИЛИ..с ума не схоидте.. все нормально..не пей вы всякие успокоительные и прочее..взяли моду в депрессии впадать..."
"Привет всем. сама мучаюсь депрессией и страхами уже больше 2 лет!Что только не пробывала, сейчас аудиосессии и гипносессии слушаю от сайта http://www.rus.interaura.net/. мне кажется что он один из самых сильных сайтов, который действенные программы дает на внушение подсознанию.платные я не покупала, с деньгами туго, но нашла людей которые их покупали, и они мне их выслали , поэтому без проблем могу поделится(бесплатно конечно) всем кому нужно.Сама пользуюсь ими неделю.Отзывы конечно шикарные про их сессии.Почитайте по интернету.Просто когда ничего не помогает, думаешь может хоть в подсознание что-нибудь изменится.Всем здоровья и счастья!моя почта kka-2003o@list.ru.пишите", Кристина ," 21 января 2013, 11:14 ",Depression,
"У кого длительность депрессии уже исчисляется годами, обращайтесь к психологам. Депрессия явно невротического характера http://www.psychol-ok.ru/depression.html", Лина ," 26 января 2013, 02:25 ",Depression,
"Всем известно, что у заболевания не всегда есть причины для возбудителей, иногда болезнь приходит неожиданно сама, просто так... Так вот, если вы обнаружили у себя симптомы депрессии, а именно: - тоскливое настроение; - утратили удовольствия от выходных дней и мир,жвачка, дружба Вас уже не радуют; - верите, что конец Света еще впереди и ученые просто ошиблись с датой; - подсели на мармеладки и шоколад. НЕ отчаивайтесь! Подробнее здесь => http://vk.com/club21983471?w=wall-21983471_64%2Fall", Smail ," 31 января 2013, 15:11 ",Depression,
"Милая глупышка! Категоричность в суждениях - первый признак ограниченности сознания и разума. Неспособность понять ДРУГОГО, почувствовать его боль не делает вам чести...", Лора ," 04 февраля 2013, 21:52 ",Depression,
Это относится к Миле и ее коменту ╧29 от 10.01.2013, Лора ," 04 февраля 2013, 21:54 ",Depression,
"Я знаю, что такое депрессия. Депрессия это ад! Присутствие в этом мире становится невыносимым, вот что такое депрессия. Если бы я чего-то и хотела, то хотела бы умереть. Но я и этого не хотела, потому что этого нужно хотеть, желать и что-то для этого делать. А я не хотела ничего, в том числе и жить. Вот что такое депрессия. Я ходила по врачам, знахаркам, едва тоская ноги, результат - ноль. антидепрессанты, на которые можно подсесть конкретно, травки, такого же свойства, вот и все, что они могли предложить. Тогда я, превозмогая себя, стала искать свои способы борьбы с этой заразой, и нашла. Много людей страдают от депрессий того или иного вида, но мало кто знает, что депрессии имеют одно происхождение, и тем проще от с ней расправиться раз и навсегда! Не хочу обманывать сказав, что это произойдет мгновенно, у меня нет волшебной палочки, но я, основываясь на собственном опыте, кто читает мой блог знают о моих депрессиях, выработала, практически универсальную методику выхода из депрессии, которую поместила в мультимедийный 70 минутный курс.Сейчас я полна сил, ушли многие болезни вызванные депрессиями, и живу полноценной жизнью, чего и вам от всей души желаю!Мой сайт [url]http://vlad88849.narod2.ru[/url]", Ольга ," 21 февраля 2013, 08:03 ",Depression,"Я знаю,что таких тем много. Но я говорю, про реальную проблему. Советы типа ""сходи в кино"", ""найди себе хобби"" уже не помогут. Проюлема началась больше года назад. Сеачала думала от работы устала, уволилась. Накупила витаминов, стала чем-то себя занимать и поняла,что стало ещё хуже. Апатия и нервозность одновременно, не понимание того,как люди радуются по мелочам. Мне интресно, кто лечился у психиатра? Когда мне терапевт посоветовала найти ""хорошего врача"" я немного смутилась и стала говорить:""Я не псих!"". Но понимаю,что так жить нельзя. Как вы нашли врача? по месту жительства или в клиниках? И каковы успехи?"
Моя мама 74 не спит по ночам.А на утро встает агрессивная не довольна ни чем.Пошли к психотерапевту.Назначила гликосед 5 таблеток в день.И если не уснет то ливану.Пропила 2 недели человек прямо изменился.На лице прошла отечность одутловатость.нормализовалось восприятие информации и мышления .и перестала принимать препараты. А через неделю все повторилось и начались проблемы с памятью . препараты принимать не хочет.живем отдельно и что делать., елена ," 22 февраля 2013, 19:51 ",Depression,
"Отпустили потому, что главврач этой психушки позвонила моему лечащему врачу эндокринологу, и та ей сказала, что если меня не отпустят, то приедет прокуратура, и что я, ранее, проходила психиатрическую независимую экспертизу, и та дала однозначный ответ, что я абсолютно вменяема и мой интелект сохранен на 30-40 лет. То, что я там пережила, это было шоком, и я начала искать свои методы и способы борьбы с этим дерьмом, в итоге победила. Уже 7 месяцев ни одного рецидива, уж тем более попыток самоубийства. Я всем желаю найти в себе силы и искать , искать и искать. А по поводу вашей мамы, гормоны могут быть в норме, но из-за возраста, у нее замедленный обмен веществ, а значит шлаки и токсины плохо выделяются, и может идти самоинтоксикация. Проверьте не только на гармон серотонина, но и на токсиныВитамины группы В 12, 1, 6, как минимум курс, причем все три витамина в один день, но не в одном шприце, после десятидневного курса, до конца, извините, колите все три через день! Удачи,Да, еще, чуть не забыла, купите энтеросгель у тубах, и каждый день десертная ложка, он будет выводить токсины. Удачи и выздоровления!!!", Ольга ," 23 февраля 2013, 06:01 ",Depression,
"У меня была депрессия, только послеродовая. Не думала, что так ""зацепит"")).Я перепробовала очень многое: и психолог со мной работала, и разные увлечения себе искала, а результат - ""ноль"". Выручила любимая кума, которая ""затащила"" меня на один из тренингов Михаила Литвака. Скажу честно, когда шла первый раз, то настроена была подозрительно, но на самом деле атмосфера оказалась домашней, а люди - располагающие к общению) По - немногу проблема стала решаться сама собой, вот и наданный момент хочу сходить на его семинар в Екатеринбурге, тем более заявку на участие я оставила на сайте не отходя от ноутбука: http://mlitvak-seminar.ru/ . Очень тяжело что-то попробовать менять в жизни, неизвестность пугает, но вам нужен легкий ""толчок"" и все получится.))", sladenkajamoja ," 21 апреля 2013, 22:54 ",Depression,
"Хочу поделиться и спросить совет. Зимой 2013 года начало сильно тошнить, попала в гастро отделение и при этом я была полностью здорова, никто не мог ничего понять, меня тошнило и не могла есть 2 месяца а потом началась бессонница. Потом обратилась к психиатрам, одни говорили, что неврастения, другие, что - это депрессия.... Мне не лучше уже пол года. Везде говорят, что неврозы хорошо лечатся. Лежала в санаторном отделении, никто и ничто мне так не помогло. я ещё не старая и хочу снова почувствовать вкус к жизни. У меня полная апатия и нет никаких эмоций. Отзовитесь тот у кого такое было, скажите что со мной?", Olena4545 ," 16 июля 2013, 18:32 ",Depression,
"Я так же с зимы болею и болезнь развивалась в точности как и у тебя.Потребляю только витамины и соки.Многие родственники тяжело пережили утрату близких и тяжело,иногда ╚в лежку╩переносили депрессию и никто никогда не принимал ад,но и никто повторно не заболел,ремиссии уже длятся√30,27,24,12,8....и т.д.лет.Причем все болели до 11√12мес,наиболее тяжело с мыслями о суециде протекали первые 6 мес.аппатия, отсутствие чуств к близким,ухудшение кратковременной памяти, как жалобы, уходили в последнюю очередь.Хватайся за первые появившиеся чувства,как за соломенку и благодаря им вытяни себя из болезни,т.е.как только появится воля что√то делать, поставь неблизкую цель и трудись упорно и безоглядно на симптомы.Махни рукой на болезнь и обязательно увлеченно или просто кропотливо заморочся на чем √либо(наклейка обоев,шитье штор,наведение основательного порядка во всех комнатах,вещах и т .д.).Организм как весы:на одной чаше кортизол √тревога,а на другой чаше серотонин√эмоции, воля; помоги благодаря первым улучшениям перевесить второй чаше,это и есть выздоровление.Уйдет тревога√уйдет депрессия.А выздоровеешь помогай другим,и презрей тревожно√мнительную черту характера,если это явилось причиной болезни,разумного человека после депрессии никакая хворь	уже не напугает.На эти грабли он больше не наступит.", Laralay ," 19 июля 2013, 00:06 ",Depression,
"Я так же с зимы болею и болезнь развивалась в точности,как у тебя.Потребляю только витамины, соки легкую еду.Многие родственники тяжело пережили утрату близких и тяжело,иногда ╚в лежку╩переносили депрессию и никто никогда не принимал ад,но и никто повторно не заболел,ремиссии уже длятся√30,27,24,12,8....и т.д.лет.Причем все болели до 11√12мес,наиболее тяжело с мыслями о суециде протекали первые 6 мес.аппатия, отсутствие чуств к близким,ухудшение кратковременной памяти, как жалобы, уходили в последнюю очередь.Хватайся за первые появившиеся чувства,как за соломенку и благодаря им вытяни себя из болезни,т.е.как только появится воля что√то делать, поставь неблизкую цель и трудись упорно и безоглядно на симптомы.Махни рукой на болезнь и обязательно увлеченно или просто кропотливо заморочся на чем √либо(наклейка обоев,шитье штор,наведение основательного порядка во всех комнатах,вещах и т .д.).Организм как весы:на одной чаше кортизол √тревога,а на другой чаше серотонин√эмоции, воля; помоги благодаря первым улучшениям перевесить второй чаше,это и есть выздоровление.Уйдет тревога√уйдет депрессия.А выздоровеешь помогай другим,и презрей тревожно√мнительную черту характера,если это явилось причиной болезни,разумного человека после депрессии никакая хворь	уже не напугает.На эти грабли он больше не наступит.", Laralay ," 19 июля 2013, 00:08 ",Depression,
"Я так же с зимы болею и болезнь развивалась в точности,как у тебя.Потребляю только витамины, соки легкую еду.Многие родственники тяжело пережили утрату близких и тяжело,иногда ╚в лежку╩переносили депрессию и никто никогда не принимал ад,но и никто повторно не заболел,ремиссии уже длятся√30,27,24,12,8....и т.д.лет.Причем все болели до 11√12мес,наиболее тяжело с мыслями о суециде протекали первые 6 мес.аппатия, отсутствие чуств к близким,ухудшение кратковременной памяти, как жалобы, уходили в последнюю очередь.Хватайся за первые появившиеся чувства,как за соломенку и благодаря им вытяни себя из болезни,т.е.как только появится воля что√то делать, поставь неблизкую цель и трудись упорно и безоглядно на симптомы.Махни рукой на болезнь и обязательно увлеченно или просто кропотливо заморочся на чем √либо(наклейка обоев,шитье штор,наведение основательного порядка во всех комнатах,вещах и т .д.).Организм как весы:на одной чаше кортизол √тревога,а на другой чаше серотонин√эмоции, воля; помоги благодаря первым улучшениям перевесить второй чаше,это и есть выздоровление.Уйдет тревога√уйдет депрессия.А выздоровеешь помогай другим,и презрей тревожно√мнительную черту характера,если это явилось причиной болезни,разумного человека после депрессии никакая хворь	уже не напугает.На эти грабли он больше не наступит.", Laralay ," 19 июля 2013, 00:11 ",Depression,
"Я так же с зимы болею и болезнь развивалась в точности,как у тебя.Потребляю только витамины, соки легкую еду.Многие родственники тяжело пережили утрату близких и тяжело,иногда ╚в лежку╩переносили депрессию и никто никогда не принимал ад,но и никто повторно не заболел,ремиссии уже длятся√30,27,24,12,8....и т.д.лет.Причем все болели до 11√12мес,наиболее тяжело с мыслями о суециде протекали первые 6 мес.аппатия, отсутствие чуств к близким,ухудшение кратковременной памяти, как жалобы, уходили в последнюю очередь.Хватайся за первые появившиеся чувства,как за соломенку и благодаря им вытяни себя из болезни,т.е.как только появится воля что√то делать, поставь неблизкую цель и трудись упорно и безоглядно на симптомы.Махни рукой на болезнь и обязательно увлеченно или просто кропотливо заморочся на чем √либо(наклейка обоев,шитье штор,наведение основательного порядка во всех комнатах,вещах и т .д.).Организм как весы:на одной чаше кортизол √тревога,а на другой чаше серотонин√эмоции, воля; помоги благодаря первым улучшениям перевесить второй чаше,это и есть выздоровление.Уйдет тревога√уйдет депрессия.А выздоровеешь помогай другим,и презрей тревожно√мнительную черту характера,если это явилось причиной болезни,разумного человека после депрессии никакая хворь	уже не напугает.На эти грабли он больше не наступит.", Laralay ," 19 июля 2013, 00:11 ",Depression,
"Я так же с зимы болею и болезнь развивалась в точности,как у тебя.Потребляю только витамины, соки, легкую еду.Многие родственники тяжело пережили утрату близких и тяжело,иногда ╚в лежку╩,переносили депрессию и никто никогда не принимал ад,но и никто повторно не заболел,ремиссии уже длятся√30,27,24,12,8....и т.д.лет.Причем все болели до 11√12мес,наиболее тяжело с мыслями о суециде протекали первые 6 мес.аппатия, отсутствие чуств к близким,ухудшение кратковременной памяти, как жалобы, уходили в последнюю очередь.Хватайся за первые появившиеся чувства,как за соломенку и благодаря им вытяни себя из болезни,т.е.как только появится воля что√то делать, поставь неблизкую цель и трудись упорно и безоглядно на симптомы.Махни рукой на болезнь и обязательно увлеченно или просто кропотливо заморочся на чем √либо(наклейка обоев,шитье штор,наведение основательного порядка во всех комнатах,вещах и т .д.).Организм как весы:на одной чаше кортизол √тревога,а на другой чаше серотонин√эмоции, воля; помоги благодаря первым улучшениям перевесить второй чаше,это и есть выздоровление.Уйдет тревога√уйдет депрессия.А выздоровеешь помогай другим,и презрей тревожно√мнительную черту характера,если это явилось причиной болезни,разумного человека после депрессии никакая хворь	уже не напугает.На эти грабли он больше не наступит.", Laralay ," 19 июля 2013, 00:13 ",Depression,
