topic,times,text,quote,users
Books&Literature,06.01.2016,"Повторяю: противно читать те ссылки. Нытьё выпускающих журнал и ответное нытьё читающих. Надо что-то сделать - сделай сам, а письма в Госдуму писать - просто трусость и безответственность. ""Сделайте мне хорошо!"" - и это взрослые мужики пишут. Тьфу. ",nan,AAW
Books&Literature,03.06.2012,"В СССР и России выходили серии книг ""Научно-популярная библиотека воениздата""""Научно-популярная библиотека гитрометеоиздата""""Научно-популярная библиотека госатомиздата""""Научно-популярная библиотека гостехиздата""""Научно-популярная библиотека по физике""""Научно-популярная библиотека связьиздата""""Научно-популярная библиотека сельхозиздата""""Научно-популярная библиотека солдата""""Научно-популярная библиотека солдата и матроса""""Популярно-научная библиотека""""Научно-популярная лекция (Колхозная серия)""""Научно-просветительная библиотека""""Научно-популярная библиотека школьника""""Естественно-научная библиотечка школьника""""Политехническая библиотека школьника""А вот серии ""Научно-популярная библиотека солдата и матроса"" и ""Научно-популярная библиотека солдата"" - это одно и то же, или это не опечатка, а специальные совершенно разные серии ?Если бы это была одна серия и сначала называлась ""Научно-популярная библиотека солдата"", а позже ""Научно-популярная библиотека солдата и матроса"", это было бы понятно, а на самом деле года выпуска перекрещиваются... ",nan,Dmitry7
Books&Literature,03.06.2012,"Это только на русском языке, были еще серии на национальных. ",nan,Lykas
Books&Literature,03.06.2012,"Более того, я решительно настаиваю, что ""Научно-популярная библиотека солдата и матроса"", ""Научно-популярная библиотека солдата"" и ""Научно-популярная библиотека"" Воениздата являются одной и той же серией, о чем я уже писал в соответствующей ветке. Делить одну эту серию по оформлению обложек неправомерно.Можно ещё добавить ""Научно-популярную библиотеку"" Центрполиграфа, основным автором которой является Айзек Азимов (и в которой нынешние издатели, как обычно, сэкономили на качестве бумаги, оформлении и переводчиках). ",nan,Kis
Books&Literature,04.06.2012,"Многие книги ""Научно-популярной библиотеки Воениздата, по крайней мере издания 60-70-х гг., рассчитаны на более подготовленного читателя чем ""солдатская и матросская"" серии, очевидно ориентированные на деревенских парней без среднего образования. НПБ-В больше офицерская серия, чем солдатская, хотя к тому времени и солдаты стали более подготовленными. Соответственно и объем книг другой, и стилистика. ",nan,dns
Books&Literature,04.06.2012,"Это не разные серии, а самый обычный ребрендинг в рамках одной серии.Берем какую-нибудь книгу, вышедшую примерно во время этого ребрендинга (1959-1960 года) или чуть позже, в которой есть список изданных ранее или планируемых к изданию книг. Например, книгу В.А. Мезенцева ""Предвидение науки и пророчества религии"" 1961 года, имеющую новое ""офицерское"" оформление. На второй странице читаем список изданных книг серии ""Научно-популярная библиотека"" Военного издательства в 1959 году: Вараксин, Сидоров, Науменко, Покровский, Опарин, Буянов (это только те книги, которые я быстро отыскал в цифре или в бумаге) все имеют старое ""солдатское"" оформление. И нигде не написано, что имеется в виду какая-то другая ""Научно-популярная библиотека"". Берем ещё книгу Б.В. Ляпунова ""Ракета"" 1960 года в ""солдатском"" оформлении и читаем в списке готовящегося к печати: Розенталь, вышедший в ""офицерском"" виде, и Мансуров, вышедший в ""солдатском"" виде. И опять-таки нет никаких намеков на то, что существуют какие-то две ""Научно-популярные библиотеки"" Воениздата.То, что книги ""поумнели"", ничуть не удивляет. Точно такую же эволюцию прошли книги гостехиздатовской НПБ. Сравните, например, книги Субботина, Лункевича и многие другие 40-ых годов, написанные буквально для людей с пятью-семью классами образования (а то и меньше), с книгой В.Т. Свиридова ""Радиорелейные линии связи"" (с графиками и блок-схемами), с книгой А.В. Александрова ""Счетчики невидимых частиц и излучений"" (с трёхэтажной формулой) или с книгой Д.Э. Гродзенского ""Атомная энергия -- медицине"" (с химической формулой C13H3NH2C14OOH). ",nan,Kis
Books&Literature,05.04.2023,"Почему я гружу в библиотеки текстовые книги в Djvu...Как пример, возьмем Чалкер Войны бури в Fb2 есть на Либрусекеhttp://lib.rus.ec/b/149116 Но...Тогда почему все-таки Djvu? Потому что djvu на 100 % соответствует тому что издавалось в бумаге.Нет потерь в тексте (или видно если страницы выпали при сканировании\обработке).Текст в книге соответствует именно тому что там был напечатан, никакой ""сундучатины"". Можно сверить тексты, переводы...Для конкретных ""Войны бури. Маски мучеников"" минусы файлов, лежащих в библиотеке:- утеряна информация авторская\издательская\переводческая - стр. 4, 6, 330, 670- ""Координаты чудес"" - серия относится именно к сборнику ""Войны бури. Маски мучеников"", а не к отдельным романам.- второй роман - перевод по редакцией.- Утеряно ""об авторе"", еще во времена Fido, su.book и ""Библиотеки в кармане"" этим не озаботились, так и кочует по Сети.- утеряна реклама издателя серийных книг.- Содержание - набрано заглавными и не понятно ПЕРСТЕНЬ МИРА это Перстень мира или Перстень МираЗЫ Глянул Первое Правило Волшебника в библиотеке - почему-то без карт.ЗЫ 2 Еще пример... Амосов: ППГ-2266, или Записки полевого хирургаВ бумажной нет фотографий.Название правильное. ""ППГ-2266"" или в крайнем случае ""ППГ-2266. Записки полевого хирурга"" (не совсем правильное). В РГБ описание книги:""Амосов, Николай Михайлович.ППГ-2266 [Текст] : Записки воен. хирурга / Николай Амосов ; [Худож. В. О. Лучко]. - Киев : Рад. письменник, 1975. - 200 с. : ил.; 17 см.разбивка абзацев не правильная.ЗЫ 3 даже если в FB2 указано что Литресом сделано из авторского текста, то бывает так, что бумажная книга содержит то чего нет в FB2. ",nan,Lykas
Books&Literature,28.12.2016,"Форумчане, будьте так добры подбросьте варианты интересных детективов. Больше всего интересует классика как то произведения Агаты Кристи и Мориса Леблана с его похождениями Арсена Люпена. Этот ""французский Шерлок"" в свое время меня просто очаровал. http://knigek.net/read.php?b=10381",nan,Malcev
Books&Literature,24.12.2017,"Читал, мне тоже понравилась книга. ",nan,millis
Books&Literature,02.08.2019,"Борис Акунин,вся серия книг отличная, начанала читать детективы именно с Акунина, всем советую. ",nan,Silka
Books&Literature,09.08.2019,только не Донцова ,nan,Karna
Books&Literature,09.09.2019,"Недавно прочитала Зов Кукушки, не совсем классика, но мне понравилось) ",nan,alina977
Books&Literature,30.10.2019,"Возможно Гаррет Глена Кука может подойти. Других, по крайней мере достойных, кандидатов не имею ",nan,AntonPatronov
Books&Literature,18.09.2014,"Недавно прочитал замечательную книгу ""Тахрир"" автора Владимира Воля. Это роман о любви и беспорядках в Египте и проблемах современного общества. Хотелось бы что бы книгу прочитали многие... Есть над чем поразмыслить.",nan,Евгений Наумов
Books&Literature,06.10.2014,"Здравствуйте. Мне нравятся книги, знания в которых можно применить на практике, в жизни. Есть замечательная книга ""Наука самоосознания"" http://readly.ru/book/79062/. В ней описывает смысл жизни человека, его происхождения. Важно понять, что тело материальное стареет и его придётся оставить рано или поздно. Так вот надо задуматься над вопросом - ""Кто я?"". Жизнь в человеческом теле очень коротка и сейчас часто даже до старости не доживают. Но по закону кармы придётся получить новое тело - животного, насекомого, растения и т.д. В этой книге описано всё разумно, логично, с примерами из жизни. Никаких сантиментов. ",nan,Амал Кришна дас
Books&Literature,30.11.2014,"Спасибо, что поделились. Интересно проситать. ",nan,ellinav
Books&Literature,29.01.2015,"Дорогие друзья! Вероятно, кто-то из вас и родителей ваших читателей помнят мои повести ""Мой сумасшедший папа"", ""Адо"" и ""Токмаков переулок. 8 мая"". Все три повести были опубликованы в начале 90-х в журнале ""Парус"", а повесть ""Мой сумасшедший папа"" - еще и в сборнике издательства ""Детская литература"". В самом начале этого года вышла очередная моя книга прозы для подростков ""Сто фактов обо мне"". В нее вошли повесть и три больших рассказа. За повесть ""Сто фактов обо мне"" я стала лауреатом литературной премии имени С. Михалкова в 2014 году... Буду рада, если последняя моя книга окажется на полках ваших библиотек. Ее можно купить в крупных книжных магазинах Москвы, а также в интернет-магазинах ""Озон"" и ""Лабиринт"". Буду рада ответить на ваши вопросы, мой е-мейл irinagolitzina@mail.ru Ваша Ирина Андрианова",nan,irinairina
Books&Literature,21.02.2015,Любителям фантастики рекомендую книгу Проклятый горн,nan,miklooho
Books&Literature,19.03.2015,"Тем кто любит археологию, советую прочитать книгу ""Основные волны новых элементов костюма в Сарматии"" Яценко С.А.Очень интересная книга, в ней много интересных фактов Почитайте не пожалеете Вот ссылка на книгуhttp://booksshare.net/index.php?id1=4&category=archeology&author=yacenko-sa",nan,flashhh
Books&Literature,19.02.2018,"Мой любимый автор Гийом Мюссо, прочитал все его книги. Кто знает, книги на подобии его - пишите. Если не читали этого автора советую ""Бумажная девушка"" - ваше сознание точно перевернется))) ",nan,Владислав
Books&Literature,09.08.2019,"""мемуары гейши"" ",nan,Karna
Books&Literature,18.08.2019,"Я сейчас больше не художественной, а научно-образовательной литературы читаю. Пытаюсь разобраться. Интересуюсь информацией о торгах биржах колебаниях курсов ",nan,Kosynov
Books&Literature,09.09.2019,Манюня ,nan,alina977
Books&Literature,30.10.2019,"Не так давно добил ""Кодекс Алеры"" Джима Батчера. Сейчас жду от него ""Мирные переговоры"" ",nan,AntonPatronov
Books&Literature,17.01.2020,"Дослушал ""Жлобология. Откуда берутся деньги и почему не у меня"" - Алексей Марков. Оставил отзыв. Всем рекомендую. ",nan,BolgarchukR
Books&Literature,21.07.2011,"В издательстве ""Гранд-Экспо"" вышла новая книга известного учёного, бизнесмена и писателя Владимира Спиваковского – ""Образовательный взрыв"". Она получила высокую оценку рецензентов. В их числе Виталий Кличко, Дон Петри, Леонид Каденюк, Юрий Ехануров и другие известные во всем мире личности.Автор, за плечами которого десятки уникальных бизнес-проектов, не дожидаясь реформ сверху, подорвал систему образования снизу.Соединение фундаментальных знаний с уроками новой волны (уроки счастья, богатства, харизмы, наследства, везения, чувств, и ума) уже воспринято в мире как новый формат школьного образования, которое, возможно, станет доминирующим в ближайшие десятилетия.По словам автора новая книга будет интересна руководителям образования, директорам школ, студентам и аспирантам педагогических вузов, передовым учителям и неравнодушным родителям. Она будет полезна всем, кто любит выходить за рамки стереотипов, догм и линейного мышления и смотреть на проблемы с высоты птичьего полёта.Кому интересно, книгу можно читать онлайн",nan,kostya_87
Books&Literature,21.07.2011,"Нынешнее состояние системы образования действительно заставляет задуматься. И, прежде всего, о будущем. Общим: тех детей, которых учат не понятно чему, учителей, которые не успевают за техническим прогрессом, директоров и верхушки, которые не могут справиться с нынешними проблемами. И непонятно, кто придумает выход и где свет в конце тоннеля. Читаю много по этому поводу, так как это вопрос для меня крайне важен. Но толковых реально актуальных идей не так уж и много. В. Спиваковский - один из любимых авторов. Пишет он живо и по-настоящему. Этого как раз сейчас и не хватает. Министры и другие «учителя», одевшие умные маски и вооружившиеся сухими текстами , уже давно не имеют влияния и доверия... Так что советую читать и начинать действовать.",nan,mitaho
Books&Literature,15.08.2011,"Да, наслышан об авторе и его достижениях в бизнесе. Так как сам планирую открыть свое дело, решил поштудировать немного бизнес литературы. Прочел уже ""Двухходовки Спиваковского"" - книгу реально можно брать на вооружение, если собираетесь начать свой бизнес. Поскольку книги Владимира Михайловича написаны современно и читаются быстро, легко, перешел к чтению его новой книги ""Образовательный взрыв"" - и не подумайте эта книга не только про образование. Владимир Спиваковский использовал свой собственный бизнес опыт по реализации более полусотни больших и маленьких проектов. Также в книге использован опыт других отраслей и сфер экономики, как социально-гуманитарных, так и промышленно-производственных, которые вырвались далеко вперед по сравнению с отраслью образования, оставив ее на обочине. Как по мне, бизнес идеи, изложенные Спиваковским в книге, достойны внимания и признания, тем более что они уже массово скупаются заграницей, переводятся на английский язык и реализовываются. Пора и нам начать действовать, что скажите? ",nan,alexgrum
Books&Literature,09.08.2019,"Нужно будет прочитать, я не слышала о ней ",nan,Karna
Books&Literature,18.08.2019,"Когда пишет бизнесмен честно говоря ""прохожу мимо"" ",nan,Kosynov
Books&Literature,17.01.2020,"Я тоже уже давно сталкиваюсь с этой проблемой. Кстати, работал в школе инженером электронщиком, видел все эти ужасы изнутри. Мою должность сократили. Хотелось бы тоже написать книгу, но приходится думать о том, где найти деньги на еду. За книгу Спасибо, скачал, послушаю. Но образование это не самое страшное проблема нашего общества. Она, как и многие другие, являются последствием более фундаментальные проблемы. ",nan,BolgarchukR
Books&Literature,10.11.2019,"Привет! Меня зовут Артём, я пишу книгу, в которой читатели могут влиять на развитие сюжета.Приглашаю принять участие в бета-тестировании истории на канале в телеграмме: https://t.me/laska_storyП.С. буду рад обратной связи =) ",nan,Артём
Books&Literature,10.11.2019,"Я пользуюсь Файрфокс под WinXP и у меня там никакие телеграмм-каналы не открываются.Вы не знаете, как мне можно вашу книгу посмотреть ? ",nan,xyz
Books&Literature,07.11.2006,"Недавно, мой одиннадцатилетний ребятёнок, за два дня, на одном дыхании, прочёл боольшую первую книгу о Поттере (передаю привет Оле, с благодарностью за подарок! ;) )... Вопрос в том, что же такого особенного в этой книге, когда её читают с большим удовольствием дети, не особо имеющие интерес к чтению в принципе?И, какие ещё книги, в таком случае, могут быть интересны им, кроме Роулинг? ",nan,nadezhda
Books&Literature,17.12.2006,"[quote author=Slawa-614 link=1162917349/0#1 date=1163757215]11 лет? Волковского ""Волшебника Изумрудного города"" уже одолел? (там 6 книг, плюс фанфики Сергея Сухинова)Вообще-то, в 11 пора переходить на более серьезную литературу - Марк Твен (Том Сойер и продолжение - Геккельбери Финн), Фенимор Купер, Артур Конан-Дойл и т.д.[/quote]Спасибо, Slawa-614 :)Вот, ещё какие советы удалось найти по этому поводу:[quote]- Майн Рид, Жюль Верн, Дюма.- Молли Мун, Нины- Повести скандинавских писателей ( муми-тролль и не только)- книги ""Детский детектив"" разных авторов: Альфреда Хичкова, Энит Блайтон, Филис Уитин, Френк Бонман и т.д. - ""Синяя птица"", ""Приключения маленького лорда"", ""Без семьи"", Маленькие женщины""- Валентин Катаев "" Белеет парус одинокий"", ""Хуторок в степи"", ""Волны    черного моря"". - Волшебник Земноморья, Властелин колец- Таня Гроттер и Мефодий Буслаев- Хроники Нарнии К.С.Льюис[/quote]",nan,nadezhda
Books&Literature,06.12.2008,"Доброе время суток!Меня несколько удивляет такая популярность Гарри Поттера. Не так уж и интересно...Например, ""Урфин Джюс..."" более интересен.Реклама, реклама, реклама... ",nan,Alex_Shadrinsk
Books&Literature,06.12.2008,"А вот стоит ли вообще читать ""Хроники Нарнии""? ",nan,Alex_Shadrinsk
Books&Literature,06.12.2008,"Ой, Александр, с тех пор уж два года прошло!  Уже и средний ребятёнок у меня, в свои 10 лет, дочитывает последние части...А, что у нас, Александр, с ""Хроники Нарнии"", в чём вопрос? Помнится, первую часть задавали старшему ребёнку, в школе на лето, ещё во втором классе... ",nan,nadezhda
Books&Literature,10.09.2019,"Привет ребята! я тут задумал провести опрос, с двумя приключенческими книгами, которые почти не уступают друг другу в качестве материала, который передаёт автор. Но чтобы вам было интереснее, я решил немного их рассудить, точнее сравнить и высказать свое мнение на этот счет. Но буду рад узнать, что же думаете вы по этому поводу)Прошу любить и жаловать Александр Спик «Магазин Желаний», Грегори Дэвид Робертс «Шантарам».Итак, сначала мы начнём с внешних данных:Во-первых, объем. Сразу же мы видим, что приключенческий роман Александра Спика удобнее в использовании, с ним вы можете не расставаться даже в дороге, так как его объём составляет 250 страниц. А вот «Шантарам» не положишь в маленькую сумочку, ведь эта книга состоит из 864 страниц.Далее пару слов об обложке, «Магазин Желаний» показывает нам главного героя - Спика, рисует его образ, который после прочтения на 100% совпадёт с тем, что описано в книге. А обложка «Шантарама» представляет только виды Индии.Обе книги хороши своей философией. Прочитав «Шантарам», вы настолько проникнитесь философией индусов, что вам непременно захочется побывать в этой стране. Также вы узнаете о методиках спокойно и счастливо жить, несмотря на бедноту или разруху в жизни. А вот любовно-приключенческий «Магазин Желаний» поможет вам справиться с зависимостью от желаний, найти жизненный баланс и продвинет к новому восприятию жизни. Знание правильного исполнения желаний – это залог жизненного успеха!Следующим пунктом сравнения является достоверность происходящих фактов. Герой «Шантарама» стоит от нас намного дальше, нежели Спик и его главный герой, Александру мы верим больше. Для российской аудитории, конечно, тяжело представить реалии и той, и другой жизни, но проблемы героя «Магазина Желаний» для нас более настоящие: кредиты, вредные привычки, лишний вес, унылая работа, однообразная семейная жизнь, проблемы с женой или мужем... с этим каждый человек сталкивается почти ежедневно.Как вы видите, я предпочтение отдаю книге ""Магазин желаний"", а что выберете вы?",nan,VladimirZelen
Books&Literature,29.09.2019,"Заинтриговали.Выложите, плиз, сканы этих книг. ",nan,xyz
Books&Literature,10.09.2019," Приветствую! А сейчас я хотел бы рассказать о своей самой любимой книге, очень хочу, чтобы вы ее обязательно прочли, поэтому приведу несколько доводов, почему же она так замечательна!1. Это история реального человека -Александра Спика. Приключенческие романы по большей части захватывают нас тогда, когда мы представляем не совсем реальные ситуации с реальным человеком. Вы узнаете много нового: -Как объявить себя банкротом, но остаться в плюсе;-Как набрать кредитов, открыть своё дело и не попасться;-Как на протяжении долгого времени проводить эксперименты над собой и не лишиться рассудка; -Как можно совмещать алкоголизм и успехи в бизнесе;-Как научиться выходить из самых скверных ситуаций;2. Если вы устали от 5-ти страничных описаний природы и обстановки вокруг, то этот любовно-приключенческий роман тоже для вас, так как он наполнен диалогами и действиями. А диалоги настолько реальны, что кажется, будто это ваш знакомый делится с вами проблемами. 3. Узнаете ответ на вопрос, как жить с вредными привычками и лишним весом, спасёт ли вас велосипед? Эта книга своего рода мотиватор на постоянное стремление к изменениям в характере, в теле, мыслях, образе жизни. 4. Часто ли вы встречали книгу жанра- эмоциональный дневник, думаю, что нет. «Магазин Желаний» пропитан эмоциями, вы будете переживать их с героем, как личные. Вы точно не сможете выпустить эту книгу из рук, пока не перевернете последнюю страницу. 5. А ещё как супер бонус - вы получите философское знание, как научиться управлять своими желаниями и жить с ними в мире и согласии. Если я вас все-таки убедил, то ее можно приобрести на Литресс и Amazon. Приятного чтения! ",nan,VladimirZelen
