topic,times,text,users,quote
Family&Relationships,," я считаю что удержать, если мужчина любит, то он будет просто в восторге от ребенка",,
Family&Relationships,," Это не так, от ребенка может и будет в восторге, но если семья рушится, то ребенок ее не склеит, рано или поздно будет крах.",,
Family&Relationships,," Прошло уже достаточно времени и ребенок надеюсь появился на свет. На счет отношений, знаю точно, что их нужно самим строить. без этого ничего не получится. Нужно находить компромиссы и учиться дарить радость друг другу, заботится друг о друге. А еще выяснить, как каждый из Вас понимает, что он любим. ЭТо могут быть слова поддержки или же любые знаки внимания в виде небольших подарков, легкого прикосновение или же помощи по дому. Что для вас является любовь? у меня это сработало.",,
Family&Relationships,," когда один хочет идти на компромисс, а другой нет, то значит другому просто пофиг а вы всю жизнь будете мучиться, идя на этот самый компромисс. глупо. лучше быть одной.",,
Family&Relationships,, Могу посоветовать женщину одну,,
Family&Relationships,, Ничем. Финита ля комедия.,,
Family&Relationships,," Ребенка однозначно сохранить, а с мужем, если он тоже готов попытаться наладить отношения. Может, это лишь очередная стадия развития отношений. Если не справятся сами, то поговорить с психологом.",,
Family&Relationships,," Ребенка оставить конечно,ну а с мужем может им стоит пожить отдельно какое то время, отдохнуть друг от друга. Ругаются постоянно, наверное уже замучали друг друга, пусть побудут отдельно, соскучатся",,
Family&Relationships,," По-моему нужно в первую очередь просто спокойно с мужем поговорить, без эмоций и претензий с пеной у рта выяснить, что не так, найти какие-то способы решения проблемы вместе. А ребенка я бы оставила в любом случае",,
Family&Relationships,," Разбитую чашку можно склеить. но она будет иметь только форму чашки, а функцию свою выполнять не будет.",,
Family&Relationships,," Если качественно склеить чашку,то останется только чуть испорченный вид ( воспоминание), а функцию свою она будет выполнять. Есть множество вариантов как сохранить отношения в семье. Однажды у меня был такой период и я справилась с ним. Кому интересно, пишите, расскажу подробнее в личных сообщениях",,
Family&Relationships,," У меня родители, находясь на пенсии, стали очень много ругаться. Я очень переживала, думала на старости лет разойдутся. Но заметила, что чем сильнее ругаются тем спокойней к друг другу потом относятся. Начала искать ответы в психологии. Нашла. Оказывается когда родные люди не научились выражать свои чувства ( любимая, дорогой, я о тебе беспокоюсь, я скучал, я соскучилась и т.д) она просто ругаются. Когда таким образом выяснят, что супругу не безразличны. У них наступает тишина.",,
Family&Relationships,," Мы сейчас начали постоянно ругаться но у нас сейчас три года брака, говорят это самый переломный момент в семейной жизни, кто то выдерживает, а кто то разводиться. Вот не знаю переживём ли это(((",,
Family&Relationships,, Семью можно ужержать хорошими отношениями. Я бы посоветовала вашей подруге откровенно поговорить со своим мужем. По-моему - это выход!,,
Family&Relationships,," А чтобы не ругаться, нужно ни когда с мужем не спорить, всегда ему улыбаться и все делать что он попросит, а самой у него ни чего не просить.Тогда будет тишина и спокойствие и он не сможет найти повод за что бы придраться. Но иногда нервы не выдерживают так жить",,
Family&Relationships,," Нужно любить друг друга и уступать, даже если знаешь, что права на 1%",,
Family&Relationships,," если не развелись до того, как узнала о беременности - то зачем делать аборты и ломать семью после этой новости?пусть сядут и поговорят спокойно, если не могут спокойной - то пусть сходят к психологуразрушить семью всегда успеют....",,
Family&Relationships,," Сходите к психологу, или на курсы семейных отношений, где то читала про такие, полистайте инет.",,
Family&Relationships,," люди друг друга не слышат просто, возможно, порознь будет лучше?",,
Family&Relationships,," в нашей семье был период не удач, я не работала мужа уволили, одни проблемы настолько все было плохо что в моих мыслях уже было лишь развод. В доме была какая плохая аура, самочувствие всегда плохое, настроение грустное, казалось аж в жизниодно плохое. Обратились к Оксане Майноло за духовными курсами помощи. Помогли практика , потребовалось лишь не которое время, и стали более жизнерадостнее, настроение хорошее, мышление поменялось, я всегда знала что внутренний мир человека когда в порядке, то и все наружном идет хороше.",,
Family&Relationships,," Все советы хорошие. Хочу и я поделиться своим опытом. Когда у нас был кризис во взаимоотношениях, то решили, что какое-то совместное дело нас объединит. Решили воплотить в жизнь нашу давнюю затею -приобретение квартиры в Турции. Действовали, конечно, не сами, через агентствоWell Homes Gyimekul. Мне как раз на этом сайте контакты дали. Не смотря на заботы, наши отношения вступили в новую фазу иу нас всё хорошо.",,
Family&Relationships,,"Мы живём с мужем 7 лет . У нас двое маленьких детей , бизнес и все бы хорошо ... но всегда есть но . Дело в том , что у меня ощущение, что человек которого я люблю , большего всего тянет меня вниз . Я уже не говорю про отсутствияподдержкив моих начинаниях - с этим я уже свыклась . Дело в том , что я хочу большего. Мы живем в маленьком городке , по сути толковой работы для меня нет , будущего для детей тоже. Давно стал вопрос переехать в город побольше . Но муж тормозит , так всегда . Мы живем на съемной квартире , свою не покупаем по одной причине - в этом городе я не хочу . А переезд в другой - это много нюансов для Мужа . Мне иногда кажется что лучше бы эго не было , и я бы смогла больше , чем с ним . Раньше была проблема переезда в деньгах - купить квартиру. Год назад умерла моя бабушка , оставила мне квартиру которую я предложила продать и купить нашу в другом городе ! Но и на это муж не очень согласился . Я понимаю , возможно для кого-то это не проблема . Но самое обидное то , что у нас с мужем разные цели и желание . Я хочу большего , он - довольствуется тем , что есть . Я тысячу раз хотела все бросить , переехать сама с детьми , это наша мечта ... но не могу ... я запуталась окончательно ... помогите советом кто дочитал до конца ....",,
Family&Relationships,, Решение проблемы в нахождении компромиса. Других вариантов нет.,,
Family&Relationships,, попоробовать поговорить нормально,,
Family&Relationships,," По опыту, к сожалению, две семьи (мои знакомые) по таким же причинам расстались",,
Family&Relationships,,"Приветствую всех! У меня не совсем стандартная просьба. У мужа рак простаты, только вернулись из больницы. Я просто в шоковом состоянии. Если кто-то сталкивался с таким диагнозом..Подскажите, можно ли обойтись без химиотерратпии?",,
Family&Relationships,," Как мне знакомо ваше состояние. Когда в прошлом году у мужа подтвердился такой же диагноз мне хотелось на стенку лезнь, но на своем опыте хочу сказать, что просто нужно откинуть панику, успокоиться и обязательно сдать все необходимые анализы и обратиться к врачу. Пусть он посмотрит все анализы и скажет вам нужна операция или нет. Моему мужу прописали лечение, он принимал Кстанди. Но в этой теме все настолько индивидуально, что без назначения доктора лучше не рисковать.",,
Family&Relationships,," Огромное спасибо за ответ и за поддержку!!! У нас уже назначена консультация с доктором и самолечением заниматься мы точно не будем. Просто хотелось понять, с таким диагнозом точно только операция нужна или нет. А этот Кстанди, как его принимать нужно?",,
Family&Relationships,," Не факт же, что вам по анализам подойдет Кстанди. Если вам его назначат, то доктор подробно все расскажет. Кстати, муж получал его бесплатно в онкоцентре и я так понимаю, что для всех онкобольных он бесплатный, но лучше уточнить у доктора. Желаю вам терпения, а мужу удачи и крепкого здоровья!!",,
Family&Relationships,,"У всех бывает, да?Тема не новая, родитель выпивает. Тут не просто все...Мы с мамой живем, потому что родители мужа отказались разменивать квартиру, чтобы мы с ним и ребенком жили отдельно. Моя мама тоже не подарок - выпивает, как я уже сказала. Поэтому с ней живем трудно. Снимать пока не можем - ребенок все-таки, все на него уходит, все деньги. Вопрос такой - может, кто уже в такой ситуации был - как урезонить маму, чтобы не выпивала и возможно ли это вообще. Я знаю, что женский алкоголизм не лечится вообще-то, но вдруг да есть какой чудо-способ. Сразу скажу, разговоры-уговоры были, ультиматумы тоже прошли. Кодирование - она сама отказывается, говорит ""я не запойный же, так, чуток пивка выпиваю вечером"". Но разит от нее и состояние такое, как будто водки выпила, честное слово. Но признавать себя алкоголиком не согласна.Ответов(1 - 19)vlko.1981@mil.u7.12.212, 17:44Сообщение#2УчастникГруппа: Участники форумаСообщений: 97Регистрация: 27.11.212Из: СтавропольПользователь №: 189 699Терпеть. Что тут скажешь? Где-то вы в выигрыше, а то-то теряете в этой ситуации.Nli7117.12.212, 22:6Сообщение#3Легенда форумаГруппа: Участники форумаСообщений: 8 27Регистрация: 26.12.21Из: Санкт-ПетербургПользователь №: 134 38А что вы покупаете ребенку, если на него уходят ВСЕ деньги?? Моей дочке 4 года, папа нам не помогает материально, но у меня деньги есть всегда, причем зарплата не миллионы. И одета, и накормлена, и игрушки покупаем постоянно. А вас двое.lechg7.12.212, 23:1Сообщение#4ЭкспертГруппа: Участники форумаСообщений: 3 99Регистрация: 1.11.212Пользователь №: 188 687Цитата(Грёза @ 7.12.212, 16:58)У всех бывает, да?Вопрос такой - может, кто уже в такой ситуации был - как урезонить маму, чтобы не выпивала и возможно ли это вообще. Я знаю, что женский алкоголизм не лечится вообще-то, но вдруг да есть какой чудо-способ. Сразу скажу, разговоры-уговоры были, ультиматумы тоже прошли. Кодирование - она сама отказывается, говорит ""я не запойный же, так, чуток пивка выпиваю вечером"". Но разит от нее и состояние такое, как будто водки выпила, честное слово. Но признавать себя алкоголиком не согласна.Ниче не поделаешь - терпите пока. ...и копите деньги на съем квартиры или ищите возможности съехать от нее. Не конфликтуйте с ней - с алкоголиками лучше не ругаться (бесполезное занятие). Тем более, что она не признает, что она алкоголик - ее все устраивает. Хотя бутылка пива вечером - это еще не проблемаФелисоида7.12.212, 23:13Сообщение#5Злобная Gmm ziГруппа: АдминистраторыСообщений: 5 8Регистрация: 22.8.211Из: ЗажопинскПользователь №: 17 11Если каждый день, то проблема.lechg7.12.212, 23:56Сообщение#6ЭкспертГруппа: Участники форумаСообщений: 3 99Регистрация: 1.11.212Пользователь №: 188 687Цитата(Фелисоида @ 7.12.212, 23:13)Если каждый день, то проблема.проблема, когда после бутылки пива человек догоняется тем же пивом или другим алкоголем.Nli7118.12.212, :5Сообщение#7Легенда форумаГруппа: Участники форумаСообщений: 8 27Регистрация: 26.12.21Из: Санкт-ПетербургПользователь №: 134 38Этожизньвашеймамы. Ну пусть она себе такую выбрала. Но если вы не в состоянии зарабатывать деньги, то молчите в тряпочку. Ведь вас беспокоит чтомамапьеттолько потому, что у вас не квартиры, а не потому, что с ней может что то произойтиФелисоида8.12.212, 1:7Сообщение#8Злобная Gmm ziГруппа: АдминистраторыСообщений: 5 8Регистрация: 22.8.211Из: ЗажопинскПользователь №: 17 11Цитата(lechg @ 7.12.212, 23:56)проблема, когда после бутылки пива человек догоняется тем же пивом или другим алкоголем.Это уж личное дело каждого, как относиться к пьянству близких. С догоном или без, но тяга к выпивке налицо. Иначе б не было потребности в каждодневном употреблении.Пивной алкоголизм, кстати, ничуть не лучше любого другого.Грёза8.12.212, 12:4Сообщение#9УчастникГруппа: Участники форумаСообщений: 44Регистрация: 7.12.212Пользователь №: 19 276Цитата(vlko.1981@mil.u @ 7.12.212, 17:44)Где-то вы в выигрыше, а то-то теряете в этой ситуации.Выигрыш только в том, что мама иной раз сидит с малышкой. Но это напрягает довольно сильно - неизвестно, что в подпитии она может выкинуть.Цитата(Nli711 @ 7.12.212, 22:6)А что вы покупаете ребенку, если на него уходят ВСЕ деньги??Основная часть уходит на пармеры и питание (мы смесь пока еще кушаем). Пару месяцев последних было особенно сложно - несколько раз вызывали платного врача (муж ей доверяет), она выписывала дорогущие на натуральной основе лекарства. И ездили сами два раза к врачу - тоже не на общественном транспорте.Цитата(Фелисоида @ 7.12.212, 23:13)Если каждый день, то проблема.+15Цитата(Nli711 @ 8.12.212, :5)Но если вы не в состоянии зарабатывать деньги, то молчите в тряпочку.Ну, почему. Мы сами с мужем оплачиваем все коммунальные за квартиру, продукты покупаем, готовим, одежду, питание и лекарства ребенку - все сами. Зарабатываем оба. А беспокоит меня ее выпивание не потому, что у нас нет квартиры - это параллельные события. Просто выпивший человек что угодно может натворить. И, не буду скрывать, больше всего меня это беспокоит в связи с ребенком - а кто бы иначе реагировал? Вам может показаться, что это эгоистично - типа я о ней совсем не думаю. Но, как вы сами справедливо заметили, она себе сама выбрала такую жизнь, она взрослый самостоятельный человек и о последствиях знает прекрасно. Но раз ситуация уже изменилась - мы с детёй вынуждены жить с ней - неужели нельзя проявить лояльность, это первая внучка? Или, скажем, понять, что такая ситуация ей самой нужна, чтобы постараться избавиться от пагубной привычки? У меня отец замерз по пьянке на улице - неужели это тоже ничему ее не научило?Извините за длинный пост, все сразу хочется выговорить ))Цитата(Фелисоида @ 8.12.212, 1:7)Это уж личное дело каждого, как относиться к пьянству близких. С догоном или без, но тяга к выпивке налицо. Иначе б не было потребности в каждодневном употреблении.Пивной алкоголизм, кстати, ничуть не лучше любого другого.Верно. С него все начинается.lechg8.12.212, 12:5Сообщение#1ЭкспертГруппа: Участники форумаСообщений: 3 99Регистрация: 1.11.212Пользователь №: 188 687Цитата(Грёза @ 8.12.212, 12:4)Но, как вы сами справедливо заметили, она себе сама выбрала такуюжизнь, она взрослый самостоятельный человек и о последствиях знает прекрасно. Но раз ситуация уже изменилась - мы с детёй вынуждены жить с ней - неужели нельзя проявить лояльность, это первая внучка? Или, скажем, понять, что такая ситуация ей самой нужна, чтобы постараться избавиться от пагубной привычки? У меня отец замерз по пьянке на улице - неужели это тоже ничему ее не научило?Вы же понимаете, что алкоголик - больной человек и ему уже все равно, что у него внуки, дети и т.п. Для него всяжизнькрутиться вокруг ""купить и выпить"", остальное - второстепенно. Ждать, чтомамавдруг проявит лояльность не стоит.Бывает иногда, конечно, что люди резко одумываются в следствии проблем со здоровьем, к примеру...но это скорее исключение, чем правило. Если у нее действительно проблема с алкоголем, то она сама уже нуждается во внимании и заботе. А Вы работаете (как я поняла из поста), а ребенок у вас еще совсем малыш(ЦитатаОсновная часть уходит на пармеры и питание (мы смесь пока еще кушаем)?Грёза8.12.212, 18:23Сообщение#11УчастникГруппа: Участники форумаСообщений: 44Регистрация: 7.12.212Пользователь №: 19 276Да, работаю, да, ребенок маленький. И собираемся съехать как можно скорее. Но там будет еще тяжелее, так что я иллюзий не питаю.Вас удивило, что ""памперы и питание"" забирают основную часть бюджета? Ничего удивительного, памперов уходит в день штук до 8, иной раз меньше. Детская смесь идет у нас с роддома, молока мало - кесарево было. Сейчас переходим постепенно на обычную еду - каши и пюре, но процесс небыстрый.Я думала, что ребенок мотивирует на отказ от алкоголя, но не вышло... Что это болезнь, я знаю. Только чтобы вылечиться, сначала надо признать себя больной, а она этого не делает и обижается, кода я ей об этом говорю.Спасибо всем за посты.Nli7118.12.212, 18:43Сообщение#12Легенда форумаГруппа: Участники форумаСообщений: 8 27Регистрация: 26.12.21Из: Санкт-ПетербургПользователь №: 134 38Цитата(lechg @ 8.12.212, 12:5)?А чего вам непонятно? На памперсы уходит куча денег, и моя дочь тоже питалась смесью, за месяц на это дело уходило около 5, учитывая, что смесь была чуть ли не из самых дешевыхNli7118.12.212, 18:45Сообщение#13Легенда форумаГруппа: Участники форумаСообщений: 8 27Регистрация: 26.12.21Из: Санкт-ПетербургПользователь №: 134 38Цитата(Грёза @ 8.12.212, 18:23)Да, работаю, да, ребенок маленький. И собираемся съехать как можно скорее. Но там будет еще тяжелее, так что я иллюзий не питаю.Вас удивило, что ""памперы и питание"" забирают основную часть бюджета? Ничего удивительного, памперов уходит в день штук до 8, иной раз меньше. Детская смесь идет у нас с роддома, молока мало - кесарево было. Сейчас переходим постепенно на обычную еду - каши и пюре, но процесс небыстрый.Я думала, что ребенок мотивирует на отказ от алкоголя, но не вышло... Что это болезнь, я знаю. Только чтобы вылечиться, сначала надо признать себя больной, а она этого не делает и обижается, кода я ей об этом говорю.Спасибо всем за посты.но это же не ее ребенок. какая у нее мотивация то??_Я_1.12.212, 17:2Сообщение#14УчастникГруппа: Участники форумаСообщений: 69Регистрация: 1.12.212Пользователь №: 19 419Цитата(Nli711 @ 8.12.212, 18:45)но это же не ее ребенок. какая у нее мотивация то??по ходу,и её ребёнок ничем не повлиял на её алкоголизмхххСудьбаххх1.12.212, 18:4Сообщение#15НовичокГруппа: Участники форумаСообщений: 11Регистрация: 9.12.212Пользователь №: 19 355алкоголизм -это страшная вещь!Оссобенно еслипьетженщина.И сами вы ни за что не вылечите это.Самое главное чтоб она захотела , а не вы!Увы тут советом мало поможешь ,только разве добрым словом.Пока человек сам не поймет ,что его пьянство несет в себе разрушительный характер,пока не столкнется с бедой -увы.Можно только ограничить в финансовом плане тогда не за что будет покупать.Грёза1.12.212, 18:54Сообщение#16УчастникГруппа: Участники форумаСообщений: 44Регистрация: 7.12.212Пользователь №: 19 276хххСудьбаххх, я ее не снабжаю деньгами. Она пока что работает, до пенсии еще несколько лет. Но, думаю, и тогда найти на пиво не станет проблемой, к сожалению. За советы спасибо, честное слово. Меня эта проблема гложет довольно давно, хорошо, что есть кому высказаться._Я_1.12.212, 19:1Сообщение#17УчастникГруппа: Участники форумаСообщений: 69Регистрация: 1.12.212Пользователь №: 19 419свинья болото везде найдёт...так и алкоголикваша мать сама себе только может помочь,и никак иначеГрёза11.12.212, 13:23Сообщение#18УчастникГруппа: Участники форумаСообщений: 44Регистрация: 7.12.212Пользователь №: 19 276А так бывает вообще? Какое-то чудо просто, даже не представляю, как такое может случиться._Я_11.12.212, 14:4Сообщение#19УчастникГруппа: Участники форумаСообщений: 69Регистрация: 1.12.212Пользователь №: 19 419Цитата(Грёза @ 11.12.212, 13:23)А так бывает вообще? Какое-то чудо просто, даже не представляю, как такое может случиться.бываету моего одноклассника матьпилавсюжизньи только на старости лет завязала,не знаю что повлияло,здоровье конечно уже никакое,в последние несколько лети соседка завязала,но по причине цирроза печениГрёза15.12.212, 15:2Сообщение#2УчастникГруппа: Участники форумаСообщений: 44Регистрация: 7.12.212Пользователь №: 19 276(грустно улыбаюсь) конечно, чего уж тут думать, цирроз это серьезно...",,
Family&Relationships,, Такая же ситуация.,,
Family&Relationships,," Сложно уйти от это пагубной привычки. К сожаление, зачастую только какие то болезни останавливают.",,
Family&Relationships,," Прочитала, загрустила. Я так понимаю, что Вашу маму пристрастил отец к выпивке. Проблема тех кто понемножкувыпивает в том, что они не воспринимают себя критично и у них все в порядке. Вам надо решать вопрос о переезде, в основном из-за ребенка. Может проанализировать ситуацию и попытаться как-то финансовые потоки перераспределить. Например, если у Вас только мама в квартире прописана и зарплата/пенсия у неё небольшая, подумать об оформлении субсидии на квартплату или что-то в этом роде...",,
Family&Relationships,," Пока ваша мама сама не захочет, то ей нечем помочь. Она должна сама осознать свою проблему, закодироваться, и начать нормальную жизнь. А если она даже не видит проблемы, то вы ей не докажете. А где она деньги берёт на выпивку? Может если ей не на что будет пить, она и не будет.",,
Family&Relationships,," точно. только она сама себе поможет, если поймет и захочет измениться. а так.. смотрю, алкоголизм и правда очень распространенная проблема..",,
Family&Relationships,," Посоветовать, к сожалению (для себя - к счастью!), из практики ничего не смогу. Но решение проблемы начинать нужно именно с того, чтобы выпивающая мама осознала, поняла, что с ней происходт ""не так"". Или же, действительно, разъезжаться с ней. Свой ребенок - дороже. Хотя, конечно, со стороны так слишком просто советовать.",,
Family&Relationships,," Да главное понимают ведь, что пьянство ведет к неизлечимым болезням и все равно пьют. Тот же цирроз печени между прочим достаточно частое явление, но мало кого это останавливает.",,
Family&Relationships,," Фаина, да, мой отец допился до цирроза печени  Только это его остановило. После диагноза уже два года не пьет, соблюдает диету, терапию проходит. Очень грустно, что только это его остановило.",,
Family&Relationships,," Сложно понять таких людей, честно. У меня мама пристрастилась к алкоголю. Причем совмещает его с очень сильными лекарствами (у нее много проблем со здоровьем, ну и возраст уже как бы). А терапия в чем заключается? Дорогостоящая?",,
Family&Relationships,," Отцу уколы мама делает, препарат не очень дорогой, но уж правда не в цене дело. Гептронг, можете почитать о нем, но он рецептурный. Так что постоянно у врача наблюдается и сдает анализы. Это тот вопрос, который нельзя запускать. Сил вашей маме. Может, кодирование ей предложить или реабилитацию пройти? Мешать алкоголь с лекарствами прямо очень не хорошо ",,
Family&Relationships,," Жалко маму, нужна мотивация и поддержка! Есть примеры знакомых, которые справлялись с зависимостью и жили счастливо, хороший сайт, многим помог hps://lkogole.sie/",,
Family&Relationships,," От мужа в свое время натерпелась всякого и деньги выносил и руку поднимал.У нас была проблема запойности,Чуть крышку понюхал,всё, неделю в ауте.В какой то момент мне это надоело.Искала средство чтобы избавиться от недуга,чтобы безхимии, муж уже не молодой, потенция слабенькая. И вот,спустя долгие поиски нашла.Скажу коротко, будут трудности, зато результат не заставлял себя ждать. Через месяц застолья превращались в ""Я попью сок или компот"".Вот ссылкаhps://bily.su/mmDqpuВсем любви и семейного счастья.",,
