en,ru
"so, there's definitely hazards to going camping if you don't know what you're looking at","итак, в походе определенно есть опасность, если вы не знаете, на что смотрите"
"Yes,","Да,"
yes.,да.
"Oh, shoot.","О, черт."
Oh.,Ой.
"But now, I enjoy it every once in a while,","Но теперь я наслаждаюсь этим время от времени,"
"I mean, it's not something I'd want to do real often.","Я имею в виду, это не то, чем я хотел бы заниматься очень часто."
Uh-huh.,Угу.
I'm a sissy.,Я неженка.
Yeah.,Да.
I either want to do it in the fall or spring.,"Я хочу сделать это либо осенью, либо весной."
Right.,Верно.
Right.,Верно.
You know?,Ты знаешь?
Definitely when it's cool.,"Определенно, когда это круто."
Yes.,Да.
"Well, have you done much camping around Texas?","Ну, а вы часто ходили в походы по Техасу?"
"Well, not really because usually it's when we go off, you know, like for a couple weeks or so.","Ну, не совсем, потому что обычно это когда мы уезжаем, ну, знаешь, примерно на пару недель."
Uh-huh.,Угу.
Uh-huh.,Угу.
It's usually like that.,Обычно так и бывает.
Yeah.,Да.
"Well, have you camped all over the United States?","Ну что, вы разбили лагерь по всем Соединенным Штатам?"
Just about.,Только о.
Wow.,Вау.
Just about.,Только о.
"See now I haven't so that,","Видите ли, теперь у меня нет, так что,"
I bet you that's an experience there.,"Держу пари, что там есть такой опыт."
"Oh, it really is.","О, это действительно так."
Uh-huh.,Угу.
It really is.,Это действительно так.
Uh-huh.,Угу.
Also I said we mostly did ours before we started a family.,"Также я сказал, что мы в основном занимались своим делом до того, как завели семью."
"Right,","Правильно,"
right.,верно.
It's a lot easier then.,Тогда все намного проще.
"Well, I know my parents like to camp a lot,","Ну, я знаю, что мои родители очень любят отдыхать в лагере,"
"and they, uh, they've been going to Gulf Shores, Alabama. And, uh, which is really, really neat.","и они, э-э, они собирались в Галф-Шорс, штат Алабама. И, э-э, это действительно, очень мило."
"Oh, uh-huh.","О, угу."
"They said they've got the white beaches and the sand,","Они сказали, что у них есть белые пляжи и песок,"
Yes.,Да.
"and it's not real populated so they can, they feel like they're in the outdoors and still close to the ocean.","и это не совсем населенный пункт, так что они могут, они чувствуют, что находятся на открытом воздухе и все еще близко к океану."
Uh-huh.,Угу.
"And, uh, from what I understand from them it's really, really pretty there.","И, э-э, из того, что я понял от них, там действительно, очень красиво."
Oh.,Ой.
I'd like to go anywhere.,Я бы хотел пойти куда угодно.
"You know, I just like to go.","Ты знаешь, мне просто нравится ходить."
"Uh-huh,","Ага,"
uh-huh.,угу.
I really do.,Я действительно хочу.
"Well, have you done much camping up in Kentucky and, and those parts, in the mountains?","Ну, а вы часто бывали в кемпингах в Кентукки и в тех краях, в горах?"
"No,","Нет,"
"not really,","не совсем,"
not that much.,не так уж много.
"Um, we've been, well, we've been to Wyoming, you know, and Kentucky and Montana and, you know, places like that.","Эм, мы были, ну, мы были в Вайоминге, вы знаете, и в Кентукки, и в Монтане, и, вы знаете, в подобных местах."
But usually if we're with a group of people we really don't stay any one place very long.,"Но обычно, если мы с группой людей, мы действительно не задерживаемся надолго в одном месте."
Uh-huh.,Угу.
"You know, like if we're just going through and they camp one night and then head on.","Знаешь, как если бы мы просто проходили мимо, а они разбили лагерь на одну ночь, а потом отправились дальше."
"Right,","Правильно,"
right.,верно.
"But now that we have children and we go every blue moon, I'd rather just go to Galveston. You know","Но теперь, когда у нас есть дети и мы ездим туда каждую голубую луну, я бы предпочел просто поехать в Галвестон. Ты знаешь"
Yeah,Да
"Oh, yeah,","О, да,"
"yeah,","да,"
"yeah,","да,"
"Yes,","Да,"
yes.,да.
Yes.,Да.
"But we're, uh, we're getting more into it","Но мы, э-э, мы углубляемся в это"
"and we've done, uh, we've done quite a bit","и мы сделали, э-э, мы сделали совсем немного"
"and, uh, uh, the kids like to go out, you know, as often as they can.","и, э-э-э, дети любят гулять, знаете ли, так часто, как только могут."
Uh-huh.,Угу.
"Um, so that's good.","Эм, так что это хорошо."
"You know, they're, they're becoming enthusiasts then of camping.","Вы знаете, тогда они, они становятся энтузиастами кемпинга."
Uh-huh.,Угу.
It is.,Это.
My children really enjoys it.,Моим детям это действительно нравится.
They really do.,Они действительно это делают.
"But by the time we really get a chance to it's July, you know,","Но к тому времени, когда у нас действительно появляется шанс, уже июль, ты знаешь,"
Right.,Верно.
and it's so hot.,и здесь так жарко.
"Uh-huh,","Ага,"
uh-huh.,угу.
And our camper doesn't have an air conditioner.,И в нашем кемпере нет кондиционера.
"Oh, yeah.","О, да."
"Yeah,","Да,"
it's one of those pop-ups.,это одно из тех всплывающих окон.
"I'm sure you could put one in probably,","Я уверен, что вы могли бы вставить один, вероятно,"
Uh-huh.,Угу.
but we hadn't did that.,но мы этого не сделали.
"Uh-huh,","Ага,"
uh-huh.,угу.
"Yeah,","Да,"
"well, that's really neat.","что ж, это действительно здорово."
"Yes,","Да,"
"Well,","Что ж,"
we all enjoy camping.,мы все любим ходить в походы.
"And they're, you know, they're in like and scouts and stuff like that, you know, so, they get to go camping in those organizations also.","И они, вы знаете, они состоят в таких организациях, как скауты и тому подобное, вы знаете, так что они тоже могут ходить в походы в этих организациях."
Uh-huh.,Угу.
Uh-huh.,Угу.
"At least their Daddy goes with them,","По крайней мере, их папа ходит с ними,"
"I don't, when they do that.","Я этого не делаю, когда они это делают."
Yeah.,Да.
"But, That really is.",Но это действительно так.
Yeah.,Да.
"Oh, that's neat.","О, это здорово."
That's really neat.,Это действительно здорово.
"Well, how old is your boys, your children?","Ну, а сколько лет вашим мальчикам, вашим детям?"
"Well, I, well, I have, um, a son that's, uh, going to be eleven here pretty soon, and then a daughter that's thirteen.","Ну, я, ну, у меня есть, эм, сын, которому, эм, скоро здесь исполнится одиннадцать, а потом дочь, которой тринадцать."
Uh-huh.,Угу.
"So, they're, they're getting old enough to where they can help out with a campfire and, cooking and, and all that kind of stuff too.","Итак, они, они становятся достаточно взрослыми, чтобы помогать разводить костер и готовить еду, и все такое прочее тоже."
"Oh, yes.","О, да."
Yeah.,Да.
Yes.,Да.
"So, that's, that's really neat.","Так что это, это действительно здорово."
It really is.,Это действительно так.
Mine's eleven and eight.,У меня одиннадцать и восемь.
Uh-huh.,Угу.
"So, they really enjoy it too.",Так что им это тоже действительно нравится.
"Yeah,","Да,"
yeah.,да.
"Yeah,","Да,"
"I, I agree with you.","Я, я согласен с тобой."
They like to get out there,Им нравится бывать там
"and, but this wasn't so fun this last time for Nathan to, to get out there","и, но в прошлый раз Натану было не так весело выходить на улицу"
and he didn't realize he was touching poison ivy,"и он не осознавал, что прикасается к ядовитому плющу"
and it got all into his eye,и все это попало ему в глаз
and it was really swollen,и она была действительно распухшей
"and, uh, so they had to give him shots and everything,","и, э-э, так что им пришлось делать ему уколы и все такое,"
so.,так.
"oh, well, maybe next time he'll stay away from those particular trees, or what, bushes, whatever they are","о, ну, может быть, в следующий раз он будет держаться подальше от этих конкретных деревьев, или что там, кустов, что бы это ни было"
"Yeah,","Да,"
yes.,да.
Yes.,Да.
Oh.,Ой.
"But I have, uh, brother-in-law and a sister, you know, that just really just camp.","Но у меня есть, э-э, шурин и сестра, вы знаете, которые просто действительно просто отдыхают."
"You know, they love to go camping.","Вы знаете, они любят ходить в походы."
Uh-huh.,Угу.
"They could, they would all the time they wanted, you know, wanted to because there's nothing holding them back.","Они могли бы, они делали бы это все время, когда хотели, вы знаете, хотели, потому что их ничто не сдерживает."
Uh-huh.,Угу.
Uh-huh.,Угу.
But I'm just not that involved in it.,Но я просто не настолько в этом замешан.
"No,","Нет,"
now I like to go out like several times a year.,теперь мне нравится выходить куда-нибудь примерно несколько раз в год.
Yeah.,Да.
"But not on a, on the regular basis.",Но не на регулярной основе.
"I have some friends who go out every single weekend, when, you know, in the season.","У меня есть несколько друзей, которые выходят куда-нибудь каждые выходные, когда, ну, вы знаете, в сезон."
Oh.,Ой.
Uh-huh.,Угу.
"Uh, and, and I just couldn't do that, you know.","Э-э, и, и я просто не мог этого сделать, ты знаешь."
"Me, I haven't really as far as entertainment,","Что касается меня, то я на самом деле не так уж далек от развлечений,"
I don't know what you would do every you know.,"Я не знаю, что бы ты сделал, если бы знал."
"Yeah,","Да,"
yeah.,да.
"But I guess, my entertainment's, television, I guess","Но, я думаю, мое развлечение - это телевидение, я думаю"
Just getting away.,Просто убегаю.
"Yeah,","Да,"
"right,","право,"
"right,","право,"
"see, I see, they just want to get away.","видишь, я вижу, они просто хотят убраться подальше."
Uh-huh.,Угу.
"But every Friday night they'll go home, you know, straight from work","Но каждую пятницу вечером они, знаете ли, идут домой прямо с работы"
and they'll pack up,и они соберут вещи
"and, you know, and then they'll leave,","и, вы знаете, а потом они уйдут,"
"and I'm just going, you know,","и я просто ухожу, ты знаешь,"
"by Friday night I just want to crash, you know,","к вечеру пятницы я просто хочу завалиться спать, ты знаешь,"
"and I want to go home and, you know, do all that, and then, uh, get out on the road to boot,","и я хочу пойти домой и, знаете, сделать все это, а потом, э-э, отправиться в путь в придачу,"
"Oh, I don't either","О, я тоже не знаю"
so.,так.
Uh-huh.,Угу.
But anyway that's their life,Но в любом случае такова их жизнь
Yes.,Да.
"But they probably live in a city also,","Но они, вероятно, тоже живут в городе,"
don't they?,не так ли?
"Yeah,","Да,"
"yeah,","да,"
that's true.,это правда.
"Well, see, we're in a real small county area,","Ну, видите ли, мы находимся в действительно маленьком округе,"
Uh-huh.,Угу.
"and, you know, that makes a big difference.","и, вы знаете, это имеет большое значение."
Now that's true.,Теперь это правда.
That's true.,Это правда.
"Because if we want to go camping we can just go just a few miles, you know","Потому что, если мы захотим отправиться в поход, мы можем просто пройти всего несколько миль, понимаешь"
Yeah,Да
That's true.,Это правда.
That makes a difference.,Это имеет значение.
"Well, it was nice talking with you.","Что ж, было приятно с тобой поговорить."
"It was nice talking to you too,","С тобой тоже было приятно поговорить,"
Okay.,Хорошо.
and we'll probably be talking to you again.,"и мы, вероятно, еще поговорим с вами."
"Okay,","Окей,"
"well, take care.","что ж, береги себя."
"okay,","окей,"
bye-bye.,пока-пока.
Bye-bye.,Пока-пока.
"So, do you have any credit cards?","Итак, у вас есть какие-нибудь кредитные карты?"
"Yes,","Да,"
I do.,Я делаю.
"I keep, uh, I have an American Express, and a Visa card that I keep, you know, kind of for emergency purposes,","У меня есть, э-э, American Express и карта Visa, которую я храню, знаете, вроде как на экстренные случаи,"
"and I have, you know, I use a gasoline credit card which I, you know, pay off every, every month.","и у меня есть, вы знаете, я пользуюсь кредитной картой на бензин, которую я, вы знаете, погашаю каждый, каждый месяц."
Uh-huh.,Угу.
Okay.,Хорошо.
"But I've, I've gotten rid of all of the credit cards, you know, that I possibly could,","Но я, я избавился от всех кредитных карточек, вы знаете, от которых я, возможно, мог бы,"
and my balances are practically zero on the ones that I have.,"и мои балансы практически равны нулю по сравнению с теми, что у меня есть."
"Especially since, you know, it's no longer after this year,","Тем более, что, вы знаете, это больше не после этого года,"
"or after tax year nineteen ninety, there's no deductions for, you know, credit card interest that you pay.","или после тысяча девятьсот девяностого налогового года не будет никаких вычетов, ну, вы знаете, процентов по кредитной карте, которые вы платите."
Uh-huh.,Угу.
"So it's a, you know, gosh,","Так что это, знаете ли, черт возьми,"
"credit cards run, what, anywhere from, up to eighteen, nineteen percent, I guess.","по кредитным картам начисляется, я думаю, где-то от восемнадцати до девятнадцати процентов."
Yeah.,Да.
It's just a bad deal.,Это просто плохая сделка.
"Course, there are emergencies, you know, that you, you know, probably need to have a card.","Конечно, бывают чрезвычайные ситуации, вы знаете, что вам, вы знаете, вероятно, понадобится карточка."
"Yeah,","Да,"
I have one card.,У меня есть одна карточка.
"Uh-huh,","Ага,"
"that's, that's probably enough.","этого, наверное, достаточно."
"And I try not to use it,","И я стараюсь не использовать это,"
"but right now, it's maxed out",но прямо сейчас он на пределе
Absolutely.,Абсолютно.
"It's, it's very easy to, you know, to do that or, you know, to abuse it,","Это, это очень легко, вы знаете, сделать это или, вы знаете, злоупотребить этим,"
it really is.,это действительно так.
Uh-huh.,Угу.
"It's so easy to pull out the plastic,","Так легко вытащить пластик,"
"but we're trying our best not to, not to add any, you know, credit card debt to our structure here.","но мы стараемся изо всех сил не добавлять никаких, ну, вы знаете, долгов по кредитным картам к нашей здешней структуре."
Yeah.,Да.
"Um, I have, uh,","Эм, у меня есть, эм,"
"the thing that bothers me worse than the credit cards, I think, is, uh, you mentioned the gasoline credit card.","думаю, что больше, чем кредитные карты, меня беспокоит то, что вы упомянули кредитную карту на бензин."
Uh-huh.,Угу.
"I don't have that,","У меня этого нет,"
"but I've got, you know, one of the the, the instant teller cards that you can use for point of sale purchases.","но у меня есть, знаете ли, одна из карт мгновенного обмена, которые вы можете использовать для покупок в торговых точках."
Uh-huh.,Угу.
Uh-huh.,Угу.
"And we use that usually to buy gasoline,","И мы обычно используем это для покупки бензина,"
and it's just it's really amazing how quickly that goes.,"и просто это действительно удивительно, как быстро это происходит."
Uh-huh.,Угу.
Uh-huh.,Угу.
I'm sure you're right.,"Я уверен, что ты прав."
"I don't, I don't, I don't participate in that,","Я не, я не, я не участвую в этом,"
"but, you know, a lot of folks do.","но, вы знаете, многие люди так и делают."
Uh-huh.,Угу.
"Yeah,","Да,"
"at least with the, uh, gasoline company credit cards you have, you know, up to thirty, twenty-five, thirty days, you know, interest free for it.","по крайней мере, с кредитными картами бензиновой компании у вас есть, ну, знаете, до тридцати, двадцати пяти, тридцати дней, ну, знаете, беспроцентный кредит."
Yeah.,Да.
"But, you know, the instant thing may be, may, may be the way of the future to, you know, to replace checks and every other thing.","Но, вы знаете, мгновенная вещь может быть, может, может быть способом в будущем, вы знаете, заменить чеки и все остальное."
"Yeah,","Да,"
"that's what they've, they've talked about it.","вот что у них есть, они говорили об этом."
Yeah.,Да.
Course it eliminates any waiting period.,"Конечно, это устраняет любой период ожидания."
It certainly does.,"Это, безусловно, так."
God help those people who have to float checks occasionally because you won't be able to with that.,"Да поможет Бог тем людям, которым время от времени приходится выставлять чеки, потому что вы не сможете этого сделать."
Absolutely.,Абсолютно.
That's right.,Верно.
Do you get any sort of discount when you use a card like that?,"Получаете ли вы какую-либо скидку, когда пользуетесь такой картой?"
No.,Нет.
I see.,Понимаю.
"Oh, it was, well,","О, это было, ну,"
"they consider it to be the same as cash well, cause it actually is.","они считают, что это то же самое, что наличные деньги, потому что так оно и есть на самом деле."
"I see,","Я вижу,"
I see.,Понимаю.
"It certainly is,","Это, безусловно, так,"
yeah.,да.
Yeah.,Да.
It's better than cash,"Это лучше, чем наличные"
Uh-huh.,Угу.
"They don't even have to deposit it,","Им даже не нужно вносить его на депозит,"
it just goes straight in there.,это просто попадает прямо туда.
That's right.,Верно.
No returned checks or anything.,Никаких возвращенных чеков или чего-то еще.
Right.,Верно.
Yeah.,Да.
"No,","Нет,"
"I, I understand it's becoming, you know, the popular thing to do.","Я, я понимаю, что это становится, знаете ли, популярным занятием."
"We're not participating in that particular program at the moment,","В данный момент мы не участвуем в этой конкретной программе,"
and I don't really perceive doing it unless we absolutely have to.,"и я на самом деле не думаю, что мы будем делать это без крайней необходимости."
Uh-huh,Ага
"But, uh, I have in times past gotten into a bit of trouble with credit cards.","Но, э-э, в прошлом у меня были небольшие проблемы с кредитными картами."
"It's just, you know, too easy to do.","Просто, знаете ли, это слишком легко сделать."
"Yeah,","Да,"
"but I'm so glad he told me that when, that they, they got to such a point with their credit cards they didn't want to cut them up because they were afraid sometime they might actually need them.","но я так рада, что он сказал мне, что когда, что они, они дошли до такого состояния со своими кредитными картами, они не хотели их разрезать, потому что боялись, что когда-нибудь они им действительно могут понадобиться."
That's right.,Верно.
"They paid them off,","Они расплатились с ними,"
and then they stuck them in a thing of water and froze them.,а потом они опустили их в емкость с водой и заморозили.
She said at least before she could use them she'd have to thaw them out.,"Она сказала, что, по крайней мере, прежде чем она сможет ими воспользоваться, ей придется их разморозить."
"I mean, that's funny.","Я имею в виду, это забавно."
"Well, that's a novel idea.","Что ж, это новая идея."
"Yeah,","Да,"
"that would cause you think a little while, wouldn't it.","это заставило бы вас немного задуматься, не так ли?"
That may not be a bad idea.,"Возможно, это неплохая идея."
"But I'm kind of getting a little more leery of credit cards, you know, as time goes by.","Но, знаете, с течением времени я начинаю относиться к кредитным картам с некоторым недоверием."
Unless you just absolutely have to.,Если только вам просто не будет абсолютно необходимо.
"Now, there are times when you'd at least think you do, anyway.","Так вот, бывают моменты, когда ты, по крайней мере, думаешь, что знаешь, во всяком случае."
Yeah.,Да.
Yeah.,Да.
"I, I want to still have just one just in case.","Я, я хочу все еще иметь только один на всякий случай."
Yeah.,Да.
"But, I'd sure want to get the, get it paid down and not use it for a while","Но я бы точно хотел получить, оплатить его и не использовать какое-то время"
Uh-huh.,Угу.
Yeah.,Да.
That's right.,Верно.
"My wife and I really, I guess are fortunate.","Нам с женой действительно, я думаю, повезло."
"We're really not compulsive shoppers, you know.","Вы знаете, мы на самом деле не заядлые покупатели."
Uh-huh.,Угу.
"We, we plan purchases, you know, pretty well, you know, watch for the best buys, things like that.","Мы, мы планируем покупки, вы знаете, довольно хорошо, вы знаете, следим за лучшими покупками и тому подобное."
"But, uh, some people have a real problem with it.","Но, э-э, у некоторых людей с этим настоящая проблема."
Yeah.,Да.
"Well, our, our limit is, you know, fairly low","Ну, наш, наш лимит, знаете ли, довольно низок"
Uh-huh.,Угу.
"and, uh, so that's, that's one thing that's good.","и, э-э, так что это, это одна вещь, которая хороша."
Sure.,Конечно.
Absolutely.,Абсолютно.
Yeah.,Да.
"Oh, I've got another call.","О, у меня еще один звонок."
"Oh, I'm sorry.","О, мне очень жаль."
Was nice talking to you.,Было приятно с тобой поговорить.
Okay.,Хорошо.
Take care.,Заботиться.
All right.,Все в порядке.
Bye-bye.,Пока-пока.
Bye-bye.,Пока-пока.
All right.,Все в порядке.
"Well, um, we lived,","Ну, эм, мы жили,"
"I grew up in San Antonio,","Я вырос в Сан-Антонио,"
"and I was used to the heat,","и я привык к жаре,"
"and I was used to what couldn't grow down there,","и я привык к тому, что не могло там вырасти,"
"and we had a small, um, farm house out in Castroville which is just, uh, to the west of San Antonio","и у нас был небольшой, эм, фермерский дом в Кастровилле, который находится просто, эм, к западу от Сан-Антонио"
Uh-huh.,Угу.
"and we in did a lot of gardening out there, and, uh, mostly in raised beds so we could keep the, uh, soil nice, because basically out there it was mostly a clay soil, very hard to, to grow, very hard to cultivate,","и мы там много занимались садоводством, и, э-э, в основном на приподнятых грядках, чтобы поддерживать, э-э, почву в хорошем состоянии, потому что в основном там была глинистая почва, которую очень трудно выращивать, очень трудно возделывать,"
"and when we came up, here, uh, to California, uh, we're in the Monterrey area,","и когда мы приехали сюда, э-э, в Калифорнию, э-э, мы находимся в районе Монтеррея,"
"and it's very, uh, nice sandy soil, rich soil,","и это очень, э-э, приятная песчаная почва, богатая почва,"
"and the weather is perfect for growing just about anything you want to grow so we've been out here, well, really in the house since December,","и погода идеальна для выращивания практически всего, что вы хотите вырастить, так что мы здесь, ну, по-настоящему в доме, с декабря,"
How fine.,Как прекрасно.
"and we've been uh, planting flowers that we could never plant, in San Antonio because the heat would just dry them up after, you know, about three good weeks of nice weather before the heat started","и мы сажали цветы, которые никогда не смогли бы посадить в Сан-Антонио, потому что жара просто высушила бы их после, знаете ли, примерно трех хороших недель хорошей погоды, прежде чем началась жара"
Um.,Хм.
"and here they are supposed to last year around so we have some really pretty flowers growing,","и здесь они должны простоять весь год, так что у нас растет несколько действительно красивых цветов,"
Oh boy.,О боже.
"and, uh, we're at the edge of a forest area, so there's a lot of pine mulch","и, э-э, мы находимся на краю лесного массива, так что там много сосновой мульчи"
Uh-huh.,Угу.
Just about anything you would want in Texas as a gardener is here just around us.,"Практически все, что вы хотели бы иметь в Техасе в качестве садовника, находится здесь, рядом с нами."
We got here at the end of about a four year drought.,Мы добрались сюда в конце примерно четырехлетней засухи.
We've had a whole lot of rain.,У нас было очень много дождя.
"Uh, it's been raining pretty much continually now, uh, off and on, maybe one day of break, for about a month.","Э-э, сейчас почти постоянно идет дождь, э-э, время от времени, может быть, один день перерыва, около месяца."
"So,","Так,"
Oh really.,"О, действительно."
"Yeah,","Да,"
"we're getting replenished,","мы пополняемся,"
"and so there is,","и так есть,"
"when I first came here everything was yellow,","когда я впервые приехал сюда, все было желтым,"
the grass was dead everywhere.,трава повсюду была мертвой.
"And now with all the rain everything is just gorgeous, lush and green and beautiful,","А сейчас, после всех этих дождей, все просто великолепно, пышно, зелено и красиво,"
and I hope that it holds out here after the summer.,"и я надеюсь, что это продлится здесь и после лета."
Wow.,Вау.
"But, uh, that has been the major change that we have noticed in gardening,","Но, э-э, это было главное изменение, которое мы заметили в садоводстве,"
"and that's about the extent of what we've done, just a little bit on the patio, and waiting for the rain to subside so we can mow.","и это примерно то, что мы сделали, просто немного посидели во внутреннем дворике и подождали, пока утихнет дождь, чтобы мы могли косить."
"We, after about a month, we finally got to mow this weekend.","Мы, примерно через месяц, наконец-то добрались до косьбы в эти выходные."
"But, um, we're just so happy to see green.","Но, эм, мы просто так рады видеть Грина."
It's just so nice.,Это просто так мило.
We haven't really done too much else other than that.,"На самом деле мы не так уж много сделали, кроме этого."
"Um. Well we just moved to our first home,","Хм. Ну, мы только что переехали в наш первый дом,"
and we had lived in a condominium before.,и раньше мы жили в кондоминиуме.
So we didn't have any lawn and garden type duties.,Так что у нас не было никаких обязанностей по уходу за газоном и садом.
So we're just learning the ropes here,Так что мы здесь просто осваиваем азы
"and,","и,"
Uh-huh.,Угу.
"But when we moved in, um,","Но когда мы переехали, эм,"
our backyard has so many tall trees in it that there there wasn't even a blade of grass in the backyard.,"на нашем заднем дворе так много высоких деревьев, что на заднем дворе не было даже травинки."
Uh-huh.,Угу.
"So we're, you know, going, talking to some of our friends that are landscapers and things, and learning about different kinds of grass.","Итак, мы, знаете ли, идем, разговариваем с некоторыми нашими друзьями, которые занимаются ландшафтным дизайном и тому подобным, и узнаем о разных видах травы."
"We trying to go, grow grass,","Мы пытаемся уйти, вырастить траву,"
"and it just seems so funny to me that, when I grew up in Missouri,","и мне просто кажется таким забавным, что, когда я вырос в Миссури,"
and you didn't have to worry about growing grass there.,"и вам не нужно было беспокоиться о том, что там вырастет трава."
It just happened automatically.,Это просто произошло автоматически.
So do you have to get a shade tolerant grass?,"Итак, нужно ли вам приобретать теневыносливую траву?"
"Is that what you're,","Это то, что ты,"
Yes.,Да.
We are.,Мы.
"We tried, we planted some fescue last, um, fall","Мы пытались, мы посадили немного овсяницы прошлой, эм, осенью"
Uh-huh.,Угу.
"and it's really, really pretty,","и это действительно, действительно красиво,"
"it stayed pretty, pretty green throughout the winter,","она оставалась красивой, очень зеленой всю зиму,"
and it's pretty,и это довольно
"it's not as thick and as nice,","он не такой густой и приятный,"
"it doesn't look like it can withstand too much, you know.","знаете, не похоже, чтобы он мог выдержать слишком много."
Oh.,Ой.
"Does that last through the summer, too?",Это тоже продлится все лето?
"It's supposed to die off like in August,","Предполагается, что он отмернет, как в августе,"
and then you replant it in September,а потом вы пересаживаете его в сентябре
"and, So, but we don't,","и, итак, но мы не,"
Oh.,Ой.
"the Saint Augustine and all that supposedly was back there just wasn't,","Святой Августин и все, что предположительно было там, просто не было,"
"like I say, there really wasn't even one blade of grass in the backyard.","как я уже сказал, на заднем дворе действительно не было ни одной травинки."
Uh-huh.,Угу.
"And, um, so mostly, you know, we're not even to the point where we're getting into flowers, and flower beds or even gardens, that, we're just saying, let's get some grass","И, эм, так что в основном, вы знаете, мы даже не дошли до того, чтобы заниматься цветами, клумбами или даже садами, что мы просто говорим: давайте посадим немного травы"
Just get grass to grow.,Просто дайте траве вырасти.
Let's get grass so that the kids can play in the yard and not have to be worried about the dirt so much. You know.,"Давайте посадим траву, чтобы дети могли играть во дворе и не так сильно беспокоиться о грязи. Ты знаешь."
"Well, when we had our house, um, out in Castroville, the problem with ours is that the, uh, plots there are a third of an acre And trying to keep grass alive during a summer on a piece of ground that big was expensive","Ну, когда у нас был наш дом, эм, в Кастровилле, проблема с нашим была в том, что, эм, участки там занимают треть акра, и пытаться сохранить траву живой в течение лета на таком большом участке земли было дорого"
Uh-huh.,Угу.
Oh yeah.,О да.
To water it,Чтобы полить его
"and, uh, and eventually, well, especially when it was so bad last year, well, I guess it was the year before now, uh, it was so hot that year,","и, э-э, и в конце концов, ну, особенно когда в прошлом году было так плохо, ну, я думаю, это было в позапрошлом году, э-э, в том году было так жарко,"
that was the year that I think it started out a hundred in February.,"это был тот год, когда, по-моему, все началось с сотни в феврале."
Oh no.,О нет.
"Um, we were just watering all the time.","Эм, мы просто все время поливали."
"Finally what we did was we said, we're going to have to let the back yard die.","В конце концов, что мы сделали, так это сказали, что нам придется позволить заднему двору умереть."
"It's going to have to do whatever it's going to do because, we can't really afford the front yard.","Ему придется делать все, что он собирается делать, потому что на самом деле мы не можем позволить себе передний двор."
"On its own,","Сам по себе,"
Uh-huh.,Угу.
"And so when we left, you know, the back yard had some, um,","И поэтому, когда мы уходили, вы знаете, на заднем дворе было немного, эм,"
I think it was Saint Augustine that we had.,"Я думаю, что у нас был святой Августин."
