en,ru
Yeah.,Да.
"So. Uh,","Так что... Э-э,"
"I'm more interested in trying to understand what's going on in the world  rather than simply being aware that, you know, there, that an event has occurred","Меня больше интересует попытка понять, что происходит в мире, а не просто осознание того, что, знаете ли, там произошло какое-то событие"
Yeah.,Да.
Yeah.,Да.
"I, I like to stand back and get a slightly bigger picture.","Я, мне нравится отойти в сторону и получить немного более широкую картину."
Maybe because I'm easily confused by detail.,"Может быть, потому, что меня легко сбить с толку деталями."
I don't know,Я не знаю
Uh-huh.,Угу.
"Yeah,","Да,"
I know what you're saying.,"Я знаю, о чем ты говоришь."
Yeah.,Да.
So.,Так.
But I try and catch most of those programs on Wednesday's and Friday's,Но я стараюсь смотреть большинство этих программ по средам и пятницам
"and if I miss them, I try you know, I try and, and tape them if I'm out that kind of thing,","и если я скучаю по ним, я стараюсь, вы знаете, я стараюсь и, и записываю их на пленку, если я не занимаюсь подобными вещами,"
I try and tape them,Я пытаюсь записать их на пленку
and so I can sit back and watch them.,и поэтому я могу сидеть сложа руки и наблюдать за ними.
And it's pretty interesting.,И это довольно интересно.
"When,","Когда,"
"you have young children, right?","у вас ведь есть маленькие дети, верно?"
Uh-huh.,Угу.
So those evening shows are probably also at a time when you're at liberty to take some time off and be in front of the T V set for awhile without interruption.,"Так что эти вечерние шоу, вероятно, также относятся к тому времени, когда вы вольны взять небольшой отпуск и некоторое время находиться перед телевизором без перерыва."
"Well, yeah.","Ну, да."
"Plus, I find that I have to video tape quite a bit of things","Кроме того, я обнаружил, что мне приходится записывать на видео довольно много вещей"
"Oh, you do?","О, ты это делаешь?"
Uh-huh.,Угу.
"If I don't want any interruptions, you know.","Если я не хочу, чтобы меня прерывали, ты знаешь."
Uh-huh.,Угу.
That kind of thing.,Что-то в этом роде.
When is your good watching time?,Когда у вас самое подходящее время для просмотра?
"Uh, it seems like ten o'clock at night","Э-э, кажется, сейчас десять часов вечера"
Uh-huh.,Угу.
Yes.,Да.
"Yeah,","Да,"
"that's what,","вот что,"
"Unfortunately,","К несчастью,"
"but that, that's what it seems like, ten o'clock at night.","но это, это то, на что это похоже, десять часов вечера."
I have older children and getting dinner on the table.,"У меня есть дети постарше, и я готовлю ужин на стол."
Uh-huh,Ага
I come from the east coast,Я родом с восточного побережья
"and I was,","и я был,"
"it amazed me when I got out here to the midwest and found out that even though they're an hour earlier in time, they still watch the news when,","меня поразило, когда я приехал сюда, на средний Запад, и обнаружил, что, несмотря на то, что они пришли на час раньше по времени, они все равно смотрят новости, когда,"
"Uh, in Texas they do have the, uh, capital punishment","Э-э, в Техасе действительно есть, э-э, смертная казнь"
"and, uh, I, I I, I'm probably one that has to agree with it too.","и, э-э, я, я, я, наверное, один из тех, кто тоже должен с этим согласиться."
"Uh, there","Э-э, там"
"some things that go on that I just feel that I, I, just feel, that, that, that is a need.","некоторые вещи, которые происходят, я просто чувствую, что я, я, просто чувствую, что это, это, это необходимость."
I don't know.,Я не знаю.
A lot of people don't feel that way either,Многие люди тоже так не думают
but I just feel that,"но я просто чувствую, что"
Well I don't know how much publicity it's gotten outside of the state,"Ну, я не знаю, какую огласку это получило за пределами штата"
"but California we just put somebody to death uh, for, I think it was a double murder.","но в Калифорнии мы только что приговорили кого-то к смерти, э-э, за, я думаю, это было двойное убийство."
Uh-huh.,Угу.
"Uh, to be honest, I didn't pay that much attention, uh, to the details of it. Uh,","Э-э, честно говоря, я не уделял особого внимания, э-э, деталям этого. Ух,"
but it had a lot of controversy out here.,но здесь было много споров.
"Uh, basically, because in California people like to protest about everything.","Э-э, в основном, потому, что в Калифорнии людям нравится протестовать по любому поводу."
"Uh, but I agree,","Э-э, но я согласен,"
"I believe that, that there are a number of crimes that capital punishment is the best way to go.","Я считаю, что существует ряд преступлений, за которые смертная казнь - лучший способ наказания."
Uh-huh,Ага
"Uh, the big disagreement I have is that in California, the appeals process, uh, is so extensive and takes so long that you end up spending a huge amount of money in like ten to fifteen years before you can actually, you know, put somebody to death for, for a crime.","Э-э, мое большое несогласие заключается в том, что в Калифорнии апелляционный процесс, э-э, настолько обширен и занимает так много времени, что в конечном итоге вы тратите огромную сумму денег примерно через десять-пятнадцать лет, прежде чем вы действительно сможете, ну, знаете, приговорить кого-то к смерти за преступление."
Yeah.,Да.
"Yeah,","Да,"
"that is a consequence,","это следствие,"
yeah.,да.
"And, I mean, that's, that's ridiculous.","И, я имею в виду, это, это нелепо."
"I mean if you can, you know, the trial is supposed to prove, you know, within a reasonable doubt that the person is guilty,","Я имею в виду, если вы можете, вы знаете, судебный процесс должен доказать, вы знаете, в пределах разумных сомнений, что человек виновен,"
and then they have appeals.,а потом у них есть апелляции.
"Well, that's fine","Что ж, это прекрасно"
"but it shouldn't take more, than a few years.","но это не должно занять больше, чем несколько лет."
"I mean, I should think  two or three years maximum, you should be able to know","Я имею в виду, я думаю, максимум через два или три года вы должны быть в состоянии знать"
Right.,Верно.
and you should be able to either put the guy to death,и вы должны быть в состоянии либо предать парня смерти
or he's innocent.,или он невиновен.
"I mean  it's, if he's guilty for, for, you know, multiple murders or whatever the case may be you know.","Я имею в виду, что если он виновен, ну, вы знаете, в нескольких убийствах или в чем бы там ни было, вы знаете."
Right.,Верно.
Uh-huh.,Угу.
Well maybe that's something that needs to be worked on.,"Что ж, возможно, это то, над чем нужно поработать."
Yeah.,Да.
"But I, I just feel that, that capital punishment needs to stay within the system.","Но я, я просто чувствую, что смертная казнь должна оставаться в рамках системы."
Not all states have them,Не во всех штатах они есть
"but I, you know, was that, was that the, I'm not sure if that was in,","но я, вы знаете, был тем, было ли это тем, я не уверен, было ли это в,"
"was that the man that, that claimed he was abused","был ли это тот человек, который утверждал, что над ним надругались"
"or,","или,"
"Yeah,","Да,"
"he was like, uh,","он был такой, э-э-э,"
"the   the  defense, the defense they're were giving, given was that, uh, like his mother had, had been an alcoholic when, when she was  pregnant with him","защита, которую они приводили, заключалась в том, что, э-э, как и его мать, была алкоголичкой, когда, когда она была беременна им"
And that he had,И что у него был
"he ,","он ,"
"Oh, yeah.","О, да."
"and so he, he wasn't, you know, mentally competent or anything else. Which is ridiculous,","и поэтому он, он не был, вы знаете, умственно компетентным или кем-то еще. Что просто смешно,"
Yeah.,Да.
"and, and the court found him competent, uh,","и, и суд признал его компетентным, э-э,"
and he knew what he was doing and everything else.,"и он знал, что он делал, и все остальное."
"I mean you know, it was, it was the best defense they could come up with.","Я имею в виду, вы знаете, это была лучшая защита, которую они могли придумать."
Yeah.,Да.
And how long had he been appealing,И как долго он подавал апелляцию
How long was that?,Как долго это было?
I forget.,Я забыл.
I think it was something like twelve years or something.,"Я думаю, это было что-то вроде двенадцати лет или что-то в этом роде."
Gosh.,Боже.
Boy.,Мальчик.
"It was, it was something really outrageous.","Это было, это было что-то действительно возмутительное."
Yeah,Да
"Boy. Well, I mean","Мальчик. Ну, я имею в виду"
"and it seems like it, it rarely does happen.","и похоже на то, что это случается редко."
"You know, it's not, it's not used that often you know. At least here in Texas","Ты знаешь, это не так, это используется не так часто, ты знаешь. По крайней мере, здесь, в Техасе"
Yeah.,Да.
but I think it's something that needs to stay.,"но я думаю, что это то, что должно остаться."
I really do,Я действительно хочу
"I think in general, uh, punishment in the United States is a lot weaker than it should be.","Я думаю, что в целом, э-э, наказание в Соединенных Штатах намного слабее, чем должно быть."
"I mean, it needs to be, you know,","Я имею в виду, так и должно быть, ты знаешь,"
"it's kind of like the, the justice system in the United States is kind of like the dog poops on the carpet","это похоже на то, что система правосудия в Соединенных Штатах похожа на то, как собака какает на ковер"
and you wait three months,и ты ждешь три месяца
and then you put his nose in it and spank him for it. You know.,а потом ты тыкаешь его в это носом и шлепаешь его за это. Ты знаешь.
Yeah.,Да.
"I mean there, there's no connection between the two.","Я имею в виду, что между этими двумя вещами нет никакой связи."
"Right,","Правильно,"
right.,верно.
Yeah.,Да.
"I mean you take these, you know, most of the people who are committing violent crimes, most of them, not all by any means,","Я имею в виду, вы берете этих, вы знаете, большинство людей, которые совершают насильственные преступления, большинство из них, не все никоим образом,"
"but, you know, a large percentage are the kind of people who are living very much day to day in the first place.","но, вы знаете, большой процент - это те люди, которые в первую очередь живут изо дня в день."
Uh-huh.,Угу.
"Uh, they don't really see past next week much less next year.","Э-э, на самом деле они не видят дальше следующей недели, не говоря уже о следующем году."
Uh-huh.,Угу.
"And to say, you know, well if I kill somebody then a decade from now, I might face the punishment.","И сказать, вы знаете, ну, если я убью кого-нибудь тогда, через десять лет, я могу понести наказание."
Yeah.,Да.
That's not real.,Это ненастоящее.
It doesn't have any real impact on them.,Это не оказывает на них никакого реального влияния.
"My sister and I were wondering about this recently because a, an old friend of ours in California, this happened about a week ago.","Мы с сестрой недавно задавались этим вопросом, потому что с нашим старым другом в Калифорнии это случилось около недели назад."
Uh-huh.,Угу.
"Uh, her husband just killed her","Э-э, ее муж только что убил ее"
and we're wondering if that has an effect.,"и нам интересно, имеет ли это какой-то эффект."
"If that, if something, does capital punishment, you know, does it happen with that, within that, uh,","Если это, если что-то, предусматривает смертную казнь, вы знаете, происходит ли это с этим, в рамках этого, э-э,"
I don't know,Я не знаю
"Uh, you mean, would he be put to death for that?","Э-э, вы имеете в виду, был бы он приговорен к смерти за это?"
Right.,Верно.
"Uh, largely depends on the circumstances","Э-э, в значительной степени зависит от обстоятельств"
"and generally, you know, from what I understand, it's, it's only the most brutal types of things usually.","и вообще, вы знаете, из того, что я понимаю, обычно это только самые жестокие вещи."
"Where it's multiple, you know.","Где это многократно, вы знаете."
I think you're right.,"Я думаю, ты прав."
"If, if they can say things like, you know, well he was just, you know, temporarily insane because of, some domestic squabble then you know, they'll, they'll give him, you know, twenty years with, with parole in, in twelve or something like that","Если, если они могут сказать что-то вроде, вы знаете, ну, он был просто, вы знаете, временно невменяем из-за какой-то семейной ссоры, тогда, вы знаете, они, они дадут ему, вы знаете, двадцать лет с условно-досрочным освобождением через двенадцать или что-то в этом роде"
Uh-huh.,Угу.
Yeah.,Да.
Yeah.,Да.
"And, uh, I have an uncle that is an attorney that defends people","И, э-э, у меня есть дядя, который является адвокатом, который защищает людей"
All righty.,Все в порядке.
"Uh, I guess our topic today is air pollution.","Э-э, я полагаю, наша сегодняшняя тема - загрязнение воздуха."
"And we are to just discuss what substances do you think that contribute most to air pollution, as well as what society can do to improve the air quality of the atmosphere around us.","И мы просто обсудим, какие вещества, по вашему мнению, вносят наибольший вклад в загрязнение воздуха, а также что общество может сделать для улучшения качества окружающей нас атмосферы."
Right.,Верно.
"Um, does your work entitle, uh, anything of environmental along these lines?","Эм, дает ли ваша работа право, эм, на что-нибудь в этом роде, относящееся к охране окружающей среды?"
"Me, I'm in the legal department","Я, я работаю в юридическом отделе"
"and, um, we do have, uh, a group of attorneys who handle our environmental issues.","и, эм, у нас действительно есть, эм, группа адвокатов, которые занимаются нашими экологическими проблемами."
Uh-huh.,Угу.
And I don't know too much about the air pollution thing.,И я не слишком много знаю о проблеме загрязнения воздуха.
"I do know for other types of pollution like the toxic waste and such that T I has to dispose of that we normally put in the ground, you know, we're coming up with a, uh, a new solution.","Я знаю, что для других видов загрязнения, таких как токсичные отходы и тому подобное, от которых приходится избавляться, которые мы обычно закапываем в землю, вы знаете, мы придумываем, э-э, новое решение."
We have been finding a lot of toxic places to dump,Мы находили много токсичных мест для свалки
and we just transport to these places.,и мы просто перевозим в эти места.
"But after awhile it always seems that the, um, oh, the site starts to leak","Но через некоторое время всегда кажется, что, эм, о, сайт начинает протекать"
and then you have to clean it up and such.,а потом вы должны это убрать и все такое.
"But the new idea is to take everything up to Sherman,","Но новая идея состоит в том, чтобы передать все Шерману,"
"and we're going have that, you know, incineration place up there and, dump everything there.","и мы собираемся построить там, ну, вы знаете, мусоросжигательную установку и все туда свалить."
Right.,Верно.
"And supposedly that facility will not generate air pollutants from what I've heard, that everything would be in, in, you know, a confined kind of incinerator and just burn it all up.","И предположительно, это сооружение не будет выделять загрязняющих веществ в воздух, судя по тому, что я слышал, что все будет находиться в, ну, вы знаете, замкнутом виде мусоросжигательной установки и все это просто сгорит."
And that we won't be polluting the air.,И что мы не будем загрязнять воздух.
"I'm sure we have to have, uh, permits, you know, for that place. And that there's, you know, limits as to what we can, uh, let, you know, go into the air.","Я уверен, что у нас должны быть, э-э, разрешения, вы знаете, на это место. И что есть, знаете ли, пределы тому, что мы можем, э-э, позволить, знаете ли, подняться в воздух."
Yeah.,Да.
"It's, uh, uh, uh, well,","Это, э-э-э, э-э, хорошо,"
"I work in , I work in environmentals, uh, projects right now.",Я работаю в... я работаю в проектах по охране окружающей среды прямо сейчас.
"Oh, okay.","О, ладно."
"And so the Sherman deal is, um, uh, lost a lot of hair over that project.","Итак, сделка с Шерманом - это, эм, эм, потеря многих волос из-за этого проекта."
Oh,О
"Uh, what we run into, um, is we have the Texas Air Control Board, T A C B, that send out, uh, jurisdictions under which we have to, uh, uh, reply to.","Эм, с чем мы сталкиваемся, эм, так это с тем, что у нас есть Техасский комитет воздушного контроля, T A C B, который рассылает, эм, юрисдикции, в соответствии с которыми мы должны, эм, эм, отвечать."
Uh-huh.,Угу.
"And a lot of their rules and regulation aren't real clear, so we have our manager of environmental, who assist the T A C B, which is located in Austin, in writing","И многие их правила и подзаконные акты не совсем ясны, поэтому у нас есть наш менеджер по охране окружающей среды, который помогает T A C B, расположенному в Остине, в письменном виде"
"and, hey,","и, эй,"
look what we've done here at T I.,"посмотрите, что мы сделали здесь, в T I."
Uh-huh.,Угу.
"And, uh, we are presently, uh, in receipt of a site permit, which will allow us to, um, uh,","И, э-э, в настоящее время мы, э-э, получаем разрешение на строительство, которое позволит нам, э-э, э-э,"
this is our side allow to have certain emissions up to a certain tonnage.,это с нашей стороны позволяет иметь определенные выбросы до определенного тоннажа.
Uh-huh.,Угу.
"It's in, in, in tons per year. Um,","Это в, в, в тоннах в год. Хм,"
Okay.,Хорошо.
"and so, you know, what we do to make contributions so that, basically, we go and do things like put in high-tech scrubber systems, uh, that, uh, scrub out the, N O X and, uh, V O C's and, and ammonia compounds, uh, like all the acids, to a certain level.","и поэтому, вы знаете, что мы делаем, чтобы внести свой вклад, так что, по сути, мы идем и делаем такие вещи, как установка высокотехнологичных скрубберных систем, которые, э-э, удаляют N O X и, э-э, V O C и соединения аммиака, э-э, как и все кислоты, до определенного уровня."
"We, are very, um, aware of the opacity, which is the thickness of a stack emissions.","Мы, очень, гм, осведомлены о непрозрачности, которая представляет собой толщину эмиссии стека."
Uh-huh.,Угу.
So if you don't see anything coming out of a stack the opacity is zero or twenty or thereabouts.,"Таким образом, если вы не видите ничего, выходящего из стека, непрозрачность равна нулю, двадцати или около того."
"And so what we go through is, uh, if you see it smoking there's a problem.","И вот через что мы проходим, э-э, если вы видите, что он дымится, значит, есть проблема."
"And having worked with some of the legal folks very closely, uh, it becomes a real issue, especially, when it's smoking","И после того, как я очень тесно поработал с некоторыми юристами, это становится реальной проблемой, особенно когда речь идет о курении"
and you have to get it fixed el pronto.,и вы должны починить это как можно скорее.
Um.,Хм.
"As you know, they, they're allowed to come on site, the federaldes, anytime they want, drive through, and see, and inspect.","Как вы знаете, им, им разрешено приезжать на объект, федеральным властям, в любое время, когда они захотят, проезжать, смотреть и инспектировать."
Um.,Хм.
"So it's a full time, uh, everybody has their home phone number type of job. Um,","Так что это полный рабочий день, эм, у каждого есть свой тип работы с номером домашнего телефона. Эм,"
Now is that place built,Теперь это место построено
or you're still on the makings of it?,или ты все еще на пороге этого?
"The Sherman facility, we are still in the, closer too, but still have a little bit of, um, finalization to do.","Объект ""Шерман"", мы все еще находимся в, тоже ближе, но все еще нужно немного, гм, доработать."
Right.,Верно.
"It's been pitched to the Sherman City Council with, um, open arms, as well as the public.","Это было представлено городскому совету Шермана с распростертыми объятиями, а также общественности."
Uh-huh.,Угу.
We had open forum,У нас был открытый форум
"and, and, uh, uh, Tom Jones, our environmental, corporate environmental guys handle the project.","и, и, э-э-э, Том Джонс, наши специалисты по охране окружающей среды, корпоративные экологи, занимаются проектом."
Uh-huh.,Угу.
"And, uh, its real, uh, going real well.","И, э-э, все действительно, э-э, идет очень хорошо."
"I think it's matter, just a matter of fund, funds right now as I understand it. Uh,","Я думаю, что это вопрос, просто вопрос финансирования, средств прямо сейчас, как я это понимаю. Ух,"
Uh-huh.,Угу.
"but it's, uh, it's something else.","но это, э-э, это что-то другое."
Yeah.,Да.
"they're, they're, they're in the same issue.","они, они, они в одном и том же выпуске."
We were hoping on burning a lot of the effluent up there.,Мы надеялись сжечь там большую часть сточных вод.
"Uh, because the, the system is setup where it won't have any emissions.","Э-э, потому что система настроена так, что у нее не будет никаких выбросов."
You're correct.,Вы правы.
"It will have something coming out of the stackhouse it was, it was human nature.","В нем будет что-то исходящее из того стакхауса, которым он был, это была человеческая природа."
Right.,Верно.
"But it won't have can any, uh, any bad stuff.",Но в нем не будет ничего... э-э-э... плохого.
"So, uh, I think T I, we spend, of all the major semiconductor firms, we probably put safety and environmental on the utmost, foremost, uh, uh, first thing we always look at.","Итак, э-э, я думаю, что из всех крупных полупроводниковых фирм мы, вероятно, ставим безопасность и экологию на первое место, э-э-э, первое, на что мы всегда обращаем внимание."
And we probably put more money into the systems and engineering behind the system of any other firm I know of.,"И мы, вероятно, вкладываем больше денег в системы и инжиниринг, лежащие в основе системы, чем любая другая известная мне фирма."
"We eat and sleep the stuff, everything we do over here.","Мы едим и спим все это, все, что мы здесь делаем."
"and, uh, it's an interesting job.","и, э-э, это интересная работа."
"But um,","Но эм,"
"Well, I know from some of the sites that we've had, uh, quite a list of cites that have gone bad","Ну, я знаю по некоторым сайтам, что у нас был, э-э, целый список цитат, которые испортились"
and you have to clean up.,и ты должен привести себя в порядок.
"And, you know the law now is the super fund","И, вы знаете, закон сейчас - это суперфонд"
"and anybody who's contributed toxic waste, no matter if you were somebody that eventually, you know, uh, damaged the ground or not.","и любой, кто вносил токсичные отходы, независимо от того, был ли вы кем-то, кто в конечном итоге, ну, вы знаете, э-э, повредил землю или нет."
"Uh, everybody has to contribute","Э-э, каждый должен внести свой вклад"
"and it's been a lot of big bucks when we've gotten, uh, gotten pulled into these super fund deals to clean it up and, you know, mega bucks to, uh, you know take everything out and redo it and, you know, fill in some other area","и это стоило больших денег, когда нас, э-э, втянули в эти сделки с суперфондами, чтобы привести все в порядок, и, вы знаете, мега-денег, чтобы, э-э, вы знаете, убрать все и переделать, и, вы знаете, заполнить какую-то другую область"
"and, um, certainly, it would to have a better solution, like the Sherman facility than, um, just letting it go in the ground.","и, гм, конечно, было бы лучше найти решение, подобное объекту Шермана, чем, гм, просто закопать его в землю."
"Because eventually, you know, it, it seems that no matter what they do, if they put it in oil drums and then seal it in some kind of cement lined, uh, dump area.","Потому что, в конце концов, вы знаете, кажется, что независимо от того, что они делают, если они кладут это в бочки из-под масла, а затем запечатывают в каком-нибудь выстланном цементом месте, э-э, на свалке."
It still only in time starts to leak out.,Это все равно только со временем начинает просачиваться наружу.
Possibly.,Возможно.
Yeah.,Да.
Uh-huh.,Угу.
"There, there was one site that they cleaned up","Там был один участок, который они очистили"
and then the new place leaked again. .,а потом в новом месте снова произошла утечка. .
Yeah.,Да.
I'm familiar with that one.,Я знаком с этим человеком.
"We have, we have stuff that's very interesting, uh,","У нас есть, у нас есть материал, который очень интересен, э-э,"
"we have hoods,","у нас есть капюшоны,"
"we have duckwork and all those type of interesting pieces of equipment where, um, they have, um, that we sample","у нас есть утконосы и все такое интересное оборудование, где, гм, у них есть, гм, что мы пробуем"
Uh-huh.,Угу.
"and it may have over, uh, a certain emission levels,","и у него может быть более, э-э, определенного уровня выбросов,"
"this is on the solid side ,","это на твердой стороне ,"
and so we take it,и поэтому мы принимаем это
"and, uh, we can't deep well inject something like that because it's a solid.","и, э-э, мы не можем глубоко ввести что-то подобное, потому что это твердое вещество."
"And we mix it with concrete and actually, um, potash, per se, and concrete and then actually put it in the ground. But not so, not in a hazardous waste location because it's, basically, a concrete slab.","И мы смешиваем его с бетоном, а на самом деле, гм, с поташем как таковым и бетоном, а затем фактически закапываем его в землю. Но не так, не в месте захоронения опасных отходов, потому что это, по сути, бетонная плита."
Uh-huh.,Угу.
Um.,Хм.
It was totally legal.,Это было абсолютно законно.
"But the cost of doing this is astronomical, they actually show you what duckwork and things.","Но стоимость этого астрономическая, они на самом деле показывают вам, что такое утиная работа и прочее."
"Um,","Хм,"
"And so we were, uh, very, very, uh, cognizance of, and aware of all these types of, uh, expenditures because it could get very expensive.","И поэтому мы были, э-э, очень, очень, э-э, осведомлены обо всех этих типах, э-э, расходов, потому что это могло обойтись очень дорого."
"But I think we, uh, you know, we do all kinds of things to make the, the world a better place to live, you know,","Но я думаю, что мы, э-э, вы знаете, мы делаем все возможное, чтобы сделать мир лучшим местом для жизни, вы знаете,"
I think some of the folks that aren't aware of it will be surprised at how much effort and energy is put into doing that.,"Я думаю, некоторые из людей, которые не знают об этом, будут удивлены тем, сколько усилий и энергии затрачивается на это."
I really would.,Я действительно хотел бы.
"Um, I've enjoyed speaking with you,","Эм, мне было приятно поговорить с вами,"
Yeah.,Да.
This has been an interesting topic.,Это была интересная тема.
"Uh, I was one of the,","Э-э, я был одним из,"
"I was responsible for all the planning and engineering over the corporate, or in the north building",Я отвечал за все планирование и инженерные разработки в корпоративном здании или в северном здании
"Oh, you were?","О, ты был?"
Yeah.,Да.
"Oh, okay.","О, ладно."
"So, uh, I hope you like your office.","Так что, э-э, я надеюсь, тебе нравится твой офис."
Yes.,Да.
Yes.,Да.
It's a heck of a lot different.,Это чертовски сильно отличается.
And we used to be really embarrassed about the gray metal desk.,И раньше нас очень смущал серый металлический стол.
"We were about the only, place in, you know, T I that had the gray metal desk.","Мы были чуть ли не единственным местом в, ну, вы знаете, T I, где был серый металлический стол."
Yeah.,Да.
"People used to come and laugh and go, gee, I hadn't seen one of those ten, fifteen years.","Люди приходили, смеялись и уходили, ну и дела, я не видел никого из этих десяти-пятнадцати лет."
Yeah.,Да.
Glad to see y'all taken care of.,"Рад видеть, что о вас позаботились."
"Well, the, uh, I think what changed everything and, uh, is, uh, y'all were, y'all were the only ones that make any money for TI, here in the last ten years,","Ну, э-э, я думаю, что все изменилось, и, э-э, это то, что вы все были, вы все были единственными, кто зарабатывал какие-то деньги для TI здесь за последние десять лет,"
"We, finally got a little respect.","Мы, наконец-то, получили немного уважения."
Nobody thought of us as a profit center before.,Раньше никто не думал о нас как о центре получения прибыли.
Exactly.,Точно.
"And that's, um, when, when you start, when you start paying your way, uh, you know, Jerry takes a different outlook towards you guys.","И это, эм, когда, когда вы начинаете, когда вы начинаете платить по-своему, эм, вы знаете, Джерри по-другому смотрит на вас, ребята."
Right.,Верно.
Right.,Верно.
"I was just,","Я просто,"
Not just overhead.,Не только над головой.
Exactly.,Точно.
I've enjoyed speaking with you.,Мне было приятно разговаривать с вами.
You too.,Ты тоже.
See you later.,Увидимся позже.
Bye-bye.,Пока-пока.
Bye.,Пока.
