en,ru
"So, I was actually, actually","Итак, я был на самом деле, на самом деле"
I'm not sure,Я не уверен
", I was in, I was in Iowa awhile ago, and noticed that everything was an hour earlier,",", Я был в, я был в Айове некоторое время назад и заметил, что все было на час раньше,"
"so, does your prime time start at seven o'clock?","итак, ваш прайм-тайм начинается в семь часов?"
"No,","Нет,"
"well, they have it at six","что ж, у них это в шесть"
"and they have it at nine,","и у них это в девять,"
"Wait,","Подождите,"
"no,","нет,"
"no,","нет,"
and they have one at ten.,и у них есть один в десять.
"not, not even the news","нет, даже в новостях"
"but do they have like, um,","но есть ли у них что-то вроде, эм,"
"do like sort of all the regular sitcoms and so forth, start at seven o'clock?","делать что-то вроде всех обычных ситкомов и так далее, начинающихся в семь часов?"
"You,","Вы,"
"so, like, you know, the regular television shows that are, that are very popular, do they start at, seven or, or at eight?","итак, как, вы знаете, обычные телевизионные шоу, которые очень популярны, они начинаются в семь или в восемь?"
I'm trying to think.,Я пытаюсь думать.
"Both,","Оба,"
"um, let's see they start, um,","эм, давайте посмотрим, как они начнут, эм,"
EVENING SHADE at seven,ВЕЧЕРНЯЯ ТЕНЬ в семь
"and then it goes to, um,","а потом это переходит в, эм,"
"what is it after EVENING, um,","что это после ВЕЧЕРА, эм,"
"Right,","Правильно,"
because that would the eight o'clock here.,потому что это было бы здесь в восемь часов.
that's MAJOR DAD at eight I think it is.,"по-моему, это папа-майор в восемь."
"Yeah,","Да,"
"that, that would all start at, at, um, that would all start at, at eight o'clock here,","это, это все началось бы в, эм, это все началось бы здесь в восемь часов,"
that wouldn't start at seven.,это не началось бы в семь.
"We have, um,","У нас есть, эм,"
"at seven o'clock we just have, um,","в семь часов у нас просто, эм,"
"the,","то,"
"they'll play, you know, they have old reruns of CHEERS or something from seven to seven thirty, and then something else from seven thirty to eight","они будут играть, вы знаете, у них есть старые повторы ""УРА"" или что-то в этом роде с семи до половины восьмого, а затем что-то еще с семи тридцати до восьми"
Huh.,Хм.
"and ours start at, at, at, at eight and end at eleven,","а наши начинаются в, в, в, в восемь и заканчиваются в одиннадцать,"
that's why we,вот почему мы
". I, I would actually like it better if everything started at seven and ended at ten.",". Мне, мне бы на самом деле больше понравилось, если бы все начиналось в семь и заканчивалось в десять."
"Yeah,","Да,"
"it's, it's stopped around here at ten","это, это остановилось где-то здесь в десять"
"and it goes into night programs, at that point which could be one of, you know, many different night programs","и это переходит в ночные программы, на этом этапе это может быть одна из, знаете ли, множества различных ночных программ"
but it goes into night programs.,но это входит в ночные программы.
"Oh, that's great.","О, это здорово."
"But, uh, do you ever watch CHEERS?","Но, э-э, ты когда-нибудь смотришь ""УРА""?"
"Oh, all the time.","О, все время."
Do you watch CHEERS,"Вы смотрите ""УРА"""
"Oh, yeah,","О, да,"
"oh, yeah.","о, да."
"it's at,","это в,"
"that was actually a big dilemma for me now because, um, CHEERS, CHEERS and TWIN PEAKS are now on the same time,","на самом деле это было большой дилеммой для меня сейчас, потому что, эм, ""УРА, УРА"" и ""ТВИН ПИКС"" теперь в одно и то же время,"
"So, Jan, how do they recycle in Texas?","Итак, Джен, как они перерабатывают в Техасе?"
"Well, I,","Что ж, я,"
"the biggest, uh, way it's going right now, uh, lot, most of the grocery stores have got, uh, things set up where you can bring in your, uh, plastic, and your cans, and newspapers.","самое главное, э-э, как это происходит прямо сейчас, э-э, много, в большинстве продуктовых магазинов есть, э-э, приспособления, куда вы можете принести свой, э-э, пластик, консервные банки и газеты."
Uh-huh.,Угу.
And then they've just got different barrels setting out,А потом у них просто расставлены разные бочки
", I shouldn't say barrels, like big John Doors or,  whatever they're, called. Gondolas",", Я не должен был бы говорить ""бочки"", вроде big John Doors или как там они называются. Гондолы"
Uh-huh.,Угу.
Yeah.,Да.
Yeah.,Да.
"Um, they've got them set outside","Эм, они поставили их снаружи"
"and,","и,"
"Is it,  is it all voluntary?","Это, все это добровольно?"
"uh,","ух,"
Yes.,Да.
It's all voluntary.,Все это добровольно.
"Now, they do have some places where you can take things and get cash","Так вот, у них действительно есть несколько мест, где вы можете взять вещи и получить наличные"
Right.,Верно.
Uh-huh.,Угу.
"You know, they just want to, uh, help recycle. Which is,  what we do. You know,","Вы знаете, они просто хотят, э-э, помочь переработать. Это то, что мы делаем. Ты знаешь,"
Yeah.,Да.
Uh-huh.,Угу.
"we,","мы,"
"probably the only thing, sometimes we'll take cash or the cans in","наверное, единственное, иногда мы берем наличные или банки в"
and we let the kids get the money for that.,и мы позволяем детям получать за это деньги.
Right.,Верно.
Yeah.,Да.
"But, uh,","Но, э-э,"
"There's,  a lot of projects where the, the Boy Scouts and things, and that will, collect your cans","Есть много проектов, где бойскауты и все такое, и которые будут собирать ваши банки"
Right.,Верно.
Right.,Верно.
Yeah.,Да.
"That's true,","Это правда,"
"but, but that's really the, the biggest thing around here is the grocery stores participating.","но, но это действительно самое важное, что здесь есть, - это участие продуктовых магазинов."
Uh-huh.,Угу.
"You know but,","Ты знаешь, но,"
"I guess, I,","Я думаю, я,"
"you see, I guess it depends on your landfill space.","видите ли, я думаю, это зависит от вашего места на свалке."
Uh-huh.,Угу.
"I know, I,","Я знаю, я,"
"we're in Maryland,","мы в Мэриленде,"
"but, my,","но, мой,"
I from Pennsylvania *missing copula?,Я из Пенсильвании * отсутствует связка?
"and my parents how, are forced recycling,","а мои родители как, вынуждены перерабатывать,"
"Oh,  really?","О, правда?"
"uh,","ух,"
Yeah.,Да.
"Oh, wow.","О, ничего себе."
"Uh, Pennsylvania, Ohio, and New York are some of the, uh,","Э-э, Пенсильвания, Огайо и Нью-Йорк - это некоторые из, э-э,"
they're using their landfills up faster than they can get new ones.,"они используют свои свалки быстрее, чем успевают создать новые."
Yeah.,Да.
"So, it's really, uh, it's, uh, really hard on them.","Так что, это действительно, э-э, это, э-э, действительно тяжело для них."
"Now, up here in Maryland, though, we're just in a voluntary recycling stage right now.","Однако сейчас здесь, в Мэриленде, мы как раз находимся на стадии добровольной утилизации."
"So, uh, so my wife and I, you know, we save our bottles,","Итак, э-э, итак, мы с женой, вы знаете, экономим наши бутылки,"
"and we save our newspapers,","и мы сохраняем наши газеты,"
"and we save all our plastic, and all of our tin cans.",и мы экономим весь наш пластик и все наши жестяные банки.
"And just like you say, we go to, uh, a community area where they have it set up","И, как вы и сказали, мы отправляемся в общественную зону, где они это установили"
and we dump them off there.,и мы сбрасываем их туда.
"So, it's","Итак, это"
Yeah.,Да.
"It's still voluntary,  though I think, I think we're supposed to have something implemented by nineteen ninety-three, though where some aspects will be mandatory.","Это все еще добровольно, хотя я думаю, я думаю, что мы должны что-то внедрить к тысяча девятьсот девяносто третьему году, хотя некоторые аспекты будут обязательными."
you say it is all voluntary.,"вы говорите, что все это добровольно."
"Do they,","Они,"
Will it be mandatory?,Будет ли это обязательным?
Uh-huh.,Угу.
"Is it all, um,","Это все, эм,"
is there any place at all where you do get cash for this stuff,"есть ли вообще какое-нибудь место, где вы получаете наличные за эти вещи"
"or is it all,","или это все,"
Mostly just the cans.,В основном только консервные банки.
Okay.,Хорошо.
"And I,","И я,"
Yeah.,Да.
"And that's,","И это,"
"and most of the time, like I said, that's, that's a sort of like fund raiser things that, the schools do, or that the Boy Scouts do, or whatever.","и в большинстве случаев, как я уже сказал, это что-то вроде сбора средств, которые проводят школы, или бойскауты, или что-то еще."
Right.,Верно.
Right.,Верно.
Yeah.,Да.
Yeah.,Да.
That's true.,Это правда.
"That's,","Это,"
Cans are the only thing I think you really get money for.,"Консервные банки - это единственное, за что, я думаю, вы действительно получаете деньги."
"Well, they do have places around here where you can get money for your newspapers,  and stuff like that.","Ну, у них здесь действительно есть места, где вы можете получить деньги за свои газеты и тому подобное."
Uh-huh.,Угу.
"But, you know, I think a lot of people, like I said, are more concerned, with, you know, right now, you know, the aspects of saving the earth","Но, вы знаете, я думаю, что многие люди, как я уже сказал, сейчас больше озабочены, знаете ли, аспектами спасения земли"
Right.,Верно.
Uh-huh.,Угу.
"Yeah,","Да,"
"I think that's mostly,","Я думаю, что это в основном,"
"well, you know, we,","ну, вы знаете, мы,"
"even before,","еще до того, как,"
"as soon as the community said, you know, We're going to put up bins for recycling, you know, we automatically started, doing it.","как только сообщество сказало, вы знаете, мы собираемся установить контейнеры для вторичной переработки, вы знаете, мы автоматически начали это делать."
"It was, it's one of those things,","Это было, это одна из тех вещей,"
Right.,Верно.
"you know, and just going and taking the time to go and read the signs and the brochures on what they accept and how it should be, separated, you know.","вы знаете, и просто идете и находите время, чтобы пойти и прочитать вывески и брошюры о том, что они принимают и как это должно быть, разделенные, вы знаете."
Uh-huh.,Угу.
"That's,","Это,"
"Well, I tell you, it's kind of funny now at, even at T I, I don't,","Ну, я скажу вам, сейчас это немного забавно, даже когда я, я не,"
do you work for T I?,вы работаете на T I?
No.,Нет.
Huh-uh.,Ха-ха.
Okay.,Хорошо.
"Um, at T I they're doing recycling.","Эм, в T I они занимаются переработкой отходов."
"I mean, for a long time they didn't do this,","Я имею в виду, что долгое время они этого не делали,"
"but now they're, they're recycling cans and paper.",но теперь они... они перерабатывают консервные банки и бумагу.
"We have separate bins uh, separate wastebaskets in our offices for paper.","У нас в офисах есть отдельные урны для бумаги, э-э, отдельные корзины для мусора."
Yeah.,Да.
Uh-huh.,Угу.
Yeah.,Да.
"You know, and they,","Вы знаете, и они,"
I mean it's tremendous how much money they have saved and even saving all these trees,"Я имею в виду, это потрясающе, сколько денег они сэкономили и даже спасли все эти деревья"
"and, you know it's really,","и, вы знаете, это действительно,"
Right.,Верно.
"I can't believe that you know. Because they've got it all posted all over the place how much,  they're saving and how","Я не могу поверить, что ты знаешь. Потому что у них повсюду вывешено, сколько они экономят и как"
Yeah.,Да.
"How much, how well they're doing.","Как много, как хорошо у них все получается."
yeah.,да.
"We do,","Мы делаем,"
"I, um, I, I work in a, uh, speech interface lab,  at a, at a, at a college.","Я, эм, я, я работаю в лаборатории речевого интерфейса, в, в, в колледже."
"Oh, okay.","О, ладно."
And we do basically the same thing.,И мы делаем в основном то же самое.
"The state of Maryland has lost, asked all the colleges and universities, and some of the large organizations, you know, if they would definitely recycle their office paper.","Штат Мэриленд проиграл, обратился ко всем колледжам и университетам, а также к некоторым крупным организациям, вы знаете, будут ли они обязательно перерабатывать свою офисную бумагу."
Uh-huh.,Угу.
Uh-huh.,Угу.
"But, you know, in the giant bins around,","Но, вы знаете, в гигантских мусорных баках вокруг,"
"and it's surprising how much you never realize, because that janitor comes around and empties your garbage,  can every night.","и удивительно, как многого вы никогда не осознаете, потому что этот уборщик приходит и опорожняет ваше мусорное ведро каждую ночь."
Yeah.,Да.
Right.,Верно.
Yep.,Ага.
"You don't notice until,  you start leaving,","Ты не замечаешь этого до тех пор, пока не начинаешь уходить,"
"you know, they don't pick up your recycling until it's full you just can't believe how much paper that you, uh,","ты знаешь, они не забирают твою переработку, пока она не заполнится, ты просто не можешь поверить, сколько бумаги ты, э-э-э,"
Right.,Верно.
I know,Я знаю
"Reams of paper come,  out of an office every day That , took us to recycle.","Каждый день из офиса приходят пачки бумаги, которые мы отправляли на переработку."
"Well, you think about, the waste, even.","Ну, вы подумайте даже о расточительстве."
Uh-huh.,Угу.
"I mean, you know, cost wise and and, you know, like you saving trees and stuff like that.","Я имею в виду, вы знаете, с точки зрения затрат и, ну, вы знаете, как вы спасаете деревья и все такое прочее."
Right.,Верно.
"I mean, it's just amazing, you know,  the difference.","Я имею в виду, это просто потрясающая, знаете ли, разница."
Yeah.,Да.
"So, I think,  Hopefully, if,","Итак, я думаю, надеюсь, если,"
"you know, I guess a lot of the large organizations, probably T I, did they advertise on television how successful they are?","вы знаете, я думаю, многие крупные организации, вероятно, T I, рекламировали ли они по телевидению, насколько они успешны?"
"I haven't seen, anything.",Я ничего не видел.
Yeah.,Да.
"Uh, but that doesn't mean that they don't.","Э-э, но это не значит, что они этого не делают."
"I don't watch much T V,","Я не очень много смотрю телевизор,"
Yeah.,Да.
"but, I haven't really seen anything advertise publicly.","но на самом деле я не видел, чтобы что-то рекламировалось публично."
Uh-huh.,Угу.
"And then, like I said, they do a lot of internal,  advertising on that kind of stuff.","И потом, как я уже сказал, они проводят много внутренней рекламы по такого рода вещам."
Internal.,Внутренний.
Uh-huh.,Угу.
"But, I haven't seen anything.",Но я ничего не видел.
Yeah.,Да.
"But see, I don't see a lot of T I advertisements on T V anyway.","Но, видите ли, я все равно не часто вижу рекламу T I на T V."
"I think they advertise more, um, other places where they're not located.","Я думаю, они больше рекламируют, гм, другие места, где они не расположены."
Right.,Верно.
Yeah.,Да.
"That would probably,  be true.","Вероятно, это было бы правдой."
"You know. So,  So, I don't see a lot of advertisements for T I.","Ты знаешь. Итак, итак, я не вижу много рекламы для T I."
Yeah.,Да.
"Because I know that some of the large industries here will advertise on television,","Потому что я знаю, что некоторые крупные предприятия здешней промышленности будут давать рекламу по телевидению,"
"you know, they'll come up and say,","вы знаете, они подойдут и скажут,"
"you know, they'll show you to encourage to encourage recycling.","вы знаете, они покажут вам, как поощрять переработку отходов."
"They'll,  say,","Они, скажем,"
Right.,Верно.
"And here, those of us that Dumavra Power, which is our power company, that,","И здесь те из нас, кто считает Dumavra Power, которая является нашей энергетической компанией, что,"
Uh-huh.,Угу.
"we now recycle forty-five percent of our solid waste,","сейчас мы перерабатываем сорок пять процентов наших твердых отходов,"
Right,Правильно
"and they,","и они,"
"and that,","и это,"
"we do this for the community,","мы делаем это для сообщества,"
they put those on.,они их надевают.
"So I, so I think, you know, we're probably reaching a successful stage and, and just with voluntary, I think.","Так что я, так что я думаю, вы знаете, мы, вероятно, достигаем успешной стадии и, и только с добровольностью, я думаю."
Right.,Верно.
"Well, even, I mean, in the kid's schools, I mean they do things to try and recycle.","Ну, даже, я имею в виду, в детских школах, я имею в виду, что они делают что-то, чтобы попытаться переработать."
Uh-huh.,Угу.
"And, I know my kids, um, like if they see litter on the ground they pick it up and say, Oh, look at that. Somebody is not saving the earth, you know.","И я знаю, что моим детям, эм, нравится, когда они видят мусор на земле, они поднимают его и говорят: ""О, посмотрите на это"". Вы знаете, что кто-то не спасает землю."
Right.,Верно.
Yeah.,Да.
"So, I mean, the kids, I mean, they really try to educate all ages, you know,","Итак, я имею в виду, что дети, я имею в виду, они действительно пытаются обучать людей всех возрастов, вы знаете,"
"and it's good to start the kids real young on,","и это хорошо - начинать детей совсем маленькими на,"
"I think so, too.",Я тоже так думаю.
Yeah.,Да.
"I mean, it's like nobody was concerned about it.","Я имею в виду, как будто никого это не беспокоило."
Right.,Верно.
Yeah.,Да.
"We weren't,  concerned.",Мы не были обеспокоены.
"You know, and it's like,","Ты знаешь, и это похоже,"
Yeah.,Да.
That's true.,Это правда.
"You know, it's like all of a sudden when there's noticeable things, saying, Hey, you know,  we're ruining the earth,","Знаете, это как если бы внезапно появились заметные вещи, говорящие: Эй, вы знаете, мы разрушаем землю,"
Huh.,Хм.
"you know. And now everybody is doing something about, which is good.","ты знаешь. И теперь все что-то делают, и это хорошо."
Uh-huh.,Угу.
"But how come we weren't doing this, say, twenty years ago  you know?","Но почему мы не делали этого, скажем, двадцать лет назад, вы знаете?"
Yeah.,Да.
"I, I think really probably what hit peoples, you know, I know that here in the, up in the, uh, uh, the, the New Englands area and also in, in Pennsylvania, Ohio, and New York, the, just run, all of a sudden we're out of landfill.","Я, я думаю, что на самом деле, вероятно, то, что поразило людей, вы знаете, я знаю, что здесь, в районе Новой Англии, а также в Пенсильвании, Огайо и Нью-Йорке, просто бежим, внезапно у нас кончается свалка."
Uh-huh.,Угу.
"And, and they're saying, We estimate this landfill be will be full in two years unless we cut back.","И, и они говорят, по нашим оценкам, эта свалка будет заполнена через два года, если мы не сократим ее."
Uh-huh.,Угу.
"So, I think that, that became,","Итак, я думаю, что это стало,"
"that all of a sudden really hit home that there's no longer landfill space, in some of the more crowded states.","это внезапно по-настоящему поразило, что в некоторых наиболее перенаселенных штатах больше нет свалок."
"This is,","Это,"
"So, what,","Итак, что,"
"you know, and no other state,","вы знаете, и никакое другое государство,"
I'm sure Texas probably still has some landfill space.,"Я уверен, что в Техасе, вероятно, все еще есть какие-то свалки."
"They're not going to voluntarily say, Hey, ship your garbage here.","Они не собираются добровольно говорить: ""Эй, отправляйте свой мусор сюда""."
Right,Правильно
Yeah.,Да.
That's true.,Это правда.
"It's really, tough.",Это действительно тяжело.
"I think, that it, it really surprises me because of the cost savings.","Я думаю, что это действительно удивляет меня из-за экономии средств."
"I mean, this is such a tremendous, amount of cost savings.","Я имею в виду, что это такая огромная экономия средств."
Uh-huh.,Угу.
"I mean, why,","Я имею в виду, почему,"
I can't understand why nobody saw that before.,"Я не могу понять, почему никто не видел этого раньше."
"I mean, even, even not even the aspects of not saving the earth","Я имею в виду, даже, даже не те аспекты, когда мы не спасаем землю"
Uh-huh.,Угу.
"I,  mean, it's, so cost, you know,","Я, имею в виду, это так дорого, ты знаешь,"
Right.,Верно.
Yeah.,Да.
"But, well,","Но, что ж,"
"Well, in some ways, I guess, it, it doesn't become really cost saving until you have an industry around it, you know. Because,  I know that, like in, Pennsylvania, they require them to, um, put their newspaper for recycling.","Ну, в некотором смысле, я думаю, это не станет по-настоящему экономичным, пока у вас не появится индустрия, связанная с этим, вы знаете. Потому что я знаю, что, как и в Пенсильвании, они требуют, чтобы они, гм, сдавали свою газету на переработку."
"But, the de-inking process that they have to, they use,  to take the ink out of the newspaper so it can be reused um, is very expensive,","Но процесс удаления краски, который они должны использовать, чтобы удалить чернила из газеты, чтобы их можно было использовать повторно, гм, очень дорогой,"
Uh-huh.,Угу.
Uh-huh.,Угу.
Oh.,Ой.
"and also, it it produces a, a waste, a, um, a, liquid waste that they don't know what to do with yet. they still have cost,  yeah, cost efficient, yet.","а также, это приводит к образованию отходов, эм, жидких отходов, с которыми они пока не знают, что делать. у них все еще есть стоимость, да, пока экономически эффективная."
"Oh. I see,","Ой. Я вижу,"
okay.,Хорошо.
Is not real cost efficient.,На самом деле это не является экономически эффективным.
"Oh, okay,","О, ладно,"
"okay. Oh,","Хорошо. О,"
Yeah.,Да.
"I, understand that though.",Хотя я это понимаю.
"So, but others, you know, like tin cans and plastics,  are, are really, uh, efficient, you know.","Итак, но другие, вы знаете, такие как жестяные банки и пластмассы, действительно, э-э, эффективны, вы знаете."
Uh-huh.,Угу.
"They, they melt on quickly and can be, you know, just because of the, heating and things, getting glass.","Они, они быстро тают и могут быть, знаете ли, просто из-за нагрева и прочего, получаются стеклянные."
Right.,Верно.
and glass.,и стекло.
Right.,Верно.
Yeah.,Да.
Uh-huh.,Угу.
"So,","Так,"
it really is surprising that people haven't noticed it before.,"действительно удивительно, что люди не замечали этого раньше."
Yeah.,Да.
That's true.,Это правда.
Uh-huh.,Угу.
Yeah.,Да.
"And even,","И даже,"
"I, I noticed that a lot of gas stations are telling you to recycle your oil.","Я, я заметил, что многие заправочные станции советуют вам перерабатывать свое масло."
Uh-huh.,Угу.
"And, I mean, that kind of surprises me","И, я имею в виду, это отчасти удивляет меня"
"I mean, you know, because once oil gets so, you know, thick and yucky, you'd wonder how they could, you know, clean that up,  enough to use it again,","Я имею в виду, вы знаете, потому что, как только масло становится таким, ну знаете, густым и противным, вы удивляетесь, как они могут, ну знаете, очистить его настолько, чтобы использовать снова,"
Yeah.,Да.
but they can.,но они могут.
Uh-huh.,Угу.
"Um, I don't know how cost efficient that would be, I guess,","Хм, я не знаю, насколько это было бы экономически эффективно, я думаю,"
Yeah.,Да.
I I don't know either.,"Я, я тоже не знаю."
"That's,","Это,"
"I know that though, I, all those petroleum products though are so terrible for your, um, the water table.","Я знаю, что, хотя, я, все эти нефтепродукты, хотя, так ужасны для вашего, гм, уровня грунтовых вод."
Uh-huh.,Угу.
"You know, they really pollute quickly","Вы знаете, они действительно быстро загрязняются"
"and, you know, one,","и, вы знаете, один,"
Uh-huh.,Угу.
Wow.,Вау.
"So, it's one of those things that they really,","Итак, это одна из тех вещей, которые они действительно,"
Yeah,Да
Yeah.,Да.
I know,Я знаю
"Yeah,","Да,"
how terrible that is.,как это ужасно.
"So, we'll have to, we'll have to keep our eyes on all that, I guess.","Так что, я думаю, нам придется, нам придется не спускать со всего этого глаз."
Really.,Действительно.
Uh-huh.,Угу.
"I know I really,","Я знаю, что я действительно,"
"I don't know,","Я не знаю,"
"I, I think that, I mean, I think that they really are doing a good thing now","Я, я думаю, что, я имею в виду, я думаю, что они действительно сейчас делают хорошее дело"
"and I hope it keeps,","и я надеюсь, что это сохранится,"
"well, I'm sure we'll keep up.","что ж, я уверен, мы будем продолжать в том же духе."
Yeah.,Да.
"I,  agree.","Я, согласен."
"You know,","Ты знаешь,"
I think it's really catching on.,"Я думаю, это действительно зацепляет."
Uh-huh.,Угу.
"You know, I, I think that,","Ты знаешь, я, я думаю, что,"
"I'm not sure if it,","Я не уверен, что это,"
"I don't know,","Я не знаю,"
I think it's a good idea to make it mandatory,"Я думаю, что это хорошая идея - сделать это обязательным"
"I do, too.",Я тоже так думаю.
"Um, it,","Эм, это,"
"because like we were asking some people that live in, um, North Dakota, Well, are you saving your, you know, are you recycling.","потому что, как мы спрашивали некоторых людей, которые живут, эм, в Северной Дакоте, ну, вы экономите свое, ну, знаете, вы перерабатываете."
"And they said, Well, we're not forced to do it yet,","И они сказали: ну, нас пока не заставляют это делать,"
so no.,так что нет.
Uh-huh.,Угу.
"You know, so, I mean I don't know,","Ты знаешь, так что, я имею в виду, я не знаю,"
"I think that if people are forced, if the people are not forced to do it they may not, you,  know.","Я думаю, что если людей заставляют, если людей не заставляют это делать, они могут и не знать."
Yeah.,Да.
"I mean, I don't know,","Я имею в виду, я не знаю,"
"I think a lot of people still will,","Я думаю, что многие люди все еще будут,"
"You know, I know that it's really funny.","Ты знаешь, я знаю, что это действительно забавно."
My parents are forced to do it,Мои родители вынуждены это делать
"and they,","и они,"
"Well, I personally don't have any problem with, uh, drug testing employees or potential employees, do you?","Ну, лично у меня нет никаких проблем с, э-э, сотрудниками по тестированию на наркотики или потенциальными сотрудниками, а у вас?"
"Um,","Хм,"
"I mean, basically?","Я имею в виду, в принципе?"
"Basically, no.","В принципе, нет."
Okay.,Хорошо.
"I don't,","Я не,"
I really can't disagree with it.,Я действительно не могу с этим не согласиться.
"I, I, uh, uh,","Я, я, э-э, э-э,"
"the policy that T I has, I think is, uh, uh, very fair.","политика, которую проводит T I, я думаю, э-э-э, очень справедливая."
Uh-huh.,Угу.
"Um, I,","Эм, я,"
"they first had a policy where they, uh, would test new employees","сначала у них была политика, согласно которой они, э-э, тестировали новых сотрудников"
"and, then since I've been with them the last four years, uh, there's been in the last year, year and a half, um, they're doing random testing of all employees.","и затем, поскольку я работаю с ними последние четыре года, э-э, за последний год, полтора года, э-э, они проводят выборочное тестирование всех сотрудников."
Uh-huh.,Угу.
I think that's really the only fair way to do it.,"Я думаю, что это действительно единственно честный способ сделать это."
Yes.,Да.
I really think it ought to be,"Я действительно думаю, что так и должно быть"
"you know, Junkins all the way down.","ну, знаешь, наркоманы до упаду."
"And it is,","И это так,"
"it,","оно,"
and from what I understand it is Jerry Junkins all the way down.,"и, насколько я понимаю, это Джерри Джанкинс до мозга костей."
"Right,","Правильно,"
"as a matter of fact, I want to think they took the top managers first,","на самом деле, я хочу думать, что сначала они забрали топ-менеджеров,"
isn't that a fact?,разве это не факт?
"I've been retired from T I about a year,","Я уволился из T I около года назад,"
Uh-huh.,Угу.
"but the program, you know, was still fairly new.","но программа, вы знаете, была все еще довольно новой."
"I guess it had been going on, maybe almost a year,  before I retired,","Я думаю, это продолжалось, может быть, почти год, прежде чем я вышел на пенсию,"
Uh-huh.,Угу.
"so I was not, uh, ever called upon to do a drug test.","так что меня, э-э, никогда не просили проходить тест на наркотики."
"I certainly wouldn't object to it,","Я, конечно, не стал бы возражать против этого,"
"and I think random is probably, you know, the only really fair way to do it.","и я думаю, что случайный выбор - это, вероятно, знаете ли, единственный действительно честный способ сделать это."
Yeah.,Да.
"Um, I like it because, um,","Эм, мне это нравится, потому что, эм,"
"you know, I, I, I grew up in the sixties,","ты знаешь, я, я, я вырос в шестидесятые,"
Uh-huh.,Угу.
"and,  and, uh, you know, I, I saw,","и, и, э-э, ты знаешь, я, я увидел,"
Uh-huh.,Угу.
"you know, I know my friends who were you know, druggies and,  friends who weren't","ты знаешь, я знаю своих друзей, которые были, ты знаешь, наркоманами, и друзей, которые не были"
Uh-huh.,Угу.
"and, and, uh, you know, it's, I think it's a real problem,","и, и, э-э, вы знаете, это, я думаю, это настоящая проблема,"
Uh-huh.,Угу.
"Oh, I,","О, я,"
absolutely.,абсолютно.
"and I think it, and I think it's causing us a lot of trouble and,  and a lot of problems.","и я думаю, что это, и я думаю, что это доставляет нам много хлопот и, и много проблем."
Yeah.,Да.
Uh-huh.,Угу.
