en,ru
"Yeah,","Да,"
"that's true,","это правда,"
you just take off your mortgage interest,вы просто снимаете проценты по ипотеке
"and that's about it,","и это примерно все,"
"that's really about it,","вот в этом-то все и дело,"
"it's, uh,","это, э-э,"
"have you ever owned your own home,","у вас когда-нибудь был свой собственный дом,"
"Yeah,","Да,"
"I've owned, uh, several, built several,","Я владел, э-э, несколькими, построил несколько,"
"So you know what it's like,","Так что ты знаешь, на что это похоже,"
"yeah,","да,"
"it's like, when you first,","это как, когда ты впервые,"
"this is our third one,","это наш третий,"
"it's not, um,","это не, эм,"
and it's not that exciting after a while,и через некоторое время это уже не так волнующе
"Well and especially around North Dallas, or at least in Plano area, they, they basically all look alike because Fox and Jacobs,","Ну, и особенно в окрестностях Северного Далласа, или, по крайней мере, в районе Плано, они, они в основном все похожи друг на друга, потому что Фокс и Джейкобс,"
"Yeah,","Да,"
"suburban tract,","пригородный тракт,"
"yeah,","да,"
"we, uh, we lived out of state for a while and came back","мы, э-э, мы некоторое время жили за пределами штата и вернулись"
"and, uh, we lived in a smaller city,","и, э-э, мы жили в городе поменьше,"
"and now we say, Gee, Dallas really is big and polluted","и теперь мы говорим: ну и дела, Даллас действительно большой и загрязненный"
Isn't it.,Не так ли?
"I can remember,","Я могу вспомнить,"
"I've only been here eight years,","Я здесь всего восемь лет,"
"but I can remember coming to work from,","но я помню, как приходил на работу из,"
I used to live in Wylie,Раньше я жил в Уайли
Uh-huh.,Угу.
"and I could see downtown Dallas,","и я мог видеть центр Далласа,"
"and now there's this brown haze over it,","и теперь над ним эта коричневая дымка,"
and it's moving north.,и он движется на север.
"Yeah,","Да,"
"it's really it's really sad because they're not doing anything,","это действительно это действительно печально потому что они ничего не делают,"
"well we're getting off the subject, I guess,","ну, я думаю, мы уходим от темы,"
"but just like with housing, I mean, they're not doing anything about pollution,","но точно так же, как и в случае с жильем, я имею в виду, что они ничего не делают с загрязнением окружающей среды,"
"they're not doing anything about,","они ничего не делают по поводу,"
"it's going to look like,","это будет выглядеть так,"
have you ever been to Houston?,вы когда-нибудь были в Хьюстоне?
"Oh, yeah.","О, да."
"You know, um, I used to think that Dallas was better than Houston because their zoning for where you can put a house next to a,","Знаешь, эм, раньше я думал, что Даллас лучше Хьюстона, потому что у них такое зонирование, где можно поставить дом рядом с,"
"Yeah,","Да,"
now it looks just like Houston to me.,"теперь, по-моему, это выглядит точь-в-точь как Хьюстон."
"Yeah,","Да,"
it does.,Оно делает.
How long have you been in this house?,Как давно ты живешь в этом доме?
We've been in here ten years.,Мы здесь уже десять лет.
Ten years.,Десять лет.
"Yeah,","Да,"
"so we've got, you know, got some investment in it,","так что у нас есть, вы знаете, кое-какие инвестиции в это,"
"but, you really don't get anything out of it.",но на самом деле вы ничего от этого не получите.
"No,","Нет,"
you really don't.,ты действительно этого не делаешь.
"Were, you said you were out of state for a while, was that a smaller town than Dallas area.","Были, вы сказали, что какое-то время находились за пределами штата, это был город поменьше, чем район Далласа."
"Yeah,","Да,"
"smaller,","меньше,"
"we were up in Pittsburgh, Pennsylvania.","мы были в Питтсбурге, штат Пенсильвания."
How was it,Как это было
My home town.,Мой родной город.
how were the house prices up there?,как там были цены на жилье?
"The prices, actually, a lot better, because Pittsburgh is about the size, I've been trying to think, like a Louisville, or Minneapolis, that type of size.","Цены, на самом деле, намного лучше, потому что Питтсбург примерно такого размера, я пытался представить, как Луисвилл или Миннеаполис, такого типа."
Yeah.,Да.
"And the prices, what you get here for about a hundred thousand you could get there for about seventy-five, eighty.","И цены, то, что вы получаете здесь примерно за сто тысяч, вы могли бы получить там примерно за семьдесят пять, восемьдесят."
Wow.,Вау.
"Yeah,","Да,"
"it's really,","это действительно,"
"and we didn't think it was that clean,","и мы не думали, что здесь настолько чисто,"
"but then after you're gone for a while, it looks cleaner, you know","но потом, когда ты уезжаешь на некоторое время, все выглядит чище, знаешь"
"Oh, yeah","О, да"
"uh,","ух,"
"well, you know, a lot of these people that I've talked to that are coming down from, uh, like what I call, the back East especially from J C Penney, uh, are selling two and three hundred thousand dollar houses up there and buying a hundred and fifty, hundred and seventy-five thousand dollar houses down here,","ну, вы знаете, многие из тех людей, с которыми я разговаривал, которые приезжают, э-э, как я это называю, с дальнего Востока, особенно из Джей Си Пенни, э-э, продают там дома за двести и триста тысяч долларов и покупают сто пятьдесят, сто семьдесят- дома за пять тысяч долларов здесь внизу,"
"Yeah,","Да,"
and they've wound up getting better houses here than they had there,"и в итоге они получили здесь дома получше, чем были там"
"so in a way, I guess it works both ways.","так что в некотором смысле, я думаю, это работает в обоих направлениях."
"I guess it's,","Я думаю, это,"
"yeah,","да,"
"but, and here I guess it depends on what you want,","но, и здесь, я думаю, это зависит от того, чего вы хотите,"
"you know, here, I got a lot of people that work for J C Penney in marketing","вы знаете, здесь у меня много людей, которые работают на Джей Си Пенни в отделе маркетинга"
Yeah.,Да.
"and a lot of the people that came from that area, probably like what you're talking about, they had no, um, they had a lot of property but not a lot of house,","и многим людям, которые приехали из того района, вероятно, нравится то, о чем вы говорите, у них не было, эм, у них было много собственности, но не так много домов,"
and now they have a lot of house and hardly any yardage around it,и теперь у них много дома и почти нет дворов вокруг него
"That's a fact,","Это факт,"
"but, but they love it.","но, но им это нравится."
"I mean, they, they, they think they're getting,","Я имею в виду, они, они, они думают, что получают,"
"you know, you say, sun room to them, and you enclose and you can sell it","вы знаете, вы говорите им ""солнечная комната"", и вы прилагаете ее, и вы можете продать ее"
I guess that's true.,"Я думаю, это правда."
Yeah.,Да.
And they don't have to worry about yard upkeep if they don't hardly have any.,"И им не нужно беспокоиться о содержании двора, если у них его почти нет."
"Yeah,","Да,"
"and a lot of them I know, a couple women that work there,","и многих из них я знаю, пару женщин, которые там работают,"
"and they don't miss, in Public Relations,","и они не промахиваются в области связей с общественностью,"
"and they don't miss having a basement to run up and down to, you know,","и они не скучают по тому, что у них есть подвал, куда можно бегать вверх-вниз, вы знаете,"
"That's true,","Это правда,"
there's not too many basements in Texas.,в Техасе не так уж много подвалов.
"And I said, You haven't heard about tornados","И я сказал, вы не слышали о торнадо"
"How about those, you know,","Как насчет этих, ты знаешь,"
"Yeah,","Да,"
"gosh I remember when I was little, uh, we didn't have a,","черт возьми, я помню, когда я был маленьким, у нас не было,"
"I lived, grew up in southern Oklahoma",Я жил и вырос в южной Оклахоме
Uh-huh.,Угу.
"and, uh, people across the street had a cellar,","и, э-э, у людей через дорогу был подвал,"
"and we never did,","и мы никогда этого не делали,"
"and it's just like Dallas area, it was tornado alley up there,","и это точно так же, как район Далласа, там была аллея торнадо,"
"and every spring mom would drag me up at three o'clock, four o'clock in the morning and pajamas and teddy bear across the street,","и каждую весну мама поднимала меня в три-четыре часа утра в пижаме и с плюшевым мишкой через улицу,"
"and we'd go into the cellar,","и мы спускались в подвал,"
"and I to this day, I don't care if I go or not,","и мне по сей день все равно, пойду я или нет,"
Yep.,Ага.
"you know, if it's going to get me, it's get me.","ты знаешь, если это собирается достать меня, то это достанет меня."
"That's exactly, uh,","Это точно, э-э-э,"
"growing,","растущий,"
"I grew up in western Pennsylvania, near Pittsburgh,","Я вырос в западной Пенсильвании, недалеко от Питтсбурга,"
"and, uh, we used to call the basements actual cellars,","и, э-э, мы привыкли называть подвалы настоящими погребами,"
"so it's funny to hear that word, because I never hear it,","так что забавно слышать это слово, потому что я никогда его не слышу,"
"you know, it's like the back porch used to be a stoop, you know","знаешь, это как будто заднее крыльцо раньше было крыльцом, понимаешь"
Yeah.,Да.
"but, uh, um, the housing is just,","но, э-э-э, жилье просто,"
"we like the older houses,","нам нравятся старые дома,"
"and I don't know if we're going to stay here or not, depends,","и я не знаю, собираемся ли мы остаться здесь или нет, зависит,"
"you know, I mean,","ты знаешь, я имею в виду,"
You ever thought about building a house?,"Вы когда-нибудь думали о том, чтобы построить дом?"
Pardon me?,Простите меня?
Have you ever thought about building a house?,"Вы когда-нибудь думали о том, чтобы построить дом?"
"Yeah,","Да,"
"actually when we were up north, um,","вообще-то, когда мы были на севере, эм,"
but some family things changed,но кое-что в семье изменилось
"so we ended up come back down here, and all that, because it helped my husband's work,","так что в итоге мы вернулись сюда, и все такое, потому что это помогло работе моего мужа,"
"but, um, we really would like to,","но, эм, мы действительно хотели бы,"
"but we don't know if we're going to do it unless we stay here, you know.","но мы не знаем, сможем ли мы это сделать, если не останемся здесь, вы знаете."
"Yeah,","Да,"
"that's true,","это правда,"
"especially when,","особенно, когда,"
"with T I it's like anybody else, you never know how long you're going to be here, be in one place, you know,","с T I все как с любым другим, ты никогда не знаешь, как долго ты пробудешь здесь, будешь на одном месте, понимаешь,"
"Yeah,","Да,"
"it's real tough,","это действительно тяжело,"
"I mean, the economy any more,","Я имею в виду, экономика больше не,"
"I mean, I think everybody just lives under an umbrella, the uncertainty with housing and everything,","Я имею в виду, я думаю, что все просто живут под зонтиком, неопределенность с жильем и все такое,"
Yeah.,Да.
"you know, it's,","ты знаешь, это,"
Do you work?,Вы работаете?
Pardon me?,Простите меня?
Do you work?,Вы работаете?
"Yes,","Да,"
I do.,Я делаю.
"Well, how do you handle,","Ну, и как ты справляешься,"
do you have kids?,у вас есть дети?
"No,","Нет,"
we don't.,мы не.
"So you got,","Итак, у вас есть,"
"he's working and working to get this big house to take care of,","он работает и работает над тем, чтобы позаботиться об этом большом доме,"
how do you manage both of those?,как вы справляетесь с тем и другим?
"Uh, how do we take care of the house.","Э-э, как нам позаботиться о доме?"
"Well, I don't have a","Ну, у меня нет"
"I don't, shouldn't say that,","Я не, не должен был этого говорить,"
I don't have an ethnic maid,У меня нет горничной по национальности
Yeah.,Да.
"I don't have,","У меня нет,"
"we have some friends that live near North Dallas off of Campbell Road,","у нас есть несколько друзей, которые живут недалеко от Северного Далласа, недалеко от Кэмпбелл-роуд,"
"and they have like a four thousand square foot home,","и у них есть дом площадью около четырех тысяч квадратных футов,"
"and she's got a, uh, a live out nanny. Um,","и у нее есть, э-э, постоянная няня. Хм,"
"but any rate, I don't have any of that, um,","но в любом случае, у меня нет ничего из этого, эм,"
"I don't know,","Я не знаю,"
"it's really not too difficult with no children and just two people, you know.","знаете, это действительно не так уж сложно, когда нет детей и всего два человека."
"You basically can take care of everything yourself,","В принципе, вы можете позаботиться обо всем сами,"
"We have a,","У нас есть,"
"Yeah,","Да,"
"we have a dog,","у нас есть собака,"
"and we're pretty,","и мы хорошенькие,"
"I mean, we're not fanatically neat,","Я имею в виду, что мы не фанатично аккуратны,"
"but, um, we keep things up, you know not like where there is three feet of weeds or anything in the yard by the time you need to, um, get around to fertilizing and cutting in the spring.","но, гм, мы продолжаем в том же духе, знаете, не то что там, где во дворе вырастает три фута сорняков или чего-то еще к тому времени, когда вам нужно, гм, заняться удобрениями и обрезкой весной."
"Yeah,","Да,"
Yeah.,Да.
"What about home repairs and stuff,","А как насчет домашнего ремонта и прочего,"
"do you have to do all that yourself,","тебе обязательно делать все это самому,"
"or,","или,"
"Um, no,","Эм, нет,"
"we're pretty much, um,","мы в значительной степени, эм,"
"we, we've been around long enough as a couple that we learned a long time ago not to wall paper together and things like that.","мы, мы достаточно долго были парой, чтобы давным-давно научиться не клеить обои вместе и тому подобное."
"Oh, you too.","О, и ты тоже."
"Uh, we pretty much hire,","Э-э, мы в значительной степени нанимаем,"
"we subcontract mostly everything I mean other than anything that's not a, um,","мы заключаем субподряды в основном на все, что я имею в виду, кроме всего, что не является, эм,"
Yeah.,Да.
"I mean, I know how to fix a running toilet","Я имею в виду, я знаю, как починить работающий унитаз"
"Oh, yeah.","О, да."
"he does what he needs to,","он делает то, что ему нужно,"
"but mostly if it's something major, um, you know, cleaning out the air conditioning ducts or something like that, we just hire out to do that,","но в основном, если это что-то серьезное, ну, вы знаете, чистка воздуховодов кондиционера или что-то в этом роде, мы просто нанимаем для этого,"
"Sounds like you've already got the makings for being a general contractor,","Похоже, у вас уже есть задатки для того, чтобы стать генеральным подрядчиком,"
"Yeah,","Да,"
"no thanks,","нет, спасибо,"
"I,","Я,"
"If you don't wall paper it well together, you should probably not build a house together.","Если вы плохо оклеите их обоями, вам, вероятно, не стоит строить дом вместе."
"Have you ever done that,","Ты когда-нибудь делал это,"
"Yeah,","Да,"
I built three houses in my life,За свою жизнь я построил три дома
And how'd that go?,И как все прошло?
the building process was a lot of fun,процесс строительства был очень увлекательным
Uh-huh.,Угу.
but puts a lot of strain on things.,но это сильно напрягает ситуацию.
"Getting to agree to things, I'm sure,","Начинаю с чем-то соглашаться, я уверен,"
"and I also think that once you get to be, um, you know, certain,","и я также думаю, что как только ты станешь, эм, ну знаешь, уверенным,"
"when you get to be thirty something and thirty something gets to be a little bit older you start, um,","когда тебе исполняется тридцать с чем-то, а тридцать с чем-то становятся немного старше, ты начинаешь, эм,"
Yeah.,Да.
"the dollar value on things I,","долларовая стоимость вещей, которые я,"
You bet.,Вы ставите.
"you know, I think people that own homes a lot in North Dallas are very materialistic.","вы знаете, я думаю, что люди, у которых много домов в Северном Далласе, очень материалистичны."
"Oh, you bet.","О, еще бы."
"I know I'm supposed to talk about homes,","Я знаю, что должен говорить о домах,"
"but people that, the people that own them are the homes themselves,","но люди, которые, люди, которым они принадлежат, - это сами дома,"
"and you know, um, spending sixteen dollars a yard for custom draperies, for custom drapes just doesn't","и вы знаете, эм, тратить шестнадцать долларов за ярд на портьеры на заказ, на портьеры на заказ просто не"
"Oh, yeah.","О, да."
"Well, to some of them I guess it doesn't matter, you know, that maybe they've got enough coming in to take care of it,","Ну, для некоторых из них, я думаю, это не имеет значения, вы знаете, что, возможно, у них достаточно поступающих, чтобы позаботиться об этом,"
"Yeah,","Да,"
"that's,","это,"
"I mean, and, and you know, you see a lot of these people that came east from, uh, west, from, uh, from New York with Exxon or J C Penney,","Я имею в виду, и, и вы знаете, вы видите многих из этих людей, которые приехали на восток с запада, из Нью-Йорка с Exxon или Jc Penney,"
and it's just a hoot to watch them.,и наблюдать за ними - просто кайф.
"Are they, they,","Неужели они, они,"
"as far as they're concerned, they've come to the promised land,","что касается их, то они пришли в землю обетованную,"
"you know, they've got it made,","ты знаешь, у них все получилось,"
"Right,","Правильно,"
"right,","право,"
"exactly,","именно так,"
"so, well was it hard to adjust living in an apartment after being in a house.","итак, ну, было ли трудно приспособиться к жизни в квартире после того, как побывал в доме."
"Oh, yeah,","О, да,"
"because you're uh, confined by space,","потому что ты, э-э, ограничен пространством,"
"you know, I had a,","ты знаешь, у меня был,"
I came out of a thirty-one hundred square foot two story house.,Я вышел из двухэтажного дома площадью тридцать сто квадратных футов.
"Oh, my goodness","О, боже мой"
yeah.,да.
"And I had room for everything,","И у меня было место для всего,"
in fact I had more room than knew what to do with.,"на самом деле у меня было больше места, чем я знал, что с ним делать."
I don't know,Я не знаю
Uh-huh.,Угу.
"just seems like room, stuff always expands to fill available space, uh.","просто кажется, что комната, вещи всегда расширяются, чтобы заполнить доступное пространство, э-э-э."
Yeah.,Да.
"Well, in a way you can travel light.","Что ж, в некотором смысле вы можете путешествовать налегке."
"you can,","ты можешь,"
"you know, you you adjust, you figure out,","ты знаешь, ты приспосабливаешься, ты разбираешься,"
"How is, how is apartment dwelling living in terms of general privacy and noise and things like that?","Как, как живет многоквартирный дом с точки зрения общей приватности, шума и тому подобного?"
It's not as bad as I thought it was,"Все не так плохо, как я думал"
Uh-huh.,Угу.
"it's not as bad as I remembered, especially going to college and living in apartments there, you know how noisy that can be.","это не так плохо, как я помнил, особенно когда я учился в колледже и жил там в квартирах, ты же знаешь, как это может быть шумно."
"Yes,","Да,"
I do.,Я делаю.
"Uh, there seems to be more a mature crowd in, uh, apartments, at least where I am, uh, even though, you know, there's kids all around","Э-э, кажется, в квартирах больше зрелой публики, по крайней мере там, где я нахожусь, э-э, хотя, знаете, вокруг полно детей"
"and there's, there's traffic","и там, там движение"
"and there's people running up and down the sidewalks and stuff like that,","и там люди бегают вверх и вниз по тротуарам и все такое,"
"but still, uh,","но все же, э-э,"
"Everybody pretty much keeps to their own turf, so to speak.","Каждый в значительной степени придерживается своей собственной территории, так сказать."
"Yeah,","Да,"
"pretty much,","довольно много,"
"and, uh, there's never really any,","и, э-э, на самом деле никогда не бывает никаких,"
"oh I remember in school,","о, я помню, как в школе,"
"there's just,","там просто,"
seem like there was a fight or a party or something going on every night,"кажется, что там была драка, или вечеринка, или что-то еще, происходящее каждую ночь"
Yeah.,Да.
"You don't run into that up here, I think, I think because there's so many, uh, professional people, if you want to call them that that go spend all day at work","Я думаю, здесь вы с этим не столкнетесь, я думаю, потому что здесь так много, э-э, профессиональных людей, если вы хотите их так назвать, которые проводят весь день на работе"
Uh-huh.,Угу.
and they want to come home,и они хотят вернуться домой
"and they want some quiet,","и они хотят немного тишины,"
"Relax and try to go to sleep,","Расслабься и постарайся заснуть,"
"really,","действительно,"
yeah.,да.
"You see a lot of activity outside, people riding bikes, playing ball, or jogging","Вы видите много активности на улице, люди катаются на велосипедах, играют в мяч или бегают трусцой"
"or they're doing this and that,","или они делают то-то и то-то,"
"and they, they're trying to, to unwind.","и они, они пытаются расслабиться."
"I think Plano in general is getting a little more,","Я думаю, что Плано в целом становится немного больше,"
well it's gotten so big it's almost a town in it's own right.,"что ж, он стал таким большим, что стал почти самостоятельным городом."
"Oh, yeah,","О, да,"
"it's a hundred and what, eighty thousand, something like that.","это сто с лишним, восемьдесят тысяч, что-то в этом роде."
"Or something,","Или что-то еще,"
"yeah,","да,"
"the price of home,","цена дома,"
"now we paid, oh, we paid, um about seventy-eight nine for our house like I said, about a decade ago, not even, about nine years ago,","теперь мы заплатили, о, мы заплатили, эм, около семидесяти восьми девяти долларов за наш дом, как я уже сказал, около десяти лет назад, даже нет, около девяти лет назад,"
"and, I'd say they appraised it,","и, я бы сказал, они оценили это,"
"it's gone up, you now, maybe like five percent","у вас сейчас он вырос, может быть, процентов на пять"
"Oh, yeah.","О, да."
"so it's an investment,","так что это инвестиция,"
"but it's something that,","но это то, что,"
"you know, when you're first married or starting out, you think if you really have something,","знаете, когда вы впервые выходите замуж или начинаете свой путь, вы думаете, действительно ли у вас что-то есть,"
"but you really,","но ты действительно,"
"it's just real,","это просто реально,"
"nowadays, with the way the income tax, I think housing is strictly to itemize.","в настоящее время, с учетом подоходного налога, я думаю, что жилье должно быть строго расписано по пунктам."
"Oh, you bet,","О, еще бы,"
"and the thing that, that gets me is, uh, you never really catch up, you never really finish doing things,","и что меня заводит, так это то, что ты никогда по-настоящему не наверстываешь упущенное, ты никогда по-настоящему не заканчиваешь делать что-то,"
"and, uh you're always paying for something.","и, э-э, ты всегда за что-то платишь."
"Yeah,","Да,"
"exactly,","именно так,"
"we,","мы,"
"Yeah,","Да,"
"and even,","и даже,"
"you know, I mean, like we had, I called them prefabs, just a tract home,","ты знаешь, я имею в виду, как у нас было, я назвал их сборными домами, просто дом на колесах,"
"you know, I mean, we, we had one of their homes that was nicer in Pennsylvania,","вы знаете, я имею в виду, у нас, у нас был один из их домов, который был лучше в Пенсильвании,"
"but, um, it was an older home,","но, эм, это был более старый дом,"
"but then, you buy an older home and you're always fixing things up,","но потом ты покупаешь дом постарше и постоянно что-то ремонтируешь,"
"Oh, you are, constantly,","О, ты есть, постоянно,"
"there's always something going wrong,","всегда что-то идет не так,"
"So, you know,","Итак, вы знаете,"
"So, uh, tell me about changes from say twenty years ago, since you were an adult, twenty years ago.","Итак, э-э, расскажите мне об изменениях, произошедших, скажем, двадцать лет назад, с тех пор, как вы стали взрослым, двадцать лет назад."
"Well, let's see, well, we assume I was an adult twenty years ago, Um,","Ну, давайте посмотрим, ну, предположим, я был взрослым двадцать лет назад, Эм,"
"Well, you're, you're able to, you're able to, uh, vote and go to war and things like that","Ну, ты, ты в состоянии, ты в состоянии, э-э, голосовать и идти на войну и тому подобное"
"so,","так,"
"Yeah,","Да,"
definitely able to go to war twenty years ago but not vote.,"определенно мог пойти на войну двадцать лет назад, но не голосовать."
"Oh, that's right,","О, это верно,"
that's one of the changes,это одно из изменений
Not vote.,Не голосовать.
That was one of the changes that came about in the last twenty years.,"Это было одно из изменений, произошедших за последние двадцать лет."
"Um, yeah,","Эм, да,"
"twenty years ago is nineteen seventy,","двадцать лет назад - это тысяча девятьсот семьдесят,"
"uh, nineteen seventy I had been married two years.","э-э, в тысяча девятьсот семидесятом я был женат два года."
Uh-huh.,Угу.
"Um, we had all the great civil rights legislation of nineteen sixty-eight,","Эм, у нас было все великое законодательство о гражданских правах тысяча девятьсот шестьдесят восьмого года,"
Uh-huh.,Угу.
"And, uh, around here on the, uh, east coast, uh, we were heavy into affirmative action.","И, э-э, где-то здесь, на восточном побережье, э-э, мы активно выступали за позитивные действия."
Uh-huh.,Угу.
Yes.,Да.
Uh-huh.,Угу.
Uh-huh.,Угу.
"Uh-huh,","Ага,"
uh-huh.,угу.
Uh-huh.,Угу.
Uh-huh.,Угу.
"Uh, the problem was that my hair was too long.","Э-э, проблема была в том, что мои волосы были слишком длинными."
Uh-huh.,Угу.
"and, uh, you weren't allowed to have a, uh, mustache or a beard, if you wanted to get ahead with the company,","и, э-э, тебе не разрешалось носить, э-э, усы или бороду, если ты хотел продвинуться в компании,"
"Uh-huh,","Ага,"
uh-huh.,угу.
Uh-huh.,Угу.
Uh-huh.,Угу.
"well if you were a, uh, black female you were destined to be store manager in six to nine months,","ну, если бы вы были, э-э, чернокожей женщиной, вам было суждено стать менеджером магазина через шесть-девять месяцев,"
if you were white male you're talking six years.,"если бы вы были белым мужчиной, вы бы говорили о шести годах."
Huh.,Хм.
And that's basically where I ended up.,"И, по сути, именно там я и оказался."
"Uh-huh,","Ага,"
uh-huh.,угу.
"And is the company now, uh, well represented, uh, demographically, at the higher echelons?","И хорошо ли компания сейчас представлена, э-э, демографически, в высших эшелонах власти?"
"Um,","Хм,"
Did it work?,Сработало ли это?
"I think so,","Я так думаю,"
"I, I, I, I stopped working for them in, uh, seventy-eight, seventy-nine.","Я, я, я, я перестал работать на них в семьдесят восьмом, семьдесят девятом."
Uh-huh.,Угу.
"And, uh, it's,","И, э-э, это,"
"I think they're, they're like all companies, well represented.","Я думаю, что они, как и все компании, хорошо представлены."
Uh-huh.,Угу.
"And, uh, you know, everything seems to be fine.","И, э-э, ты знаешь, кажется, все в порядке."
Uh-huh.,Угу.
"I, I've kind of lost touch with the company,","Я, я вроде как потерял связь с компанией,"
"we had a falling out,","мы поссорились,"
"Uh-huh,","Ага,"
uh-huh.,угу.
"but, uh, as far as, uh, as their management goes, um, I'm not sure they're any, any better off than they were, were before management wise.","но, э-э, что касается, э-э, их руководства, э-э, я не уверен, что они стали хоть сколько-нибудь лучше, чем были до того, как руководство стало мудрым."
Uh-huh.,Угу.
"But, uh, other changes, um, just people seem to be more outspoken now individually, rather than collectively.","Но, э-э, другие изменения, э-э, просто люди, кажется, теперь более откровенны по отдельности, а не коллективно."
Uh-huh.,Угу.
"Um, back in the seventies we had, uh, a lot of, uh, protests against the war, and, uh, bring our troops home","Эм, еще в семидесятых у нас было, эм, много, эм, протестов против войны и, эм, возвращения наших войск домой"
"and things were, more organized.",и все было более организованно.
Uh-huh.,Угу.
"And, uh, I've noticed, that now, more and more individual people are speaking out for their own rights rather than massing together.","И, э-э, я заметил, что сейчас все больше и больше отдельных людей выступают за свои собственные права, а не собираются вместе."
"Uh-huh,","Ага,"
uh-huh.,угу.
"Um,","Хм,"
"Yeah,","Да,"
"I'm not sure if that was because, you know, eighties was like the, uh, the me decade.","Я не уверен, было ли это потому, что, знаете ли, восьмидесятые были похожи на, э-э, десятилетие меня."
The me decade.,Десятилетие me.
Uh-huh.,Угу.
"And, uh, everybody was into me,","И, э-э, все были влюблены в меня,"
and then we are getting back into us.,и тогда мы возвращаемся в себя.
"But, um, it, it, it's","Но, эм, это, это, это"
"I've seen, uh, uh, a great deal of change as far as, um, corporate responsibility and things, um,","Я видел, э-э, э-э, большие изменения в том, что касается, э-э, корпоративной ответственности и прочего, э-э,"
"Uh-huh,","Ага,"
uh-huh.,угу.
"and, people's response to that, you know, at first not trusting and now, expecting more.","и реакция людей на это, вы знаете, сначала недоверчивая, а теперь ожидающая большего."
"Uh-huh,","Ага,"
uh-huh.,угу.
And what what about the last ten years that you've been aware.,"И что насчет последних десяти лет, о которых вы были осведомлены."
"Well, that I've been aware of, I've,","Ну, об этом я был осведомлен, я,"
"at least in my own circles I've been aware of an increasing from my generation,","по крайней мере, в моих собственных кругах я был осведомлен о растущем интересе моего поколения,"
"I don't know if I can quite call myself a distinct generation from you,","Я не знаю, могу ли я назвать себя поколением, отличным от вас,"
"but half generation off, I guess.","но, я думаю, прошло уже полпоколения."
"Um, I've noticed, uh, a certain increase, um, pessimism with America no longer being sort of on top.","Эм, я заметил, эм, определенный рост, эм, пессимизма в связи с тем, что Америка больше не находится вроде как на вершине."
"I had the impression,","У меня сложилось впечатление,"
"well, I mean, there was the quote, unquote losing of the Vietnam war, which was a blow,","ну, я имею в виду, там была цитата, без кавычек проигрыш войны во Вьетнаме, который был ударом,"
"and it was right around that time when I started becoming socially, you know, a socially conscious adult.","и это было как раз в то время, когда я начал становиться социально, вы знаете, социально сознательным взрослым."
"And, I realize that people of my age have no, um, no major success in the sense that, uh, you saw the passage of the Civil Rights Act, and, um, major social change in that sense,","И я понимаю, что люди моего возраста не добились, эм, никакого серьезного успеха в том смысле, что, эм, вы видели принятие Закона о гражданских правах и, эм, серьезные социальные изменения в этом смысле,"
"and I,","и я,"
