,Unnamed: 0,speaker,text,code
137929,137929,A,Right.,b
137930,137930,A,Yeah.,b
137931,137931,B,"So, I mean, the kids, I mean, they really try to educate all ages, you know,",sv
137932,137932,B,"and it's good to start the kids real young on,",sv
137933,137933,A,"I think so, too.",aa
137934,137934,A,Yeah.,b
137935,137935,B,"I mean, it's like nobody was concerned about it.",sv
137936,137936,A,Right.,aa
137937,137937,A,Yeah.,aa
137938,137938,A,"We weren't,  concerned.",sv
137939,137939,B,"You know, and it's like,",sd
137940,137940,A,Yeah.,aa
137941,137941,A,That's true.,aa
137942,137942,B,"You know, it's like all of a sudden when there's noticeable things, saying, Hey, you know,  we're ruining the earth,",sd
137943,137943,A,Huh.,b
137944,137944,B,"you know. And now everybody is doing something about, which is good.",sv
137945,137945,A,Uh-huh.,b
137946,137946,B,"But how come we weren't doing this, say, twenty years ago  you know?",qw
137947,137947,A,Yeah.,b
137948,137948,A,"I, I think really probably what hit peoples, you know, I know that here in the, up in the, uh, uh, the, the New Englands area and also in, in Pennsylvania, Ohio, and New York, the, just run, all of a sudden we're out of landfill.",sv
137949,137949,B,Uh-huh.,b
137950,137950,A,"And, and they're saying, We estimate this landfill be will be full in two years unless we cut back.",sv
137951,137951,B,Uh-huh.,b
137952,137952,A,"So, I think that, that became,",sv
137953,137953,A,"that all of a sudden really hit home that there's no longer landfill space, in some of the more crowded states.",sv
137954,137954,B,"This is,",%
137955,137955,A,"So, what,",%
137956,137956,A,"you know, and no other state,",%
137957,137957,A,I'm sure Texas probably still has some landfill space.,sd
137958,137958,A,"They're not going to voluntarily say, Hey, ship your garbage here.",sv
137959,137959,B,Right,b
137960,137960,B,Yeah.,aa
137961,137961,B,That's true.,aa
137962,137962,A,"It's really, tough.",sd
137963,137963,B,"I think, that it, it really surprises me because of the cost savings.",sv
137964,137964,B,"I mean, this is such a tremendous, amount of cost savings.",sd
137965,137965,A,Uh-huh.,b
137966,137966,B,"I mean, why,",%
137967,137967,B,I can't understand why nobody saw that before.,qh
137968,137968,B,"I mean, even, even not even the aspects of not saving the earth",sd
137969,137969,A,Uh-huh.,b
137970,137970,B,"I,  mean, it's, so cost, you know,",sd
137971,137971,A,Right.,b
137972,137972,A,Yeah.,b
137973,137973,A,"But, well,",%
137974,137974,A,"Well, in some ways, I guess, it, it doesn't become really cost saving until you have an industry around it, you know. Because,  I know that, like in, Pennsylvania, they require them to, um, put their newspaper for recycling.",sv
137975,137975,A,"But, the de-inking process that they have to, they use,  to take the ink out of the newspaper so it can be reused um, is very expensive,",sd
137976,137976,B,Uh-huh.,b
137977,137977,B,Uh-huh.,b
137978,137978,B,Oh.,b
137979,137979,A,"and also, it it produces a, a waste, a, um, a, liquid waste that they don't know what to do with yet. they still have cost,  yeah, cost efficient, yet.",sd
137980,137980,B,"Oh. I see,",b
137981,137981,B,okay.,b
137982,137982,B,Is not real cost efficient.,^2
137983,137983,B,"Oh, okay,",b
137984,137984,B,"okay. Oh,",b
137985,137985,A,Yeah.,%
137986,137986,B,"I, understand that though.",sd
137987,137987,A,"So, but others, you know, like tin cans and plastics,  are, are really, uh, efficient, you know.",sd
137988,137988,B,Uh-huh.,b
137989,137989,A,"They, they melt on quickly and can be, you know, just because of the, heating and things, getting glass.",sd
137990,137990,B,Right.,b
137991,137991,B,and glass.,^2
137992,137992,B,Right.,b
137993,137993,A,Yeah.,%
137994,137994,B,Uh-huh.,b
137995,137995,A,"So,",%
137996,137996,A,it really is surprising that people haven't noticed it before.,sv
137997,137997,B,Yeah.,aa
137998,137998,B,That's true.,aa
137999,137999,A,Uh-huh.,b
138000,138000,A,Yeah.,%
138001,138001,B,"And even,",%
138002,138002,B,"I, I noticed that a lot of gas stations are telling you to recycle your oil.",sd
138003,138003,A,Uh-huh.,b
138004,138004,B,"And, I mean, that kind of surprises me",sd
138005,138005,B,"I mean, you know, because once oil gets so, you know, thick and yucky, you'd wonder how they could, you know, clean that up,  enough to use it again,",sd
138006,138006,A,Yeah.,b
138007,138007,B,but they can.,sd
138008,138008,A,Uh-huh.,b
138009,138009,B,"Um, I don't know how cost efficient that would be, I guess,",sd
138010,138010,A,Yeah.,b
138011,138011,A,I I don't know either.,h
138012,138012,A,"That's,",%
138013,138013,A,"I know that though, I, all those petroleum products though are so terrible for your, um, the water table.",sd
138014,138014,B,Uh-huh.,b
138015,138015,A,"You know, they really pollute quickly",sd
138016,138016,A,"and, you know, one,",%
138017,138017,B,Uh-huh.,b
138018,138018,B,Wow.,ba
138019,138019,A,"So, it's one of those things that they really,",sv
138020,138020,B,Yeah,b
138021,138021,B,Yeah.,aa
138022,138022,B,I know,ba
138023,138023,A,"Yeah,",b
138024,138024,A,how terrible that is.,qh
138025,138025,A,"So, we'll have to, we'll have to keep our eyes on all that, I guess.",sv
138026,138026,B,Really.,b
138027,138027,A,Uh-huh.,b
138028,138028,B,"I know I really,",%
138029,138029,B,"I don't know,",h
138030,138030,B,"I, I think that, I mean, I think that they really are doing a good thing now",sv
138031,138031,B,"and I hope it keeps,",sv
138032,138032,B,"well, I'm sure we'll keep up.",sv
138033,138033,A,Yeah.,aa
138034,138034,A,"I,  agree.",aa
138035,138035,B,"You know,",qy
138036,138036,B,I think it's really catching on.,sv
138037,138037,A,Uh-huh.,b
138038,138038,B,"You know, I, I think that,",%
138039,138039,B,"I'm not sure if it,",%
138040,138040,B,"I don't know,",h
138041,138041,B,I think it's a good idea to make it mandatory,sv
138042,138042,A,"I do, too.",aa
138043,138043,B,"Um, it,",%
138044,138044,B,"because like we were asking some people that live in, um, North Dakota, Well, are you saving your, you know, are you recycling.",sd
138045,138045,B,"And they said, Well, we're not forced to do it yet,",sd
138046,138046,B,so no.,sv
138047,138047,A,Uh-huh.,b
138048,138048,B,"You know, so, I mean I don't know,",h
138049,138049,B,"I think that if people are forced, if the people are not forced to do it they may not, you,  know.",sv
138050,138050,A,Yeah.,b
138051,138051,B,"I mean, I don't know,",h
138052,138052,B,"I think a lot of people still will,",sv
138053,138053,A,"You know, I know that it's really funny.",sd
138054,138054,A,My parents are forced to do it,sd
138055,138055,A,"and they,",%
138056,138056,A,"Well, I personally don't have any problem with, uh, drug testing employees or potential employees, do you?",qy
138057,138057,B,"Um,",b
138058,138058,A,"I mean, basically?",qy
138059,138059,B,"Basically, no.",nn
138060,138060,A,Okay.,bk
138061,138061,A,"I don't,",%
138062,138062,A,I really can't disagree with it.,sv
138063,138063,B,"I, I, uh, uh,",%
138064,138064,B,"the policy that T I has, I think is, uh, uh, very fair.",sv
138065,138065,A,Uh-huh.,b
138066,138066,B,"Um, I,",%
138067,138067,B,"they first had a policy where they, uh, would test new employees",sd
138068,138068,B,"and, then since I've been with them the last four years, uh, there's been in the last year, year and a half, um, they're doing random testing of all employees.",sd
138069,138069,A,Uh-huh.,b
138070,138070,A,I think that's really the only fair way to do it.,sv
138071,138071,B,Yes.,aa
138072,138072,A,I really think it ought to be,sv
138073,138073,A,"you know, Junkins all the way down.",sv
138074,138074,B,"And it is,",aa
138075,138075,B,"it,",%
138076,138076,B,and from what I understand it is Jerry Junkins all the way down.,sv
138077,138077,A,"Right,",b
138078,138078,A,"as a matter of fact, I want to think they took the top managers first,",sd
138079,138079,A,isn't that a fact?,^g
138080,138080,A,"I've been retired from T I about a year,",sd
138081,138081,B,Uh-huh.,b
138082,138082,A,"but the program, you know, was still fairly new.",sd
138083,138083,A,"I guess it had been going on, maybe almost a year,  before I retired,",sd
138084,138084,B,Uh-huh.,b
138085,138085,A,"so I was not, uh, ever called upon to do a drug test.",sd
138086,138086,A,"I certainly wouldn't object to it,",sd
138087,138087,A,"and I think random is probably, you know, the only really fair way to do it.",sv
138088,138088,B,Yeah.,b
138089,138089,B,"Um, I like it because, um,",sd
138090,138090,B,"you know, I, I, I grew up in the sixties,",sd
138091,138091,A,Uh-huh.,b
138092,138092,B,"and,  and, uh, you know, I, I saw,",sd
138093,138093,A,Uh-huh.,b
138094,138094,B,"you know, I know my friends who were you know, druggies and,  friends who weren't",sd
138095,138095,A,Uh-huh.,b
138096,138096,B,"and, and, uh, you know, it's, I think it's a real problem,",sv
138097,138097,A,Uh-huh.,b
138098,138098,A,"Oh, I,",%
138099,138099,A,absolutely.,aa
138100,138100,B,"and I think it, and I think it's causing us a lot of trouble and,  and a lot of problems.",sv
138101,138101,A,Yeah.,b
138102,138102,A,Uh-huh.,b
138103,138103,B,"And so I'm hoping that, uh, a lot of other companies will, will follow the same path.",sd
138104,138104,A,"I don't think they'll have much choice, do you?",qy
138105,138105,B,"Um, probably not.",ng
138106,138106,A,"Especially if they have anything do with, you know, government contracts, or anything.",sv
138107,138107,A,"As matter of fact, I want to believe that the, uh, defense department more or less mandated that people, you know, who work on defense contracts, you know,  do some sort of, you know, drug testing.",sv
138108,138108,B,Uh-huh.,b
138109,138109,A,I think that's really what maybe prompted T I to do it.,sv
138110,138110,A,"I was in the, uh, Defense Electronic Division when I retired.",sd
138111,138111,A,"I know it was, a, you know, it was a real hot, hot item there.",sv
138112,138112,A,"I think, I want to think maybe they, you know, really got some nudging from, you know, D O D to do this sort of thing.",sv
138113,138113,B,"Yeah,",b
138114,138114,A,Uh-huh.,b
138115,138115,A,Yeah.,b
138116,138116,A,"So you you know the atmosphere, then.",qy^d
138117,138117,B,Yep.,ny
138118,138118,A,"So, yeah.",b
138119,138119,B,"Very aware of it.  uh, like, you know, school systems, and that kind of thing.",sd
138120,138120,A,Uh-huh.,b
138121,138121,A,Uh-huh.,b
138122,138122,A,"Right,",aa
138123,138123,A,I agree.,aa
138124,138124,A,"I,",%
138125,138125,B,"I mean, I'd like, I'd like to know that my child's being taught by a teacher who's not on drugs or,  or, uh, who might be at a point where they're trying to sell my kid drugs.",sv
138126,138126,A,That's right.,aa
138127,138127,A,That's,aa
138128,138128,A,absolutely.,aa
138129,138129,A,"Yeah,",aa
138130,138130,A,I,%
138131,138131,A,"I just can't disagree with you , with you know the basic premise.",sd
138132,138132,B,Yeah.,b
138133,138133,A,It's to,%
138134,138134,A,"as far as I know, it's, you know, seems to be a fairly accurate program, as far as, uh, you know, the testing goes.",sv
138135,138135,A,"And, uh,",%
138136,138136,B,"And, I like the idea that they have a, uh, system where they allow you to, uh, be retested if for,  some reason there may have been a problem.  or something did show up.",sv
138137,138137,A,That's right.,aa
138138,138138,A,That's right.,aa
138139,138139,A,"And offer you, you know, help if you need help.",^2
138140,138140,B,"Yeah,",b
138141,138141,B,yeah.,b
138142,138142,A,Yeah.,aa
138143,138143,B,"Yeah,",b
138144,138144,B,"rather than just, uh put you out on the street and let you fend for yourself.",sd
138145,138145,A,Yeah.,%
138146,138146,A,That's right.,aa
138147,138147,B,That's not going to help anybody get over the problem.,sv
138148,138148,A,"No,",aa
138149,138149,B,"I believe it is a, a, a medical problem.",sv
138150,138150,A,That's right.,aa
138151,138151,B,"Um, of course I also think smoking is the most addictive thing in the world, too",sv
138152,138152,A,"Oh, absolutely.",aa
138153,138153,A,Not to mention alcohol.,sv
138154,138154,B,"Yeah,",b
138155,138155,B,"so I mean, there's a lot of things out there",sd
138156,138156,A,"Yep,",b
138157,138157,A,yep.,b
138158,138158,B,"I'm just glad that they, uh, decided not to, uh, tax drugs, otherwise they'd be legal,",sv
138159,138159,A,Uh-huh.,b
138160,138160,B,"and they'd be getting tax money off it the same way,  they are the alcohol and tobacco",sv
138161,138161,A,That's right,aa
138162,138162,A,That's right,aa
138163,138163,A,"oh, gosh.",ba
138164,138164,A,"Well, it's, it's a real problem,",sv
138165,138165,A,I'm sure.,sd
138166,138166,A,I'm sure.,sd
138167,138167,B,Yeah.,b
138168,138168,B,"I have friends that work in other companies that are just now adopting the policy,  and, and stuff,",sd
138169,138169,A,Uh-huh.,b
138170,138170,B,"and I, uh, uh, I moved to a T I facility that, um, had never had, uh, random drug sampling before,  because they were outside of the military sector.",sd
138171,138171,A,Uh-huh.,b
138172,138172,A,Right.,b
138173,138173,A,Uh-huh.,b
138174,138174,B,"It was, uh, an industrial company, and, you know, that T I purchased,",sd
138175,138175,B,"and so the people here, a lot of them are real opposed to it.",sd
138176,138176,A,"Oh, yeah,",b
138177,138177,A,uh-huh.,b
138178,138178,B,"Uh, they were really opposed to it,",sd
138179,138179,A,Uh-huh.,b
138180,138180,B,"and, you know, there was a few of them that obviously were doing drugs,",sd
138181,138181,A,Uh-huh.,b
138182,138182,B,and that's why they were opposed to it.,sv
138183,138183,A,That's right.,aa
138184,138184,B,"And, uh, it resulted in, in a few people leaving, you know, because they just flat out weren't going to put up with the policy.",sd
138185,138185,A,Uh-huh.,b
138186,138186,A,Uh-huh.,b
138187,138187,B,"You know, they had a life-style",sd
138188,138188,B,and they weren't going to change it.,sv
138189,138189,A,"Yeah,",b
138190,138190,A,right.,b
138191,138191,B,"And it's,",%
138192,138192,A,"Yeah,",b
138193,138193,A,"I know a lot of people who, when it first",sd
138194,138194,A,"or at least began, was in the talking",sd
138195,138195,A,"you know, everybody knew it was coming,",sd
138196,138196,A,"it just a matter of time, everybody was screaming, you know, invasion of privacy and all this stuff.",sd
138197,138197,A,"But a lot of people, I think, after they thought about it for awhile, and you know, weighed the pros and cons, decided, you know, it's really not a bad idea unless you're doing drugs, of course.",sv
138198,138198,B,Yeah.,b
138199,138199,B,"I mean, uh, you should have no objection to it,",sv
138200,138200,B,"it's like, uh, going down to get your license and checking your eyes.",sv
138201,138201,A,That's right.,aa
138202,138202,B,"I mean, you know, why do I need my eyes checked,",qh
138203,138203,A,Uh-huh.,b
138204,138204,A,"That's right,",aa
138205,138205,A,"yep,",aa
138206,138206,A,yep.,aa
138207,138207,B,"You know it's like, why are we doing this?",qh
138208,138208,B,"Well, so you don't kill people on the road.",sd
138209,138209,A,That's right.,aa
138210,138210,A,Or yourself,^2
138211,138211,A,"or,",%
138212,138212,B,"Uh, it's a",%
138213,138213,B,"I mean, it's the basic premise with,  you know, drug testing.",sv
138214,138214,A,Yeah.,b
138215,138215,A,That's right.,aa
138216,138216,B,"Especially some of the jobs, um,",sv
138217,138217,B,"luckily I've always been in the engineering sector,",sd
138218,138218,A,Uh-huh.,b
138219,138219,B,"and it's very little that anyone could do in the engineering sector as far as, uh, you know, hurting someone, I mean,",sd
138220,138220,A,Uh-huh.,b
138221,138221,B,"it's hard to imagine somebody misusing a computer and somebody dying from it,",sv
138222,138222,A,Yeah.,aa
138223,138223,A,That's true.,aa
138224,138224,B,"But, uh, in the manufacturing sectors and over in semiconductor,  and down in some of those labs and stuff, yeah, I, darn if I'd want somebody down there that I'm working with side by side, you know, that could kill me, by doing something incorrectly because they were not exactly all there because they were on drugs.",sv
