en,ru
"Uh, who is your, whose your favorite religious author?","Э-э, кто ваш, чей ваш любимый религиозный автор?"
"Well, I don't know if I have a favorite uh, religious author.","Ну, я не знаю, есть ли у меня любимый, э-э, религиозный автор."
Uh-huh.,Угу.
"I would have to say that, uh, some of the ones that consistently put out good materials, uh, you know,","Я должен был бы сказать, что, э-э, некоторые из тех, кто постоянно выпускает хорошие материалы, э-э, вы знаете,"
"that, that's difficult because one person might write one book extremely well and some other ones might not write as well.","это сложно, потому что один человек может написать одну книгу чрезвычайно хорошо, а некоторые другие могут писать не так хорошо."
Uh-huh.,Угу.
"Uh, I had to stop here and think a second.","Э-э, мне пришлось остановиться здесь и подумать секунду."
One of the ones that I've read recently that I've read several of his books,"Одна из тех, которые я недавно прочитал, что я прочитал несколько его книг"
and I thought that each one of his books were good.,"и я подумал, что каждая из его книг была хороша."
He's the man out of San Antonio.,Он тот самый человек из Сан-Антонио.
"And, uh,","И, э-э-э,"
Max Lucado?,Макс Лукадо?
Max Lucado.,Макс Лукадо.
Yeah.,Да.
Max consistently writes good books.,Макс постоянно пишет хорошие книги.
Yeah.,Да.
"Uh, he's a great man.","Э-э, он великий человек."
"I've met him several times. Uh,","Я встречался с ним несколько раз. Ух,"
Yes.,Да.
"I know him,","Я знаю его,"
yeah.,да.
Huh.,Хм.
"But  uh, there's other authors also that have uh, uh, that write good books from time to time, but not consistently put out the materials all the time","Но, э-э, есть и другие авторы, у которых есть, э-э, которые время от времени пишут хорошие книги, но не постоянно публикуют материалы"
"Uh, I'd say another, which is a local writer here in Plano, uh, is, uh,","Э-э, я бы сказал еще один, который является местным писателем здесь, в Плано, э-э, это, э-э,"
I'm trying to think of his name.,Я пытаюсь вспомнить его имя.
He's with the Bible church.,Он из Библейской церкви.
"And that is, uh,","И это, э-э-э,"
I see his name,Я вижу его имя
"but I can't,","но я не могу,"
I mean I see him,"Я имею в виду, я вижу его"
but I can't see his name,но я не вижу его имени
"But he, uh, he talks about, uh, he talks about a lot of different topics","Но он, э-э, он говорит о, э-э, он говорит на множество разных тем"
"and,","и,"
"Okay,","Окей,"
I guess its recording.,"Я предполагаю, что это запись."
"Um, what kind of hobbies do you have?","Эм, какие у тебя хобби?"
Do you sing or knit or anything?,"Ты поешь, или вяжешь, или еще что-нибудь?"
"Well, I, um, I do cross-stitch","Ну, я, эм, я вышиваю крестиком"
and I enjoy reading and playing softball.,и мне нравится читать и играть в софтбол.
Okay.,Хорошо.
"I, uh, I started knitting awhile ago,","Я, э-э, я начала вязать некоторое время назад,"
I knitted,Я вязала
"I didn't know, even know what the stitch is called.","Я не знал, даже не знаю, как называется этот шов."
"I just had this, uh, uh, piece of yarn","У меня только что был этот, э-э-э, кусок пряжи"
and I wanted to start something,и я хотел что-то начать
so I remembered something I learned I think when I was five years old,"итак, я вспомнил кое-что, чему научился, по-моему, когда мне было пять лет"
"So I kept doing that,","Так что я продолжал это делать,"
and now I have a little blanket,а теперь у меня есть маленькое одеяло
but that's all I've done.,"но это все, что я сделал."
"Oh, really.","О, действительно."
Uh.,Ух.
"Well, I know that I learned how to knit one time and, um, made a few things","Ну, я знаю, что однажды я научилась вязать и, эм, сделала несколько вещей"
but I haven't done it in so long that I probably wouldn't remember how,"но я не делал этого так давно, что, вероятно, не вспомнил бы, как"
Do you make sweaters and things or just blankets?,Вы шьете свитера и прочее или просто одеяла?
"Well, if I remember I think we made some, like Christmas stockings,","Ну, если я помню, по-моему, мы сделали что-то вроде рождественских чулок,"
"you could make the, like the granny squares or whatever, and sew them together and make Christmas stockings and maybe some slippers or something like that.","вы могли бы сделать, например, бабушкины квадратики или что-то в этом роде, сшить их вместе и сделать рождественские чулки и, может быть, тапочки или что-то в этом роде."
Uh-huh.,Угу.
Oh.,Ой.
I see.,Понимаю.
Nothing as big as a blanket.,"Ничего такого большого, как одеяло."
Huh.,Хм.
I know that my husband's grandmother does a lot of that.,"Я знаю, что бабушка моего мужа часто этим занимается."
Uh-huh.,Угу.
And she makes a lot of afghans and all that kind of stuff,И она готовит много афганцев и все такое прочее
"but,","но,"
I probably won't make anything beyond this blanket,"Я, вероятно, не сделаю ничего, кроме этого одеяла"
I don't know why.,Я не знаю почему.
It's just too time consuming.,Это просто отнимает слишком много времени.
"Yeah,","Да,"
do you have any other hobbies?,есть ли у вас какие-нибудь другие хобби?
"Um, I like to sing.","Эм, мне нравится петь."
I've been trying to get some wedding gigs and things like that.,Я пытался организовать несколько свадебных концертов и тому подобное.
"Oh, well that's good.","О, что ж, это хорошо."
"Um, right now my actual job is a news reporter.","Эм, прямо сейчас моя настоящая работа - репортер новостей."
"But, uh, if I could do anything I wanted to do, it would be to sing professionally.","Но, э-э, если бы я мог делать все, что хотел, это было бы профессионально петь."
"But um,","Но эм,"
So are you on the T V then?,"Значит, ты на телевидении?"
"Yes,","Да,"
uh-huh.,угу.
Oh.,Ой.
"I'm in, uh,","Я в, э-э,"
I work for channel six in Waco.,Я работаю на шестом канале в Вако.
"Oh, okay.","О, ладно."
And so I do little news reports and things.,И поэтому я делаю небольшие новостные репортажи и все такое.
It's not as exciting as it as it sounds.,"Это не так захватывающе, как кажется."
"But, um,","Но, эм,"
So you don't have too much time for hobbies?,"Значит, у вас не так уж много времени на хобби?"
"No,","Нет,"
"not much,","немного,"
"um, my day is usually pretty full.","эм, мой день обычно довольно насыщенный."
Yeah.,Да.
"My schedule is like from nine to five thirty,","Мое расписание примерно с девяти до половины шестого,"
"but I could be at work from anytime, you know, from nine until nine at night or ten or whatever,","но я мог бы быть на работе в любое время, знаете, с девяти до девяти вечера, или с десяти, или еще с чего-нибудь,"
"so it's hard to make plans much less, you know, have a hobby.","так что трудно строить планы, а тем более, знаете ли, иметь хобби."
Yeah,Да
so. What do you do?,так. Что ты делаешь?
Um.,Хм.
Normally.,Обычно.
I'm a housewife.,Я домохозяйка.
"Oh, okay.","О, ладно."
"So, unless the kids are asleep I don't get, usually get much done either","Так что, если дети не спят, я тоже обычно ничего не успеваю сделать"
Uh-huh,Ага
"But I've made a, um, few things, cross-stitch things.","Но я сделала, эм, несколько вещей, вышила крестиком."
I really enjoy doing that.,Мне действительно нравится это делать.
Uh-huh.,Угу.
"And um, I made, uh, like stockings for both my children and a Christmas tree shirt and that, type of thing,","И эм, я сшила, эм, что-то вроде чулок для обоих своих детей, и рубашку с рождественской елкой, и что-то в этом роде,"
Oh.,Ой.
and it just takes a long time to get it done,"и просто требуется много времени, чтобы это сделать"
"but, you know, once you've done something like that it kind of makes you feel good, to, to see it.","но, знаете, как только вы сделали что-то подобное, вам становится приятно это видеть."
Right.,Верно.
I I showed mine to my boyfriend,Я я показала свой своему парню
"and he was like, you didn't make that.","а он такой: ""Ты этого не делал""."
Really?,Действительно?
"Oh, yeah,","О, да,"
"it looks, uh, halfway decent","это выглядит, э-э, наполовину прилично"
"actually, first thing I did","на самом деле, первое, что я сделал"
I guess you can make baby blankets that wouldn't take as long,"Я думаю, вы можете сшить детские одеяла, которые не займут столько времени"
How many children do you have?,Сколько у вас детей?
Two.,Два.
"Oh, okay.","О, ладно."
I hear them in the background there .,Я слышу их там на заднем плане.
Yeah,Да
"All right,","В порядке,"
that's a hobby in itself.,это само по себе хобби.
Not quite,Не совсем
A job in itself.,Работа сама по себе.
"It's a fulltime job,","Это работа на полный рабочий день,"
yeah.,да.
"Right now I was just sitting here watching T V,","Прямо сейчас я просто сидел здесь и смотрел телевизор.,"
I was getting ready to fall asleep.,Я уже готовился заснуть.
"So, um, have you sang at any weddings yet?","Итак, эм, ты уже пела на каких-нибудь свадьбах?"
"Yeah,","Да,"
I sang at one last summer.,Прошлым летом я пел на одном из них.
"Um, it was my first wedding.","Эм, это была моя первая свадьба."
"I've done, um, little commercials and background singing","Я снялся, эм, в небольших рекламных роликах и пел фоном"
"and, um, I sang all through college and things like that","и, эм, я пела все время учебы в колледже и тому подобное"
"but I really haven't done anything really, professional per se.",но на самом деле я не сделал ничего по-настоящему профессионального как такового.
Uh-huh.,Угу.
But I did one wedding last year,Но в прошлом году я была на одной свадьбе
"and, uh, I just now got some cards together, kind of, uh, business cards that say, singer,","и, э-э, я только что собрал несколько открыток, что-то вроде, э-э, визитных карточек, на которых написано: певица,"
Uh-huh.,Угу.
"and what does it say, a song makes beautiful wedding or something,","и что там говорится, песня делает свадьбу красивой или что-то в этом роде,"
"and I've been passing them out to different wedding shops,","и я раздавала их по разным свадебным магазинам,"
"I mean when someone comes in, you know, for a wedding, for a wedding dress, and they, they might ask about it.","Я имею в виду, когда кто-то приходит, ну, знаете, на свадьбу, за свадебным платьем, и они, они могут спросить об этом."
"Oh, that's a good place,","О, это хорошее место,"
yeah.,да.
Uh-huh.,Угу.
"This one woman even wanted me to bring my tape in because I have a demo tape, you know, if any one wants to listen.","Одна женщина даже хотела, чтобы я принес свою кассету, потому что у меня есть демо-запись, вы знаете, если кто-нибудь захочет послушать."
Yeah.,Да.
"And, uh, she wanted me to bring it in,","И, э-э, она хотела, чтобы я принес это в,"
she's going to play it on Saturday,она собирается сыграть ее в субботу
"so that would be great, if someone came and heard it, and they were like, I want that voice,","так что было бы здорово, если бы кто-нибудь пришел и услышал это, и они сказали: ""Я хочу этот голос,"
Yeah,Да
"but, I haven't got any calls, yet",но пока мне никто не звонил
"Well, that's good.","Что ж, это хорошо."
but I only just put them out this week,но я выпустил их только на этой неделе
Yeah.,Да.
"and it's the wedding season, I guess.","и, я думаю, сейчас свадебный сезон."
"Oh, that's true.","О, это правда."
Uh-huh.,Угу.
"Make your hobby into a business, that would be pretty good, huh?","Превратить свое хобби в бизнес, это было бы неплохо, а?"
"Yeah,","Да,"
that would be great.,это было бы здорово.
Then I could be getting paid for something I love to do.,"Тогда мне могли бы платить за то, что я люблю делать."
Yeah,Да
"Not that I don't like reporting,","Не то чтобы я не люблю репортажи,"
"but, I'd love it.",но мне бы это понравилось.
"Did you have training in singing when you were, younger then","Обучались ли вы пению, когда были моложе"
"or,","или,"
"No,","Нет,"
"I've never, I've never had, uh, formal training.","Я никогда, у меня никогда не было, э-э, формального обучения."
I've just been singing every chance I get.,Я просто пою при каждом удобном случае.
"I try, you know, in school","Я стараюсь, ты знаешь, в школе"
Choirs and that kind of stuff?,Хоры и тому подобное?
"and, yeah,","и, да,"
choirs,хоры
"and, um, when I was at U T, I was in a group called Ensemble One oh Nine, just twelve singers","и, эм, когда я был в U T, я был в группе под названием Ensemble One oh Nine, всего двенадцать певцов"
"and we did, uh, little conventions and, um, uh, like dinner parties and things like that.","и мы устраивали, э-э, небольшие съезды и, э-э, э-э, что-то вроде званых обедов и тому подобного."
Huh.,Хм.
Sing pop music.,Пойте поп-музыку.
"Well, that's nice.","Что ж, это мило."
"So, that's what got me really, really interested in it.","Итак, вот что меня по-настоящему, по-настоящему заинтересовало в этом."
Uh-huh.,Угу.
"So I'm trying to be sensible, sensible, too, at the same time.","Так что я пытаюсь быть благоразумным, в то же время и благоразумным тоже."
"Yeah,","Да,"
not just give up your job and jump right into it,не просто бросать свою работу и сразу же приниматься за нее
"Yeah,","Да,"
exactly.,точно.
My parents would have a fit probably.,"У моих родителей, наверное, случился бы припадок."
"But, uh, I think,","Но, э-э, я думаю,"
"I either have a call or,","Мне либо звонят, либо,"
"yeah,","да,"
"I do have a call,","Мне действительно нужно позвонить,"
hold on one second.,подожди одну секунду.
Uh-huh,Ага
Hello.,Здравствуйте.
Yes.,Да.
"Yes,","Да,"
okay,окей
"that's my mother on the other line,","это моя мать на другой линии,"
"I need to go,","Мне нужно идти,"
Oh.,Ой.
"but, um, I think we are suppose to talk for ten minutes","но, эм, я думаю, мы должны поговорить десять минут"
are we suppose to hear a beep or anything?,"предполагается ли, что мы услышим звуковой сигнал или что-то в этом роде?"
"I don't know,","Я не знаю,"
I've only done this one other time,Я делал это только один раз в другой
and I thought that the man told me five minutes.,"и я подумал, что этот человек сказал мне пять минут назад."
"Oh, okay,","О, ладно,"
my mother said ten minutes,моя мать сказала десять минут
"so, I don't know.","так что, я не знаю."
"Oh, okay.","О, ладно."
"But, uh, okay","Но, э-э, ладно"
"well, it was nice talking to you","что ж, было приятно с тобой поговорить"
"and,  and good luck with your hobbies","и, и удачи вам в ваших увлечениях"
"It was nice talking to you, too,","С тобой тоже было приятно поговорить,"
good luck with your singing.,удачи тебе с пением.
"Okay,","Окей,"
bye.,пока.
"Thanks,","Спасибо,"
bye.,пока.
"Okay,","Окей,"
"uh, you want to start by telling me what camping is to you.","э-э, ты хочешь начать с того, что расскажешь мне, что для тебя значит кемпинг."
Do you backpack or hike,Вы берете рюкзак или отправляетесь в поход
"or,","или,"
"Well, uh, a little bit, uh,","Ну, э-э, немного, э-э,"
nothing overly strenuous.,ничего чрезмерно напряженного.
"No,","Нет,"
"the majority of my camping experience is, uh, a tent by the lake type situation or, uh, maybe a canoe trip or something like that.","большая часть моего опыта кемпинга - это, э-э, палатка на берегу озера, или, э-э, может быть, путешествие на каноэ или что-то в этом роде."
"No,","Нет,"
I've never done a canoe trip.,Я никогда не плавал на каноэ.
That sounds interesting.,Это звучит интересно.
"Oh, it, it's,","О, это, это,"
"we've had a lot of fun, uh,","нам было очень весело, э-э,"
"I, I moved to Dallas about five years ago","Я, я переехала в Даллас около пяти лет назад"
"and we've made three different trips since I've been here. The group of friends that I run around with, of varying degrees, uh, of difficulty.","и с тех пор, как я здесь, мы совершили три разные поездки. Группа друзей, с которыми я общаюсь, разной степени, э-э, сложности."
"The, the last one we did, and we haven't had a chance to duplicate was, uh, was a canoe trip in Arkansas","Последнее, что мы сделали, и у нас не было возможности повторить, было, э-э, путешествие на каноэ по Арканзасу"
"and the river was, it was up about three feet","и река была, она поднялась примерно на три фута"
"so it was, uh, it was it was pretty challenging.","так что это было, э-э, это было... это было довольно сложно."
"Oh, man, I imagine.","О, черт, я представляю."
"But, uh, and then we, uh,","Но, э-э, а потом мы, э-э,"
"as far as the camping part of that, we just drag along all our tents and sleeping bags and, uh, find, uh, find a clearing in the woods and go for it.","что касается кемпинга, то мы просто тащим с собой все наши палатки и спальные мешки и, э-э, находим, э-э, находим поляну в лесу и отправляемся на нее."
So they'll actually fit in the canoe,Так что они действительно поместятся в каноэ
and then you go for days at a time.,а потом ты уходишь на несколько дней за раз.
"Well, yeah,","Ну, да,"
"yeah,","да,"
"it's the,","это тот,"
"that, that particular one was a two day trip","это, то конкретное путешествие было двухдневным"
"so what, uh,","так что, э-э-э,"
"there's, uh, there's a outfitter","там, э-э, есть снабженец"
"and, uh, they haul you up to the headwaters, come down about halfway and then you get to, you spend the night","и, э-э, они тащат тебя к верховьям, спускаются примерно на полпути, а потом ты добираешься туда, где проводишь ночь"
"and then, uh, the second day head on down to the, to the pool at the end of the river.","а потом, э-э, на второй день отправляйтесь вниз, к бассейну в конце реки."
"God, that sounds like fun","Боже, это звучит забавно"
Yeah,Да
"it, it really is.","это, это действительно так."
Well the camping I grew up with was like tents and Coleman stove type.,"Ну, кемпинг, в котором я вырос, был похож на палатки и печки типа Coleman."
"And, uh, you know, that just either out in the woods, or","И, э-э, ты знаешь, что просто либо в лесу, либо"
"actually I, I grew up water skiing.","на самом деле я, я вырос на водных лыжах."
"I was, uh, from California,","Я был, э-э, из Калифорнии,"
Okay.,Хорошо.
"and so we would go up to the Sacramento, uh, river sloughs, the delta there,","и поэтому мы отправлялись в Сакраменто, э-э, речные топи, тамошнюю дельту,"
Okay.,Хорошо.
"and you just pick a campground on the river,","и ты просто выбираешь палаточный лагерь на реке,"
"Right,","Правильно,"
right.,верно.
"cooled off,","остывший,"
"but, uh, when I got married, my husband had always backpacked.","но, э-э, когда я вышла замуж, мой муж всегда путешествовал с рюкзаком за плечами."
Okay.,Хорошо.
"And so we did that, uh,","И вот мы сделали это, э-э,"
I guess we haven't done it since my kids were born so about three years ago.,"Я думаю, мы не делали этого с тех пор, как родились мои дети, около трех лет назад."
And that was a new experience for me,И это был новый опыт для меня
but I enjoyed it.,но мне это нравилось.
"I like being able to go back into the mountains, or, you know, where the trail didn't necessarily lead, and where you couldn't necessarily, pitch a tent","Мне нравится иметь возможность вернуться в горы, или, вы знаете, туда, куда тропа не обязательно вела, и где вы не обязательно могли бы разбить палатку"
"Boy, I bet,","Парень, держу пари,"
yeah.,да.
Uh-huh.,Угу.
"But, uh, that, that was interesting.","Но, э-э, это, это было интересно."
"I, I have always wanted to do some white water rafting","Я, я всегда хотел заняться рафтингом по белой воде"
and so your canoeing kind of made me think of that.,и вот твое катание на каноэ как бы навело меня на мысль об этом.
"Yeah,","Да,"
"that's, that was, uh, that's always been our next step.","это, это было, э-э, это всегда было нашим следующим шагом."
"Our, our little group of friends here, we've been kind of getting married off and what not","Наша, наша маленькая группа друзей здесь, мы вроде как собираемся пожениться, а что нет"
"but, uh,","но, э-э,"
Don't let that stop you,Не позволяй этому остановить тебя
"Yeah,","Да,"
"that,","тот,"
"well, it, it just puts a damper on things for a little while.","ну, это, это просто тормозит ситуацию на некоторое время."
I know.,Я знаю.
"But we're, we're starting to get everybody back together.","Но мы, мы начинаем снова собирать всех вместе."
"Yeah,","Да,"
"we'd like to do a float trip down, uh, oh, like Big Bend area or something like that.","мы бы хотели совершить плавательное путешествие вниз, э-э-э, например, в район Биг-Бенд или что-то в этом роде."
"Yeah,","Да,"
so you haven't done that before.,"значит, ты раньше этого не делал."
"No,","Нет,"
"no,","нет,"
we haven't made that trip yet.,мы еще не совершали этого путешествия.
"My parents, uh, were sailing, uh, this last year down off, uh, Costa Rica","Мои родители, э-э, плавали, э-э, в прошлом году у берегов, э-э, Коста-Рики"
"and they took about two weeks and went into,","и они заняли около двух недель и перешли в,"
"I don't even know the name of the river there,","Я даже не знаю названия тамошней реки,"
but they went white water rafting,но они отправились сплавляться по белой воде
and Mom said it was absolutely just a wonderful experience.,"и мама сказала, что это был просто замечательный опыт."
She said it was truly incredible.,"Она сказала, что это было действительно невероятно."
"I'll bet,","Держу пари,"
yeah.,да.
"And, you know, I,","И, ты знаешь, я,"
"there's that sense of it, you know, you're kind of scared, that risk of like gosh, what could happen and then the thrill of, you know, the excitement of doing it,","есть такое чувство, знаете, что вы немного напуганы, этот риск, черт возьми, того, что может случиться, а потом трепет, знаете, волнение от того, что вы это делаете,"
so.,так.
"Uh-huh,","Ага,"
"yeah,","да,"
exactly.,точно.
"Well, do you have anything planned for this summer?","Ну, у тебя есть какие-нибудь планы на это лето?"
"Um, not really just yet.","Эм, на самом деле пока нет."
"We've, uh,","Мы, э-э,"
"well I, I do have, uh, a little bit of property,","ну, у меня, у меня действительно есть, э-э, небольшая собственность,"
"I grew up in South Dakota,","Я вырос в Южной Дакоте,"
"Oh, okay.","О, ладно."
and I've got a piece of property in Minnesota that is completely undeveloped as of yet.,"и у меня есть участок земли в Миннесоте, который пока полностью не застроен."
"There's, uh, there's a little lake up there","Там, э-э, наверху есть маленькое озеро"
"and, uh, a group of friends that I, I went to college with, um, got together","и, эм, группа друзей, с которыми я, я учился в колледже, эм, собралась вместе"
"and we basically own all the land around this little lake, there,","и мы фактически владеем всей землей вокруг этого маленького озера, там,"
it's divided up into ten lots.,он разделен на десять лотов.
"Oh, I imagine.","О, я представляю."
"So, we've got a private lake,","Итак, у нас есть частное озеро,"
"and it's completely undeveloped at this point,","и на данный момент он совершенно неразвит,"
"so, that's a possibility.",так что это вполне возможно.
And the weather is typically always nice up there in the summertime.,"И летом там, как правило, всегда хорошая погода."
"It, it's, it's about two hours north of Minneapolis.","Это, это, это примерно в двух часах езды к северу от Миннеаполиса."
"Oh that doesn't, that sounds good.","О, это не так, звучит заманчиво."
"So, uh, yeah,","Так что, э-э, да,"
"in fact, uh, uh,","на самом деле, э-э, э-э,"
well I got married last summer,"ну, прошлым летом я вышла замуж"
"and, uh, that's, that's,","и, э-э, это, это,"
"we ended up there for a couple days, uh, on our honeymoon.","мы оказались там на пару дней, э-э, во время нашего медового месяца."
"We kind of took, uh, a tour of the United States for about a week, and, uh, up through that area.","Мы вроде как совершили, э-э, турне по Соединенным Штатам примерно на неделю, и, э-э, прошлись по этому району."
"That sounds,","Это звучит,"
"But, uh, my wife's real excited about it,","Но, э-э, моя жена действительно в восторге от этого,"
"so, we're, uh, we're going to hope to get up there sometime early","итак, мы, э-э, будем надеяться попасть туда как-нибудь пораньше"
last year it was the end of July,в прошлом году это был конец июля
and it was a little too late for the fish,и для рыбы было немного поздновато
"but, uh, hopefully get up there early enough to, to get into some of the, some of the fish and, uh, the, the good weather and what not.","но, э-э, надеюсь, подняться туда достаточно рано, чтобы попробовать немного рыбы и, э-э, хорошую погоду, а что нет."
We've been wanting to start camping again this year too.,В этом году мы тоже хотели снова отправиться в поход.
"Uh, my oldest child is a girl, was born three years ago, three and a half.","Э-э, мой старший ребенок - девочка, родилась три года назад, три с половиной."
Uh-huh.,Угу.
And then I have a little one that just turned two,"И потом, у меня есть малыш, которому только что исполнилось два"
and we are in the process of potty training.,и мы находимся в процессе приучения к горшку.
"I didn't want to go camping with diapers, you know.","Знаешь, я не хотела отправляться в поход с подгузниками."
"Oh gosh,","О боже,"
"yeah,","да,"
yeah.,да.
"I,","Я,"
"and, and, you know at a time when they're afraid of their shadow all they need is, you know, some skunk or something to rub up the outside of the tent,","и, и, вы знаете, в то время, когда они боятся своей тени, все, что им нужно, это, знаете, какой-нибудь скунс или что-то в этом роде, чтобы натереть палатку снаружи,"
they'd be awake all night.,они бы не спали всю ночь.
That's right.,Верно.
"So, but I think with him almost potty trained and, you know, she's not afraid of her shadow anymore, that I'm, I'm hoping and crossing my fingers that we'll be able to go, uh, this summer, you know, even if it's like over to Rio Dosa for a couple of days, or something to get them used to it and get them started, uh, with little back packs of their own, and, you know, things like that.","Итак, но я думаю, что теперь, когда он почти приучен к горшку и, знаете, она больше не боится своей тени, я, я надеюсь и скрещиваю пальцы, что мы сможем поехать, э-э, этим летом, знаете, даже если это будет похоже на Рио-Доса на пару дней или что-то в этом роде, чтобы они привыкли к этому и начали, э-э, с собственными маленькими рюкзачками и, знаете, тому подобными вещами."
Sure.,Конечно.
Right.,Верно.
"You bet,","Вы ставите,"
"yeah,","да,"
"we'll that, you know","мы сделаем это, ты же знаешь"
"and there's a lot of places with, uh, like nature trails, things like that where they could learn a lot, too.","и есть много мест с, э-э, природными тропами и тому подобными вещами, где они тоже могли бы многому научиться."
Uh-huh.,Угу.
Well that's true.,"Что ж, это правда."
"You know, it's like, okay, this, this is, this is what, uh, a pheasant looks like, you know,","Знаешь, это как, ладно, это, это, вот как выглядит фазан, понимаешь,"
"and okay, now we'll go look for one.","и ладно, теперь мы пойдем поищем одного из них."
"Ugh, I would need that before I could teach them","Фу, мне бы это понадобилось, прежде чем я смог бы их учить"
"Well, yeah,","Ну, да,"
"that's,","это,"
"everybody might learn something that way,","каждый мог бы чему-то научиться таким образом,"
"but, uh, but yeah","но, э-э, но да"
"that's,","это,"
"there is, there's an awful lot of things set up, you know, just any, anything you want to do.","там, знаете ли, настроено ужасно много вещей, просто все, что вы захотите сделать."
"Like, like you say it can be, uh, a water ski trip, or fishing trip or just a sightseeing, bird watching, you know, hunt, hunt with a camera type of thing","Например, как ты говоришь, это может быть, э-э, поездка на водных лыжах, или рыбалка, или просто осмотр достопримечательностей, наблюдение за птицами, ну знаешь, охота, охота с фотоаппаратом типа того"
"or, there's a lot of different opportunities for things like that.",или же существует множество различных возможностей для подобных вещей.
"It's a lot of fun,","Это очень весело,"
it really is.,это действительно так.
Hello.,Здравствуйте.
I've kind of gotten out of the habit of doing this.,У меня вроде как отвыкло это делать.
It's been down this weekend.,В эти выходные он был отключен.
"V in Well, I haven't tried,","V в Ну, я не пробовал,"
"but this is,","но это,"
"I haven't called in a couple of days,","Я не звонил уже пару дней,"
but education in public schools.,но образование в государственных школах.
"I have a son who's graduating, uh, in May,","У меня есть сын, который заканчивает школу, э-э, в мае,"
"and there's some interesting problems of, of, of how you, how do you challenge the kids today.","и есть несколько интересных проблем, связанных с тем, как вы, как вы бросаете вызов детям сегодня."
And I have some real hang-ups.,И у меня есть несколько настоящих проблем.
"I think that, uh, if your, if your kid's not ambitious, he can sure get lost.","Я думаю, что, э-э, если ваш... если ваш ребенок не амбициозен, он наверняка может заблудиться."
In the school systems?,В школьных системах?
Yes.,Да.
That's right.,Верно.
What school system does he go to?,В какую школьную систему он ходит?
"In North Garland,","В Северном Гарленде,"
he goes,он уходит
Okay.,Хорошо.
What school system are you familiar with?,С какой школьной системой вы знакомы?
"Okay,","Окей,"
"my children go to Garland,","мои дети ходят в Гарленд,"
and I teach in Dallas.,и я преподаю в Далласе.
"oh,","о,"
"okay,","окей,"
"well, I have a daughter that's in the, in,  in the I B program at Garland.","ну, у меня есть дочь, которая участвует в программе I B в Гарленде."
"In the,","В,"
are you familiar with the International Baccalaureate program.,знакомы ли вы с программой международного бакалавриата?
"Well, yeah,","Ну, да,"
"yeah,","да,"
yeah.,да.
"Uh, do your kids go to Garland High, you said?","Вы сказали, ваши дети ходят в Гарленд Хай?"
"No,","Нет,"
"no,","нет,"
they're still in elementary.,они все еще учатся в начальной школе.
"Oh, okay.","О, ладно."
"So, yeah.","Так что, да."
"Well, there's a,","Что ж, есть один,"
"it's, um,","это, эм,"
"she went from Austin Academy when it opened up, over to, uh, to North Garland for ninth grade.","она перешла из академии Остина, когда она открылась, в... э-э... в Северный Гарленд, в девятый класс."
Uh-huh.,Угу.
"But at North Garland, the, the difficulty I see with the education system is that, uh, is that, you can, you can, you can get some masses,","Но в Норт-Гарленде, я вижу, сложность с системой образования заключается в том, что, э-э, в том, что вы можете, вы можете, вы можете получить некоторые массы,"
"but unless, if the kid's really dedicated, it seems like they do all right.","но если только ребенок действительно предан делу, кажется, что у него все в порядке."
"But if, if, if your child is just pressing along, uh,","Но если, если, если ваш ребенок просто настаивает на своем, э-э,"
