,speaker,text,code
168082,B,"and, and so that they're not playing with it and so that they can't hurt themselves or anyone else playing with it.",sv
168083,B,"I think that education with a gun is, is critical and important.",sv
168084,B,"Uh, however, I do believe that, uh, guns ought to be maintained and, and controlled that you can't go out and just buy one off the corner and do whatever you want with it because people that are angry or have concerns or want to seek vengeance right away have easy access to guns",sv
168085,B,"and in the heat of the moment, they can go and do some damage that can hurt themselves and other people,",sv
168086,B,"so on a scale of one to ten, I, I think I would rate myself as a, in the six or seven or eight.",sd
168087,A,Okay.,bk
168088,B,"But, I think that there ought to be some control,",sv
168089,B,"but I still think that, uh, individuals have a right.",sv
168090,B,How do you feel about it?,qo
168091,A,"Well, so, let me make sure,",^h
168092,A,"so you think that, uh, maybe a five day waiting period for handguns or that stuff would be legitimate?",qy
168093,B,"Well, I don't know if a five day waiting period would be legitimate.",no
168094,B,"Uh, that, uh, that might cool down some tempers.",sv
168095,B,"I think a, a one day would be sufficient.",sv
168096,B,The reason I say that is there is an awful lot of people who go to gun shows,sv
168097,B,"and if you see an awful lot of exhibits and things and if you would like to purchase a gun, if that five day waiting period were in effect, you wouldn't be able to purchase one at that gun show.",sv
168098,A,"Uh, you just, you would be able to buy it,",ar
168099,A,"but they'd just have to mail it to you, I suppose, huh.",sv
168100,B,"Well, I don't think you can mail thing, guns through the mail.",ar
168101,B,I don't know.,h
168102,A,Oh.,b
168103,A,Okay.,b
168104,B,"I think that's a, against the law ever since Kennedy was assassinated",sd
168105,A,"Oh, yeah?",bh
168106,B,"So, how do you feel about guns?",qo
168107,A,"Let's see,",^h
168108,A,I think that gun control has come up because there has been some crazies that killed people with guns,sv
168109,A,and I think that's the problem that we need to address is why these people want to kill other people rather than the instrument they particularly used in the assault,sv
168110,B,Uh-huh.,b
168111,A,"whether, you know,",%
168112,B,"Well, do you think that there will continue to always be crazies?",qy
168113,A,Sure.,na
168114,B,"Then, uh, how do you propose that we prohibit those types of individuals from gaining access to guns?",qo
168115,A,"Well, we have some laws on the books that, uh, don't allow convicted felons to purchase guns, if I understand correctly.",sd
168116,A,"And, uh, I would agree,",sd
168117,A,"a, a short waiting period would be appropriate to, uh, take care of the heat of the moment type things,",sv
168118,A,"but uh, I think banning semiautomatic twenty-two rifles is a, a bit on the extreme side.",sv
168119,B,Uh-huh.,b
168120,B,Uh-huh.,b
168121,A,And a total ban on guns would just leave guns in the hands of criminals who don't care what the rules are anyway.,sv
168122,B,Okay.,bk
168123,B,"Do you, uh, do you feel there is a need in the world today to have a, an automatic handgun?",qy
168124,A,"The only purpose for handguns is to shoot people, in my opinion.",sv
168125,A,"or you could do it just for fun, you know, kind of like a game,",sv
168126,A,"but, uh,",%
168127,B,"Well, I think that the, the police, uh, or law enforcement have a need because of the tight quarters they might find themselves,",sv
168128,B,"but, the public, I don't know.",sv
168129,A,I think that I should have a right to own a handgun.,sv
168130,B,Uh-huh.,b
168131,A,"Not a automatic, semiautomatic.",sv
168132,B,"Yes,",aa
168133,B,not an Uzi,sv
168134,A,"No,",aa
168135,A,no.,aa
168136,A,"Uh, but I think a person needs a way of defending themselves.",sv
168137,B,Uh-huh.,b
168138,A,"You saw Indiana Jones,",qy^d
168139,A,the guy came after him with that big knife.,sd
168140,B,Yes.,ny
168141,A,"And just, he took care of it,",sd
168142,A,just one shot.,sd
168143,B,"Yes,",aa
168144,B,"that's true,",aa
168145,B,"and he, uh, saved himself in the, in the, in the process also.",sd
168146,A,That's right.,aa
168147,A,So how is work going?,qw
168148,B,"Very fine,",sd
168149,B,"very,",%
168150,A,"They don't let you take guns to work, do they?",qy
168151,B,"No,",nn
168152,B,"they, That's, uh, that's prohibited where we work.",sd
168153,B,"Although down here in Texas, uh you do have a right to, to wear and carry arms with you at all times.",sd
168154,A,Uh-huh.,b
168155,B,"That's still that's still, you can still do that down here.",sd
168156,A,"Can they be, Is it concealed,",qy
168157,A,"or does it have to,",%
168158,B,"Oh, you can't,",ng
168159,B,"no,",nn
168160,B,it should not be concealed.,sd
168161,A,Has to be on the hip?,qy
168162,B,It has to be on the hip,na
168163,B,"Has to be in sight so that, uh, you know, that you're not, uh, a menace or a problem to individuals.",sd
168164,A,Can a,%
168165,B,How about where you live there in Utah?,qo
168166,A,"Okay, Howard,","fo_o_fw_""_by_bc"
168167,A,what do you think of our space budget,qo
168168,A,"and should we go ahead and, and keep exploring,",qy
168169,A,"or should we call a halt to it,",qrr
168170,A,is it doing any good?,qy
168171,B,I think that the space program has done a lot of good for the country.,sv
168172,B,"Now I think what, we made a major wrong turn when we went into the, uh, to the current generation of space craft, the reusable ones, like they are now because they have not proven as reliable as they should have,",sv
168173,A,Uh-huh.,b
168174,B,"and I think some of the earlier approaches were much more, uh, much better in many ways.",sv
168175,B,"However, uh, you know, we've gained an awful lot from the space program, all the way from remote monitoring to teflon to, uh, some new space age materials, plastics and all that.",sv
168176,B,So I think it's been a good investment.,sv
168177,B,"Uh, somebody was telling me the return was about twenty-five or thirty dollars for every dollar spent which is amazing for any governmental financed  program.",sd
168178,A,"Oh, really.",b
168179,A,"Oh, yes.",b
168180,A,Wish our post office could do that,sd
168181,B,I wish the post office would just stop raising our rates.,sd
168182,A,That's right.,aa
168183,A,I wish they'd just deliver stuff.,sd
168184,B,"I think, though, that now that we're finally starting to get over the fears and the, uh, oh, I don't know, the guilt that we had out of, uh, Challenger,",sv
168185,B,I think maybe we can  pick up and go on now.,sv
168186,A,Uh-huh.,b
168187,B,"But, I, I don't know.",h
168188,B,I don't think we really have all of our act together yet as far as clear objectives.,sv
168189,A,I agree.,aa
168190,B,The space station's where we should go  at this point.,sv
168191,A,I agree.,aa
168192,A,Seems like that we've kind of gotten side tracked with putting all these different things up there to monitor,sv
168193,A,"and, you know, you know, and I'm in favor of, you know, getting closer to seeing certain things,",sd
168194,A,"but I'd like to see them also go, you know, go back up there, see, you know, what they can do. See about setting a space station up.",sd
168195,A,"I'm all in favor of the space program,",sd
168196,A,"and I don't think we should stop,",sv
168197,A,and I don't think we should cut the money.,sv
168198,B,"Well, where do you think we ought to go with it?",qo
168199,A,Uh.,^h
168200,B,"You talking about, uh, uh, a fully manned space station that we'll keep up there?",qy
168201,A,"Yeah,",ny
168202,A,"I would like, I'd like to see that.",sd
168203,A,"I'd like for us to really find out more about the actual universe and get up there and see what's going on, even if, you know, there's no life up there or anything, you know.",sd
168204,A,But who knows.,h
168205,A,And I would like to see them do something like that.,sd
168206,B,"Well,",%
168207,A,"I, I hate to see them just, you know, keep getting diverted off to spying on other nations and putting up defense things",sv
168208,A,"and, I think they, I think they lose sight of, of probably what they're supposed to be doing.",sv
168209,B,"Well, I think about half the nations now are, are military related, are they not?",qy
168210,A,"Yes,",ny
168211,A,yes.,ny
168212,B,"And, uh, It seems like it's that high a percentage.",sv
168213,A,I believe they are.,sd
168214,A,"You know, let's go back to our original thing with, you know, our experiments and all the, you know, our actual exploring of space and, and all that,",ad
168215,A,"and, you know, with, with Russia, uh, seemingly not going to be as big a threat.",sv
168216,B,"Well, it can't afford to",sv
168217,A,"Huh-uh, you know.",aa
168218,A,"Have you gone out to, uh, Fort Worth to see the space, Soviet space exhibit?",qy
168219,B,"No,",nn
168220,B,we were talking about that this weekend.,sd
168221,B,"We, it's only going to be there a couple of more weeks.",sd
168222,A,"Uh-huh,",b
168223,A,uh-huh.,b
168224,B,We need to go.,sd
168225,A,"We went, uh,",sd
168226,A,"we took our grandsons and went, uh, the weekend before last,",sd
168227,A,and it is marvelous.,sd
168228,A,"I mean, it's really neat how they, they have done it.",sd
168229,A,They have done a beautiful job.,sd
168230,B,Have they?,bh
168231,A,"And they have a, uh, scaled down model showing how they, you know, fuel it, or, you know, how they, uh, oh, the fuel trucks and things run out there to it and how they, uh,",sd
168232,A,"all the things that are against the actual space mission, uh, space ship, you know, how they fall away from it,",sd
168233,A,and the loading of it,sd
168234,B,"Oh, yes.",b
168235,A,"and then it's actually, you know,",sd
168236,A,the smoke comes out like it's taking off.,sd
168237,A,It is really interesting.,sd
168238,B,"Well, maybe I need to run out there this weekend.",sv
168239,A,You really do.,aa
168240,A,"It's, it's well worth the time and effort.",sd
168241,A,"We went, uh, early on Sunday.",sd
168242,A,"We got out there about, uh, ten, ten thirty,",sd
168243,A,"and the,",%
168244,B,Now do you have to have tickets ahead?,qy
168245,B,Excuse me.,fa
168246,A,"No,",nn
168247,A,"we bought tickets there,",sd
168248,A,"and if you have children, if you go to McDonald's, you they have coupons, or did have.",sd
168249,A,Now they may be through with them now.,sd
168250,A,"But, uh, buy one adult",sd
168251,A,and one child gets in free.,sd
168252,B,"Um, I think both of my kids are too old for that",sd
168253,A,"Oh, okay,",b
168254,A,"oh, okay.",b
168255,B,"they're both, uh,",%
168256,A,You have teenagers or something.,qy^d
168257,B,"Yes,",ny
168258,B,yes.,ny
168259,A,"Yes,",b^m
168260,A,"well I had grandchildren so, three of them, so between their mother and their grandfather and I,",sd
168261,A,because their dad was at work,sd
168262,A,"and, uh, But, and the boys loved it, you know,",sd
168263,B,"Did you,",%
168264,A,they really did like it.,sd
168265,B,"It's very impressive, I'm sure.",qy^d
168266,A,"Uh-huh,",ny
168267,A,"it is,",sd
168268,A,"and I felt the, uh, six year old would, you know, that he'd be kind of bored,",sd
168269,A,but he wasn't.,sd
168270,A,Even the three year old enjoyed it,sd
168271,A,"because they had one, had one of those moon vehicles and had it so it looked like it was on the moon, and showed it moving around and stuff.",sd
168272,B,Uh-huh.,b
168273,A,So it was really neat.,sd
168274,B,"Well, see, that's something else.",ba
168275,B,"The Russians have had space stations, manned space stations for years now.",sd
168276,B,"You know, they had the Merv",sd
168277,A,"Uh-huh,",b
168278,A,uh-huh.,b
168279,B,and see we've yet to keep anyone up over over a week or ten days.,sd
168280,A,Right.,b
168281,A,"Well, in going through it, I got the impression that actually they were farther ahead,",sd
168282,A,"They're talking about, uh, federal government, aren't they?",qy
168283,B,"I'm sure,",na
168284,B,"well, actually probably any government,",arp_nd
168285,B,but the federal one's the big one,sv
168286,A,Yeah.,b
168287,B,"So, uh, so what do you, what do you think in the short term we should be doing to, to improve it?",qo
168288,A,"Well, I saw a program on, uh, recently,",sd
168289,A,"and, and it said every time they cut, you know, like fifty-five million dollars on a certain thing, then they brag about how much money they cut,",sd
168290,A,and then they go and spend that money somewhere else,sd
168291,B,Right.,b
168292,A,and that's why the budget is never balanced.,sd
168293,B,Right.,b
168294,A,The Gramm Rudman Act didn't solve the problem.,sv
168295,A,They just take all the money that they say they cut,sv
168296,A,and they spend it somewhere else,sv
168297,B,Yeah.,b
168298,A,"or they, you know, they pad out their staff, or, you know, spend it in bounced checks at the, commissary,",sv
168299,A,or.,%
168300,B,"Uh, yeah,",b
168301,B,"I'm getting pretty, kind of disgusted with the, uh, uh, you know, the fact that they're counting a reduced deficit as being some big step.",sv
168302,B,Right.,%
168303,B,"I mean, first of all, we were, we've already hit the largest deficit, this proposed budget has the largest deficit ever,",sv
168304,B,"and, two, a deficit is, I mean, the deficit is only, uh, is, is as far from a balanced budget,",sv
168305,B,"you reduce the deficit,",sv
168306,B,"you, you're still not, you're still not, you're still overspending.",sv
168307,A,Uh-huh.,b
168308,B,Right.,b
168309,B,"I mean, it's just the amount that you're overspending,",sv
168310,B,"and this is, you know, for some reason, the way that the reporting is going on now,",sv
168311,B,"it seems like, like the goal is to reduce the deficit to some, you know, still outrageous amount, um,",sv
168312,B,"Yeah,",%
168313,B,"I, I, I think in the long term something is going to have to be done with, uh, sort of the, the, uh,",sv
168314,B,"well I mean, it seems to be kind of inherent in the political process, right, that you've got, uh, people, you know, trying to, trying to corner money for their state or for their constituents so that they can get reelected.",sv
168315,A,Uh-huh.,b
168316,B,"And, uh, there isn't any sort of overall accountability,",sv
168317,B,"and, and, uh, I don't know,",h
168318,B,"I, I suppose that, that, that the only kind of solution ultimately that we're going to have, is, is, is exposure and information.",sv
168319,B,"And I don't know that in general the American people are that interested, you know, to listen to, to as much, uh, uh, you know,",sv
168320,B,"I mean, you're going to have to know what people are doing, and, uh, you know, and how, and how, how partisan and how and how self-interested their, their motives are and, and take it to task for it, because it's not going to get solved, you know, if people are still trying, you know,",sv
168321,A,Uh-huh.,b
168322,B,"like you were saying you say, you know, hey, we just, you know, we just cut defense,",sv
168323,B,"let me grab some of this money for my state now,",^q
168324,B,"and then we can throw in some highway bill,",^q
168325,B,"or you can throw in some, you know, some other kind of thing,",sv
168326,B,"and, uh, it's a pretty vicious, uh, vicious cycle.",sv
168327,B,I don't know.,h
168328,A,"Well, I think they should, they should limit the Senate to one term, one six year term.",sv
168329,B,"That's,",%
168330,B,"yeah,",%
168331,B,that's being batted around.,sd
168332,B,"I, uh, my, my dad was always a proponent of that.",sd
168333,B,"He, uh he felt that that would get people involved who were, who were interested in being public servants as opposed to personal servants.",sd
168334,A,Uh-huh.,b
168335,A,"Right,",aa
168336,A,"and, and don't let them come back,",sv
168337,A,"and, and, uh, keep Congress to, um, two terms of two years a piece",sv
168338,B,Uh-huh.,b
168339,A,and then it'll be overturning,sv
168340,A,and they won't have the same people there all the time,sv
168341,B,Right.,b
168342,A,"and then, all the special interest groups will have to renegotiate all of their their payoffs and kickbacks",sv
168343,B,Right.,b
168344,A,and that'll keep them busy enough so that they won't have as much influence.,sv
168345,B,Uh-huh.,b
168346,A,"Because that's one of the things, one of the biggest things is that, uh, the fact that they're always trying to lean somebody toward one way or another, whether it's the oil companies, or the automotive companies, and like the air bag thing.",sv
168347,A,"The air bag came out, what, twenty years ago.",sd
168348,B,Right,b
168349,A,And only now they're getting that put in cars.,sd
168350,B,"Uh-huh,",aa
168351,B,yeah.,aa
168352,A,"And the oil companies are, really aren't responsible, you know.",sv
168353,A,"The Valdez proved that,",sv
168354,A,and then the government doesn't jump on them hard enough to make them do anything.,sv
168355,B,Right.,b
168356,A,It should have been done immediately.,sv
168357,B,"Yeah,",aa
168358,B,"yeah,",aa
168359,B,"I think, I think that that's probably right,",aa
168360,B,"because in terms of long term, you just got to get people, um,",sv
168361,B,"I mean, uh, at one point, at least on a local level, um, going into politics is, you know, what you're doing is, is really trying to serve the community right,",sv
168362,A,Uh-huh.,b
168363,B,"I mean, you don't expect to make any money out of it.",sv
168364,B,"You know, maybe you gain a little bit of local fame,",sv
168365,B,"but, but it's, uh, you put in a lot of work in exchange for that.",sv
168366,A,Right.,b
168367,B,"And I don't have the feeling that national level politicians are, are at all like that.",sv
168368,A,No.,aa
168369,A,They listen to wherever the money is.,sv
168370,B,Yeah.,aa
168371,B,"And, uh, you know, I think that, that, that the problem with having, you know, junior people coming in all the time is that you end up kind of wasting a lot of time with, uh, you know, with inept politicians or people who don't know how to deal with it.",sv
168372,A,Right.,b
168373,A,"Yeah,",aa
168374,A,"they're not as efficient,",sv
168375,A,that's for sure.,ba
168376,B,"But on the other hand, maybe that's,",sv
168377,A,Okay.,"fo_o_fw_""_by_bc"
168378,B,All right.,b
168379,A,"Um, we have small children, two and four",sd
168380,B,Uh-huh.,b
168381,A,"and so we, our dining is very limited",sd
168382,B,I bet you're McDonald's fan.,qy^d
168383,A,"Oh, we're past that now.",arp_nd
168384,A,We're a little sick of that,arp_nd
168385,B,Are you?,bh
168386,B,"Gosh, where do you go, Whataburger?",qy
168387,A,"No,",nn
168388,A,"um, we're more",%
168389,A,"like, um, you know, like Wyatt's Cafeteria.",sd
168390,B,Oh is that right?,bh
168391,A,"Yeah,",ny
168392,A,that way.,sd
168393,A,"And the kids just love everything that's there,",sd
168394,A,so we're pretty fortunate.,sd
168395,A,"Kind of, um, buffet style, uh,",sd
168396,A,so you can  go in and go out,sd
168397,B,"Yeah,",b
168398,B,"that's, that's good.",ba
168399,A,and the food's already served,sd
168400,A,"and you don't have to wait,",sd
168401,A,"and it's already in front of them when you sit down,",sd
168402,A,"and things like, um, Souper Salads, you know,",sd
168403,A,"it's, again it's buffet,",sd
168404,A,and it's already prepared,sd
168405,A,"and just things, any, any eating area that you just don't have to wait an extreme amount of time.",sd
168406,B,I can understand that.,ba
168407,A,"We,",%
168408,B,"We got, we got three kids, too,",sd
168409,B,"and when the kids are small, if you going to wait, you don't go out.",sv
168410,A,No,aa
168411,B,They won't put up with that.,sv
168412,A,"We tried a Bennigan's one time,",sd
168413,A,and it was terrible.,sd
168414,A,Course it was just probably one of the worst days to go anyway.,sd
168415,A,"We, we waited almost forty-five minutes before everything was brought out,",sd
168416,A,"and it was, we were ready  to go home.",sd
168417,B,And you had.  And you had the kids with you?,qy
168418,A,Yeah.,ny
168419,B,And they waited forty-five minutes?,qy
168420,A,No,nn
168421,A,We fought with them for forty-five minutes.,sd
168422,B,I don't doubt that one bit.,ba
168423,A,"So, we, we, we rarely go eat in those kind of eating, uh, situations, any more.",sd
168424,A,"But we do love to eat out,",sd
168425,A,"and, um, and we do it as often as we can,",sd
168426,A,"and, and times that we do have baby-sitters we, we try and catch, um, some things that we normally wouldn't do, you know.",sd
168427,B,"Where, where do you like to go when you got a baby-sitter?",qw
168428,A,"Oh, um, let me see, uh, for New Year's we went to eat at Uncle Julio's.",sd
168429,B,Where's that?,qw
168430,B,Never heard of that place.,sd
168431,A,"It's, um, on, on Walnut and Greenville.",sd
168432,B,What's the name of that again?,qw
168433,A,It's called Uncle Julio's.,sd
168434,B,"What, what are they, what kind of?",qw
168435,A,"Um, basically Mexican food.",sd
168436,B,"Yeah,",bk
168437,B,okay.,bk
168438,A,"And it's supposed to be very similar to, um, uh,",sd
168439,A,what is that restaurant off of Central?,qw
168440,A,"It's a, um, it's a Mexican restaurant off of Central.",sd
168441,B,"Well, there's a zillion of them.",sv
168442,B,Have you ever been to Mercado Juarez?,qy
168443,A,"No,",nn
168444,A,but I've heard about it.,sd
168445,B,That's a good place,sd
168446,B,I.,%
168447,A,Really.,b
168448,B,"They've got one in Addison too, now,",sd
168449,B,"but the original was on Northwest Highway, uh, just the other, west of Loop Twelve.",sd
168450,B,That's a good Mexican place.,sd
168451,A,"Really,",b
168452,A,uh-huh.,b
168453,B,"Good, good prices, good, good food there.",sd
168454,A,Yeah.,b
168455,B,"If you like Mexican stuff. It's, it's a good place.",sd
168456,A,"We like, um, seafood, also,",sd
168457,A,"and, uh.",%
168458,B,"You, you ever been to Vincent's?",qy
168459,A,Vincent's?,qy
168460,A,"No,",nn
168461,A,we haven't.,sd
168462,B,That's a good seafood place.,sd
168463,A,Really.,bh
168464,B,Yeah.,ny
168465,A,Really.,b
168466,B,"You ever been, tried a place called Louisiana Purchase?",qy
168467,A,No.,nn
168468,B,"Well, this is in Plano.",sd
168469,B,"They might have another one,",sd
168470,B,"but it's on, uh, Parker and Central Expressway",sd
168471,A,Uh-huh.,b
168472,B,"and, it's, it's",%
168473,A,"Oh, okay,",b
168474,A,I've seen it.,sd
168475,B,"Yeah,",b
168476,B,it's Cajun type stuff.,sd
168477,A,Yeah.,b
168478,B,"If you like it kind of hot, that that is good food,",sd
168479,A,Yeah.,b
168480,B,that's good stuff.,ba
168481,A,"We've been to, um, Chefalia's.",sd
168482,A,"It's basically the same thing, seafood Cajun style.",sd
168483,B,Yes.,aa
168484,B,Where's that place?,qw
168485,A,"That's in Addison, off of Belt Line.",sd
168486,B,"Yeah,",bk
168487,B,okay.,bk
168488,A,Midway.,sd
168489,B,Belt Line and what?,qw
168490,A,"Like around, I think it's a little past or it's right before Midway, or it's right at Midway.",sd
168491,B,Okay.,bk
168492,B,"Yeah,",bk
168493,B,okay.,bk
168494,A,"And, um, excellent food.",sd
168495,B,Uh-huh.,b
168496,A,So.,%
168497,B,"We got this Premier Dining Card thing,",sd
168498,B,"and we've, we've been going to all sorts of weird type places with it.",sd
168499,A,"What, what is that?",qw
168500,B,"Well, you get, uh, one free",sd
168501,B,"and you, you, you pay for one now, and type thing,",sd
168502,A,"Oh, really.",b
168503,B,"and, uh, We've been to from barbecue to,",sd
168504,A,Oh.,bk
168505,B,there's a Swan Club which is out Central and Campbell.,sd
168506,A,Uh-huh.,b
168507,B,"Uh, that is, if you like continental stuff, that is really nice.",sd
168508,B,"Talk, talk your husband into taking you there some night.",ad
168509,A,Uh-huh.,aa
168510,B,"I mean it's not a cheap place,",sd
168511,B,"but, uh, it's very nice.",sd
168512,A,Really.,b
168513,A,And where is that?,qw
168514,B,"Uh, it's on Campbell. It, it's north of Campbell, but, uh, off Central, uh",sd
168515,A,Uh-huh.,b
168516,B,"oh, it used to be a Northern Telecom Building in the in the ground floor.",sd
168517,B,"I don't know what they call it now,",sd
168518,B,Northern Telecom kind of moved over in their own building.,sd
168519,A,Yeah.,b
168520,B,"But it, it's a big, tall, it's the tallest building on the west side, northwest side of Campbell and, just before you get to Campbell",sd
168521,A,Uh-huh.,b
168522,B,"and it's in the lower floor,",sd
168523,B,but it's really a nice restaurant if you like Continental stuff.,sd
168524,A,Really.,b
168525,A,Uh-huh.,b
168526,B,"And, tell him to take you there for your anniversary,",ad
168527,B,"and then they got a place where you can dance, you know, and all that kind of stuff.",sd
168528,A,"Yeah,",b
168529,A,"well, my birthday's coming up,",sd
168530,A,so.,%
168531,B,There you go.,ba
168532,B,All right.,ba
168533,B,You got one coming.,sv
168534,A,I need an excuse,sd
168535,B,Have you ever been to Ewaldes,qy
168536,B,"now there's, if you like",sd
168537,B,"I, I like Continental stuff, myself.",sd
168538,A,Uh-huh.,b
168539,B,"My wife doesn't necessary like that stuff,",sd
168540,B,but I like that.,sd
168541,A,Uh-huh.,b
168542,B,"And that's down in the, the Stoneleigh Hotel now.",sd
168543,A,Uh-huh.,b
168544,B,"And that is really super kind of stuff, too. Take, if you like Continental at all that kind of stuff",sd
168545,A,Yeah.,b
168546,A,Yeah.,b
168547,B,"either one of those two, you go through a hundred bucks without half trying,",sd
168548,B,"but it, it's it's nice, really nice place.",sd
168549,A,"Oh, oh.",b
168550,A,Yeah.,b
168551,B,"Oh, you don't have to spend that much,",sd
168552,B,I'm kidding you.,sd
168553,A,I pushed it.,sd
168554,B,Okay.,b
168555,A,"So, how do you use your credit cards?",qo
168556,B,"Oh, we use them for, paying our gas and for paying, uh, just about anything, because, um, we don't like to pay for our checks",sd
168557,B,So we use it quite a bit,sd
168558,A,Uh-huh.,b
168559,B,"but we, we pay off every month, though,",sd
168560,B,so we never have to pay interest,sd
168561,B,"and we always, we never get the, the credit cards if there's a monthly, or a yearly charge.",sd
168562,B,We always get it through our bank or somewhere where it's free.,sd
168563,B,So we never have to pay anything extra.,sd
168564,A,"Yeah,",b
168565,A,that's me.,sd
168566,A,I won't use one that I have to pay an annual fee,sd
168567,B,"Yeah,",b
168568,B,we just don't think it's worth it.,sd
168569,B,So.,%
168570,A,"you know, and, um, I'm, uh, like you. I, I use it, well, to buy my gas with,",sd
168571,A,"my my Shell credit card, I use that,",sd
168572,A,"and then like my Emporium card and, uh, Weinstocks card, I use that,",sd
168573,A,but I'm like you.,sd
168574,A,I usually pay it off as soon as I get my bill.,sd
168575,A,"Why I don't just write a check, I don't know.",sd
168576,B,"See, well, you, I don't do it either",sd
168577,A,"You know, it's just really weird,",sv
168578,A,"but I, I don't carry a lot of cash with me, because I'm always afraid that someone's going to steal my purse.",sd
168579,B,Yeah.,b
168580,B,"Yes,",aa
168581,B,"exactly,",aa
168582,B,that's how I,sd
168583,B,"I mean, it's a rare day when I even have seventy-five cents in my purse.",sd
168584,A,"Yeah,",b
168585,A,"you know, enough for a phone call",sd
168586,A,and that's about all.,sd
168587,B,Yeah.,b
168588,A,"But, uh, other than that, that's the, that's the way I use them.",sd
168589,A,"I know some people that uses them so bad that every one of them that they've got, they they can't charge any more, you know,",sd
168590,A,and I think that's terrible.,sv
168591,B,"Yeah,",aa
168592,B,"because it's really, it helps your, if you have good credit, you know, it helps you in the long run when you want to go make a  bigger purchase or something.",sv
168593,A,"Oh, yeah.",b
168594,A,"Yeah,",aa
168595,A,"because if anything ever happens that you do need to, you know, you have excellent credit,",sv
168596,A,"why, it really does help.",sv
168597,B,"Yeah,",aa
168598,B,"and I think it's more convenient, too, in a lot of cases,",sv
168599,B,"like whenever we go on trips, we always, you know, use our, our Visa or our Mastercard or whatever.",sd
168600,A,Yeah.,b
168601,B,"And then, um, you know, we really don't have to pay for it out of our own pockets until about a month later",sd
168602,A,"Uh-huh,",b
168603,A,uh-huh.,b
168604,B,"and so it helps us gain interest in the bank that when we do it,",sd
168605,B,"we come out a even a little bit ahead because we've been able to use whatever, first off, and then pay  for it later.",sd
168606,A,"Uh-huh,",b
168607,A,"uh-huh,",b
168608,A,uh-huh.,b
168609,A,"Yeah,",b
168610,A,"well, I think it's better to use credit cards, too, like I say, because there's so many people around any more that's watching what you're doing",sv
168611,B,"Oh, yeah.",b
168612,A,"and if you pull a wad of money out of your pocket, they're going to hit you over the head.",sv
168613,B,"Yeah,",aa
168614,B,"even if it's five bucks, even.",sv
168615,A,I know.,aa
168616,A,"It just, uh, you know, it just seems like they're, somebody's always watching.",sv
168617,A,"So, I just don't, I don't carry money.",sd
168618,A,"I'd just soon use my credit cards and just pay them off, you know.",sd
168619,B,Yeah.,b
168620,B,"And also, if you, if someone did happen to steal your credit card, my husband was saying that if, you know, you notice it within, I think it's twenty-four hours, you can report it in,",sd
168621,B,"and I, he said the most you'd ever have to pay is fifty dollars for them to cancel, you know, whatever payments you had,",sd
168622,B,"and if whoever tried to, uh, you know, credit it to the hilt, you'd only have to pay fifty dollars of it,",sd
168623,A,Right.,b
168624,B,"and then you know, you can have your card back with pretty good rating, you know, because you can pay fifty dollars, but not, you know  maybe five thousand or whatever.",sv
168625,A,Yeah.,b
168626,A,"Yeah,",b
168627,A,right.,b
