,speaker,text,code
178760,B,"but, that, that lasts, you know, for a few months",sd
178761,A,"Did you find you wore, uh, slacks when you were working full time",qy
178762,A,or did you did they wear more dresses and skirts.,qrr
178763,B,No.,nn
178764,B,"No,",nn
178765,B,never wore slacks.,sd
178766,A,No slacks.,b^m
178767,B,"It was, I think it was one of those things where, it's not like someone came out and said you can't wear them.",sd
178768,A,Uh-huh.,b
178769,B,"It was one of those understood things that you just, you know, either wore, you know, a dress or,",sd
178770,A,"Uh-huh,",b
178771,A,uh-huh.,b
178772,A,Uh-huh.,b
178773,A,"Not even a dressy slack, a dressy suit, slack suit even if it's all,",qy^d
178774,B,"Not,",nn
178775,B,"No,",nn
178776,B,"not, not with what I did. Uh,",sd
178777,A,Uh-huh.,b
178778,B,Most people didn't.,sd
178779,A,Uh-huh.,b
178780,B,"Sometimes, like the secretaries might",sd
178781,A,Uh-huh.,b
178782,B,but even then you didn't see them wearing slacks too much.,sd
178783,B,"And I really, you know,",%
178784,B,there's some nice pantsuits out,sv
178785,B,"and and I wouldn't have minded, you know, wearing those especially when it gets pretty cold.",sd
178786,A,"Uh-huh,",b
178787,A,uh-huh.,b
178788,A,Uh-huh.,b
178789,A,"Uh-huh,",b
178790,A,uh-huh.,b
178791,B,"But, uh,",%
178792,A,"I know my daughter mostly,",sd
178793,A,I don't think she ever wears slacks to work.,sd
178794,B,Uh-huh.,b
178795,A,"But I didn't know if the trend changes, you know, if, uh,",sd
178796,B,"You know, I think it's one of those things where it's not viewed upon as being professional.",sv
178797,B,I guess they expect women to be in skirts or dresses.,sd
178798,A,Uh-huh.,b
178799,A,Uh-huh.,b
178800,A,"Look more like a woman, huh",sv
178801,B,Yeah,aa
178802,B,That's right,aa
178803,A,"Uh-huh,",b
178804,A,uh-huh.,b
178805,B,And it's the men that make the rules,sv
178806,A,"Uh, well, then you, you, you know why they make them then that way.",sv
178807,B,"But, no,","fo_o_fw_""_by_bc"
178808,B,"we usually, you know,",%
178809,B,"skirt and, skirt and blouse or suit or dress is what you see down here.",sd
178810,A,"Uh-huh,",b
178811,A,uh-huh.,b
178812,B,So it's nice with me working at home because I can wear pants.,sd
178813,A,Yeah.,b
178814,B,"No, no one can see me unless I'm, you know,",sd
178815,A,Yeah.,b
178816,A,"But, yet, you need to keep up an appearance for your husband, too, though at home. Because that's, I, I believe,",sv
178817,B,Yeah.,b
178818,B,Yeah.,b
178819,B,"But, I'm not going to put a skirt on just for him",sd
178820,A,"Oh, you don't think you will, huh",qy
178821,A,"Well, you'll be excused because considering everything",sd
178822,B,"Yeah,",b
178823,B,I think that the main issue at home is being comfortable in your clothing,sv
178824,A,Uh-huh.,b
178825,A,Yeah.,b
178826,A,"But I, I look at homemaking as a job also. Uh, being a homemaker",sd
178827,B,Right.,b
178828,A,"and I, I think sometimes we lose sight of that. Uh, by the fact that we don't sometimes watch our dress,",sv
178829,B,Yeah.,b
178830,A,"What do you do there in Lubbock as far as, uh, recycling is concerned?",qw
178831,B,"Well, you know they actually started",sd
178832,B,"and I assumed it was T I wide, uh,",sv
178833,B,"they, they started putting out at least recycling bins for the paper",sd
178834,A,Uh-huh.,b
178835,B,"uh, I've you know",%
178836,B,either computer paper or different types of paper.,sd
178837,A,Uh-huh.,b
178838,B,"I've had some ideas on how I think they could probably do it a little less expensively and accomplish the same purpose,",sd
178839,B,"but I, I guess I need to put it on paper and turn it in",sv
178840,A,"Oh, yeah. what would be more efficient about it.",b
178841,B,Uh.,%
178842,A,"what,",%
178843,B,"Well, the way they have, you know, they have boxes located at certain areas throughout a module, or down the hall",sd
178844,B,"or  a lot of people aren't going to get up, walk out of their offices and go there.",sv
178845,A,Uh-huh.,b
178846,A,Uh-huh.,b
178847,B,"You know, where I use to work we had what we called tree boxes.",sd
178848,B,That's just what we called them.,sd
178849,A,Uh-huh.,b
178850,B,And they were recycled cardboard.,sd
178851,B,They were eight and a half by eleven,sd
178852,B,and you set it by your desk and you know as you got rid of a piece of paper you stuck it in there,sd
178853,B,"and when it filled up you called, you know facilities whoever to come pick it up",sd
178854,B,and they brought you another box.,sd
178855,B,"So not only is it, you know,",sd
178856,B,"I think more people would take advantage of it and use it, uh,",sv
178857,B,"I think you save a lot of the cleaning service's time and effort and money that we are paying for them to, to empty the trash cans and combine it and bundle it and things like that now when it could all be done in one step kind of type thing.",sv
178858,A,Oh.,b
178859,A,I see.,b
178860,B,"So,",%
178861,A,"Yeah,",b
178862,A,"I, I, I, uh, was going to say cause I know I have right here a trash can for trash and a trash can for for paper on it you know",sd
178863,B,Right.,b
178864,A,"and, uh, if  if I have a, if I, I printed up something that I don't need it, just chunk it in the, in the paper.",sd
178865,B,If.,%
178866,B,"Right,",b
178867,B,but somebody still has to collect all that and bundle it together,sd
178868,A,That's true.,ba
178869,B,"and whereas if you had a box that pretty soon it got full, you close the box, it's already bundled, it's already done for you.",sd
178870,A,Certainly that's a good idea.,ba
178871,B,So you're saving a lot of time and effort.,sv
178872,B,I just need to put it on paper and I guess recommended it to somebody and see if they thinks it's feasible,sd
178873,A,Yeah.,b
178874,A,Uh-huh.,b
178875,B,"So, uh, what else do they do in the Dallas area?",qo
178876,A,"Well, uh, as far as T I is concerned, I'm not sure.",sd
178877,A,"Uh, and I have heard, you know, uh, in residential situations.",sd
178878,A,I live in a dorm,sd
178879,A,"and I have heard in residential situations, uh, like in Plano uh, that they are doing, uh, stuff like having recycle picked up where, uh, the city, uh, I guess the sanitation department, uh, as part of their responsibility picks up, uh, the recycled items as well, you know, the plastics and the paper uh, and aluminum",sd
178880,B,Uh-huh.,b
178881,B,Um.,%
178882,A,"and, uh, the only responsibility of the, of the, patron is to separate them",sd
178883,A,"and then the, the,",%
178884,A,"uh, I guess the department takes them and and does what they do with them",sv
178885,A,and it doesn't cost the patron anything.,sd
178886,A,"Doesn't really cost the, uh, department.",sd
178887,B,Anything extra.,^2
178888,A,Right.,aa
178889,A,"They don't pay, they don't pay for the recycled items.",sd
178890,B,That sounds good.,ba
178891,B,"There's,",%
178892,B,"I, I've been wanting to put like two of three bins like right out my garage door where, you know, from the kitchen where you know you can throw cans in one or the glass in the other",sd
178893,B,"or the, the even, uh,",%
178894,B,"there are areas that can recycle the, the tin cans, like your you know, vegetable things come in",sd
178895,A,Uh-huh.,b
178896,B,"and, uh, so I, I've not done that,",sd
178897,B,"but that's kind of what I want to set up so. Because we do go through aluminum cans, you know.",sd
178898,B,That's probably the one we use most.,sd
178899,A,Uh-huh.,b
178900,B,"Uh, but,",%
178901,A,"Well, what kind of services do you have there in Lubbock as far as,",qw
178902,A,"I, I lived in Abilene for a, uh,",sd
178903,A,I went to school there at Abilene Christian,sd
178904,A,"and I,",%
178905,A,"it was so hard to, uh,",sd
178906,A,you know if you  you wanted to recycle you newspapers it was impossible.,sv
178907,B,Find a place.,^2
178908,B,"Well, uh, uh they, they do have facilities for recycling the newspapers, aluminum cans, those are the two major items.",sd
178909,B,"You know, we can take oil, like car oil, recycled oil to,",sd
178910,B,"they have, uh, uh, dump areas like at the fire departments throughout town.",sd
178911,A,Um.,%
178912,A,Uh-huh.,b
178913,B,"Uh, I don't know that they yet have the facilities here to do the tin cans.",sd
178914,A,Uh-huh.,b
178915,B,"Uh, I think they can do the plastics, like the liter bottles things like that.",sv
178916,A,Uh-huh.,b
178917,A,Uh-huh.,b
178918,B,"Uh, but, I, I don't know.",h
178919,B,I know for sure though they have the newspaper and the aluminum can and then the oil at the fire departments.,sd
178920,A,Uh-huh.,b
178921,B,"So,",%
178922,A,"Well, that's good.",sv
178923,B,I do that,sd
178924,B,"I think people are becoming more aware. You know of, of the waste",sv
178925,A,Yeah.,b
178926,B,"and you know I, I like to see, you know,",%
178927,B,you drive through Burger King now and the bags are recycled paper,sd
178928,A,Uh-huh.,b
178929,B,"and you know, so, you know I feel like people are more aware of it or becoming more aware of it.",sv
178930,B,"You know, maybe it's making an impact",sv
178931,A,Uh-huh.,b
178932,A,"Do you tend to buy more recycled items that, if something, uh, the pack says recycled and something else doesn't?",qy
178933,A,"Do,",%
178934,A,would you tend to chose the one that does,qy
178935,A,"or,",%
178936,B,I'm not as good about searching something out like that,ng
178937,A,Uh-huh.,b
178938,B,but if I am there and the choice is there I would probably take the recycled product.,sd
178939,A,Um.,%
178940,A,Uh-huh.,b
178941,B,"So, you know, that's just where I probably need to be a little more responsible, citizen wise, you know, looking or searching those out because you figure if we as the citizens do that then the manufactures and producers will start packaging it that way.",sv
178942,A,"Sure,",b
178943,A,yeah.,b
178944,B,"So, uh, you know, they are getting away from the styrofoam,",sd
178945,A,Okay.,"fo_o_fw_""_by_bc"
178946,B,"Well, discussing air pollution today, I guess.",sd
178947,A,Uh-huh.,b
178948,B,"Um, uh, well, give me your first impressions.",ad
178949,A,"Uh, I don't know,",h
178950,A,there's a lot of air pollution.,sv
178951,B,Yeah.,b
178952,A,"Um, I think industries and companies provide a lot of it",sv
178953,B,Uh-huh.,b
178954,A,"and, with, uh, I guess with the oil burning over in Kuwait and stuff, that would have a lot of air pollution in it.",sv
178955,B,"Uh, puts a whole,",%
178956,B,"yeah,",%
178957,B,"gets a whole new picture to what real air pollution can be,",sv
178958,B,"but, uh, that stuff going on over there.",sv
178959,B,"What, what, uh, what part of Pennsylvania are you in?",qw
178960,A,"Um, I'm north of Pittsburgh,",sd
178961,A,so.,%
178962,B,"Okay,",bk
178963,B,"okay,",b
178964,B,"so, it's, it's amazing too, you know, with that, with the oil wells burning over there, that's the exact same stuff that's coming out of cars every day, just in, uh, just in a little different grade, I guess.",sv
178965,A,Yeah.,b
178966,B,"But, uh, in Dallas, we've got, we've just, uh, brought in a whole new set of requirements on inspections and things like that for cars, because, uh, people just don't use mass transit and stuff in Dallas.",sd
178967,B,"Everybody loves their car,",sv
178968,B,"and you see an awful lot of, uh, one person vehicles on the road on, during rush hours.",sd
178969,B,That seems to be our biggest problem down here.,sv
178970,B,"Um, you know, there's, uh, there's a lot of industry around,",sd
178971,B,"but, uh, it's not, it's",%
178972,B,any pollution that industry's dumping around here is not going into the air.,sv
178973,B,It's typically water type situation.,sv
178974,A,Yeah.,b
178975,A,"Um. We have a couple, we have like a steel mill and a couple refineries and stuff,",sd
178976,A,"and I know there's a lot of air pollution going in there,",sv
178977,A,"and like they, they get fined whenever they do the air pollution",sd
178978,B,Uh-huh.,b
178979,A,"but the fine is nothing, you know,",sv
178980,B,"Yeah,",b
178981,B,"it's, it's,  like, like two hours of output or something like that.",sv
178982,A,it's like nothing to them.,^2
178983,A,"Yeah,",b
178984,A,"yeah,",b
178985,B,"That's true,",ba
178986,B,that's true.,ba
178987,A,Uh-huh.,b
178988,B,"Yeah,",b
178989,B,"I, a, uh, I grew up in South Dakota,",sd
178990,B,"so I was never, I was never exposed to anything of, of the, of the sort.",sd
178991,A,Uh-huh.,b
178992,B,"Um, there were always E P A people and what not were always telling us that, uh, farm chemicals and what not were destroying our water system and all that",sd
178993,A,Uh-huh.,b
178994,B,"but we just, we just never saw the results.",sd
178995,B,"There was, there was dust in the air during planting seasons and what not,",sd
178996,B,"but that, that was all we ever saw,",sd
178997,B,"and then five years ago I moved to Dallas,",sd
178998,B,"and I suddenly started to understand what burning eyes, and all that stuff is about that I'd always heard about.",sd
178999,B,"It, uh, it's, it gets, it's real depressing.",sd
179000,B,"In the morning sometime you can tell if it's a good day or a bad day by, uh, how far out from downtown, uh, you can be on the road and still not see it.",sd
179001,A,"Oh, my God",ba
179002,B,"And, uh, yeah,",%
179003,B,"I mean, it's not,",%
179004,B,"I don't think Dallas is considered, uh, a real bad place for air pollution,",sv
179005,B,"but, you, you can tell, you can tell the differences in the days, when it's, when the haze is kind of yellowish gray instead of just being a, a foggy, misty color",sd
179006,A,Uh-huh.,b
179007,B,"and, uh, it, it's a little, it's a little disappointing sometimes you start to realize what you're breathing.",sd
179008,A,"Uh, yeah,",b
179009,A,"but, I don't know what they can do to really prevent it, you know.",sd
179010,A,"Like, how,",%
179011,A,what can they do about the oil burning over in Kuwait?,qh
179012,A,"What, you know,",%
179013,A,"I mean they fine the industries,",sd
179014,A,"but you know, that doesn't seem to stop them there",sv
179015,B,Right.,b
179016,A,I don't know what else they can do.,sd
179017,B,Right.,b
179018,B,"It, it's that there really isn't a whole lot.",sv
179019,B,"It's one of those, uh, it's one of those things that if they do a little bit and, uh, and, you know, every little bit does help,",sv
179020,B,I do believe that.,h
179021,B,"Um, but I also believe that the earth is a kind of a self-regulating system,",sd
179022,B,"and, uh, it will clean itself up, eventually.",sv
179023,B,"It,",%
179024,B,"the whole idea is not to, not to push the limit too hard, I guess",sv
179025,A,Uh-huh.,b
179026,B,"let the, you know, let the natural, natural systems take care of the problem as much as possible.",sv
179027,A,"Yeah,",b
179028,A,"I, I,",%
179029,A,"yeah,",b
179030,A,"I just don't understand, you know, what else anyone can do about it.",sd
179031,A,"I don't think it's something that people really think about, either.",sv
179032,B,Uh-huh.,b
179033,A,"You know, it's, I mean, it, it should probably be a big issue, you know, because it's, it's doing a lot of damage,",sv
179034,A,"but I,",%
179035,A,"it's something, you know,",sv
179036,A,"I don't think many people really think about it, because it's nothing they,",sv
179037,A,I don't think we really have too much control over it.,sv
179038,B,Right.,b
179039,B,"And it's one of those things,",sv
179040,B,"it, it's so hard to measure what, what the damage is",sv
179041,A,Uh-huh.,b
179042,B,"it's kind of like, oh,",sv
179043,B,"I guess it's kind of like, kind of like cigarette smoking, you know.",sv
179044,B,"It, it could go on for years and years until they start to see some results and people can actually, actually say, Yeah, it's, it's, it's doing, doing some damage and something's got to be done.",sv
179045,A,Uh-huh.,b
179046,B,"Um, there's, you know, there's a lot of things like that.",sv
179047,B,"It,",%
179048,B,"you can, uh, you can pound on something for a long time before it finally breaks,",sv
179049,B,"but until it breaks, you don't really know that there, you were doing anything to it.",sv
179050,A,"Yeah,",b
179051,A,exactly.,ba
179052,B,"But, uh,",%
179053,A,"Well, I really don't know too much else about it.",sd
179054,B,"Yeah,",b
179055,B,"well, that's, that's,",%
179056,B,"I think we both agree it's, it's one of those deals that, uh,",sv
179057,B,I just think there's a lot of other problems right now,sv
179058,A,Uh-huh.,b
179059,B,"and, uh, we've done a lot to take care of it.",sv
179060,A,Yeah.,b
179061,B,"And, uh,",%
179062,A,"Yeah,",b
179063,A,"we have tried,",sv
179064,A,"I mean, you know, and, um, I, I know where, you know, where a couple of the mills that have,",sd
179065,A,"I know they put things on their stacks, you know, to filter the smoke, and do all kinds of things,",sd
179066,A,"but, I mean, every now and then it breaks, you know,",sd
179067,A,"and and you just have smoke going out into the air for a day or two, until you can get it fixed.",sd
179068,B,"Oh, sure.",b
179069,B,Sure.,b
179070,A,"and so, so, you know, it's something we, we have tried to help.",sd
179071,B,"Oh, there's no doubt about it.",ba
179072,A,Yeah.,b
179073,B,"I don't know if you ever happened to see some of the like, Twenty Twenty and what not about Rumania and East Germany when they first got pictures out of there about how some of their systems had been running for twenty and thirty years",sd
179074,A,Uh-huh.,b
179075,A,Uh-huh.,b
179076,B,"and, uh, you know, they had absolutely no regulations, no controls whatsoever,",sd
179077,B,"and they had destroyed entire forests and what not, just because the air was so polluted.",sd
179078,B,"That's, that's the kind of things that, uh, you don't see in this country,",sv
179079,B,"and that's, that's why I think that, you know, it's,",sv
179080,B,"I don't know if you can ever do enough,",sv
179081,B,"but, uh, I think it's all relative to the, to the time and place,",sv
179082,B,"and I think right now it's, it's pretty much under control.",sv
179083,A,"Yeah,",b
179084,A,"okay,",%
179085,A,well.,%
179086,B,All righty.,fc
179087,A,Uh-huh.,fc
179088,A,It's been nice talking to you.,fc
179089,B,"Well, you bet.",fc
179090,A,"Okay,",fc
179091,A,bye-bye.,fc
179092,B,Bye.,fc
179093,A,"Well Amy it's been, uh, kind of overcast today and cloudy.",sd
179094,B,Yeah.,b
179095,A,"We have,",%
179096,A,"our,",%
179097,A,"I have a son in kindergarten,",sd
179098,A,"he was having a kite day,",sd
179099,B,"Oh, boy.",b
179100,A,"and I was really worried about it raining because it has, there's been some dark clouds",sd
179101,A,"and it's been, um, and it's been pretty rainy looking.",sd
179102,B,Yeah,b
179103,B,I've been trying to put weed spray on the lawn for the whole week,sd
179104,B,"and you can't put it on if it's suppose to rain within forty-eight hours,",sd
179105,A,Uh-huh.,b
179106,B,"and so I keep hearing the forecast it's going to rain, it's going to rain, it's going to rain,",sd
179107,B,but it really hasn't rained,^2
179108,A,"I know it just has that,",sd
179109,B,I know.,sd
179110,A,"I,",%
179111,A,"it looks,",sd
179112,A,"several times in the last couple of weeks it has looked rainy that day and not, not done anything.",sd
179113,B,Yeah.,b
179114,B,Yeah.,b
179115,A,And we have a lot of trees in our yard,sd
179116,A,"and I probably,",sd
179117,A,"they're pretty old, big tall trees,",sd
179118,B,Uh-huh.,b
179119,B,"Yeah,",b
179120,B,yeah.,b
179121,B,"Well, I get tired with the",sd
179122,B,"I have two preschoolers, a three year old and a two year old,",sd
179123,A,Uh-huh.,b
179124,B,"and if it's not nice and they can't go out, it's really the pits",sd
179125,A,"Oh, I bet.",ba
179126,B,"But I appreciate it when they can at least go play in the backyard for an hour or something, you know.",sd
179127,A,Yeah.,b
179128,B,Yeah.,b
179129,A,That makes a big difference,sv
179130,B,Yeah.,b
179131,A,"but I, uh,",%
179132,A,we're kind of new to Plano,sd
179133,A,and I'm working on a carnival that's going to be in a couple of weeks for our school,sd
179134,A,"and I'm thinking that this has been pretty, you know, rainy season,",sd
179135,A,"and it's been kind of scary,",sd
179136,A,"it's kind of been cloudy every day,",sd
179137,A,"and I thought, well, I'm just not anxious to have worry about the weather.",sd
179138,B,Yeah.,b
179139,B,Yeah.,b
179140,B,"Well, my three and half year old, he really wants to have the pool out in the backyard you know any day,",sd
179141,A,"Well, yeah.",b
179142,B,I mean all Winter long he's been wanting a pool in the backyard.,sd
179143,B,"So, I'm hoping, you know, that,",sd
179144,B,"it just seems like the weather around here goes so quickly from being Winter to, you know, muggy, and hot,",sd
179145,B,and it's just you never really have like nice cool sixty-five or seventy degree weather with sunshine you know?,sd
179146,A,Uh-huh.,b
179147,B,"I really miss that,",sd
179148,B,"I'm from Chicago originally,",sd
179149,B,"and I miss the seasons that, you know, that we used to get up there that you just don't have down here.",sd
179150,A,"Well, I know in, um,",%
179151,A,I'm from Missouri,sd
179152,A,and we always had pretty nice four seasons,sd
179153,A,"and, and you know,",%
179154,A,"we have some extreme weather in each season,",sd
179155,B,Yeah.,b
179156,A,"but, uh, I like that",%
179157,A,"and we moved here from Houston in, in, uh, July",sd
179158,A,"and everyone kept saying, oh, you're going up north it's not going to be so hot,",sd
179159,A,"it's not going to be so humid,",^q
179160,B,Oh,b
179161,A,"Yeah,",b
179162,A,that has just not been the case.,sd
179163,B,"Oh, really",b
179164,A,"It has been,",sd
179165,B,yeah.,b
179166,B,It's pretty hot here during the Summer gosh.,sd
179167,A,"Oh it was extremely hot,",aa
179168,A,"I thought I was going to die,",sd
179169,A,"my car, I thought it was going die last Summer",sd
179170,A,"but,",%
179171,B,Do have air conditioning in your car,qy
179172,B,"or,",%
179173,A,"Well, the air conditioning was broke,",sd
179174,A,"but broken,",%
179175,A,"I guess it just couldn't handle, the stress, and the heat, the record heat,",sv
179176,B,Yeah.,b
179177,A,"and, you know, I was worried about every time we came to an intersection the car started idling rough, you know, because of the extreme heat.",sd
179178,B,Yeah.,b
179179,B,Yeah.,b
179180,B,Yeah.,b
179181,B,"I know, my husband doesn't have air conditioning in his car and he, when he comes home from work, you know, during the Summer he's just he feels like he's burning like he's been baking for an hour",sd
179182,A,Uh-huh.,b
179183,A,"Oh, I know.",ba
179184,B,Gosh.,ba
179185,A,"That's really awful,",ba
179186,A,"but, but I, uh, understand that this is kind of typical for this time of year that rainy season.",sd
179187,B,Yeah.,b
179188,B,"What I hate is,",%
179189,B,"I hate having to water so much around here you know,",sd
179190,A,Uh-huh.,b
179191,B,we never used to have to water our lawns,sd
179192,A,No.,b
179193,B,you know in Chicago it was always enough rain here and there,sd
179194,A,Sure.,b
179195,B,so here if you don't water it just looks awful.,sd
179196,A,Brown.,sd
179197,B,"I just hate to spend the money just going down the drain and watering grass, you know.",sd
179198,A,Yeah.,b
179199,A,"That is, that is awful and it, it takes time",sv
179200,A,"and the, the kids, they,",sd
179201,A,you have to water your lawn,sv
179202,A,"and they want to go out and run in it and get all muddy, You know,",sv
179203,B,Yeah,b
179204,A,so you're going do I want a a green lawn or a muddy feet in the house.,qh
179205,B,"Yeah,",b
179206,B,we have a dog too,sd
179207,B,"so that adds to it you know, traipse in and out with whatever the weather is like out there",sd
179208,A,"Oh, no",ba
179209,B,"so,",%
179210,A,"Well, I don't know,",^h
179211,A,"do,",%
179212,A,"the nice thing I'm looking forward to is, uh, not having a hurricane season.",sd
179213,B,"Oh, yeah,",b
179214,B,"because Houston was really hurricane alley, wasn't it,",qy
179215,B,weren't there a lot of hurricanes there?,qy
179216,A,"Yes,",ny
179217,A,"we always had, uh, big concern about hurricanes,",sd
179218,A,and they're close enough to the coast,sd
179219,A,"and, you know, you had to have a supply like, uh, emergency supply on hand all the time during the hurricane season, you always have to think, you know, what's the weather doing,",sd
179220,B,"Oh, boy.",ba
179221,B,"Yeah,",aa
179222,B,"that would be,",sd
179223,B,Gosh.,b
179224,B,Keep the weather radio close by and stuff like that?,qy^d
179225,A,Right.,na
179226,A,"And do we have enough, you know, um, food storage, and enough, uh, batteries and all the kinds of things.",sd
179227,B,Yeah.,b
179228,B,"Yeah,",b
179229,B,"really, every time I store batteries, I wind up going to use them and they're dead",sd
179230,B,they've been stored so long.,sd
179231,A,That's right.,ba
179232,B,"Oh, boy.",ba
179233,A,"So,",%
179234,B,"Well, now this is a little bit of relief, although they still have warnings all the time around here for, you know, tornado season hurricanes and stuff,",sd
179235,A,Uh-huh.,b
179236,B,"so, I,",%
179237,A,"Well I, yeah, I don't really like tornadoes either,",sd
179238,B,Yeah.,b
179239,A,"but, uh, at least there isn't,",sd
179240,A,"we I feel like I got rid of something,",sd
179241,A,"hurricanes,",sd
179242,A,"so, not too much of that.",sd
179243,B,Yeah.,b
179244,B,"Well, I've been worried about mostly with having little kids now with taking them out in the Summer and getting them burnt up,",sd
179245,B,I mean I have to keep the sun screen on them just constantly when they go outside because they say it's just so dangerous for little ones to get a bad sunburn,sd
179246,A,Yeah.,b
179247,A,"and it is,",%
179248,B,"so,",%
179249,A,"and, I just, I can't believe the, the record temperatures that have, were here last Summer that,",sd
179250,B,Yeah.,b
179251,B,a hundred and ten degrees,sd
179252,B,"and,",%
179253,A,"oh, it was just unbelievably hot.",sd
179254,B,"And I can't stand to be outside at all when it's like that,",sd
179255,B,"I just don't even want to go out, you know, of the house to get the mail even",sd
179256,B,leave me in the air conditioning.,ad
179257,A,That is pretty bad.,aa
179258,B,"We had our air conditioning broke, break last last Summer.",sd
179259,B,The switch got something wrong with the switch,sd
179260,B,"and we had to call somebody out to fix it, because I couldn't take it more than a few hours without it on.",sd
179261,A,"Oh, I know.",ba
179262,A,I can't imagine.,ba
179263,B,Yeah.,b
179264,A,"Even,",%
179265,A,"well, that would,",%
179266,A,"it is just pretty bad,",sv
179267,A,"but I guess, um, I guess the weather hasn't changed too much from here to Houston",sv
179268,A,"and, But it is,",%
179269,B,Yeah.,b
179270,A,like you say coming a little bit further up north. where you have some pleasant weather everyday where you can feel like you just want to open your windows,sd
179271,B,"Yeah,",b
179272,B,yeah.,b
179273,B,Yeah.,b
179274,A,"and,",%
179275,B,"Yeah,",aa
179276,B,that's really nice,ba
179277,B,"I hate having to leave the house you know, closed up all the time.",sd
179278,A,Uh-huh.,b
179279,B,Yeah.,b
179280,A,And get some fresh air in the house,sd
179281,A,"and, it feels good",sv
179282,A,"but, but, I guess,",%
179283,B,Yeah.,b
179284,B,"Well, have you been here during the real heavy, heavy rains?",qy
179285,B,"I mean I can't remember what time of year,",sd
179286,B,"I think it's usually this time of year when we get some, just torrential down pours.",sv
179287,A,No,nn
179288,B,Gosh,ba
179289,A,"but I remember,",%
179290,B,flooding.,sd
179291,B,"Our neighbors had flooding, so badly it was like a foot deep in their house last year.",sd
179292,A,"Oh, no.",ba
179293,B,"They had to replace all their carpeting and everything,",sd
179294,B,it was miserable.,sd
179295,A,"Now, that sounds awful.",ba
179296,B,Yeah.,aa
179297,B,That would not be fun.,sv
179298,A,"Now, I have seen those.",sd
179299,A,"I have driven around in the neighborhoods and seen those little flood gauges that will be at little yellow signs,",sd
179300,B,Uh-huh.,b
